#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reSRR9697569_taxonomic_profile	reSRR9697568_taxonomic_profile	reSRR9697567_taxonomic_profile	reSRR9697566_taxonomic_profile	reSRR9697564_taxonomic_profile	reSRR9697563_taxonomic_profile	reSRR9697562_taxonomic_profile	reSRR9697561_taxonomic_profile	reSRR9697560_taxonomic_profile	reSRR9697559_taxonomic_profile	reSRR9697558_taxonomic_profile	reSRR9697557_taxonomic_profile	reSRR9697556_taxonomic_profile	reSRR9697555_taxonomic_profile	reSRR9697554_taxonomic_profile	reSRR9697553_taxonomic_profile	reSRR9697552_taxonomic_profile	reSRR9697551_taxonomic_profile	reSRR9697550_taxonomic_profile	reSRR9697549_taxonomic_profile	reSRR9697548_taxonomic_profile	reSRR9697547_taxonomic_profile	reSRR9697546_taxonomic_profile	reSRR9697545_taxonomic_profile	reSRR9697544_taxonomic_profile	reSRR9697543_taxonomic_profile	reSRR9697542_taxonomic_profile	reSRR9697541_taxonomic_profile	reSRR9697540_taxonomic_profile	reSRR9697539_taxonomic_profile	reSRR9697538_taxonomic_profile	reSRR9697537_taxonomic_profile	reSRR9697536_taxonomic_profile	reSRR9697535_taxonomic_profile
UNKNOWN	-1	91.03299999999999	90.96724	95.2506	96.59062	90.57242	77.35188000000001	83.17538	94.69125	94.87063	91.38566999999999	75.28191	82.61145	87.0483	94.39381	95.22375	94.40526	86.34541999999999	95.13065	94.1458	73.88923	95.74339	93.00718	86.83622	93.23784	74.10878000000001	92.86946	93.0072	91.81869	91.19105	91.44115	90.31571	90.26083	81.20456999999999	91.67749
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_peregrinum	2|201174|1760|85007|1762|1866885|43304	0	0	0	0	0	0	0	0	0	0.06928675139695213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_rhodesiae	2|201174|1760|85007|1762|1866885|36814	0	0	0	0	0	0.027700913654555785	0.0004441699028918284	0.045076613822380256	0	0	0.043276428983277736	0	0	0	0	0	0	0.0160542632396968	0	0.019758023085115043	0	0	0.04254796726809375	0.03533430867175109	0	0	0	0.060071302691299885	0	0.059397574203175915	0.052194466558041774	0	0	0.025166431239655368
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_tokaiense	2|201174|1760|85007|1762|1866885|39695	0	0	0	0	0.018388500002429628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07731087549208421	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacter|s__Mycolicibacter_arupensis	2|201174|1760|85007|1762|1073531|342002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1096569138471241	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacter|s__Mycolicibacter_heraklionensis	2|201174|1760|85007|1762|1073531|512402	0	0	0	0	0	0	0	0	0	0.375172873258198	0	0	0	0	0	0	0	0	0	0	0	0	0.004249267939527462	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacter|s__Mycolicibacter_minnesotensis	2|201174|1760|85007|1762|1073531|1118379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03012530879680482	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae	2|201174|1760|85007|85025	0.06914902543908888	0	0	0	0	0.1943638875742231	0	0	0	0.10504395951978986	0	0	0	0	0	0	0	0	0	0.01312849743253052	0	0	0.2041386229833211	0.024701490086127025	0	0	0	0	0	0	0.06273291440360751	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Nocardia	2|201174|1760|85007|85025|1817	0	0	0	0	0	0	0	0	0	0.0053357138720002174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Nocardia|s__Nocardia_asteroides	2|201174|1760|85007|85025|1817|1824	0	0	0	0	0	0	0	0	0	0.0053357138720002174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus	2|201174|1760|85007|85025|1827	0.06914902543908888	0	0	0	0	0.1943638875742231	0	0	0	0.09970824564778964	0	0	0	0	0	0	0	0	0	0.01312849743253052	0	0	0.2041386229833211	0.024701490086127025	0	0	0	0	0	0	0.06273291440360751	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_hoagii	2|201174|1760|85007|85025|1827|43767	0.06914902543908888	0	0	0	0	0.1943638875742231	0	0	0	0.09970824564778964	0	0	0	0	0	0	0	0	0	0.01312849743253052	0	0	0.2041386229833211	0.024701490086127025	0	0	0	0	0	0	0.06273291440360751	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales	2|201174|1760|85013	0	0	0	0	0	0	0	0	0.013406643795100244	0	0	0	0	0	0	0	0	0.023855456790293786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Cryptosporangiaceae	2|201174|1760|85013|622454	0	0	0	0	0	0	0	0	0.013406643795100244	0	0	0	0	0	0	0	0	0.023855456790293786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Cryptosporangiaceae|g__Cryptosporangium	2|201174|1760|85013|622454|65502	0	0	0	0	0	0	0	0	0.013406643795100244	0	0	0	0	0	0	0	0	0.023855456790293786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Cryptosporangiaceae|g__Cryptosporangium|s__Cryptosporangium_arvum	2|201174|1760|85013|622454|65502|80871	0	0	0	0	0	0	0	0	0.013406643795100244	0	0	0	0	0	0	0	0	0.023855456790293786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Kineosporiales	2|201174|1760|622452	0	0	0	0	0	0	0.0008227237974019095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Kineosporiales|f__Kineosporiaceae	2|201174|1760|622452|83778	0	0	0	0	0	0	0.0008227237974019095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Kineosporiales|f__Kineosporiaceae|g__Kineococcus	2|201174|1760|622452|83778|33981	0	0	0	0	0	0	0.0008227237974019095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Kineosporiales|f__Kineosporiaceae|g__Kineococcus|s__Kineococcus_rhizosphaerae	2|201174|1760|622452|83778|33981|559628	0	0	0	0	0	0	0.0008227237974019095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.5750806520761312	0.02880638699776627	0.01898381554391839	0	0	0.014651067813859974	0.1443737255191314	0.09314895643759637	0	0.02297010177540939	1.2614851642213167	0.2552516892155386	0.04891726375999534	0.04515338632705117	0	0	0.2678768861689586	0	0.3996772486214027	0.01751510755318511	0	0	0.2063461887623136	0.2762294557680825	0	0.030259170213541506	0	0.04250274764883515	0	0.6189872740558431	0.06383982911482618	0.03142536494402927	0.16756498391195435	0.02820164982264499
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae	2|201174|1760|85006|85021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009428186543874846	0	0	0	0	0	0	0	0	0	0	0.02085193014758101	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__Janibacter	2|201174|1760|85006|85021|53457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009428186543874846	0	0	0	0	0	0	0	0	0	0	0.02085193014758101	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__Janibacter|s__Janibacter_melonis	2|201174|1760|85006|85021|53457|262209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009428186543874846	0	0	0	0	0	0	0	0	0	0	0.02085193014758101	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae	2|201174|1760|85006|85023	0.5640064062851341	0	0	0	0	0	0.13938859134387194	0	0	0	1.2614851642213167	0.0018849184300998266	0	0	0	0	0.2678768861689586	0	0.3902490620775279	0	0	0	0	0.2079546426597056	0	0.030259170213541506	0	0	0	0.5981353439082621	0	0.03142536494402927	0.16756498391195435	0.026949944654337785
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Agrococcus	2|201174|1760|85006|85023|46352	0.01006635491900683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Agrococcus|s__Agrococcus_jejuensis	2|201174|1760|85006|85023|46352|399736	0.01006635491900683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium	2|201174|1760|85006|85023|2034	0.5121385844803851	0	0	0	0	0	0.09199364375120984	0	0	0	1.2596980464377372	0.0018849184300998266	0	0	0	0	0.2678768861689586	0	0.3902490620775279	0	0	0	0	0.1922982162597467	0	0.030259170213541506	0	0	0	0.3015634330800329	0	0.03142536494402927	0.16756498391195435	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium_citreum	2|201174|1760|85006|85023|2034|2036	0.06996950599769311	0	0	0	0	0	0.006410179280370706	0	0	0	0.2719632382518915	0	0	0	0	0	0	0	0	0	0	0	0	0.0031146503692053183	0	0	0	0	0	0.010768747080280108	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium_luteum	2|201174|1760|85006|85023|2034|33881	0.028513268636609582	0	0	0	0	0	0.005065892339421574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036933012538921204	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium_oceanosedimentum	2|201174|1760|85006|85023|2034|465820	0.0045417858244049154	0	0	0	0	0	0.00557567825069515	0	0	0	0.052570430181422836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2180067884719081	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium_sp_314Chir4_1	2|201174|1760|85006|85023|2034|1279028	0.045622305858652186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium_sp_9128	2|201174|1760|85006|85023|2034|1793722	0.029882529634411417	0	0	0	0	0	0.008021977640106962	0	0	0	0.0862587127158695	0	0	0	0	0	0.07051907058377654	0	0.00581321902394767	0	0	0	0	0.00806049335669288	0	0	0	0	0	0	0	0.009820000456523604	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium_sp_Ferrero	2|201174|1760|85006|85023|2034|2033654	0.014829625659231687	0	0	0	0	0	0.02507372751059439	0	0	0	0.469992202610773	0.0018849184300998266	0	0	0	0	0.11008730811648401	0	0.22698073712206066	0	0	0	0	0	0	0	0	0	0	0	0	0.002877923370924055	0.027281561170607697	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium_sp_MR_MD2014	2|201174|1760|85006|85023|2034|1561023	0.3187804595694463	0	0	0	0	0	0.04184787119177443	0	0	0	0.3789134626777803	0	0	0	0	0	0.08727050746869804	0	0.15745452051167827	0	0	0	0	0.18112239631796284	0	0.030259170213541506	0	0	0	0.07278789752784466	0	0.018728415033119998	0.13659012148745456	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter	2|201174|1760|85006|85023|55968	0	0	0	0	0	0	0.008955743913231829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0112934815058832	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter|s__Leucobacter_chromiiresistens	2|201174|1760|85006|85023|55968|1079994	0	0	0	0	0	0	0.008955743913231829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0112934815058832	0	0	0	0	0	0	0	0	0	0
