clade_name	NCBI_tax_id	reSRR3584987_taxonomic_profile	reSRR3584986_taxonomic_profile	reSRR3584985_taxonomic_profile	reSRR3584984_taxonomic_profile	reSRR3584983_taxonomic_profile	reSRR3584982_taxonomic_profile	reSRR3584981_taxonomic_profile	reSRR3584980_taxonomic_profile	reSRR3584979_taxonomic_profile	reSRR3584978_taxonomic_profile	reSRR3584977_taxonomic_profile	reSRR3584976_taxonomic_profile
k__Bacteria|p__Proteobacteria|c__CFGB40842|o__OFGB40842|f__FGB40842|g__GGB44880|s__GGB44880_SGB62367	2|1224|55013646|45480484|63089902|35428569|804098	0	0.057051785118695415	0	0	0	0	0	0.05592988894331355	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB40842|o__OFGB40842|f__FGB40842|g__GGB44880|s__GGB44880_SGB62367|t__SGB62367	2|1224|55013646|45480484|63089902|35428569|804098|SGB62367	0	0.057051785118695415	0	0	0	0	0	0.05592988894331355	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB5157	2|1224|18168972	0	0	0	0	0	0	0	0	0	0	0	0.002775406587980525
k__Bacteria|p__Proteobacteria|c__CFGB5157|o__OFGB5157	2|1224|18168972|12531741	0	0	0	0	0	0	0	0	0	0	0	0.002775406587980525
k__Bacteria|p__Proteobacteria|c__CFGB5157|o__OFGB5157|f__FGB5157	2|1224|18168972|12531741|74921922	0	0	0	0	0	0	0	0	0	0	0	0.002775406587980525
k__Bacteria|p__Proteobacteria|c__CFGB5157|o__OFGB5157|f__FGB5157|g__GGB14685	2|1224|18168972|12531741|74921922|28980663	0	0	0	0	0	0	0	0	0	0	0	0.002775406587980525
k__Bacteria|p__Proteobacteria|c__CFGB5157|o__OFGB5157|f__FGB5157|g__GGB14685|s__GGB14685_SGB22225	2|1224|18168972|12531741|74921922|28980663|14108018	0	0	0	0	0	0	0	0	0	0	0	0.002775406587980525
k__Bacteria|p__Proteobacteria|c__CFGB5157|o__OFGB5157|f__FGB5157|g__GGB14685|s__GGB14685_SGB22225|t__SGB22225	2|1224|18168972|12531741|74921922|28980663|14108018|SGB22225	0	0	0	0	0	0	0	0	0	0	0	0.002775406587980525
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.132724603774809	0.1885260768558012	0.13380211688275326	0.11748943757603406	0	0	0	0.200387719038472	0	0	0.10394920698709584	0.11419396895077162
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria_unclassified	2|1224|28221|67691841	0.132724603774809	0.1885260768558012	0.13380211688275326	0.11748943757603406	0	0	0	0.200387719038472	0	0	0.10394920698709584	0.11419396895077162
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria_unclassified|f__Deltaproteobacteria_unclassified	2|1224|28221|67691841|91967380	0.132724603774809	0.1885260768558012	0.13380211688275326	0.11748943757603406	0	0	0	0.200387719038472	0	0	0.10394920698709584	0.11419396895077162
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria_unclassified|f__Deltaproteobacteria_unclassified|g__GGB63079	2|1224|28221|67691841|91967380|90516715	0.132724603774809	0.1885260768558012	0.13380211688275326	0.11748943757603406	0	0	0	0.200387719038472	0	0	0.10394920698709584	0.11419396895077162
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria_unclassified|f__Deltaproteobacteria_unclassified|g__GGB63079|s__GGB63079_SGB85330	2|1224|28221|67691841|91967380|90516715|538226	0.132724603774809	0.1885260768558012	0.13380211688275326	0.11748943757603406	0	0	0	0.200387719038472	0	0	0.10394920698709584	0.11419396895077162
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria_unclassified|f__Deltaproteobacteria_unclassified|g__GGB63079|s__GGB63079_SGB85330|t__SGB85330	2|1224|28221|67691841|91967380|90516715|538226|SGB85330	0.132724603774809	0.1885260768558012	0.13380211688275326	0.11748943757603406	0	0	0	0.200387719038472	0	0	0.10394920698709584	0.11419396895077162
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.2328500315524186	0.08424539723876777	0	0	0.033606371869448474	0.27171203261141497	0.2009085815771713	0.02703637360276382	0.03244499996146587	0.2356152570732801	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	2|1224|1236|1775403	0.2328500315524186	0.08424539723876777	0	0	0.033606371869448474	0.27171203261141497	0.2009085815771713	0.02703637360276382	0.03244499996146587	0.2356152570732801	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Sinobacteraceae	2|1224|1236|1775403|568386	0.2328500315524186	0.08424539723876777	0	0	0.033606371869448474	0.27171203261141497	0.2009085815771713	0.02703637360276382	0.03244499996146587	0.2356152570732801	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Sinobacteraceae|g__GGB66671	2|1224|1236|1775403|568386|23656307	0.2328500315524186	0.08424539723876777	0	0	0.033606371869448474	0.27171203261141497	0.2009085815771713	0.02703637360276382	0.03244499996146587	0.2356152570732801	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Sinobacteraceae|g__GGB66671|s__GGB66671_SGB90297	2|1224|1236|1775403|568386|23656307|28954807	0.2328500315524186	0.08424539723876777	0	0	0.033606371869448474	0.27171203261141497	0.2009085815771713	0.02703637360276382	0.03244499996146587	0.2356152570732801	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Sinobacteraceae|g__GGB66671|s__GGB66671_SGB90297|t__SGB90297	2|1224|1236|1775403|568386|23656307|28954807|SGB90297	0.2328500315524186	0.08424539723876777	0	0	0.033606371869448474	0.27171203261141497	0.2009085815771713	0.02703637360276382	0.03244499996146587	0.2356152570732801	0	0
