clade_name	reERR3589553_taxonomic_profile	reERR3589554_taxonomic_profile	reERR3589555_taxonomic_profile	reERR3589556_taxonomic_profile	reERR3589557_taxonomic_profile	reERR3589558_taxonomic_profile	reERR3589559_taxonomic_profile	reERR3589560_taxonomic_profile	reERR3589561_taxonomic_profile	reERR3589562_taxonomic_profile	reERR3589563_taxonomic_profile	reERR3589564_taxonomic_profile	reERR3589565_taxonomic_profile	reERR3589566_taxonomic_profile	reERR3589567_taxonomic_profile	reERR3589568_taxonomic_profile	reERR3589569_taxonomic_profile	reERR3589570_taxonomic_profile	reERR3589571_taxonomic_profile	reERR3589572_taxonomic_profile	reERR3589573_taxonomic_profile	reERR3589574_taxonomic_profile	reERR3589575_taxonomic_profile	reERR3589576_taxonomic_profile	reERR3589577_taxonomic_profile	reERR3589578_taxonomic_profile	reERR3589579_taxonomic_profile	reERR3589580_taxonomic_profile	reERR3589581_taxonomic_profile	reERR3589582_taxonomic_profile	reERR3589583_taxonomic_profile	reERR3589584_taxonomic_profile	reERR3589585_taxonomic_profile	reERR3589586_taxonomic_profile	reERR3589587_taxonomic_profile	reERR3589588_taxonomic_profile	reERR3589589_taxonomic_profile	reERR3589590_taxonomic_profile	reERR3589591_taxonomic_profile	reERR3589592_taxonomic_profile	reERR3589593_taxonomic_profile
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales	0	0	0	0	0	0	0	0	0	0	0.000949388119357074	0	0	0	0	0	0	0	0	0	0	0.000941912270291145	0	0	0	0	0	0	0	0	0	0.00266496109156806	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae	0	0	0	0	0	0	0	0	0	0	0.000949388119357074	0	0	0	0	0	0	0	0	0	0	0.000941912270291145	0	0	0	0	0	0	0	0	0	0.00266496109156806	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Unclassified_Sulfolobaceae	0	0	0	0	0	0	0	0	0	0	0.000949388119357074	0	0	0	0	0	0	0	0	0	0	0.000941912270291145	0	0	0	0	0	0	0	0	0	0.00266496109156806	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Unclassified_Sulfolobaceae|s__	0	0	0	0	0	0	0	0	0	0	0.000949388119357074	0	0	0	0	0	0	0	0	0	0	0.000941912270291145	0	0	0	0	0	0	0	0	0	0.00266496109156806	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Unclassified_Sulfolobaceae|s__|t__	0	0	0	0	0	0	0	0	0	0	0.000949388119357074	0	0	0	0	0	0	0	0	0	0	0.000941912270291145	0	0	0	0	0	0	0	0	0	0.00266496109156806	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Unclassified_Sulfolobaceae|s__|t__	0	0	0	0	0	0	0	0	0	0	0.000949388119357074	0	0	0	0	0	0	0	0	0	0	0.000941912270291145	0	0	0	0	0	0	0	0	0	0.00266496109156806	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales	0	0	0	0	0	0	0	0	0	0.000946566330635619	0.000949388119357074	0	0	0	0	0	0	0	0	0	0	0	0.00108811560140149	0	0	0	0	0	0	0	0	0	0.00122422995935557	0	0	0	0	0	0	0	0.000808982946639485
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae	0	0	0	0	0	0	0	0	0	0.000946566330635619	0.000949388119357074	0	0	0	0	0	0	0	0	0	0	0	0.00108811560140149	0	0	0	0	0	0	0	0	0	0.00122422995935557	0	0	0	0	0	0	0	0.000808982946639485
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Unclassified_Thermoproteaceae	0	0	0	0	0	0	0	0	0	0.000946566330635619	0.000949388119357074	0	0	0	0	0	0	0	0	0	0	0	0.00108811560140149	0	0	0	0	0	0	0	0	0	0.00122422995935557	0	0	0	0	0	0	0	0.000808982946639485
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Unclassified_Thermoproteaceae|s__	0	0	0	0	0	0	0	0	0	0.000946566330635619	0.000949388119357074	0	0	0	0	0	0	0	0	0	0	0	0.00108811560140149	0	0	0	0	0	0	0	0	0	0.00122422995935557	0	0	0	0	0	0	0	0.000808982946639485
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Unclassified_Thermoproteaceae|s__|t__	0	0	0	0	0	0	0	0	0	0.000946566330635619	0.000949388119357074	0	0	0	0	0	0	0	0	0	0	0	0.00108811560140149	0	0	0	0	0	0	0	0	0	0.00122422995935557	0	0	0	0	0	0	0	0.000808982946639485
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Unclassified_Thermoproteaceae|s__|t__	0	0	0	0	0	0	0	0	0	0.000946566330635619	0.000949388119357074	0	0	0	0	0	0	0	0	0	0	0	0.00108811560140149	0	0	0	0	0	0	0	0	0	0.00122422995935557	0	0	0	0	0	0	0	0.000808982946639485
