meta-mOTU_v2_ID	kingdom	phylum	class	order	family	genus	mOTU
meta_mOTU_v3_12227	2 Bacteria	1239 Firmicutes	NA Firmicutes class incertae sedis	NA Firmicutes order incertae sedis	NA Firmicutes fam. incertae sedis	NA Firmicutes gen. incertae sedis	NA Firmicutes species incertae sedis
meta_mOTU_v3_12228	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12229	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12230	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	NA Gammaproteobacteria species incertae sedis
meta_mOTU_v3_12231	2 Bacteria	1239 Firmicutes	NA Firmicutes class incertae sedis	NA Firmicutes order incertae sedis	NA Firmicutes fam. incertae sedis	NA Firmicutes gen. incertae sedis	NA Firmicutes species incertae sedis
meta_mOTU_v3_12232	2 Bacteria	200795 Chloroflexi	301297 Dehalococcoidia	1202465 Dehalococcoidales	NA Dehalococcoidales fam. incertae sedis	NA Dehalococcoidales gen. incertae sedis	NA Dehalococcoidales species incertae sedis
meta_mOTU_v3_12233	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	1262775 Clostridium sp. CAG:138
meta_mOTU_v3_12234	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
meta_mOTU_v3_12235	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	1263 Ruminococcus	1262952 Ruminococcus sp. CAG:177
meta_mOTU_v3_12236	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	54526 Pelagibacterales	1655514 Pelagibacteraceae	NA Pelagibacteraceae gen. incertae sedis	744985 alpha proteobacterium HIMB59
meta_mOTU_v3_12237	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12238	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Bacteria species incertae sedis
meta_mOTU_v3_12239	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	NA Ruminococcaceae gen. incertae sedis	NA Ruminococcaceae species incertae sedis
meta_mOTU_v3_12240	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	NA Lachnospiraceae gen. incertae sedis	NA Lachnospiraceae species incertae sedis
meta_mOTU_v3_12241	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	NA Rhodospirillales fam. incertae sedis	NA Rhodospirillales gen. incertae sedis	NA Rhodospirillales species incertae sedis
meta_mOTU_v3_12242	2 Bacteria	1239 Firmicutes	NA Firmicutes class incertae sedis	NA Firmicutes order incertae sedis	NA Firmicutes fam. incertae sedis	NA Firmicutes gen. incertae sedis	NA Firmicutes species incertae sedis
meta_mOTU_v3_12243	2 Bacteria	200795 Chloroflexi	301297 Dehalococcoidia	1202465 Dehalococcoidales	NA Dehalococcoidales fam. incertae sedis	NA Dehalococcoidales gen. incertae sedis	NA Dehalococcoidales species incertae sedis
meta_mOTU_v3_12244	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186804 Peptostreptococcaceae	NA Peptostreptococcaceae gen. incertae sedis	NA Peptostreptococcaceae species incertae sedis
meta_mOTU_v3_12245	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	1262771 Clostridium sp. CAG:1193
meta_mOTU_v3_12246	2 Bacteria	200795 Chloroflexi	301297 Dehalococcoidia	1202465 Dehalococcoidales	NA Dehalococcoidales fam. incertae sedis	NA Dehalococcoidales gen. incertae sedis	NA Dehalococcoidales species incertae sedis
meta_mOTU_v3_12247	NA Unknown cellular organism	NA Unknown cellular organism phylum incertae sedis	NA Unknown cellular organism class incertae sedis	NA Unknown cellular organism order incertae sedis	NA Unknown cellular organism fam. incertae sedis	NA Unknown cellular organism gen. incertae sedis	NA Unknown cellular organism species incertae sedis
meta_mOTU_v3_12248	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	1263 Ruminococcus	NA Ruminococcus species incertae sedis
meta_mOTU_v3_12249	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
meta_mOTU_v3_12250	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	54526 Pelagibacterales	1655514 Pelagibacteraceae	NA Pelagibacteraceae gen. incertae sedis	NA Pelagibacteraceae species incertae sedis
meta_mOTU_v3_12251	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12252	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12253	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12254	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12255	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	1262808 Clostridium sp. CAG:448
meta_mOTU_v3_12256	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12257	2 Bacteria	200795 Chloroflexi	301297 Dehalococcoidia	1202465 Dehalococcoidales	NA Dehalococcoidales fam. incertae sedis	NA Dehalococcoidales gen. incertae sedis	NA Dehalococcoidales species incertae sedis
meta_mOTU_v3_12258	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	NA Gammaproteobacteria species incertae sedis
meta_mOTU_v3_12259	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	NA Ruminococcaceae gen. incertae sedis	NA Ruminococcaceae species incertae sedis
meta_mOTU_v3_12260	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186806 Eubacteriaceae	1730 Eubacterium	NA Eubacterium species incertae sedis
meta_mOTU_v3_12261	2 Bacteria	1239 Firmicutes	NA Firmicutes class incertae sedis	NA Firmicutes order incertae sedis	NA Firmicutes fam. incertae sedis	NA Firmicutes gen. incertae sedis	NA Firmicutes species incertae sedis
meta_mOTU_v3_12262	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	NA Bacteroidales fam. incertae sedis	NA Bacteroidales gen. incertae sedis	NA Bacteroidales species incertae sedis
meta_mOTU_v3_12263	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	NA Bacteroidales fam. incertae sedis	NA Bacteroidales gen. incertae sedis	NA Bacteroidales species incertae sedis
meta_mOTU_v3_12264	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	NA Ruminococcaceae gen. incertae sedis	NA Ruminococcaceae species incertae sedis
meta_mOTU_v3_12265	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12266	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	1506577 Tyzzerella	NA Tyzzerella species incertae sedis
meta_mOTU_v3_12267	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	NA Gammaproteobacteria species incertae sedis
meta_mOTU_v3_12268	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Bacteria species incertae sedis
meta_mOTU_v3_12269	2 Bacteria	200795 Chloroflexi	301297 Dehalococcoidia	1202465 Dehalococcoidales	NA Dehalococcoidales fam. incertae sedis	NA Dehalococcoidales gen. incertae sedis	NA Dehalococcoidales species incertae sedis
meta_mOTU_v3_12270	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	1262779 Clostridium sp. CAG:217
meta_mOTU_v3_12271	2 Bacteria	1224 Proteobacteria	NA Proteobacteria class incertae sedis	NA Proteobacteria order incertae sedis	NA Proteobacteria fam. incertae sedis	NA Proteobacteria gen. incertae sedis	NA Proteobacteria species incertae sedis
meta_mOTU_v3_12272	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12273	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	815 Bacteroidaceae	NA Bacteroidaceae gen. incertae sedis	NA Bacteroidaceae species incertae sedis
meta_mOTU_v3_12274	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	NA Flavobacteriaceae gen. incertae sedis	NA Flavobacteriaceae species incertae sedis
meta_mOTU_v3_12275	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	1262841 Clostridium sp. CAG:798
meta_mOTU_v3_12276	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	1263 Ruminococcus	1262953 Ruminococcus sp. CAG:254
meta_mOTU_v3_12277	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12278	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	NA Prevotellaceae gen. incertae sedis	NA Prevotellaceae species incertae sedis
meta_mOTU_v3_12279	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	1262924 Prevotella sp. CAG:279
meta_mOTU_v3_12280	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Bacteria species incertae sedis
meta_mOTU_v3_12281	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
meta_mOTU_v3_12282	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	216572 Oscillospiraceae	459786 Oscillibacter	1897011 Oscillibacter sp. 57_20
meta_mOTU_v3_12283	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	54526 Pelagibacterales	1655514 Pelagibacteraceae	NA Pelagibacteraceae gen. incertae sedis	NA Pelagibacteraceae species incertae sedis
meta_mOTU_v3_12284	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12285	2 Bacteria	1239 Firmicutes	NA Firmicutes class incertae sedis	NA Firmicutes order incertae sedis	NA Firmicutes fam. incertae sedis	NA Firmicutes gen. incertae sedis	NA Firmicutes species incertae sedis
meta_mOTU_v3_12286	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	NA Ruminococcaceae gen. incertae sedis	NA Ruminococcaceae species incertae sedis
meta_mOTU_v3_12287	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12288	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12289	2 Bacteria	200795 Chloroflexi	301297 Dehalococcoidia	1202465 Dehalococcoidales	NA Dehalococcoidales fam. incertae sedis	NA Dehalococcoidales gen. incertae sedis	NA Dehalococcoidales species incertae sedis
meta_mOTU_v3_12290	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	543314 Clostridiales Family XIII. Incertae Sedis	86331 Mogibacterium	NA Mogibacterium species incertae sedis
meta_mOTU_v3_12291	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	NA Ruminococcaceae gen. incertae sedis	NA Ruminococcaceae species incertae sedis
meta_mOTU_v3_12292	2 Bacteria	544448 Tenericutes	31969 Mollicutes	2085 Mycoplasmatales	2092 Mycoplasmataceae	2093 Mycoplasma	1262905 Mycoplasma sp. CAG:611
meta_mOTU_v3_12293	2 Bacteria	1239 Firmicutes	NA Firmicutes class incertae sedis	NA Firmicutes order incertae sedis	NA Firmicutes fam. incertae sedis	NA Firmicutes gen. incertae sedis	NA Firmicutes species incertae sedis
meta_mOTU_v3_12294	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	54526 Pelagibacterales	1655514 Pelagibacteraceae	NA Pelagibacteraceae gen. incertae sedis	NA Pelagibacteraceae species incertae sedis
meta_mOTU_v3_12295	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	2005525 Tannerellaceae	375288 Parabacteroides	NA Parabacteroides species incertae sedis
meta_mOTU_v3_12296	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Bacteria species incertae sedis
meta_mOTU_v3_12297	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	1123866 SAR86 cluster bacterium SAR86A
meta_mOTU_v3_12298	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12299	2 Bacteria	74201 Verrucomicrobia	NA Verrucomicrobia class incertae sedis	NA Verrucomicrobia order incertae sedis	NA Verrucomicrobia fam. incertae sedis	NA Verrucomicrobia gen. incertae sedis	NA Verrucomicrobia species incertae sedis
meta_mOTU_v3_12300	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12301	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12302	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171551 Porphyromonadaceae	NA Porphyromonadaceae gen. incertae sedis	NA Porphyromonadaceae species incertae sedis
meta_mOTU_v3_12303	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	216851 Faecalibacterium	NA Faecalibacterium species incertae sedis
meta_mOTU_v3_12304	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12305	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	54526 Pelagibacterales	1655514 Pelagibacteraceae	NA Pelagibacteraceae gen. incertae sedis	NA Pelagibacteraceae species incertae sedis
meta_mOTU_v3_12306	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	1262774 Clostridium sp. CAG:127
meta_mOTU_v3_12307	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12308	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186806 Eubacteriaceae	1730 Eubacterium	1262884 Eubacterium sp. CAG:202
meta_mOTU_v3_12309	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12310	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Bacteria species incertae sedis
meta_mOTU_v3_12311	2 Bacteria	200795 Chloroflexi	NA Chloroflexi class incertae sedis	NA Chloroflexi order incertae sedis	NA Chloroflexi fam. incertae sedis	NA Chloroflexi gen. incertae sedis	NA Chloroflexi species incertae sedis
meta_mOTU_v3_12312	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	NA Bacteroidales fam. incertae sedis	NA Bacteroidales gen. incertae sedis	NA Bacteroidales species incertae sedis
meta_mOTU_v3_12313	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	NA Flavobacteriaceae gen. incertae sedis	NA Flavobacteriaceae species incertae sedis
meta_mOTU_v3_12314	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186806 Eubacteriaceae	1730 Eubacterium	NA Eubacterium species incertae sedis
meta_mOTU_v3_12315	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	NA Flavobacteriaceae gen. incertae sedis	NA Flavobacteriaceae species incertae sedis
meta_mOTU_v3_12316	2 Bacteria	201174 Actinobacteria	84998 Coriobacteriia	1643822 Eggerthellales	1643826 Eggerthellaceae	84111 Eggerthella	NA Eggerthella species incertae sedis
meta_mOTU_v3_12317	2 Bacteria	200795 Chloroflexi	NA Chloroflexi class incertae sedis	NA Chloroflexi order incertae sedis	NA Chloroflexi fam. incertae sedis	NA Chloroflexi gen. incertae sedis	NA Chloroflexi species incertae sedis
meta_mOTU_v3_12318	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12319	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	NA Alphaproteobacteria order incertae sedis	NA Alphaproteobacteria fam. incertae sedis	NA Alphaproteobacteria gen. incertae sedis	NA Alphaproteobacteria species incertae sedis
meta_mOTU_v3_12320	2 Bacteria	200795 Chloroflexi	301297 Dehalococcoidia	1202465 Dehalococcoidales	NA Dehalococcoidales fam. incertae sedis	NA Dehalococcoidales gen. incertae sedis	NA Dehalococcoidales species incertae sedis
meta_mOTU_v3_12321	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72273 Thiotrichales	135616 Piscirickettsiaceae	40222 Methylophaga	230105 Methylophaga aminisulfidivorans
meta_mOTU_v3_12322	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Bacteria species incertae sedis
meta_mOTU_v3_12323	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12324	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
meta_mOTU_v3_12325	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	216851 Faecalibacterium	NA Faecalibacterium species incertae sedis
meta_mOTU_v3_12326	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	NA Gammaproteobacteria species incertae sedis
meta_mOTU_v3_12327	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12328	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
meta_mOTU_v3_12329	2 Bacteria	1239 Firmicutes	526524 Erysipelotrichia	526525 Erysipelotrichales	128827 Erysipelotrichaceae	1573535 Holdemanella	1735 Holdemanella biformis
meta_mOTU_v3_12330	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	NA Actinobacteria order incertae sedis	NA Actinobacteria fam. incertae sedis	NA Actinobacteria gen. incertae sedis	1641811 Actinobacteria bacterium IMCC26207
meta_mOTU_v3_12331	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	216851 Faecalibacterium	NA Faecalibacterium species incertae sedis
meta_mOTU_v3_12332	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
meta_mOTU_v3_12333	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	NA Alphaproteobacteria order incertae sedis	NA Alphaproteobacteria fam. incertae sedis	NA Alphaproteobacteria gen. incertae sedis	NA Alphaproteobacteria species incertae sedis
meta_mOTU_v3_12334	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12335	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	NA Alphaproteobacteria order incertae sedis	NA Alphaproteobacteria fam. incertae sedis	NA Alphaproteobacteria gen. incertae sedis	NA Alphaproteobacteria species incertae sedis
meta_mOTU_v3_12336	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	580596 Butyricicoccus	NA Butyricicoccus species incertae sedis
meta_mOTU_v3_12337	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186804 Peptostreptococcaceae	NA Peptostreptococcaceae gen. incertae sedis	NA Peptostreptococcaceae species incertae sedis
meta_mOTU_v3_12338	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
meta_mOTU_v3_12339	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
meta_mOTU_v3_12340	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12341	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	NA Gammaproteobacteria species incertae sedis
meta_mOTU_v3_12342	2 Bacteria	200795 Chloroflexi	301297 Dehalococcoidia	1202465 Dehalococcoidales	NA Dehalococcoidales fam. incertae sedis	NA Dehalococcoidales gen. incertae sedis	NA Dehalococcoidales species incertae sedis
meta_mOTU_v3_12343	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	NA Alphaproteobacteria order incertae sedis	NA Alphaproteobacteria fam. incertae sedis	NA Alphaproteobacteria gen. incertae sedis	NA Alphaproteobacteria species incertae sedis
meta_mOTU_v3_12344	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Bacteria species incertae sedis
meta_mOTU_v3_12345	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	NA Alphaproteobacteria order incertae sedis	NA Alphaproteobacteria fam. incertae sedis	NA Alphaproteobacteria gen. incertae sedis	NA Alphaproteobacteria species incertae sedis
meta_mOTU_v3_12346	2 Bacteria	544448 Tenericutes	NA Tenericutes class incertae sedis	NA Tenericutes order incertae sedis	NA Tenericutes fam. incertae sedis	NA Tenericutes gen. incertae sedis	NA Tenericutes species incertae sedis
meta_mOTU_v3_12347	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	213118 Desulfobacterales	213119 Desulfobacteraceae	NA Desulfobacteraceae gen. incertae sedis	NA Desulfobacteraceae species incertae sedis
meta_mOTU_v3_12348	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
meta_mOTU_v3_12349	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Bacteria species incertae sedis
meta_mOTU_v3_12350	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
meta_mOTU_v3_12351	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12352	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	841 Roseburia	1897015 Roseburia sp. 40_7
meta_mOTU_v3_12353	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	216572 Oscillospiraceae	459786 Oscillibacter	NA Oscillibacter species incertae sedis
meta_mOTU_v3_12354	2759 Eukaryota	5204 Basidiomycota	1538075 Malasseziomycetes	162474 Malasseziales	742845 Malasseziaceae	55193 Malassezia	76773 Malassezia globosa
meta_mOTU_v3_12355	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	54526 Pelagibacterales	1655514 Pelagibacteraceae	NA Pelagibacteraceae gen. incertae sedis	NA Pelagibacteraceae species incertae sedis
