meta-mOTU_v2_ID	kingdom	phylum	class	order	family	genus	mOTU
ext_mOTU_v3_16425	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	NA Ruminococcaceae gen. incertae sedis	NA Ruminococcaceae species incertae sedis
ext_mOTU_v3_16426	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	NA Ruminococcaceae gen. incertae sedis	NA Ruminococcaceae species incertae sedis
ext_mOTU_v3_16427	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
ext_mOTU_v3_16428	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	NA Lachnospiraceae gen. incertae sedis	NA Lachnospiraceae species incertae sedis
ext_mOTU_v3_16429	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
ext_mOTU_v3_16430	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
ext_mOTU_v3_16431	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
ext_mOTU_v3_16432	2 Bacteria	1239 Firmicutes	186801 Clostridia	NA Clostridia order incertae sedis	NA Clostridia fam. incertae sedis	NA Clostridia gen. incertae sedis	NA Clostridia species incertae sedis
ext_mOTU_v3_16433	2 Bacteria	1239 Firmicutes	NA Firmicutes class incertae sedis	NA Firmicutes order incertae sedis	NA Firmicutes fam. incertae sedis	NA Firmicutes gen. incertae sedis	NA Firmicutes species incertae sedis
ext_mOTU_v3_16434	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
ext_mOTU_v3_16435	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
ext_mOTU_v3_16436	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	NA Ruminococcaceae gen. incertae sedis	NA Ruminococcaceae species incertae sedis
ext_mOTU_v3_16437	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
ext_mOTU_v3_16438	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
ext_mOTU_v3_16439	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	NA Lachnospiraceae gen. incertae sedis	NA Lachnospiraceae species incertae sedis
ext_mOTU_v3_16440	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
ext_mOTU_v3_16441	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
ext_mOTU_v3_16442	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	NA Lachnospiraceae gen. incertae sedis	NA Lachnospiraceae species incertae sedis
ext_mOTU_v3_16443	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
ext_mOTU_v3_16444	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
ext_mOTU_v3_16445	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
ext_mOTU_v3_16446	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
ext_mOTU_v3_16447	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	NA Lachnospiraceae gen. incertae sedis	NA Lachnospiraceae species incertae sedis
ext_mOTU_v3_16448	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
ext_mOTU_v3_16449	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	NA Ruminococcaceae gen. incertae sedis	NA Ruminococcaceae species incertae sedis
ext_mOTU_v3_16450	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
ext_mOTU_v3_16451	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	NA Ruminococcaceae gen. incertae sedis	NA Ruminococcaceae species incertae sedis
ext_mOTU_v3_16452	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	NA Lachnospiraceae gen. incertae sedis	NA Lachnospiraceae species incertae sedis
ext_mOTU_v3_16453	2 Bacteria	1239 Firmicutes	NA Firmicutes class incertae sedis	NA Firmicutes order incertae sedis	NA Firmicutes fam. incertae sedis	NA Firmicutes gen. incertae sedis	NA Firmicutes species incertae sedis
ext_mOTU_v3_16454	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	NA Ruminococcaceae gen. incertae sedis	NA Ruminococcaceae species incertae sedis
ext_mOTU_v3_16455	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	1263 Ruminococcus	NA Ruminococcus species incertae sedis
ext_mOTU_v3_16456	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16457	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	NA Bacteroidales fam. incertae sedis	NA Bacteroidales gen. incertae sedis	NA Bacteroidales species incertae sedis
ext_mOTU_v3_16458	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	NA Bacteroidales fam. incertae sedis	NA Bacteroidales gen. incertae sedis	NA Bacteroidales species incertae sedis
ext_mOTU_v3_16459	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	NA Bacteroidales fam. incertae sedis	NA Bacteroidales gen. incertae sedis	NA Bacteroidales species incertae sedis
ext_mOTU_v3_16460	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	NA Bacteroidales fam. incertae sedis	NA Bacteroidales gen. incertae sedis	NA Bacteroidales species incertae sedis
ext_mOTU_v3_16461	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	NA Bacteroidales fam. incertae sedis	NA Bacteroidales gen. incertae sedis	NA Bacteroidales species incertae sedis
ext_mOTU_v3_16462	2157 Archaea	28890 Euryarchaeota	183925 Methanobacteria	2158 Methanobacteriales	2159 Methanobacteriaceae	2172 Methanobrevibacter	NA Methanobrevibacter species incertae sedis
ext_mOTU_v3_16463	2157 Archaea	28890 Euryarchaeota	183925 Methanobacteria	2158 Methanobacteriales	2159 Methanobacteriaceae	2172 Methanobrevibacter	NA Methanobrevibacter species incertae sedis
ext_mOTU_v3_16464	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	NA Bacteroidales fam. incertae sedis	NA Bacteroidales gen. incertae sedis	NA Bacteroidales species incertae sedis
ext_mOTU_v3_16465	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	NA Lachnospiraceae gen. incertae sedis	NA Lachnospiraceae species incertae sedis
ext_mOTU_v3_16466	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	NA Lachnospiraceae gen. incertae sedis	NA Lachnospiraceae species incertae sedis
ext_mOTU_v3_16467	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16468	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
ext_mOTU_v3_16469	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
