Taxonomy	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__Archaea	0	0	0	0	0	0	0	0	0	10.7941120473193	1.05075719977278	0.0146921403907742	0.18906959681995	0.865656641199639	2.28613786822874	9.72783968865569	6.16682766713156	0.0045458408575178	0.000214924986097748	0.0069678290619964
k__Archaea|p__Halobacteriota	0	0	0	0	0	0	0	0	0	10.7941120473193	1.05075719977278	0.0146921403907742	0.18906959681995	0.865656641199639	2.28613786822874	9.72783968865569	6.16682766713156	0.0045458408575178	0.000214924986097748	0.0069678290619964
k__Archaea|p__Halobacteriota|c__Halobacteria	0	0	0	0	0	0	0	0	0	10.7941120473193	1.05075719977278	0.0146921403907742	0.18906959681995	0.865656641199639	2.28613786822874	9.72783968865569	6.16682766713156	0.0045458408575178	0.000214924986097748	0.0069678290619964
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales	0	0	0	0	0	0	0	0	0	10.7941120473193	1.05075719977278	0.0146921403907742	0.18906959681995	0.865656641199639	2.28613786822874	9.72783968865569	6.16682766713156	0.0045458408575178	0.000214924986097748	0.0069678290619964
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae	0	0	0	0	0	0	0	0	0	9.37938754194595	0.984453946208168	0.0139654876154479	0.177650837321303	0.319438272912755	0.918708433518924	8.17775128449833	6.10706462724202	0.0045458408575178	0.000167581441870105	0.00653979722591814
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum	0	0	0	0	0	0	0	0	0	2.69551905662117	0.156197541711713	0.00663606012850004	0.0505164117838202	0.115880502904703	0.150321823085569	2.44073857910161	1.42190148669889	0.0037908324679754	0.000101731444867348	0.00367900611108377
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Salinibaculum	0	0	0	0	0	0	0	0	0	0.716188802329987	0.199783653843247	0.000895060707222316	0.011252122939044	0.042874990314047	0.153812405578769	0.565138498065469	1.70754323306593	0	0	0.00126535640984852
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__PXRE01	0	0	0	0	0	0	0	0	0	1.41472450537331	0.0663032535646134	0.000726652775326251	0.011418759498647	0.546218368286884	1.36742943470981	1.55008840415736	0.0597630398895409	0	4.73435442276422e-05	0.000428031836078256
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__PXRE01|g__PXRE01	0	0	0	0	0	0	0	0	0	1.41472450537331	0.0663032535646134	0.000726652775326251	0.011418759498647	0.546218368286884	1.36742943470981	1.55008840415736	0.0597630398895409	0	4.73435442276422e-05	0.000428031836078256
k__Bacteria	1.73361189329202e-05	6.83361127549655e-06	2.95333203092721e-05	2.07517610477608e-05	1.08943112520135e-05	0	0	0	4.28766509434672e-06	3.67873839247557	2.22906324248167	0.230588695046897	0.0886767151063611	4.07614587185459	7.83536412213514	4.46531031700136	2.25521039041173	0.133561811684349	0.000212402497601635	0.050145524350112
