Taxa	CSM67UH7	CSM7KOON	CSM7KOOP	CSMAHYLR	HSM5MD5D	HSM5MD6Q	HSM5MD6W	HSM67VF3	HSM67VFX	HSM67VFZ	HSM67VGK	HSM67VI7	HSM67VI9	HSM67VIB	HSM6XRRJ	HSM6XRTG	HSM6XRUL	HSM6XRUN	HSM6XRVC	HSM6XRVK	HSM7CYXI	HSM7CYXO	HSM7CYZJ	HSM7CZ1A	HSM7CZ1C	HSM7CZ1E	HSM7CZ24	HSM7CZ28	HSM7CZ2A	HSM7J4HC	HSM7J4HW	HSM7J4HY	HSM7J4KO	HSM7J4LD	HSM7J4LN	HSM7J4NY	HSM7J4O5	HSM7J4R2	HSMA33NY	HSMA33SE	HSMA33SG	MSM6J2JR	MSM6J2JZ	MSM6J2K6	MSM6J2KA	MSM6J2QF	MSM6J2QH	MSM6J2RM	MSM6J2RU	MSM79H58	MSM79H5E	MSM79H5M	MSM79H5S	MSM79H5U	MSM79H6D	MSM79H6L	MSM79H83	MSM79H8H	MSM79H9A	MSM79HA7	MSM79HBL	MSM79HC8	MSM79HCP	MSM9VZGO	MSM9VZHB	MSM9VZHN	MSM9VZHP	MSM9VZHR	MSM9VZJZ	MSM9VZKE	MSM9VZL7	MSM9VZLJ	MSM9VZMI	MSM9VZMS	MSM9VZMW	MSM9VZNL	MSM9VZOI	MSM9VZOO	MSM9VZPT	MSMA26BB	MSMA26BF	MSMA26BH	MSMA26BJ	MSMA26BN	MSMA26BR	MSMA26BV	MSMA26DI	MSMAPC5H	MSMAPC6M	MSMAPC7T	MSMB4LZX	MSMB4LZZ	PSM6XBTR	PSM7J154	PSM7J15M	PSM7J17V	PSM7J19P	PSM7J19R	PSM7J1DL	PSMA265L
k__archaea	0.00336125693472366	0.0126556855440576	0.0130424045745956	0.0100133256771525	0.00329788664157478	0.00224230427981144	0.000383824692911042	0.000283953369177714	0.00778192667314721	0.00379175621285285	0.0013997494899945	0.00396112441830317	0.00672294885492014	0.0754397062056743	0.00392687368393213	0.000669976017339972	0.0025789435310067	0.00165792133579784	0.0039773688869913	0.00544645109796603	0	0.000302870913388005	0.00920979922637686	0.0063475335874139	0.0234880050439583	0.00201131298439272	0.0791217650476691	0.0667599587470755	0.137777873123325	0.0044682681041472	0.130505154463756	0.0102677511566205	0.000341966336833802	0.000616319460674767	0.00259241166974476	0.154890752039876	0.126186554347526	0.0076149654723271	0.00224779630241318	0.00816464442283846	0.00259406496465123	0.000662159656693191	0.00884265881128075	0.0197194677568848	0.0224434898808339	0.00225508801565842	0.00142206706209707	0.00709677727157594	0.0139376611302754	0.0707852269181345	0.0246465601623863	0.0531075154456223	0.00263914067246762	0.00265733610779278	0.0252032261320387	0.0953920219173072	0.003293416303979	0.00590762954809743	0.112601111432981	0.0332325448273797	0.0142288086891131	0.0150105732589288	0.00754964869653967	0.0607541634164707	0.0250171234504876	0.0054568600800782	0.00848106549605111	0.00667756370264574	0.0105236322397949	0.00483808584482993	0.00848652537357717	0.554379410943473	0.00815749220074056	0.00545081037214731	0.007858364372401	0.0167037043471056	0.00214783804014214	0.00159818214045987	0.0827827181842569	0.0116850701907214	0.00693849284293055	0.00687201610149644	0.00924300374610121	0.00889723327005019	0.00309423332891546	0.00623000638445863	0.00937772547418403	0.00300285370534249	0.0102891007688034	0.00302477154052239	0.00897492360900991	0.00751626639776614	0.0031000990872222	0.00299562107555914	0.00250954883331075	0.00500133988598973	0.00415457963094074	0.0087290689778528	0.00317121931451452	0.00807916438266256
k__archaea|p__candidatus_lokiarchaeota	8.11897810319725e-05	0.000107181701676058	0	0.000119854823121521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.79791382943338e-05	0	0	0	0	0	7.48943010967522e-05	0	0	7.60450606527799e-05	0	0	0	0	0	0	0	0.000108573357661486	0	0	0	0	0	0.000148648086196431	7.86713417373732e-05	0	0.000119769587268014	0	0	0	0.000114870833491281	7.67818927412241e-05	0	0.000140682160120854	0	0	0.000143905012370373	0.000113344537230941	0	0	0	0.000189900256156456	0	0	0	0.000199478338126885	0	6.09024562508728e-05	0.000176919228079293	9.95300822887576e-05	0.000256929735799677	0	0.000161956591098801	0.000207970267954285	0.000147970894220572	0	0	0.000114539686951582	0	0	0	0.000190751540764804	0	0.000117637936116915	0.000249292632156257	0	0	0.000142770979643844	0.000108592354539765	0	0.000194300615376544	0	0	0	0	0	0.000212346439741679	0.000146435627292492	0	0	0	0.000261898256019513
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	8.11897810319725e-05	0.000107181701676058	0	0.000119854823121521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.79791382943338e-05	0	0	0	0	0	7.48943010967522e-05	0	0	7.60450606527799e-05	0	0	0	0	0	0	0	0.000108573357661486	0	0	0	0	0	0.000148648086196431	7.86713417373732e-05	0	0.000119769587268014	0	0	0	0.000114870833491281	7.67818927412241e-05	0	0.000140682160120854	0	0	0.000143905012370373	0.000113344537230941	0	0	0	0.000189900256156456	0	0	0	0.000199478338126885	0	6.09024562508728e-05	0.000176919228079293	9.95300822887576e-05	0.000256929735799677	0	0.000161956591098801	0.000207970267954285	0.000147970894220572	0	0	0.000114539686951582	0	0	0	0.000190751540764804	0	0.000117637936116915	0.000249292632156257	0	0	0.000142770979643844	0.000108592354539765	0	0.000194300615376544	0	0	0	0	0	0.000212346439741679	0.000146435627292492	0	0	0	0.000261898256019513
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	8.11897810319725e-05	0.000107181701676058	0	0.000119854823121521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.79791382943338e-05	0	0	0	0	0	7.48943010967522e-05	0	0	7.60450606527799e-05	0	0	0	0	0	0	0	0.000108573357661486	0	0	0	0	0	0.000148648086196431	7.86713417373732e-05	0	0.000119769587268014	0	0	0	0.000114870833491281	7.67818927412241e-05	0	0.000140682160120854	0	0	0.000143905012370373	0.000113344537230941	0	0	0	0.000189900256156456	0	0	0	0.000199478338126885	0	6.09024562508728e-05	0.000176919228079293	9.95300822887576e-05	0.000256929735799677	0	0.000161956591098801	0.000207970267954285	0.000147970894220572	0	0	0.000114539686951582	0	0	0	0.000190751540764804	0	0.000117637936116915	0.000249292632156257	0	0	0.000142770979643844	0.000108592354539765	0	0.000194300615376544	0	0	0	0	0	0.000212346439741679	0.000146435627292492	0	0	0	0.000261898256019513
k__archaea|p__candidatus_micrarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.96984080186624e-05	0	0	0	0	0	0	0	0	0	0	8.71398880586475e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102314298269712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000244301111072405	0	0	0	0	5.72790558273181e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75659675284039e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72790558273181e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72790558273181e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72790558273181e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72790558273181e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum|s__candidatus_micrarchaeum_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72790558273181e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.96984080186624e-05	0	0	0	0	0	0	0	0	0	0	8.71398880586475e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102314298269712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000244301111072405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75659675284039e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum|s__candidatus_mancarchaeum_acidiphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.96984080186624e-05	0	0	0	0	0	0	0	0	0	0	8.71398880586475e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102314298269712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000244301111072405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75659675284039e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.93958688939987e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.93958688939987e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.93958688939987e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.93958688939987e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.93958688939987e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium|s__candidatus_nanohalobium_constans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.93958688939987e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota	0.000194855474476734	0.000272076627331532	0.000611610933157041	0.000239709646243042	0.000363326494410781	0	0	0	0.000131897062256732	0.000174179614017975	0	0.000105395771662169	0.00138007747754959	0.0648548469403807	0.000346853196057097	0	0	0.000147007803174192	0.00041165188188977	0.000121032246621467	0	0	0.000476053240329619	0.0003982766172495	0.000172833002530966	0	0.0747122450187243	0.0590489895968836	0.134319818208772	8.3389140357335e-05	0.117219169424841	0.0082741395741802	0	0	0.000196064748131957	0.140566307052404	0.122452147572679	0.000674817413896061	0.000123819287844794	0.000341561954937731	0	0.00010810769905195	0.00408304263616967	0.0142667146720549	0.0108857247094706	0	0	0.000428300538162337	0.00209160642648707	0.0021575711860284	0.00847818883860206	0.00853045461823722	0	0	0.0104455190013667	0.0849076522234452	6.17812582276003e-05	0.000181374591388956	0.0493386964712215	0.0211232384931364	0.00201051919836686	0.000621298562041756	0.000227057103655328	0.00113615923020095	0.00106560486519115	9.13536843763092e-05	0.000265378842118939	0.000370975761258096	7.86519599386766e-05	0.000175930394357452	0.000183550803245308	0.00191024542417269	0	0.000186207807744163	9.71258517937202e-05	0.00063951325214633	0	0	0.000680163652816177	0.000239977744833141	0.000413117300526311	0.000147047420146144	0.000162999028717552	0.0003833107953957	0.000206282221927697	0.000584063098542996	0.000659310723991433	0	0.000264955384604379	0	0.00031557396656153	0.000124716809697447	0	0.000150667332202678	0	0.000112642790224994	5.40193569034847e-05	0.000464122276941049	0	0.000103172040250111
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata	0.000194855474476734	0.000272076627331532	0.000611610933157041	0.000239709646243042	0.000363326494410781	0	0	0	0.000131897062256732	0.000174179614017975	0	0.000105395771662169	0.00138007747754959	0.0648548469403807	0.000346853196057097	0	0	0.000147007803174192	0.00041165188188977	0.000121032246621467	0	0	0.000476053240329619	0.0003982766172495	0.000172833002530966	0	0.0747122450187243	0.0590489895968836	0.134319818208772	8.3389140357335e-05	0.117219169424841	0.0082741395741802	0	0	0.000196064748131957	0.140566307052404	0.122452147572679	0.000674817413896061	0.000123819287844794	0.000341561954937731	0	0.00010810769905195	0.00408304263616967	0.0142667146720549	0.0108857247094706	0	0	0.00021686103198093	0.00209160642648707	0.0021575711860284	0.00847818883860206	0.00846011353817679	0	0	0.0104455190013667	0.0849076522234452	6.17812582276003e-05	0.000181374591388956	0.0493386964712215	0.0210346183735967	0.00201051919836686	0.000621298562041756	0.000149006224273809	0.00113615923020095	0.00106560486519115	9.13536843763092e-05	0.000265378842118939	0.000370975761258096	7.86519599386766e-05	0.000175930394357452	0.000183550803245308	0.00181011159145396	0	0.000186207807744163	9.71258517937202e-05	0.00063951325214633	0	0	0.000680163652816177	0.000239977744833141	0.000413117300526311	0.000147047420146144	0.000162999028717552	0.0003833107953957	0.000206282221927697	0.000584063098542996	0.000659310723991433	0	0.000264955384604379	0	0.00031557396656153	0.000124716809697447	0	0.000150667332202678	0	0.000112642790224994	5.40193569034847e-05	0.000464122276941049	0	0.000103172040250111
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales	0.000194855474476734	0.000272076627331532	0.000611610933157041	0.000239709646243042	0.000363326494410781	0	0	0	0.000131897062256732	0.000107187454780293	0	0.000105395771662169	0.00138007747754959	0.0648548469403807	0	0	0	0.000147007803174192	0.000150745759565268	0.000121032246621467	0	0	0.000384504540266231	0.000313642836083981	0.000172833002530966	0	0.0747122450187243	0.0590489895968836	0.134319818208772	8.3389140357335e-05	0.117219169424841	0.0082741395741802	0	0	0.000196064748131957	0.140566307052404	0.122452147572679	0.000127982612980287	0.000123819287844794	0.000341561954937731	0	0.00010810769905195	0.00408304263616967	0.0142667146720549	0.0108857247094706	0	0	0.000119273567589512	0.00209160642648707	0.0021575711860284	0.00847818883860206	0.00846011353817679	0	0	0.0100931998331496	0.0849076522234452	6.17812582276003e-05	0.000181374591388956	0.0493386964712215	0.0209713182882112	0.00201051919836686	0.000621298562041756	0.000149006224273809	0.00113615923020095	0.00106560486519115	9.13536843763092e-05	0.000265378842118939	0.000370975761258096	7.86519599386766e-05	0.000175930394357452	0.000183550803245308	0.00181011159145396	0	0.000186207807744163	9.71258517937202e-05	0.000439068799981063	0	0	0.000680163652816177	0.000239977744833141	0.000413117300526311	0.000147047420146144	0.000162999028717552	0.0003833107953957	0.000206282221927697	0.000584063098542996	0.000318020466866456	0	0.000264955384604379	0	0.00031557396656153	0.000124716809697447	0	0.000150667332202678	0	0.000112642790224994	5.40193569034847e-05	0.000464122276941049	0	0.000103172040250111
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae	0.000105546715341564	0.000140160686807153	0.000119144986978644	0.000130750716132568	0.000195637343144267	0	0	0	0.000131897062256732	0.000107187454780293	0	0.000105395771662169	0.000152794292157276	7.4760630478825e-05	0	0	0	0.000147007803174192	0.000150745759565268	0.000121032246621467	0	0	0.000164787660114099	0.000233987512634081	0.000172833002530966	0	0	0.000106463084913892	0.000117403098950854	0	0.000120312930494704	0	0	0	0.000196064748131957	0.000275052506075765	0	0.000127982612980287	0.000123819287844794	0	0	0.00010810769905195	8.65384759111105e-05	9.06902799971705e-05	0.000212923710698691	0	0	6.5058309594279e-05	0.000229741666982561	0.000591220574107426	0.00609518167344067	0.00624117219445242	0	0	0.000153829495982122	7.55630248206275e-05	6.17812582276003e-05	0.000181374591388956	0.000382902258489796	0.00021522029031065	0	0.000165679616544468	0.000149006224273809	0.000711183640278458	0.000639362919114689	9.13536843763092e-05	0.000265378842118939	0.000370975761258096	7.86519599386766e-05	0.000108264858066124	0	0.00118620078759111	0	0	0	0.000181354504340004	0	0	0.000367288372520736	0.000135372061187926	0.000262892827607653	0	0	0.00030222581944661	0.000206282221927697	0.000272562779320065	0.00020167151557385	0	8.83184615347929e-05	0	0.000151475503949534	0	0	0.000150667332202678	0	0	0	0.000116030569235262	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus	0.000105546715341564	0.000140160686807153	0.000119144986978644	0.000130750716132568	0.000195637343144267	0	0	0	0.000131897062256732	0.000107187454780293	0	0.000105395771662169	0.000152794292157276	7.4760630478825e-05	0	0	0	0.000147007803174192	0.000150745759565268	0.000121032246621467	0	0	0.000164787660114099	0.000233987512634081	0.000172833002530966	0	0	0.000106463084913892	0.000117403098950854	0	0.000120312930494704	0	0	0	0.000196064748131957	0.000275052506075765	0	0.000127982612980287	0.000123819287844794	0	0	0.00010810769905195	8.65384759111105e-05	9.06902799971705e-05	0.000212923710698691	0	0	6.5058309594279e-05	0.000229741666982561	0.000591220574107426	0.00609518167344067	0.00624117219445242	0	0	0.000153829495982122	7.55630248206275e-05	6.17812582276003e-05	0.000181374591388956	0.000382902258489796	0.00021522029031065	0	0.000165679616544468	0.000149006224273809	0.000711183640278458	0.000639362919114689	9.13536843763092e-05	0.000265378842118939	0.000370975761258096	7.86519599386766e-05	0.000108264858066124	0	0.00118620078759111	0	0	0	0.000181354504340004	0	0	0.000367288372520736	0.000135372061187926	0.000262892827607653	0	0	0.00030222581944661	0.000206282221927697	0.000272562779320065	0.00020167151557385	0	8.83184615347929e-05	0	0.000151475503949534	0	0	0.000150667332202678	0	0	0	0.000116030569235262	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus|s__candidatus_methanomethylophilus_alvus	0.000105546715341564	0.000140160686807153	0.000119144986978644	0.000130750716132568	0.000195637343144267	0	0	0	0.000131897062256732	0.000107187454780293	0	0.000105395771662169	0.000152794292157276	7.4760630478825e-05	0	0	0	0.000147007803174192	0.000150745759565268	0.000121032246621467	0	0	0.000164787660114099	0.000233987512634081	0.000172833002530966	0	0	0.000106463084913892	0.000117403098950854	0	0.000120312930494704	0	0	0	0.000196064748131957	0.000275052506075765	0	0.000127982612980287	0.000123819287844794	0	0	0.00010810769905195	8.65384759111105e-05	9.06902799971705e-05	0.000212923710698691	0	0	6.5058309594279e-05	0.000229741666982561	0.000591220574107426	0.00609518167344067	0.00624117219445242	0	0	0.000153829495982122	7.55630248206275e-05	6.17812582276003e-05	0.000181374591388956	0.000382902258489796	0.00021522029031065	0	0.000165679616544468	0.000149006224273809	0.000711183640278458	0.000639362919114689	9.13536843763092e-05	0.000265378842118939	0.000370975761258096	7.86519599386766e-05	0.000108264858066124	0	0.00118620078759111	0	0	0	0.000181354504340004	0	0	0.000367288372520736	0.000135372061187926	0.000262892827607653	0	0	0.00030222581944661	0.000206282221927697	0.000272562779320065	0.00020167151557385	0	8.83184615347929e-05	0	0.000151475503949534	0	0	0.000150667332202678	0	0	0	0.000116030569235262	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae	8.93087591351697e-05	0.000131915940524379	0.000492465946178397	0.000108958930110473	0.000167689151266514	0	0	0	0	0	0	0	0.00122728318539231	0.0647800863099019	0	0	0	0	0	0	0	0	0.000219716880152132	7.96553234498999e-05	0	0	0.0747122450187243	0.0589425265119697	0.134202415109822	8.3389140357335e-05	0.117098856494346	0.0082741395741802	0	0	0	0.140291254546328	0.122452147572679	0	0	0.000341561954937731	0	0	0.00399650416025856	0.0141760243920577	0.0106728009987719	0	0	5.42152579952325e-05	0.00186186475950451	0.00156635061192097	0.00237351311271054	0.00221254670008252	0	0	0.00993937033716746	0.0848320891986245	0	0	0.0489557942127317	0.0207560979979006	0.00201051919836686	0.000455618945497288	0	0.000424975589922493	0.000426241946076459	0	0	0	0	6.76655362913277e-05	0.000183550803245308	0.00061620820134603	0	0.000186207807744163	9.71258517937202e-05	0.000257714295641059	0	0	0.000312875280295441	0.000104605683645215	0.000150224472918659	0.000147047420146144	0.000162999028717552	8.10849759490904e-05	0	0.000311500319222931	0.000116348951292606	0	0.000176636923069586	0	0.000164098462611996	0.000124716809697447	0	0	0	0.000112642790224994	5.40193569034847e-05	0.000348091707705786	0	0.000103172040250111
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma	8.93087591351697e-05	0.000131915940524379	0.000333605963540204	0	0.000167689151266514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.15487000633883e-05	7.96553234498999e-05	0	0	0	0	0	8.3389140357335e-05	0	0	0	0	0	0	0	0	0	7.2253490467597e-05	0	0	0	0	9.98079893900115e-05	0	0	0	7.65805556608538e-05	0	0.0021171736965378	0.00202070739082681	0	0	0.000104207077923373	0	0	0	0	0.000101280136616776	0	0.00031479127143449	0	0.000286208050355965	0.000295090578052933	0	0	0	0	0	0	0.000508371766110475	0	0	0	0.000162264556514741	0	0	0	0	0	0	0	0	0	0.00018170851954671	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma|s__candidatus_methanoplasma_termitum	8.93087591351697e-05	0.000131915940524379	0.000333605963540204	0	0.000167689151266514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.15487000633883e-05	7.96553234498999e-05	0	0	0	0	0	8.3389140357335e-05	0	0	0	0	0	0	0	0	0	7.2253490467597e-05	0	0	0	0	9.98079893900115e-05	0	0	0	7.65805556608538e-05	0	0.0021171736965378	0.00202070739082681	0	0	0.000104207077923373	0	0	0	0	0.000101280136616776	0	0.00031479127143449	0	0.000286208050355965	0.000295090578052933	0	0	0	0	0	0	0.000508371766110475	0	0	0	0.000162264556514741	0	0	0	0	0	0	0	0	0	0.00018170851954671	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__methanomassiliicoccus	0	0	0.000158859982638193	0.000108958930110473	0	0	0	0	0	0	0	0	0.00122728318539231	0.0647800863099019	0	0	0	0	0	0	0	0	0.000128168180088744	0	0	0	0.0747122450187243	0.0589425265119697	0.134202415109822	0	0.117098856494346	0.0082741395741802	0	0	0	0.140291254546328	0.122452147572679	0	0	0.000269308464470134	0	0	0.00399650416025856	0.0141760243920577	0.0105729930093819	0	0	5.42152579952325e-05	0.00178528420384365	0.00156635061192097	0.000256339416172739	0.00019183930925571	0	0	0.00983516325924409	0.0848320891986245	0	0	0.0489557942127317	0.0206548178612838	0.00201051919836686	0.000140827674062798	0	0.000138767539566528	0.000131151368023526	0	0	0	0	6.76655362913277e-05	0.000183550803245308	0.000107836435235555	0	0.000186207807744163	9.71258517937202e-05	9.5449739126318e-05	0	0	0.000312875280295441	0.000104605683645215	0.000150224472918659	0.000147047420146144	0.000162999028717552	8.10849759490904e-05	0	0.000129791799676221	0.000116348951292606	0	0.000176636923069586	0	0.000164098462611996	0.000124716809697447	0	0	0	0.000112642790224994	5.40193569034847e-05	0.000348091707705786	0	0.000103172040250111
