#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reERR5004807_taxonomic_profile	reERR5004806_taxonomic_profile	reERR5004804_taxonomic_profile	reERR5004803_taxonomic_profile	reERR5004799_taxonomic_profile	reERR5004798_taxonomic_profile	reERR5004796_taxonomic_profile	reERR5004793_taxonomic_profile	reERR5004790_taxonomic_profile	reERR5004789_taxonomic_profile	reERR5004787_taxonomic_profile	reERR5004410_taxonomic_profile	reERR5004409_taxonomic_profile	reERR5004408_taxonomic_profile	reERR5004407_taxonomic_profile	reERR5004406_taxonomic_profile	reERR5004405_taxonomic_profile	reERR5004404_taxonomic_profile	reERR5004403_taxonomic_profile	reERR5004402_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogranum|s__Halogranum_gelatinilyticum	2157|28890|183963|1644055|1644056|695982|660521	0	0	0	1.4640794376626194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus	2157|28890|183963|1644055|1644056|376170	0	0	0	0	0	0	0	0	0	0	0.02474715378116989	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae	2157|28890|183963|1644055|1963271	0	0	0	1.4537706637335146	2.6477262482280346	0	0.014629399963253143	0	0	0.3288343200870216	1.4730234659837655	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halolamina	2157|28890|183963|1644055|1963271|1075397	0	0	0	0	0	0	0	0	0	0	0.010673978478142462	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halopenitus	2157|28890|183963|1644055|1963271|1209988	0	0	0	0	0	0	0	0	0	0	0.005926459243386645	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum	2157|28890|183963|1644055|1963271|56688	0	0	0	0.5777710007542564	2.6477262482280346	0	0.014629399963253143	0	0	0	1.3071461255694043	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_arcis	2157|28890|183963|1644055|1963271|56688|368454	0	0	0	0.020192143838709462	0	0	0	0	0	0	0.0199346725459385	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_californiense	2157|28890|183963|1644055|1963271|56688|416585	0	0	0	0.05048153909035821	0.01744030177296244	0	0	0	0	0	0.06625113528501379	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_chaoviator	2157|28890|183963|1644055|1963271|56688|335819	0	0	0	0	0	0	0	0	0	0	0.07563597895371871	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_distributum	2157|28890|183963|1644055|1963271|56688|29283	0	0	0	0.1772417146236406	0.5196795397114913	0	0.002627688874131727	0	0	0	0.16447801080411678	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_ezzemoulense	2157|28890|183963|1644055|1963271|56688|337243	0	0	0	0	0.029067836070523517	0	0	0	0	0	0.0336378050462569	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_hochstenium	2157|28890|183963|1644055|1963271|56688|1227480	0	0	0	0	0	0	0.012001896254992327	0	0	0	0.0014580360106740448	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_litoreum	2157|28890|183963|1644055|1963271|56688|409316	0	0	0	0	0.11637864255812475	0	0	0	0	0	0.1759868712883713	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_saccharovorum	2157|28890|183963|1644055|1963271|56688|2248	0	0	0	0.32985560320154816	1.344158826282343	0	0	0	0	0	0.5519898172410277	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_terrestre	2157|28890|183963|1644055|1963271|56688|267368	0	0	0	0	0.3106058498455672	0	0	0	0	0	0.04788902435058776	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_tropicale	2157|28890|183963|1644055|1963271|56688|1765655	0	0	0	0	0.310395918435942	0	0	0	0	0	0.08633642343205493	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Salinigranum	2157|28890|183963|1644055|1963271|1644057	0	0	0	0.8759996629792582	0	0	0	0	0	0.3288343200870216	0.14927690269283195	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Salinigranum|s__Salinigranum_rubrum	2157|28890|183963|1644055|1963271|1644057|755307	0	0	0	0.8759996629792582	0	0	0	0	0	0.3288343200870216	0.14927690269283195	0	0	0	0	0	0	0	0	0
k__Bacteria	2	0	0	0	1.3637454227270047	0	0	0	0	0	0	0.023400274971309608	0.022516176707913903	0	0	0.2584606754641504	0	0.18389811483201246	0.2850428195636733	0.1973450775328781	0.11251479822621964
k__Bacteria|p__Balneolaeota	2|1936987	0	0	0	0	0	0	0	0	0	0	0.001534065611230645	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Balneolaeota|c__Balneolia	2|1936987|1853221	0	0	0	0	0	0	0	0	0	0	0.001534065611230645	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Balneolaeota|c__Balneolia|o__Balneolales	2|1936987|1853221|1853223	0	0	0	0	0	0	0	0	0	0	0.001534065611230645	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Balneolaeota|c__Balneolia|o__Balneolales|f__Balneolaceae	2|1936987|1853221|1853223|1813606	0	0	0	0	0	0	0	0	0	0	0.001534065611230645	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Balneolaeota|c__Balneolia|o__Balneolales|f__Balneolaceae|g__Aliifodinibius	2|1936987|1853221|1853223|1813606|1397107	0	0	0	0	0	0	0	0	0	0	0.001534065611230645	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria	2|1224	0	0	0	1.3637454227270047	0	0	0	0	0	0	0.021866209360078964	0.022516176707913903	0	0	0.2584606754641504	0	0.16046805568218125	0.2850428195636733	0.1973450775328781	0.06605932956128248
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0	0	0	0	0	0	0	0	0	0	0.004056516029697093	0	0	0	0.2584606754641504	0	0.16046805568218125	0.2850428195636733	0.1973450775328781	0.06605932956128248
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0	0	0	0	0	0	0	0	0	0	0.004056516029697093	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae	2|1224|28211|204441|41295	0	0	0	0	0	0	0	0	0	0	0.004056516029697093	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Limimonas	2|1224|28211|204441|41295|1434015	0	0	0	0	0	0	0	0	0	0	0.004056516029697093	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0	0	0	1.3637454227270047	0	0	0	0	0	0	0.01780969333038187	0.022516176707913903	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	2|1224|1236|135622	0	0	0	1.3637454227270047	0	0	0	0	0	0	0.01780969333038187	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae	2|1224|1236|135622|72275	0	0	0	1.3637454227270047	0	0	0	0	0	0	0.01780969333038187	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter	2|1224|1236|135622|72275|2742	0	0	0	1.3637454227270047	0	0	0	0	0	0	0.01780969333038187	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|s__Marinobacter_adhaerens	2|1224|1236|135622|72275|2742|1033846	0	0	0	1.2546344028641079	0	0	0	0	0	0	0.013242142896943577	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|s__Marinobacter_flavimaris	2|1224|1236|135622|72275|2742|262076	0	0	0	0.0441468722121837	0	0	0	0	0	0	0.0036277668265582907	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|s__Marinobacter_persicus	2|1224|1236|135622|72275|2742|930118	0	0	0	0.06496414765071301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__Myohalovirus	10239|||28883|10662|169682	0	0	0	0	0	0	0	0	0	0	0.05174343637880528	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	0	0	0	2.1505871656489366	2.3983850482003097	2.264522660838732	0.6856034861080591	0.30775627476939715	0	2.9737562565307223	0.5063263429067328	0.111791290180398	0	0	0	0	0	0	0	0.05779956380772318
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified	10239|||28883|10699|	0	0	0	2.1505871656489366	2.3983850482003097	2.264522660838732	0.6856034861080591	0.30775627476939715	0	2.9737562565307223	0.5063263429067328	0.111791290180398	0	0	0	0	0	0	0	0.05779956380772318
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Archaeal_BJ1_virus	10239|||28883|10699||416419	0	0	0	2.1505871656489366	2.3983850482003097	2.264522660838732	0.6856034861080591	0.30775627476939715	0	2.9737562565307223	0.5063263429067328	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified|g__Viruses_unclassified|s__Halorubrum_phage_CGphi46	10239||||||754066	0	0	0	0.30781479975129594	0.5802304227366079	0	0	0	0	0	0.1657324992133007	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified|g__Viruses_unclassified|s__Halovirus_HRTV_4	10239||||||1273752	0	0	0	0.4672524518804445	0	0	0	0.2650993832974008	0	0	0.07102704531997746	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified|g__Viruses_unclassified|s__Halovirus_HRTV_8	10239||||||1273755	0	0	0	0.3702477541695308	0	0	0	0	0	0	0.43876393761211946	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_californiae	2157|28890|183963|2235|1963268|2237|244363	0	0	0	0	0	0	0	0	0	0	0.0012958716094868654	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_marismortui	2157|28890|183963|2235|1963268|2237|2238	0	0	0	0	0	0	0	0	0	0	0.008339677261053422	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_vallismortis	2157|28890|183963|2235|1963268|2237|28442	0	0	0	0	0	0	0	0	0	0	0.0010124448074119439	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarchaeobius|s__Haloarchaeobius_iranensis	2157|28890|183963|2235|2236|1269031|996166	0	0	0	0	0	0	0	0	0	0	0.010681196478195305	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halobellus|s__Halobellus_limi	2157|28890|183963|1644055|1644056|1073986|699433	0	0	0	0	0	0	0	0	0	0	0.04350962311852688	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferax|s__Haloferax_alexandrinus	2157|28890|183963|1644055|1644056|2251|114529	0	0	0	0	0	0	0	0	0	0	0.0012198420089302652	0	0	0	0	0	0	0	0	0
