Taxonomy	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__Archaea	0	0	0	0	0	0	0	0	0	10.7941120473193	1.05075719977278	0.0146921403907742	0.18906959681995	0.865656641199639	2.28613786822874	9.72783968865569	6.16682766713156	0.0045458408575178	0.000214924986097748	0.0069678290619964
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	10.7941120473193	1.05075719977278	0.0146921403907742	0.18906959681995	0.865656641199639	2.28613786822874	9.72783968865569	6.16682766713156	0.0045458408575178	0.000214924986097748	0.0069678290619964
k__Archaea|p__Euryarchaeota|c__CFGB10527	0	0	0	0	0	0	0	0	0	4.64657699758106	0.773527949070303	0.00429732983617626	0.099729639566087	0.150857286316595	0.438775467708678	3.69033163342256	4.09185183595524	0	0	0.00206699347863681
k__Archaea|p__Euryarchaeota|c__CFGB10527|o__OFGB10527	0	0	0	0	0	0	0	0	0	4.64657699758106	0.773527949070303	0.00429732983617626	0.099729639566087	0.150857286316595	0.438775467708678	3.69033163342256	4.09185183595524	0	0	0.00206699347863681
k__Archaea|p__Euryarchaeota|c__CFGB10527|o__OFGB10527|f__FGB10527	0	0	0	0	0	0	0	0	0	4.64657699758106	0.773527949070303	0.00429732983617626	0.099729639566087	0.150857286316595	0.438775467708678	3.69033163342256	4.09185183595524	0	0	0.00206699347863681
k__Archaea|p__Euryarchaeota|c__CFGB11904	0	0	0	0	0	0	0	0	0	2.03729148774372	0.0547284554261518	0.00303209765077162	0.0274047859713957	0.0527004836914575	0.329611142724677	2.04668107197416	0.59331130458789	0.0007550083895424	6.58499970027571e-05	0.000793797636197561
k__Archaea|p__Euryarchaeota|c__CFGB11904|o__OFGB11904	0	0	0	0	0	0	0	0	0	2.03729148774372	0.0547284554261518	0.00303209765077162	0.0274047859713957	0.0527004836914575	0.329611142724677	2.04668107197416	0.59331130458789	0.0007550083895424	6.58499970027571e-05	0.000793797636197561
k__Archaea|p__Euryarchaeota|c__CFGB11904|o__OFGB11904|f__FGB11904	0	0	0	0	0	0	0	0	0	2.03729148774372	0.0547284554261518	0.00303209765077162	0.0274047859713957	0.0527004836914575	0.329611142724677	2.04668107197416	0.59331130458789	0.0007550083895424	6.58499970027571e-05	0.000793797636197561
k__Archaea|p__Euryarchaeota|c__CFGB12732	0	0	0	0	0	0	0	0	0	1.41472450537331	0.0663032535646134	0.000726652775326251	0.011418759498647	0.546218368286884	1.36742943470981	1.55008840415736	0.0597630398895409	0	4.73435442276422e-05	0.000428031836078256
k__Archaea|p__Euryarchaeota|c__CFGB12732|o__OFGB12732	0	0	0	0	0	0	0	0	0	1.41472450537331	0.0663032535646134	0.000726652775326251	0.011418759498647	0.546218368286884	1.36742943470981	1.55008840415736	0.0597630398895409	0	4.73435442276422e-05	0.000428031836078256
k__Archaea|p__Euryarchaeota|c__CFGB12732|o__OFGB12732|f__FGB12732	0	0	0	0	0	0	0	0	0	1.41472450537331	0.0663032535646134	0.000726652775326251	0.011418759498647	0.546218368286884	1.36742943470981	1.55008840415736	0.0597630398895409	0	4.73435442276422e-05	0.000428031836078256
k__Archaea|p__Euryarchaeota|c__Halobacteria	0	0	0	0	0	0	0	0	0	2.69551905662117	0.156197541711713	0.00663606012850004	0.0505164117838202	0.115880502904703	0.150321823085569	2.44073857910161	1.42190148669889	0.0037908324679754	0.000101731444867348	0.00367900611108377
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	0	0	0	0	0	0	0	0	0	2.69551905662117	0.156197541711713	0.00663606012850004	0.0505164117838202	0.115880502904703	0.150321823085569	2.44073857910161	1.42190148669889	0.0037908324679754	0.000101731444867348	0.00367900611108377
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae	0	0	0	0	0	0	0	0	0	2.69551905662117	0.156197541711713	0.00663606012850004	0.0505164117838202	0.115880502904703	0.150321823085569	2.44073857910161	1.42190148669889	0.0037908324679754	0.000101731444867348	0.00367900611108377
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum	0	0	0	0	0	0	0	0	0	2.69551905662117	0.156197541711713	0.00663606012850004	0.0505164117838202	0.115880502904703	0.150321823085569	2.44073857910161	1.42190148669889	0.0037908324679754	0.000101731444867348	0.00367900611108377
k__Bacteria	1.73361189329202e-05	6.83361127549655e-06	2.95333203092721e-05	2.07517610477608e-05	1.08943112520135e-05	0	0	0	4.28766509434672e-06	1.44705794115523	0.347394294003107	0.230588695046897	0.0389365237710056	0.976001366002054	2.25924149186799	1.57289471526373	2.23201647224722	0.133561811684349	0.000212402497601635	0.050145524350112
k__Bacteria|p__Bacteroidetes	1.73361189329202e-05	6.83361127549655e-06	2.95333203092721e-05	2.07517610477608e-05	1.08943112520135e-05	0	0	0	4.28766509434672e-06	1.36437829146286	0.227390377929562	0.230462850270922	0.0282344956624337	0.974178095753685	2.25878716636979	1.48393776686358	0.990907335927059	0.129049425326052	0.000146809268818828	0.049552497558218
k__Bacteria|p__Bacteroidetes|c__CFGB14302	1.73361189329202e-05	6.83361127549655e-06	2.95333203092721e-05	2.07517610477608e-05	1.08943112520135e-05	0	0	0	4.28766509434672e-06	1.36437829146286	0.227390377929562	0.230462850270922	0.0282344956624337	0.974178095753685	2.25878716636979	1.48393776686358	0.990907335927059	0.129049425326052	0.000146809268818828	0.049552497558218
k__Bacteria|p__Bacteroidetes|c__CFGB14302|o__OFGB14302	1.73361189329202e-05	6.83361127549655e-06	2.95333203092721e-05	2.07517610477608e-05	1.08943112520135e-05	0	0	0	4.28766509434672e-06	1.36437829146286	0.227390377929562	0.230462850270922	0.0282344956624337	0.974178095753685	2.25878716636979	1.48393776686358	0.990907335927059	0.129049425326052	0.000146809268818828	0.049552497558218
k__Bacteria|p__Bacteroidetes|c__CFGB14302|o__OFGB14302|f__FGB14302	1.73361189329202e-05	6.83361127549655e-06	2.95333203092721e-05	2.07517610477608e-05	1.08943112520135e-05	0	0	0	4.28766509434672e-06	1.36437829146286	0.227390377929562	0.230462850270922	0.0282344956624337	0.974178095753685	2.25878716636979	1.48393776686358	0.990907335927059	0.129049425326052	0.000146809268818828	0.049552497558218
k__Bacteria|p__Balneolaeota	0	0	0	0	0	0	0	0	0	0.0826796496923676	0.120003916073545	0.000125844775975304	0.0107020281085719	0.00182327024836928	0.000454325498200677	0.0889569484001581	1.24110913632016	0.00451238635829729	6.55932287828067e-05	0.000593026791893906
k__Bacteria|p__Balneolaeota|c__Balneolia	0	0	0	0	0	0	0	0	0	0.0826796496923676	0.120003916073545	0.000125844775975304	0.0107020281085719	0.00182327024836928	0.000454325498200677	0.0889569484001581	1.24110913632016	0.00451238635829729	6.55932287828067e-05	0.000593026791893906
k__Bacteria|p__Balneolaeota|c__Balneolia|o__Balneolales	0	0	0	0	0	0	0	0	0	0.0826796496923676	0.120003916073545	0.000125844775975304	0.0107020281085719	0.00182327024836928	0.000454325498200677	0.0889569484001581	1.24110913632016	0.00451238635829729	6.55932287828067e-05	0.000593026791893906
k__Bacteria|p__Balneolaeota|c__Balneolia|o__Balneolales|f__Balneolaceae	0	0	0	0	0	0	0	0	0	0.0826796496923676	0.120003916073545	0.000125844775975304	0.0107020281085719	0.00182327024836928	0.000454325498200677	0.0889569484001581	1.24110913632016	0.00451238635829729	6.55932287828067e-05	0.000593026791893906
sgb_1	0	0	0	0	0	0	0	0	0	0.519217945196736	0.716803474358381	0	0.0331583972578907	0.0566907491657315	0.145386297952487	0.479332203938133	0.0116314422622008	0	0	0
sgb_2	0	0	0	0	0	0	0	0	0	1.2257440789184	0.00116458143227261	0	0.015647959391868	2.61315802807602	5.09245909833488	1.96166533903823	0.000401545930670934	0	0	0
sgb_3	0	0	0	0	0	0	0	0	0	0.486718427205203	1.16370089268791	0	0.000933834685596826	0.43029572861078	0.338277233979791	0.451418058761261	0.0111609299716334	0	0	0
UNKNOWN	99.9999826638811	99.9999931663887	99.9999704666797	99.9999792482389	99.9999891056887	100	100	100	99.9999957123349	85.5271495602052	96.7201795577456	99.7547191645623	99.7222536880737	95.0581974869458	89.8784980096361	85.8068499943429	91.5779619424567	99.8618923474581	99.9995726725163	99.9428866465879
