Taxonomy	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Bacteria|p__Actinobacteria|c__CFGB33643|o__OFGB33643|f__FGB33643	0	0	0	0	0	0	1.30741837717421	0.848867474767909	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB33643|o__OFGB33643|f__FGB33643|g__GGB48208	0	0	0	0	0	0	0.707390686541667	0.848867474767909	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB33643|o__OFGB33643|f__FGB33643|g__GGB48208|s__GGB48208_SGB66215	0	0	0	0	0	0	0.707390686541667	0.848867474767909	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB33643|o__OFGB33643|f__FGB33643|g__GGB48208|s__GGB48208_SGB66215|t__SGB66215	0	0	0	0	0	0	0.707390686541667	0.848867474767909	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB37431	0	0	0	0.930657249722854	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB37431|o__OFGB37431	0	0	0	0.930657249722854	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB37431|o__OFGB37431|f__FGB37431	0	0	0	0.930657249722854	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB37854	0	0	0	0.756028925720167	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB37854|o__OFGB37854	0	0	0	0.756028925720167	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB37854|o__OFGB37854|f__FGB37854	0	0	0	0.756028925720167	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB39873	0	0	0	1.33267123409896	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB39873|o__OFGB39873	0	0	0	1.33267123409896	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB39873|o__OFGB39873|f__FGB39873	0	0	0	1.33267123409896	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Eremiobacteraeota	1.46648900027821	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Eremiobacteraeota|c__CFGB11148	1.46648900027821	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Eremiobacteraeota|c__CFGB11148|o__OFGB11148	1.46648900027821	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Eremiobacteraeota|c__CFGB11148|o__OFGB11148|f__FGB11148	1.46648900027821	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria	0	0	0	0	0	0	0	0.464743725276931	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	0	0	0	0	0	0	0	0.464743725276931	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Oscillatoriales	0	0	0	0	0	0	0	0.464743725276931	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Oscillatoriales|f__Oscillatoriaceae	0	0	0	0	0	0	0	0.464743725276931	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Oscillatoriales|f__Oscillatoriaceae|g__GGB48267	0	0	0	0	0	0	0	0.464743725276931	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Oscillatoriales|f__Oscillatoriaceae|g__GGB48267|s__GGB48267_SGB66277	0	0	0	0	0	0	0	0.464743725276931	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Oscillatoriales|f__Oscillatoriaceae|g__GGB48267|s__GGB48267_SGB66277|t__SGB66277	0	0	0	0	0	0	0	0.464743725276931	0	0	0
k__Bacteria|p__Proteobacteria	11.2248669911486	9.01024766401838	0	4.073337642141	0	0	11.8161378915724	8.16803721234928	5.74939021473335	3.9653553034669	4.11297012551478
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0	0	0	0	0	0	0.746841029740278	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0	0	0	0	0	0	0.746841029740278	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	0	0	0	0	0	0	0.746841029740278	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0	0	0	0	0	0	0.901389188102812	0.587736279061862	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	0	0	0	0	0	0	0.901389188102812	0.587736279061862	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae	0	0	0	0	0	0	0.901389188102812	0.587736279061862	0	0	0
