centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
	1049006				1049006	1049006	1049006	1049006	1049006
						1049007			1049007
10491		10491	10491	10491					10491
10492		10492	10492	10492					10492
10494		10494	10494	10494					10494
105	105	105	105	105	105	105	105	105	105
						1050833			1050833
10509		10509	10509	10509					10509
1051	1051	1051	1051	1051	1051	1051	1051	1051	1051
	1051666			1051666					1051666
	1051667			1051667					1051667
						1051898			1051898
1052159		1052159							1052159
1054211	1054211	1054211		1054211	1054211		1054211	1054211	1054211
10552		10552	10552	10552					10552
1055323	1055323	1055323		1055323	1055323	1055323	1055323	1055323	1055323
1055688	1055688	1055688		1055688	1055688	1055688	1055688	1055688	1055688
1055692	1055692	1055692			1055692				1055692
						105591			105591
1056	1056	1056	1056	1056	1056	1056	1056	1056	1056
105850	105850	105850	105850	105850	105850	105850	105850	105850	105850
1060	1060	1060	1060	1060	1060	1060	1060	1060	1060
106146	106146	106146	106146	106146	106146	106146	106146	106146	106146
10639		10639	10639	10639					10639
	1064		1064		1064	1064			1064
10652		10652	10652	10652					10652
106589	106589	106589	106589	106589	106589	106589	106589	106589	106589
106591	106591	106591		106591	106591	106591	106591	106591	106591
10660		10660	10660	10660					10660
10663		10663	10663	10663					10663
106633	106633	106633	106633	106633	106633	106633	106633	106633	106633
1068	1068	1068	1068	1068	1068	1068	1068	1068	1068
	1068904			1068904	1068904			1068904	1068904
1069494	1069494	1069494		1069494	1069494	1069494	1069494	1069494	1069494
107	107	107	107	107	107	107	107	107	107
	1070			1070	1070	1070		1070	1070
1070314	1070314	1070314			1070314	1070314		1070314	1070314
1073	1073	1073	1073	1073	1073	1073	1073	1073	1073
1073531		1073531		1073531	1073531		1073531	1073531	1073531
1073986	1073986	1073986		1073986	1073986	1073986	1073986	1073986	1073986
1073987	1073987	1073987		1073987	1073987	1073987	1073987	1073987	1073987
	1074468			1074468	1074468	1074468	1074468	1074468	1074468
1075397	1075397	1075397		1075397	1075397	1075397	1075397	1075397	1075397
1075398	1075398	1075398			1075398	1075398			1075398
1076625		1076625				1076625			1076625
			1076727				1076727		1076727
						1076933			1076933
						1077254			1077254
	1077265	1077265	1077265	1077265	1077265	1077265	1077265	1077265	1077265
	1077886			1077886	1077886		1077886	1077886	1077886
								1078767	1078767
						1078829			1078829
						1078830			1078830
	1078860			1078860	1078860	1078860		1078860	1078860
	1078904	1078904		1078904	1078904			1078904	1078904
	1079057				1079057	1079057		1079057	1079057
1079922	1079922	1079922	1079922	1079922	1079922		1079922	1079922	1079922
				1080193	1080193	1080193	1080193	1080193	1080193
10803		10803	10803	10803					10803
10806		10806	10806	10806					10806
	108061		108061	108061	108061	108061			108061
1080709	1080709	1080709	1080709	1080709	1080709	1080709	1080709	1080709	1080709
1081	1081	1081	1081	1081	1081	1081	1081	1081	1081
10812		10812	10812	10812					10812
10813		10813	10813	10813					10813
10814		10814	10814	10814					10814
1081630		1081630				1081630			1081630
1082702	1082702	1082702		1082702	1082702	1082702	1082702	1082702	1082702
1082930	1082930	1082930	1082930	1082930	1082930		1082930	1082930	1082930
			10842						10842
1084558	1084558	1084558		1084558	1084558		1084558	1084558	1084558
10852		10852	10852	10852					10852
	108525								108525
10856		10856	10856	10856					10856
1085622	1085622				1085622	1085622		1085622	1085622
10861		10861	10861	10861					10861
10875		10875	10875	10875					10875
10878		10878	10878	10878					10878
10882		10882	10882	10882					10882
10892		10892	10892	10892					10892
						109			109
1091	1091	1091	1091	1091	1091	1091	1091	1091	1091
	1091044			1091044	1091044	1091044		1091044	1091044
10911		10911	10911	10911					10911
	1091138		1091138	1091138	1091138	1091138			1091138
10912		10912	10912	10912					10912
						109166			109166
109168	109168	109168	109168	109168	109168	109168	109168	109168	109168
				109169	109169	109169		109169	109169
109262	109262	109262	109262	109262	109262	109262	109262	109262	109262
						109324			109324
	109326				109326		109326	109326	109326
109471	109471	109471			109471	109471		109471	109471
	1096776				1096776			1096776	1096776
	1097465			1097465	1097465			1097465	1097465
				1097466	1097466		1097466	1097466	1097466
10979		10979	10979	10979					10979
10981		10981	10981	10981					10981
10985		10985	10985	10985					10985
10988		10988	10988	10988					10988
1099		1099	1099	1099	1099		1099	1099	1099
10992		10992	10992	10992					10992
11007		11007	11007	11007					11007
1100891	1100891	1100891		1100891	1100891		1100891	1100891	1100891
1101	1101	1101	1101	1101	1101	1101	1101	1101	1101
	110103	110103		110103	110103	110103		110103	110103
11011		11011	11011	11011					11011
11014		11014	11014	11014					11014
11019		11019	11019	11019					11019
11040		11040	11040	11040					11040
110456		110456	110456	110456					110456
11051		11051	11051	11051					11051
1107	1107	1107	1107	1107	1107	1107	1107	1107	1107
110932	110932	110932	110932	110932	110932	110932	110932	110932	110932
110934	110934	110934		110934	110934	110934	110934	110934	110934
11095		11095	11095	11095					11095
11102		11102	11102	11102					11102
1111		1111	1111	1111	1111	1111	1111	1111	1111
	111142		111142	111142	111142	111142	111142	111142	111142
	1114981				1114981	1114981		1114981	1114981
111500	111500	111500	111500	111500	111500	111500	111500	111500	111500
						1115103			1115103
11155		11155							11155
						1117097			1117097
111782	111782	111782		111782	111782	111782	111782	111782	111782
111830	111830	111830			111830	111830			111830
	1119			1119		1119			1119
112008	112008			112008	112008	112008	112008	112008	112008
112040	112040	112040		112040	112040	112040	112040	112040	112040
	1120752		1120752		1120752	1120752	1120752	1120752	1120752
	1121			1121	1121	1121		1121	1121
	1121251				1121251	1121251	1121251	1121251	1121251
	1121253		1121253		1121253	1121253	1121253	1121253	1121253
	1121254				1121254	1121254	1121254	1121254	1121254
	1121829		1121829		1121829	1121829	1121829	1121829	1121829
						1122283			1122283
	1122284				1122284	1122284			1122284
11229		11229	11229	11229					11229
	1123		1123		1123	1123	1123	1123	1123
	1123044				1123044	1123044	1123044	1123044	1123044
						1123222			1123222
	1123951				1123951				1123951
	1123967			1123967	1123967	1123967	1123967	1123967	1123967
			11245						11245
					1124625	1124625		1124625	1124625
1125	1125	1125	1125	1125	1125	1125	1125	1125	1125
	1125862				1125862	1125862	1125862	1125862	1125862
11271		11271	11271	11271					11271
11286		11286	11286	11286					11286
1129	1129	1129	1129	1129	1129	1129	1129	1129	1129
	112902			112902	112902	112902	112902	112902	112902
1129704	1129704	1129704	1129704	1129704	1129704		1129704	1129704	1129704
112987	112987	112987		112987	112987	112987	112987	112987	112987
113	113	113	113	113	113	113	113	113	113
11305		11305	11305	11305					11305
		11306	11306	11306					11306
	1132027			1132027	1132027			1132027	1132027
	1132766				1132766	1132766			1132766
	113286		113286	113286	113286	113286	113286	113286	113286
	1133570		1133570	1133570	1133570		1133570	1133570	1133570
1134403	1134403	1134403	1134403	1134403	1134403	1134403	1134403	1134403	1134403
	1137960	1137960		1137960	1137960	1137960	1137960	1137960	1137960
114185		114185	114185			114185	114185		114185
						1141976			1141976
	1141978			1141978	1141978			1141978	1141978
1142	1142	1142	1142	1142	1142	1142	1142	1142	1142
114248	114248	114248		114248	114248	114248	114248	114248	114248
