centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
10239		10239	10239	10239					10239
2	2	2	2	2	2	2	2	2	2
2157	2157	2157	2157	2157	2157	2157	2157	2157	2157
