centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
1934945	1934945	1934945		1934945	1934945		1934945	1934945	1934945
				1936988	1936988		1936988	1936988	1936988
	1955042						1955042	1955042	1955042
1955630		1955630							1955630
1962852	1962852	1962852		1962852	1962852		1962852	1962852	1962852
				1963360	1963360		1963360	1963360	1963360
					1968909			1968909	1968909
				1970189	1970189		1970189	1970189	1970189
				1980410					1980410
	200644		200644	200644	200644	200644	200644	200644	200644
	200666		200666	200666	200666	200666	200666	200666	200666
	2024973	2024973		2024973	2024973		2024973	2024973	2024973
2024979	2024979	2024979		2024979	2024979		2024979	2024979	2024979
203487	203487	203487	203487	203487	203487	203487	203487	203487	203487
203491	203491	203491	203491	203491	203491	203491	203491	203491	203491
203494		203494							203494
203683		203683							203683
	2037		2037	2037	2037	2037	2037	2037	2037
	2039638			2039638	2039638			2039638	2039638
204429		204429							204429
204430		204430							204430
204433	204433	204433	204433	204433	204433	204433	204433	204433	204433
204441	204441	204441	204441	204441	204441	204441	204441	204441	204441
204455	204455	204455	204455	204455	204455	204455	204455	204455	204455
204457	204457	204457	204457	204457	204457	204457	204457	204457	204457
204458	204458	204458	204458	204458	204458	204458	204458	204458	204458
			205948	205948		205948	205948		205948
206351		206351	206351	206351	206351	206351	206351	206351	206351
206389		206389	206389	206389	206389	206389	206389	206389	206389
					2066484				2066484
2066490		2066490			2066490			2066490	2066490
	2085		2085	2085	2085	2085	2085	2085	2085
					2093819				2093819
	2093825				2093825				2093825
	2109260			2109260	2109260			2109260	2109260
	213113		213113	213113	213113	213113	213113	213113	213113
	213115		213115	213115	213115	213115	213115	213115	213115
	213118		213118	213118	213118	213118	213118	213118	213118
	213462		213462	213462	213462	213462	213462	213462	213462
213481	213481	213481	213481	213481	213481	213481	213481	213481	213481
2138246	2138246	2138246		2138246	2138246		2138246	2138246	2138246
	213849		213849	213849	213849	213849	213849	213849	213849
	2152897						2152897		2152897
	2158		2158	2158	2158	2158	2158	2158	2158
				2169561					2169561
					2171983				2171983
					2171984				2171984
					2171993				2171993
	2182		2182	2182	2182	2182	2182	2182	2182
	218872		218872	218872	218872	218872	218872	218872	218872
	2191		2191	2191	2191	2191	2191	2191	2191
219685		219685							219685
	219686		219686	219686	219686	219686	219686	219686	219686
	2202723			2202723	2202723		2202723	2202723	2202723
	2211217				2211217				2211217
2231	2231	2231	2231	2231	2231	2231	2231	2231	2231
	2235		2235	2235	2235	2235	2235	2235	2235
						224468			224468
224756		224756							224756
225057	225057	225057	225057	225057	225057	225057	225057	225057	225057
2258	2258	2258	2258	2258	2258	2258	2258	2258	2258
	2266		2266	2266	2266	2266	2266	2266	2266
	2281		2281	2281	2281	2281	2281	2281	2281
2301	2301	2301	2301	2301	2301	2301	2301	2301	2301
	2315420			2315420					2315420
	235899		235899	235899	235899	235899	235899	235899	235899
2364196		2364196							2364196
2419	2419	2419	2419	2419	2419	2419	2419	2419	2419
	2483366			2483366	2483366		2483366	2483366	2483366
	2493627				2493627				2493627
					2494207			2494207	2494207
					2495577			2495577	2495577
	2495578				2495578			2495578	2495578
2497570		2497570							2497570
2497571		2497571							2497571
	2497644				2497644		2497644	2497644	2497644
	2498707				2498707			2498707	2498707
				2499411					2499411
				2499881					2499881
	2507543								2507543
					2508939			2508939	2508939
2517206		2517206							2517206
2545689	2545689	2545689			2545689				2545689
255473		255473	255473	255473	255473	255473	255473	255473	255473
	2562241				2562241			2562241	2562241
2562243	2562243	2562243							2562243
	2597219								2597219
	2599631								2599631
	2599632								2599632
2682225		2682225							2682225
	2682226				2682226				2682226
	2691354				2691354				2691354
	2691355				2691355			2691355	2691355
	2691356				2691356				2691356
	2698803								2698803
	2703812								2703812
2731363		2731363							2731363
2731619		2731619							2731619
2732010		2732010							2732010
2732408									2732408
2732411		2732411							2732411
2732413		2732413							2732413
2732420		2732420							2732420
2732421		2732421							2732421
2732422		2732422							2732422
2732423		2732423							2732423
2732424		2732424							2732424
2732449		2732449							2732449
2732458		2732458							2732458
2732459		2732459							2732459
2732460		2732460							2732460
2732461		2732461							2732461
2732462		2732462							2732462
2732463		2732463							2732463
2732464		2732464							2732464
2732498		2732498							2732498
2732499		2732499							2732499
2732500		2732500							2732500
2732505		2732505							2732505
2732506		2732506							2732506
2732507		2732507							2732507
2732514		2732514							2732514
2732523		2732523							2732523
2732525		2732525							2732525
2732528		2732528							2732528
2732529		2732529							2732529
					2762272				2762272
					2762275				2762275
	2770089				2770089				2770089
	278081		278081	278081	278081	278081	278081	278081	278081
	278082			278082	278082	278082		278082	278082
	2785442								2785442
	2786987								2786987
	2787154				2787154				2787154
	2793120				2793120				2793120
2798274		2798274							2798274
	2798275				2798275				2798275
	2798918								2798918
	2798919								2798919
	2798921								2798921
	2798922								2798922
2800059		2800059			2800059				2800059
2800060		2800060			2800060				2800060
	2802654								2802654
					2805415				2805415
	2806304				2806304				2806304
2811503	2811503	2811503							2811503
