centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(1090/1134404)		(1090/1134404)
							(1224/1239)		(1224/1239)
							(1224/200795)		(1224/200795)
							(1224/201174)		(1224/201174)
							(1224/67819)		(1224/67819)
							(1224/976)		(1224/976)
							(1239/201174)		(1239/201174)
							(201174/976)		(201174/976)
							(204428/976)		(204428/976)
							(40117/976)		(40117/976)
				p__archaea_unclassified	p__archaea_unclassified			p__archaea_unclassified	p__archaea_unclassified
	p__armatimonadota								p__armatimonadota
	p__ars69								p__ars69
	p__asgardarchaeota								p__asgardarchaeota
					p__atribacteria				p__atribacteria
	p__b130-g9								p__b130-g9
	p__b1sed10-29								p__b1sed10-29
							p__bacteria phylum incertae sedis		p__bacteria phylum incertae sedis
			p__bacteria_noname						p__bacteria_noname
				p__bacteria_unclassified	p__bacteria_unclassified			p__bacteria_unclassified	p__bacteria_unclassified
				p__balneolaeota	p__balneolaeota				p__balneolaeota
						p__bd1-5			p__bd1-5
	p__bdellovibrionota								p__bdellovibrionota
	p__bms3abin14								p__bms3abin14
	p__bs750m-g25								p__bs750m-g25
	p__bs750m-g34								p__bs750m-g34
	p__caijmq01								p__caijmq01
	p__calditrichota								p__calditrichota
	p__calescibacterota								p__calescibacterota
	p__campylobacterota								p__campylobacterota
						p__candidate_division_kb1			p__candidate_division_kb1
						p__candidate_division_op11			p__candidate_division_op11
					p__candidate_division_wor_3				p__candidate_division_wor_3
				p__candidate_division_wps_2					p__candidate_division_wps_2
						p__candidate_division_ws6			p__candidate_division_ws6
	p__cg03								p__cg03
	p__cg2-30-53-67								p__cg2-30-53-67
	p__cg2-30-70-394								p__cg2-30-70-394
	p__chrysiogenota								p__chrysiogenota
	p__cld3								p__cld3
	p__csp1-3								p__csp1-3
	p__cssed10-310								p__cssed10-310
			p__deinococcus_thermus	p__deinococcus_thermus	p__deinococcus_thermus				p__deinococcus_thermus
	p__dependentiae								p__dependentiae
	p__dormibacterota								p__dormibacterota
	p__dryd01								p__dryd01
	p__dtu030								p__dtu030
	p__dumj01								p__dumj01
	p__ex4484-52								p__ex4484-52
	p__fcpu426								p__fcpu426
	p__fen-1099								p__fen-1099
	p__fermentibacterota								p__fermentibacterota
	p__gca-001730085								p__gca-001730085
	p__hadarchaeota								p__hadarchaeota
	p__halobacteriota								p__halobacteriota
	p__hkb111								p__hkb111
	p__hydrogenedentota								p__hydrogenedentota
	p__iainarchaeota								p__iainarchaeota
	p__j088								p__j088
	p__jaaxhh01								p__jaaxhh01
	p__jabdjq01								p__jabdjq01
	p__jabmqx01								p__jabmqx01
	p__jacixr01								p__jacixr01
	p__jacpqy01								p__jacpqy01
	p__jacpsx01								p__jacpsx01
	p__jacpuc01								p__jacpuc01
	p__jacpwu01								p__jacpwu01
	p__jacqov01								p__jacqov01
	p__jacrdz01								p__jacrdz01
	p__jadjoy01								p__jadjoy01
	p__jafgbw01								p__jafgbw01
	p__jafgnd01								p__jafgnd01
	p__jafgol01								p__jafgol01
	p__jagobx01								p__jagobx01
	p__jagoeh01								p__jagoeh01
	p__jahjdo01								p__jahjdo01
	p__jdfr-76								p__jdfr-76
	p__ksb1								p__ksb1
	p__latescibacterota								p__latescibacterota
	p__marinisomatota								p__marinisomatota
	p__moduliflexota								p__moduliflexota
	p__npl-upa2								p__npl-upa2
	p__olb16								p__olb16
	p__patescibacteria								p__patescibacteria
	p__punc01								p__punc01
	p__qndg01								p__qndg01
	p__rbg-13-61-14								p__rbg-13-61-14
	p__rbg-13-66-14								p__rbg-13-66-14
	p__rug730								p__rug730
	p__sar324								p__sar324
	p__slnr01								p__slnr01
	p__sm23-31								p__sm23-31
	p__spst-1190								p__spst-1190
	p__spst-318								p__spst-318
	p__szua-182								p__szua-182
	p__szua-79								p__szua-79
	p__t1sed10-126								p__t1sed10-126
	p__t1sed10-198m								p__t1sed10-198m
	p__ta06								p__ta06
	p__thermodesulfobiota								p__thermodesulfobiota
	p__thermosulfidibacterota								p__thermosulfidibacterota
						p__tm6			p__tm6
	p__uba10199								p__uba10199
	p__uba1439								p__uba1439
	p__uba2233								p__uba2233
	p__uba3054								p__uba3054
	p__uba6262								p__uba6262
	p__uba6266								p__uba6266
	p__uba8248								p__uba8248
	p__uba8481								p__uba8481
	p__uba9089								p__uba9089
	p__ubp13								p__ubp13
	p__ubp14								p__ubp14
	p__ubp15								p__ubp15
	p__ubp17								p__ubp17
	p__ubp18								p__ubp18
	p__ubp4								p__ubp4
	p__ubp6								p__ubp6
	p__ubp7								p__ubp7
	p__vgix01								p__vgix01
			p__viruses_noname						p__viruses_noname
				p__viruses_unclassified					p__viruses_unclassified
	p__wor-3								p__wor-3
