centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(117747/1236)		(117747/1236)
							(117747/1853228)		(117747/1853228)
							(1236/1760)		(1236/1760)
							(1236/28211)		(1236/28211)
							(1236/28216)		(1236/28216)
							(1737404/186801)		(1737404/186801)
							(1760/768503)		(1760/768503)
							(1760/91061)		(1760/91061)
							(1807140/28216)		(1807140/28216)
							(183967/224756)		(183967/224756)
							(186801/526524)		(186801/526524)
							(186801/909932)		(186801/909932)
							(186801/91061)		(186801/91061)
							(200643/204429)		(200643/204429)
							(2008785/28216)		(2008785/28216)
							(28211/91061)		(28211/91061)
							(909932/91061)		(909932/91061)
2907184		2907184							2907184
292625	292625	292625	292625	292625	292625	292625	292625	292625	292625
	2949321								2949321
29547		29547	29547	29547	29547	29547	29547	29547	29547
	296141			296141	296141		296141	296141	296141
2974821									2974821
301297	301297	301297	301297	301297	301297	301297	301297	301297	301297
	3014277								3014277
307596		307596	307596	307596	307596		307596	307596	307596
31969		31969	31969	31969	31969	31969	31969	31969	31969
32061	32061	32061	32061	32061	32061	32061	32061	32061	32061
							332159		332159
388447	388447	388447	388447	388447	388447	388447	388447	388447	388447
414999		414999	414999	414999	414999	414999	414999	414999	414999
	447827				447827			447827	447827
447830	447830	447830		447830	447830		447830	447830	447830
475962		475962	475962	475962	475962	475962	475962	475962	475962
526524		526524	526524	526524	526524		526524	526524	526524
533205	533205	533205	533205		533205	533205	533205	533205	533205
580370	580370	580370	580370	580370	580370		580370	580370	580370
641853	641853	641853	641853	641853	641853	641853	641853	641853	641853
649775	649775	649775	649775	649775	649775	649775	649775	649775	649775
666505	666505	666505	666505	666505	666505	666505	666505	666505	666505
67799	67799	67799	67799	67799	67799	67799	67799	67799	67799
68337	68337	68337	68337	68337	68337	68337	68337	68337	68337
693071	693071	693071	693071		693071		693071	693071	693071
768503		768503	768503	768503	768503	768503	768503	768503	768503
795747	795747	795747	795747	795747	795747	795747	795747	795747	795747
84992	84992	84992		84992	84992	84992	84992	84992	84992
84995	84995	84995		84995	84995	84995	84995	84995	84995
84998	84998	84998		84998	84998	84998	84998	84998	84998
908620		908620			908620	908620	908620	908620	908620
909932	909932	909932	909932	909932	909932		909932	909932	909932
91061	91061	91061	91061	91061	91061	91061	91061	91061	91061
	c__0-14-0-80-59-12								c__0-14-0-80-59-12
	c__2-12-full-45-22								c__2-12-full-45-22
	c__2-12-full-62-27								c__2-12-full-62-27
	c__32-111								c__32-111
	c__4484-107								c__4484-107
	c__4484-113								c__4484-113
	c__4484-211								c__4484-211
	c__4484-213								c__4484-213
	c__4572-55								c__4572-55
						c__4c0d-2			c__4c0d-2
	c__9ft-combo-42-15								c__9ft-combo-42-15
	c__aabm5-125-24								c__aabm5-125-24
	c__ab16								c__ab16
					c__absconditabacteria_unclassified				c__absconditabacteria_unclassified
	c__aby1								c__aby1
	c__ac1								c__ac1
							c__acidobacteria class incertae sedis		c__acidobacteria class incertae sedis
			c__acidobacteria_noname						c__acidobacteria_noname
				c__acidobacteria_unclassified	c__acidobacteria_unclassified				c__acidobacteria_unclassified
			c__actinobacteria	c__actinobacteria	c__actinobacteria	c__actinobacteria			c__actinobacteria
							c__actinobacteria class incertae sedis		c__actinobacteria class incertae sedis
				c__actinobacteria_unclassified	c__actinobacteria_unclassified			c__actinobacteria_unclassified	c__actinobacteria_unclassified
					c__adlerbacteria_unclassified				c__adlerbacteria_unclassified
				c__aenigmarchaeota_unclassified					c__aenigmarchaeota_unclassified
	c__aenigmatarchaeia								c__aenigmatarchaeia
					c__aerophobetes_unclassified				c__aerophobetes_unclassified
	c__aerophobia								c__aerophobia
						c__allobeggiatoa			c__allobeggiatoa
	c__altiarchaeia								c__altiarchaeia
					c__altiarchaeota_unclassified				c__altiarchaeota_unclassified
				c__aminicenantes_unclassified					c__aminicenantes_unclassified
	c__aminicenantia								c__aminicenantia
						c__amv16			c__amv16
	c__anaeroferrophillalia								c__anaeroferrophillalia
	c__andersenbacteria								c__andersenbacteria
							c__archaea class incertae sedis		c__archaea class incertae sedis
			c__archaea_noname						c__archaea_noname
				c__archaea_unclassified	c__archaea_unclassified			c__archaea_unclassified	c__archaea_unclassified
							c__armatimonadetes class incertae sedis		c__armatimonadetes class incertae sedis
				c__armatimonadetes_unclassified	c__armatimonadetes_unclassified			c__armatimonadetes_unclassified	c__armatimonadetes_unclassified
	c__ars69								c__ars69
					c__atribacteria_unclassified				c__atribacteria_unclassified
	c__b129-g9								c__b129-g9
	c__b130-g9								c__b130-g9
	c__b143-g9								c__b143-g9
	c__b15-g4								c__b15-g4
	c__b1sed10-29								c__b1sed10-29
	c__b26-g2								c__b26-g2
	c__b3-b38								c__b3-b38
	c__b3-lcp								c__b3-lcp
	c__b47-g6								c__b47-g6
	c__b62-g9								c__b62-g9
	c__b64-g9								c__b64-g9
	c__b88-g9								c__b88-g9
							c__bacteria class incertae sedis		c__bacteria class incertae sedis
			c__bacteria_noname						c__bacteria_noname
				c__bacteria_unclassified	c__bacteria_unclassified			c__bacteria_unclassified	c__bacteria_unclassified
	c__bacteriovoracia								c__bacteriovoracia
						c__bacterium_em-19			c__bacterium_em-19
							c__bacteroidetes class incertae sedis		c__bacteroidetes class incertae sedis
			c__bacteroidetes_noname						c__bacteroidetes_noname
				c__bacteroidetes_unclassified	c__bacteroidetes_unclassified			c__bacteroidetes_unclassified	c__bacteroidetes_unclassified
					c__balneolaeota_unclassified			c__balneolaeota_unclassified	c__balneolaeota_unclassified
	c__bathyarchaeia								c__bathyarchaeia
				c__bathyarchaeota_unclassified	c__bathyarchaeota_unclassified				c__bathyarchaeota_unclassified
	c__bipolaricaulia								c__bipolaricaulia
					c__bipolaricaulota_unclassified				c__bipolaricaulota_unclassified
	c__bms3abin14								c__bms3abin14
	c__bms3bbin04								c__bms3bbin04
	c__bog-38								c__bog-38
	c__brachyspirae								c__brachyspirae
	c__bradymonadia								c__bradymonadia
	c__brevinematia								c__brevinematia
	c__bs150m-g59								c__bs150m-g59
	c__bs750m-g25								c__bs750m-g25
	c__bs750m-g34								c__bs750m-g34
	c__bsn033								c__bsn033
	c__bu12								c__bu12
					c__buchananbacteria_unclassified				c__buchananbacteria_unclassified
	c__caijmq01								c__caijmq01
	c__caiwxx01								c__caiwxx01
	c__caiyqo01								c__caiyqo01
					c__calescamantes_unclassified				c__calescamantes_unclassified
	c__calescibacteriia								c__calescibacteriia
	c__campylobacteria								c__campylobacteria
							c__candidate division cpr1 class incertae sedis		c__candidate division cpr1 class incertae sedis
							c__candidate division cpr3 class incertae sedis		c__candidate division cpr3 class incertae sedis
							c__candidate division nc10 class incertae sedis		c__candidate division nc10 class incertae sedis
							c__candidate division wor-3 class incertae sedis		c__candidate division wor-3 class incertae sedis
							c__candidate division wwe3 class incertae sedis		c__candidate division wwe3 class incertae sedis
							c__candidate division zixibacteria class incertae sedis		c__candidate division zixibacteria class incertae sedis
				c__candidate_division_ad3_unclassified					c__candidate_division_ad3_unclassified
				c__candidate_division_nc10_unclassified	c__candidate_division_nc10_unclassified			c__candidate_division_nc10_unclassified	c__candidate_division_nc10_unclassified
						c__candidate_division_tm7_genomosp_gtl1			c__candidate_division_tm7_genomosp_gtl1
					c__candidate_division_wor_3_unclassified				c__candidate_division_wor_3_unclassified
				c__candidate_division_wps_2_unclassified					c__candidate_division_wps_2_unclassified
				c__candidate_division_zixibacteria_unclassified					c__candidate_division_zixibacteria_unclassified
							c__candidatus abawacabacteria class incertae sedis		c__candidatus abawacabacteria class incertae sedis
							c__candidatus adlerbacteria class incertae sedis		c__candidatus adlerbacteria class incertae sedis
							c__candidatus aenigmarchaeota class incertae sedis		c__candidatus aenigmarchaeota class incertae sedis
							c__candidatus amesbacteria class incertae sedis		c__candidatus amesbacteria class incertae sedis
							c__candidatus aminicenantes class incertae sedis		c__candidatus aminicenantes class incertae sedis
							c__candidatus atribacteria class incertae sedis		c__candidatus atribacteria class incertae sedis
							c__candidatus azambacteria class incertae sedis		c__candidatus azambacteria class incertae sedis
							c__candidatus bathyarchaeota class incertae sedis		c__candidatus bathyarchaeota class incertae sedis
							c__candidatus beckwithbacteria class incertae sedis		c__candidatus beckwithbacteria class incertae sedis
							c__candidatus berkelbacteria class incertae sedis		c__candidatus berkelbacteria class incertae sedis
							c__candidatus bipolaricaulota class incertae sedis		c__candidatus bipolaricaulota class incertae sedis
							c__candidatus blackburnbacteria class incertae sedis		c__candidatus blackburnbacteria class incertae sedis
							c__candidatus buchananbacteria class incertae sedis		c__candidatus buchananbacteria class incertae sedis
							c__candidatus campbellbacteria class incertae sedis		c__candidatus campbellbacteria class incertae sedis
							c__candidatus chisholmbacteria class incertae sedis		c__candidatus chisholmbacteria class incertae sedis
							c__candidatus cloacimonetes class incertae sedis		c__candidatus cloacimonetes class incertae sedis
							c__candidatus coatesbacteria class incertae sedis		c__candidatus coatesbacteria class incertae sedis
							c__candidatus collierbacteria class incertae sedis		c__candidatus collierbacteria class incertae sedis
							c__candidatus colwellbacteria class incertae sedis		c__candidatus colwellbacteria class incertae sedis
							c__candidatus curtissbacteria class incertae sedis		c__candidatus curtissbacteria class incertae sedis
							c__candidatus dadabacteria class incertae sedis		c__candidatus dadabacteria class incertae sedis
							c__candidatus daviesbacteria class incertae sedis		c__candidatus daviesbacteria class incertae sedis
							c__candidatus delongbacteria class incertae sedis		c__candidatus delongbacteria class incertae sedis
							c__candidatus desantisbacteria class incertae sedis		c__candidatus desantisbacteria class incertae sedis
							c__candidatus diapherotrites class incertae sedis		c__candidatus diapherotrites class incertae sedis
							c__candidatus doudnabacteria class incertae sedis		c__candidatus doudnabacteria class incertae sedis
							c__candidatus falkowbacteria class incertae sedis		c__candidatus falkowbacteria class incertae sedis
							c__candidatus fermentibacteria class incertae sedis		c__candidatus fermentibacteria class incertae sedis
