centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
	1501348			1501348	1501348		1501348	1501348	1501348
	1505234			1505234	1505234		1505234	1505234	1505234
	1508635			1508635	1508635		1508635	1508635	1508635
1511852		1511852		1511852					1511852
1511855		1511855							1511855
1511857		1511857							1511857
				1511858					1511858
				1511860					1511860
				1513233					1513233
				1513294					1513294
			151340	151340					151340
			151341	151341					151341
	1522127			1522127	1522127		1522127	1522127	1522127
	1524213			1524213	1524213		1524213	1524213	1524213
	1524215			1524215	1524215		1524215	1524215	1524215
				1524216	1524216		1524216	1524216	1524216
	1544800				1544800			1544800	1544800
	1553902				1553902		1553902	1553902	1553902
	1570339			1570339	1570339		1570339	1570339	1570339
	1573805			1573805	1573805		1573805	1573805	1573805
1577788	1577788	1577788		1577788	1577788		1577788	1577788	1577788
			157897	157897					157897
	1617891			1617891	1617891			1617891	1617891
1643682		1643682							1643682
1643683		1643683							1643683
1643684		1643684							1643684
1643685	1643685	1643685		1643685	1643685		1643685	1643685	1643685
1643822		1643822							1643822
	1643824			1643824	1643824		1643824	1643824	1643824
	1643826			1643826	1643826		1643826	1643826	1643826
1643948	1643948	1643948		1643948	1643948		1643948	1643948	1643948
1643949	1643949	1643949			1643949		1643949	1643949	1643949
1643950	1643950	1643950		1643950	1643950		1643950	1643950	1643950
				1643957	1643957			1643957	1643957
1644055		1644055							1644055
	1644056			1644056	1644056		1644056	1644056	1644056
1644060		1644060							1644060
	1644061			1644061	1644061		1644061	1644061	1644061
	1647988			1647988	1647988		1647988	1647988	1647988
				1648490	1648490	1648490	1648490	1648490	1648490
1652132		1652132		1652132	1652132		1652132	1652132	1652132
			1653	1653	1653	1653	1653	1653	1653
1655514	1655514	1655514		1655514	1655514		1655514	1655514	1655514
1663425		1663425							1663425
	1663426			1663426	1663426		1663426	1663426	1663426
1676141	1676141	1676141		1676141	1676141		1676141	1676141	1676141
1676649		1676649							1676649
	1676650			1676650	1676650		1676650	1676650	1676650
1692041	1692041	1692041		1692041	1692041		1692041	1692041	1692041
					1692504				1692504
170	170	170	170	170	170	170	170	170	170
1706371	1706371	1706371		1706371	1706371		1706371	1706371	1706371
1706372	1706372	1706372		1706372	1706372		1706372	1706372	1706372
1706373		1706373		1706373	1706373		1706373	1706373	1706373
	1706374			1706374	1706374		1706374	1706374	1706374
1706375	1706375	1706375		1706375	1706375		1706375	1706375	1706375
				1714267					1714267
	171550		171550	171550	171550	171550	171550	171550	171550
	171551		171551	171551	171551	171551	171551	171551	171551
			171552	171552	171552	171552	171552	171552	171552
1737405		1737405							1737405
	1737406			1737406	1737406		1737406	1737406	1737406
1738654	1738654	1738654		1738654	1738654		1738654	1738654	1738654
1747768		1747768							1747768
	1747769				1747769			1747769	1747769
1747776		1747776		1747776	1747776		1747776	1747776	1747776
1755823		1755823							1755823
					1755824			1755824	1755824
	1755828				1755828			1755828	1755828
	1762		1762	1762	1762	1762	1762	1762	1762
	1763524			1763524	1763524		1763524	1763524	1763524
1769717	1769717	1769717		1769717	1769717		1769717	1769717	1769717
					1769745		1769745	1769745	1769745
1771349		1771349							1771349
	1771355								1771355
				1771359	1771359		1771359	1771359	1771359
1775411	1775411	1775411		1775411	1775411		1775411	1775411	1775411
1777752	1777752	1777752			1777752		1777752	1777752	1777752
1779134		1779134							1779134
	1779135				1779135			1779135	1779135
1783343	1783343	1783343		1783343	1783343		1783343	1783343	1783343
			178830	178830					178830
					1798913		1798913	1798913	1798913
	1804993								1804993
							1812917		1812917
	1813606			1813606	1813606		1813606	1813606	1813606
							182102		182102
				1827282	1827282		1827282	1827282	1827282
	1836792			1836792	1836792	1836792	1836792	1836792	1836792
	183710		183710	183710	183710	183710	183710	183710	183710
183713	183713	183713	183713	183713	183713	183713	183713	183713	183713
	1840213			1840213	1840213		1840213	1840213	1840213
1843488		1843488							1843488
1843489		1843489							1843489
	1843490			1843490	1843490		1843490	1843490	1843490
	1843491			1843491	1843491		1843491	1843491	1843491
	1853225				1853225			1853225	1853225
	1853227			1853227	1853227			1853227	1853227
1853228		1853228							1853228
	1853230			1853230	1853230		1853230	1853230	1853230
				1853231	1853231		1853231	1853231	1853231
	1853232			1853232	1853232		1853232	1853232	1853232
	1853233				1853233		1853233	1853233	1853233
					1853234		1853234	1853234	1853234
185751		185751							185751
185752		185752							185752
	1860138			1860138	1860138		1860138	1860138	1860138
186328		186328							186328
186329		186329							186329
	186333				186333	186333		186333	186333
			186534	186534					186534
			186766	186766					186766
186802		186802							186802
	186803		186803	186803	186803	186803	186803	186803	186803
	186804		186804	186804	186804	186804	186804	186804	186804
	186806		186806	186806	186806	186806	186806	186806	186806
	186807		186807	186807	186807	186807	186807	186807	186807
	186814		186814	186814	186814	186814	186814	186814	186814
	186817		186817	186817	186817	186817	186817	186817	186817
	186818		186818	186818	186818	186818	186818	186818	186818
	186820		186820	186820	186820	186820	186820	186820	186820
	186821		186821	186821	186821	186821	186821	186821	186821
	186822		186822	186822	186822	186822	186822	186822	186822
	186823		186823	186823	186823	186823	186823	186823	186823
	186824		186824	186824	186824	186824	186824	186824	186824
186826		186826							186826
	186827		186827	186827	186827	186827	186827	186827	186827
	186828		186828	186828	186828	186828	186828	186828	186828
				1868322			1868322		1868322
188709	188709	188709	188709	188709	188709	188709	188709	188709	188709
188711	188711	188711	188711	188711	188711	188711	188711	188711	188711
	188786		188786	188786	188786	188786	188786	188786	188786
	1890422			1890422	1890422		1890422	1890422	1890422
	1890426			1890426	1890426		1890426	1890426	1890426
				1890428	1890428		1890428	1890428	1890428
				1890429	1890429		1890429	1890429	1890429
				1890430					1890430
	1890431			1890431	1890431		1890431	1890431	1890431
					1890432				1890432
	1890436			1890436	1890436		1890436	1890436	1890436
	1890438			1890438	1890438		1890438	1890438	1890438
	1890448				1890448		1890448	1890448	1890448
	1890449			1890449	1890449		1890449	1890449	1890449
				1890450	1890450		1890450	1890450	1890450
							1890452	1890452	1890452
	1890455								1890455
				1890464	1890464		1890464	1890464	1890464
				1890482	1890482			1890482	1890482
