centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(115555/29570/77097)		(115555/29570/77097)
							(115561/502821)		(115561/502821)
							(1156431/1156433)		(1156431/1156433)
							(1156843/1157629/1157632/1157633/1305838/1305839/1703929/1703941/1855346)		(1156843/1157629/1157632/1157633/1305838/1305839/1703929/1703941/1855346)
							(1157634/645465)		(1157634/645465)
							(1157638/1470557/1849967)		(1157638/1470557/1849967)
							(115781/190898)		(115781/190898)
							(1157948/1157949)		(1157948/1157949)
							(1158144/1158756/748654)		(1158144/1158756/748654)
							(1158149/1158151/1158757/1158758/1158760/1158761/1237929/1240558/1261622/1266911/748652/748655)		(1158149/1158151/1158757/1158758/1158760/1158761/1237929/1240558/1261622/1266911/748652/748655)
							(1158150/1158759/1240557)		(1158150/1158759/1240557)
							(1158152/1158763/1158764/1266913/396595)		(1158152/1158763/1158764/1266913/396595)
							(1158162/1158169/1158170/1158172/1158173/1158176/1158177/1158178/1158179/1158181/1158182)		(1158162/1158169/1158170/1158172/1158173/1158176/1158177/1158178/1158179/1158181/1158182)
							(1158168/1266908)		(1158168/1266908)
							(1158174/1239292/1265494/1265495/1266909/545275/748651)		(1158174/1239292/1265494/1265495/1266909/545275/748651)
							(1158459/497725)		(1158459/497725)
							(1160/54306/54307/59512)		(1160/54306/54307/59512)
							(1163398/303)		(1163398/303)
							(1165092/1943579)		(1165092/1943579)
							(1169025/1464011/47716/52258/66370/66869/66891)		(1169025/1464011/47716/52258/66370/66869/66891)
							(1169117/431043)		(1169117/431043)
							(1169144/1449045/1761751/1761755/1761757)		(1169144/1449045/1761751/1761755/1761757)
							(1169155/1169158/1206101)		(1169155/1169158/1206101)
							(1172181/1462558/1592329/1679753/1736452)		(1172181/1462558/1592329/1679753/1736452)
							(1172188/1736419/1736603)		(1172188/1736419/1736603)
							(1173023/1704290)		(1173023/1704290)
							(1175452/1673725)		(1175452/1673725)
							(1176649/358)		(1176649/358)
							(1178540/1326968/1408/561879)		(1178540/1326968/1408/561879)
							(1183410/1643810/1701910/1736577)		(1183410/1643810/1701910/1736577)
							(1183412/358)		(1183412/358)
							(1184387/1236046)		(1184387/1236046)
							(1184720/384/398)		(1184720/384/398)
							(118562/129910)		(118562/129910)
							(1190415/317)		(1190415/317)
							(1190813/1703256/570156)		(1190813/1703256/570156)
							(1193532/1697794)		(1193532/1697794)
							(1193534/59620)		(1193534/59620)
							(119434/1227480)		(119434/1227480)
							(1194427/136468/212663/246167/29497/446372/47951/663/693153)		(1194427/136468/212663/246167/29497/446372/47951/663/693153)
							(1197706/1638643)		(1197706/1638643)
							(1198452/1781066/1781067)		(1198452/1781066/1781067)
							(1198456/300)		(1198456/300)
							(1203557/1203562/1203566)		(1203557/1203562/1203566)
							(1204340/1895806)		(1204340/1895806)
							(120576/120577/1218315/235/236/29459/29460/29461/36855/444163/981386)		(120576/120577/1218315/235/236/29459/29460/29461/36855/444163/981386)
