Taxonomy	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__Bacteria	0.00022070146167072	0	3.43148848576848e-05	0	0	0.00212191553385285	0	0	0.0901875135850733	0.230110562392087	0.000451332326889863	0.00900359249839211	0.00298078286372389	0.00239561452655979	0.278697884092045	3.33424318420467	0	0	0
k__Bacteria|p__Balneolaeota	0.00022070146167072	0	3.43148848576848e-05	0	0	0.00212191553385285	0	0	0.0901875135850733	0.230110562392087	0.000451332326889863	0.00900359249839211	0.00298078286372389	0.00239561452655979	0.278697884092045	3.33424318420467	0	0	0
k__Bacteria|p__Balneolaeota|c__Balneolia	0.00022070146167072	0	3.43148848576848e-05	0	0	0.00212191553385285	0	0	0.0901875135850733	0.230110562392087	0.000451332326889863	0.00900359249839211	0.00298078286372389	0.00239561452655979	0.278697884092045	3.33424318420467	0	0	0
k__Bacteria|p__Balneolaeota|c__Balneolia|o__Balneolales	0.00022070146167072	0	3.43148848576848e-05	0	0	0.00212191553385285	0	0	0.0901875135850733	0.230110562392087	0.000451332326889863	0.00900359249839211	0.00298078286372389	0.00239561452655979	0.278697884092045	3.33424318420467	0	0	0
k__Bacteria|p__Balneolaeota|c__Balneolia|o__Balneolales|f__Balneolaceae	0.00022070146167072	0	3.43148848576848e-05	0	0	0.00212191553385285	0	0	0.0901875135850733	0.230110562392087	0.000451332326889863	0.00900359249839211	0.00298078286372389	0.00239561452655979	0.278697884092045	3.33424318420467	0	0	0
UNKNOWN	99.9997792985383	100	99.9999656851151	100	100	99.9978780844662	99.9092978748492	100	99.9098124864149	99.7698894376079	99.9995486676731	99.9909964075016	99.9970192171363	99.9976043854735	99.7213021159079	96.6657568157953	100	100	100
