Taxonomy	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Archaea	0	1.48694341705776	0	0	0	0	2.02204527668759	1.69829184126581	2.93945945968978	1.68543104416474	2.59201300114555
k__Archaea|p__Euryarchaeota	0	0.632137958667253	0	0	0	0	1.59605613367199	1.69829184126581	2.34214739525722	1.68543104416474	1.98966069729223
k__Archaea|p__Euryarchaeota|c__CFGB9272	0	0.632137958667253	0	0	0	0	1.59605613367199	1.69829184126581	2.34214739525722	1.68543104416474	1.98966069729223
k__Archaea|p__Euryarchaeota|c__CFGB9272|o__OFGB9272	0	0.632137958667253	0	0	0	0	1.59605613367199	1.69829184126581	2.34214739525722	1.68543104416474	1.98966069729223
k__Archaea|p__Euryarchaeota|c__CFGB9272|o__OFGB9272|f__FGB9272	0	0.632137958667253	0	0	0	0	1.59605613367199	1.69829184126581	2.34214739525722	1.68543104416474	1.98966069729223
k__Archaea|p__Thaumarchaeota	0	0.854805458390503	0	0	0	0	0.425989143015593	0	0.597312064432558	0	0.602352303853315
k__Archaea|p__Thaumarchaeota|c__CFGB16997	0	0	0	0	0	0	0	0	0.597312064432558	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB16997|o__OFGB16997	0	0	0	0	0	0	0	0	0.597312064432558	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB16997|o__OFGB16997|f__FGB16997	0	0	0	0	0	0	0	0	0.597312064432558	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	0	0.854805458390503	0	0	0	0	0.425989143015593	0	0	0	0.602352303853315
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	0	0.854805458390503	0	0	0	0	0.425989143015593	0	0	0	0.602352303853315
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified	0	0.854805458390503	0	0	0	0	0.425989143015593	0	0	0	0.602352303853315
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Candidatus_Nitrosotalea	0	0.854805458390503	0	0	0	0	0	0	0	0	0
k__Bacteria	11.6563892340729	8.88191921318534	1.36041673280699	10.464155622709	1.08875152450384	0	13.3956437334306	8.59251155409895	4.20685600560568	2.19554102686957	3.13055904642065
k__Bacteria|p__Acidobacteria	0	1.86472070842524	1.36041673280699	2.31019966572523	1.08875152450384	0	0.586221223307719	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB10843	0	0	1.36041673280699	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB10843|o__OFGB10843	0	0	1.36041673280699	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB10843|o__OFGB10843|f__FGB10843	0	0	1.36041673280699	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB11097	0	1.86472070842524	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB11097|o__OFGB11097	0	1.86472070842524	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB11097|o__OFGB11097|f__FGB11097	0	1.86472070842524	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB13247	0	0	0	0	1.08875152450384	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB13247|o__OFGB13247	0	0	0	0	1.08875152450384	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB13247|o__OFGB13247|f__FGB13247	0	0	0	0	1.08875152450384	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB14630	0	0	0	2.31019966572523	0	0	0.586221223307719	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB14630|o__OFGB14630	0	0	0	2.31019966572523	0	0	0.586221223307719	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB14630|o__OFGB14630|f__FGB14630	0	0	0	2.31019966572523	0	0	0.586221223307719	0	0	0	0
k__Bacteria|p__Actinobacteria	3.70619730723874	1.51884302910698	0	3.28711514262079	0	0	1.20542958448422	0.851902563210679	0	0	0.522787889220472
k__Bacteria|p__Actinobacteria|c__CFGB13848	2.02894223453285	1.51884302910698	0	1.79261460310166	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB13848|o__OFGB13848	2.02894223453285	1.51884302910698	0	1.79261460310166	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB13848|o__OFGB13848|f__FGB13848	2.02894223453285	1.51884302910698	0	1.79261460310166	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB2607	1.07112213275306	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB2607|o__OFGB2607	1.07112213275306	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB2607|o__OFGB2607|f__FGB2607	1.07112213275306	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB33643	0	0	0	0	0	0	1.20542958448422	0.851902563210679	0	0	0
