;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61;ID62;ID63;ID64;ID65;ID66;ID67;ID68;ID69;ID70;ID71;ID72;ID73;ID74;ID75;ID76;ID77;ID78;ID79;ID80;ID81;ID82;ID83;ID84;ID85;ID86;ID87;ID88;ID89
ID0;0.000000;0.979870;0.958002;0.824817;0.839406;0.976219;0.906215;0.977920;0.966313;0.977653;0.982178;0.983020;0.981543;0.983954;0.973071;0.954140;0.965824;0.963573;0.834630;0.829238;0.976800;0.956906;0.848260;0.980787;0.921894;0.986755;0.962085;0.953960;0.984169;0.956255;0.967473;0.976332;0.966657;0.964411;0.978765;0.943057;0.975807;0.977522;0.979386;0.977866;0.990969;0.985150;0.981032;0.991163;0.966294;0.988524;0.989826;0.972706;0.962872;0.965855;0.971735;0.999617;0.998692;0.980926;0.989631;0.969060;0.983302;0.983139;0.986205;0.982863;0.981205;0.997073;0.978501;0.987713;0.984085;0.982500;0.980223;0.980236;0.988680;0.980113;0.990186;0.986682;0.976782;0.987796;0.998976;0.970941;0.987976;0.999793;0.982682;0.997255;0.997299;0.979186;0.994347;0.995718;0.976713;0.983432;0.978937;0.976139;0.985637;0.981877
ID1;0.979870;0.000000;0.904701;0.980386;0.971072;0.583595;0.951564;0.902781;0.917408;0.932993;0.980792;0.966819;0.964860;0.956391;0.958767;0.953153;0.947683;0.957573;0.975999;0.974577;0.733076;0.920868;0.977870;0.739792;0.979343;0.736939;0.934636;0.946958;0.969280;0.949655;0.957164;0.923813;0.948277;0.939134;0.940031;0.922450;0.938605;0.931457;0.973630;0.969369;0.987052;0.981223;0.981680;0.994344;0.976870;0.984693;0.987924;0.970149;0.977372;0.973749;0.984622;0.999456;0.998448;0.975003;0.988398;0.977481;0.981613;0.983803;0.984009;0.981430;0.980696;0.997024;0.980205;0.987024;0.982369;0.981985;0.978455;0.980219;0.989648;0.980321;0.989957;0.986188;0.975739;0.986299;0.999132;0.976789;0.988903;0.999805;0.982094;0.997302;0.997176;0.979156;0.994692;0.994858;0.971982;0.979329;0.977610;0.978072;0.987226;0.982938
ID2;0.958002;0.904701;0.000000;0.967655;0.916021;0.920740;0.956316;0.937675;0.931218;0.944139;0.958979;0.952476;0.957868;0.955122;0.950929;0.910704;0.942887;0.885888;0.968012;0.928861;0.939041;0.838076;0.953770;0.942769;0.956291;0.961924;0.933401;0.908835;0.968187;0.896407;0.943432;0.950107;0.954016;0.910251;0.962744;0.906346;0.947734;0.958591;0.950050;0.937932;0.955675;0.965274;0.969955;0.985098;0.961316;0.944999;0.967898;0.935410;0.947081;0.944055;0.950202;0.997735;0.995769;0.955200;0.974911;0.943511;0.966411;0.959588;0.975602;0.968383;0.961628;0.991897;0.956806;0.974220;0.970943;0.968225;0.962711;0.968909;0.976629;0.968031;0.973765;0.968555;0.947683;0.970446;0.997343;0.958090;0.979480;0.999418;0.973388;0.992655;0.993443;0.961837;0.982249;0.981055;0.942682;0.956844;0.956199;0.955398;0.978071;0.963056
ID3;0.824817;0.980386;0.967655;0.000000;0.857621;0.976538;0.889364;0.977833;0.960524;0.978360;0.985712;0.986093;0.976494;0.984645;0.974313;0.961391;0.965991;0.972671;0.740650;0.871844;0.978594;0.964787;0.807876;0.975017;0.930322;0.984425;0.958080;0.959729;0.976687;0.961798;0.968628;0.977919;0.964623;0.972442;0.972596;0.953966;0.974227;0.972375;0.980897;0.978208;0.992369;0.986486;0.981420;0.994333;0.970864;0.990346;0.991539;0.972407;0.971069;0.967822;0.980875;0.999677;0.998975;0.980916;0.991000;0.976577;0.984822;0.984856;0.986098;0.982835;0.982098;0.997593;0.979752;0.988791;0.984339;0.983228;0.981528;0.979307;0.990334;0.980145;0.991326;0.988342;0.979277;0.989276;0.999216;0.972484;0.989835;0.999837;0.982722;0.997747;0.997763;0.981230;0.995619;0.996511;0.963787;0.983366;0.981049;0.977531;0.985706;0.983905
ID4;0.839406;0.971072;0.916021;0.857621;0.000000;0.967871;0.943253;0.969565;0.948906;0.971655;0.974404;0.974667;0.971898;0.977360;0.961671;0.913635;0.939552;0.936099;0.894823;0.722025;0.972003;0.914392;0.886905;0.971961;0.926585;0.980244;0.941424;0.913132;0.976861;0.911146;0.948827;0.963389;0.940843;0.935721;0.971299;0.881345;0.966257;0.970235;0.967282;0.963028;0.985691;0.976084;0.969978;0.984651;0.940055;0.979683;0.984131;0.952755;0.926508;0.941820;0.937365;0.999393;0.998174;0.969337;0.983025;0.942058;0.974387;0.968908;0.978475;0.970826;0.972898;0.995337;0.960225;0.980523;0.974841;0.970259;0.969399;0.969415;0.979183;0.968733;0.983774;0.978633;0.961364;0.981617;0.998547;0.957322;0.981500;0.999701;0.973192;0.995894;0.996146;0.969208;0.989826;0.992358;0.960585;0.970490;0.967919;0.956838;0.981189;0.973560
ID5;0.976219;0.583595;0.920740;0.976538;0.967871;0.000000;0.944537;0.879280;0.915678;0.932723;0.977863;0.967468;0.961935;0.955330;0.955819;0.949148;0.948326;0.955285;0.971603;0.970722;0.561205;0.902025;0.973183;0.570661;0.974458;0.672016;0.931965;0.943550;0.966472;0.947438;0.954700;0.926885;0.948512;0.940828;0.940485;0.921854;0.938069;0.930564;0.972412;0.969318;0.987301;0.980210;0.980210;0.993863;0.974923;0.983622;0.986462;0.969818;0.975175;0.970880;0.983147;0.999474;0.998323;0.973746;0.987028;0.975509;0.981015;0.983453;0.983401;0.980770;0.978153;0.996709;0.979563;0.986246;0.981456;0.980589;0.975853;0.978375;0.988622;0.978124;0.989676;0.985532;0.974498;0.985192;0.999039;0.974408;0.987736;0.999790;0.980840;0.997105;0.996911;0.976699;0.994501;0.994620;0.968160;0.977076;0.974642;0.977061;0.985415;0.980724
ID6;0.906215;0.951564;0.956316;0.889364;0.943253;0.944537;0.000000;0.937475;0.934859;0.954016;0.974870;0.972870;0.963395;0.966730;0.958286;0.948318;0.962799;0.957702;0.882431;0.935160;0.953264;0.953519;0.857631;0.950652;0.857382;0.948535;0.936361;0.946049;0.973770;0.954149;0.958765;0.963087;0.962804;0.949831;0.941624;0.929324;0.937883;0.924428;0.974468;0.974026;0.989454;0.981030;0.979941;0.992251;0.971951;0.988363;0.986791;0.972415;0.971299;0.966050;0.976210;0.999531;0.998205;0.976006;0.987157;0.971521;0.981625;0.984275;0.984411;0.982031;0.975736;0.996149;0.980822;0.986307;0.981732;0.980807;0.973829;0.976948;0.986770;0.975421;0.990019;0.985746;0.975125;0.985044;0.998726;0.970764;0.986279;0.999741;0.980694;0.996645;0.996506;0.973820;0.994310;0.995545;0.975202;0.981255;0.973726;0.978202;0.980325;0.977423
ID7;0.977920;0.902781;0.937675;0.977833;0.969565;0.879280;0.937475;0.000000;0.897229;0.881303;0.962652;0.950441;0.942600;0.922462;0.943472;0.939307;0.948152;0.936229;0.978304;0.971849;0.944146;0.946529;0.969927;0.935032;0.974202;0.927744;0.920383;0.932931;0.952232;0.938649;0.945159;0.941701;0.958393;0.924536;0.938682;0.922854;0.918877;0.929357;0.967129;0.968389;0.982811;0.975260;0.977895;0.991085;0.974397;0.985029;0.981779;0.969767;0.972446;0.965271;0.976588;0.999238;0.997291;0.969138;0.982481;0.967637;0.978459;0.981685;0.982572;0.980628;0.970234;0.994415;0.977848;0.982934;0.980883;0.979118;0.969822;0.976352;0.983378;0.974478;0.986820;0.982182;0.970796;0.980534;0.998274;0.970808;0.983858;0.999620;0.978789;0.995053;0.994913;0.969159;0.991959;0.993593;0.972988;0.979083;0.966676;0.976099;0.979073;0.973646
ID8;0.966313;0.917408;0.931218;0.960524;0.948906;0.915678;0.934859;0.897229;0.000000;0.867094;0.938573;0.936845;0.886449;0.913185;0.867160;0.888828;0.916786;0.928145;0.966164;0.955397;0.938088;0.932346;0.953410;0.928207;0.964257;0.923652;0.729063;0.884370;0.936351;0.908480;0.890312;0.911281;0.934568;0.912224;0.909324;0.886588;0.891017;0.902648;0.965197;0.964621;0.984302;0.976798;0.971150;0.989556;0.963313;0.983154;0.983116;0.964916;0.961701;0.957624;0.972284;0.999348;0.997699;0.970268;0.984209;0.960778;0.971637;0.973329;0.977993;0.973064;0.955720;0.992879;0.966662;0.980059;0.976797;0.974491;0.960902;0.962160;0.975834;0.960276;0.983596;0.977996;0.962409;0.978810;0.997951;0.952701;0.983329;0.999622;0.973138;0.994747;0.994922;0.961978;0.990871;0.993528;0.967765;0.976721;0.964056;0.965259;0.978213;0.969928
ID9;0.977653;0.932993;0.944139;0.978360;0.971655;0.932723;0.954016;0.881303;0.867094;0.000000;0.952367;0.931224;0.891845;0.756294;0.933681;0.935406;0.947535;0.934328;0.979602;0.972859;0.948498;0.950231;0.969974;0.941310;0.976453;0.948474;0.901793;0.931203;0.881118;0.927074;0.931206;0.928555;0.953442;0.929477;0.918248;0.933342;0.919587;0.922184;0.970910;0.970166;0.984691;0.978417;0.979572;0.991412;0.976021;0.986571;0.982026;0.972961;0.974853;0.967399;0.977580;0.999232;0.997160;0.973839;0.984343;0.968951;0.977520;0.980810;0.982963;0.980589;0.967278;0.993703;0.975299;0.982117;0.980944;0.979369;0.970616;0.975890;0.982839;0.974370;0.985561;0.980418;0.969179;0.979105;0.997933;0.968739;0.984702;0.999608;0.980248;0.994810;0.994629;0.968982;0.991211;0.994316;0.976049;0.982367;0.963489;0.974940;0.979662;0.973424
