;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40
ID17;0.844064;0.891644;0.897863;0.928187;0.899741;0.920177;0.919644;0.675267;0.894635;0.754912;0.646932;0.922754;0.928047;0.892604;0.406876;0.963334;0.883637;0.000000;0.881737;0.931640;0.681787;0.671296;0.903253;0.870235;0.909836;0.890395;0.802475;0.920287;0.941474;0.868124;0.941197;0.811018;0.497408;0.900714;0.875535;0.934545;0.833481;0.926721;0.943082;0.920540;0.481510
ID18;0.520167;0.527586;0.481085;0.480886;0.516659;0.545495;0.545936;0.680870;0.627650;0.723690;0.878134;0.818413;0.732550;0.529200;0.789803;0.813356;0.508118;0.881737;0.000000;0.604117;0.594187;0.600842;0.650875;0.590111;0.539641;0.621083;0.564167;0.661204;0.612553;0.754298;0.940245;0.962614;0.935468;0.684330;0.625122;0.694329;0.526840;0.611184;0.940750;0.759531;0.853973
ID19;0.606101;0.647669;0.620023;0.700618;0.713469;0.467252;0.380745;0.822460;0.759564;0.852790;0.940158;0.913916;0.795078;0.582771;0.867781;0.819014;0.679381;0.931640;0.604117;0.000000;0.726853;0.718356;0.759518;0.728494;0.625458;0.689142;0.677907;0.761392;0.614863;0.884012;0.968951;0.982693;0.954955;0.702994;0.731923;0.788119;0.626737;0.617740;0.963438;0.830489;0.916096
ID20;0.579674;0.674185;0.670918;0.735043;0.689846;0.706191;0.704363;0.498737;0.709000;0.610538;0.741325;0.830607;0.783469;0.667018;0.603286;0.873829;0.639901;0.681787;0.594187;0.726853;0.000000;0.355629;0.739699;0.654661;0.709210;0.674991;0.578509;0.752113;0.777784;0.746081;0.929659;0.915981;0.803630;0.755929;0.679741;0.802384;0.593135;0.744408;0.931673;0.819637;0.684857
ID21;0.618355;0.682051;0.662597;0.715396;0.671628;0.703741;0.679917;0.492463;0.692520;0.602804;0.739852;0.833170;0.785571;0.673008;0.609263;0.878631;0.647044;0.671296;0.600842;0.718356;0.355629;0.000000;0.723879;0.645058;0.710183;0.699295;0.606686;0.745426;0.753693;0.751679;0.933838;0.914061;0.803006;0.785047;0.690738;0.794693;0.614248;0.739980;0.934420;0.819816;0.686223
ID22;0.724452;0.668895;0.595386;0.667340;0.553204;0.756748;0.675711;0.672869;0.405585;0.689879;0.858287;0.808232;0.746222;0.705252;0.848776;0.893980;0.638153;0.903253;0.650875;0.759518;0.739699;0.723879;0.000000;0.485470;0.678475;0.739778;0.717652;0.716619;0.704395;0.622815;0.929695;0.963233;0.936965;0.853925;0.625025;0.679171;0.685885;0.776688;0.926080;0.758293;0.857382
ID23;0.631758;0.609356;0.534116;0.649963;0.495308;0.741244;0.640052;0.616877;0.416258;0.563364;0.796881;0.765074;0.701083;0.629647;0.779679;0.879861;0.556698;0.870235;0.590111;0.728494;0.654661;0.645058;0.485470;0.000000;0.613485;0.721595;0.631027;0.730807;0.699435;0.537492;0.875329;0.944171;0.915378;0.788347;0.548122;0.661170;0.581277;0.730379;0.870285;0.694871;0.815167
ID24;0.472750;0.486065;0.478189;0.555533;0.624284;0.577380;0.564070;0.727071;0.652823;0.751541;0.893383;0.832238;0.680396;0.337098;0.805259;0.827376;0.481970;0.909836;0.539641;0.625458;0.709210;0.710183;0.678475;0.613485;0.000000;0.750576;0.581736;0.733606;0.663716;0.762993;0.949138;0.971815;0.944882;0.570440;0.584290;0.611070;0.346376;0.479964;0.949106;0.716955;0.871854
ID25;0.590917;0.693780;0.660246;0.756265;0.697333;0.705672;0.691539;0.754336;0.750879;0.777245;0.885748;0.865720;0.765486;0.677880;0.820586;0.823931;0.688753;0.890395;0.621083;0.689142;0.674991;0.699295;0.739778;0.721595;0.750576;0.000000;0.654850;0.718787;0.718697;0.811972;0.945379;0.969995;0.933580;0.784143;0.752563;0.825921;0.702548;0.746245;0.949222;0.842360;0.845523
ID26;0.441020;0.283309;0.515527;0.675269;0.652438;0.654394;0.643218;0.647479;0.692175;0.678978;0.823944;0.845782;0.738683;0.513973;0.694893;0.861168;0.422785;0.802475;0.564167;0.677907;0.578509;0.606686;0.717652;0.631027;0.581736;0.654850;0.000000;0.755078;0.719429;0.753563;0.936656;0.951730;0.893395;0.704398;0.638666;0.756675;0.509959;0.592026;0.935692;0.785304;0.781102
