Taxa	TaxID
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__Archaea_unclassified_SGB25634|t__SGB25634	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|s__archaea_unclassified_sgb25634|t__sgb25634
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__DPANN_group_archaeon_LC1Nh|t__SGB74531	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|2565781|t__sgb74531
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__archaeon_SCG_AAA382B04|t__SGB25582	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|s__archaeon_scg_aaa382b04|t__sgb25582
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__archaeon|t__SGB74674	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|1906665|t__sgb74674
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__archaeon|t__SGB74971	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|1906665|t__sgb74971
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__archaeon|t__SGB74992	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|1906665|t__sgb74992
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__GGB17032|s__GGB17032_SGB25635|t__SGB25635	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__ggb17032|s__ggb17032_sgb25635|t__sgb25635
k__Archaea|p__Archaea_unclassified|c__CFGB27295|o__OFGB27295|f__FGB27295|g__GGB53558|s__GGB53558_SGB74667|t__SGB74667	2157|p__archaea_unclassified|c__cfgb27295|o__ofgb27295|f__fgb27295|g__ggb53558|s__ggb53558_sgb74667|t__sgb74667
k__Archaea|p__Archaea_unclassified|c__CFGB35275|o__OFGB35275|f__FGB35275|g__GGB53419|s__GGB53419_SGB74526|t__SGB74526	2157|p__archaea_unclassified|c__cfgb35275|o__ofgb35275|f__fgb35275|g__ggb53419|s__ggb53419_sgb74526|t__sgb74526
k__Archaea|p__Candidatus_Altiarchaeota|c__Candidatus_Altiarchaeota_unclassified|o__Candidatus_Altiarchaeales|f__Candidatus_Altiarchaeales_unclassified|g__Candidatus_Altiarchaeales_unclassified|s__Candidatus_Altiarchaeales_archaeon_WOR_SM1_SCG|t__SGB636	2157|2582935|c__altiarchaeota_unclassified|1803511|f__altiarchaeales_unclassified|g__altiarchaeales_unclassified|1849261|t__sgb636
k__Archaea|p__Candidatus_Bathyarchaeota|c__CFGB6235|o__OFGB6235|f__FGB6235|g__GGB18037|s__GGB18037_SGB26674|t__SGB26674	2157|928852|c__cfgb6235|o__ofgb6235|f__fgb6235|g__ggb18037|s__ggb18037_sgb26674|t__sgb26674
k__Archaea|p__Candidatus_Bathyarchaeota|c__CFGB6235|o__OFGB6235|f__FGB6235|g__GGB18038|s__GGB18038_SGB26675|t__SGB26675	2157|928852|c__cfgb6235|o__ofgb6235|f__fgb6235|g__ggb18038|s__ggb18038_sgb26675|t__sgb26675
k__Archaea|p__Candidatus_Bathyarchaeota|c__CFGB6235|o__OFGB6235|f__FGB6235|g__GGB18039|s__GGB18039_SGB26677|t__SGB26677	2157|928852|c__cfgb6235|o__ofgb6235|f__fgb6235|g__ggb18039|s__ggb18039_sgb26677|t__sgb26677
k__Archaea|p__Candidatus_Bathyarchaeota|c__CFGB6235|o__OFGB6235|f__FGB6235|g__GGB18042|s__GGB18042_SGB26680|t__SGB26680	2157|928852|c__cfgb6235|o__ofgb6235|f__fgb6235|g__ggb18042|s__ggb18042_sgb26680|t__sgb26680
k__Archaea|p__Candidatus_Bathyarchaeota|c__Candidatus_Bathyarchaeota_unclassified|o__Candidatus_Bathyarchaeota_unclassified|f__Candidatus_Bathyarchaeota_unclassified|g__Candidatus_Bathyarchaeota_unclassified|s__Candidatus_Bathyarchaeota_archaeon|t__SGB27591	2157|928852|c__bathyarchaeota_unclassified|o__bathyarchaeota_unclassified|f__bathyarchaeota_unclassified|g__bathyarchaeota_unclassified|2026714|t__sgb27591
k__Archaea|p__Candidatus_Bathyarchaeota|c__Candidatus_Bathyarchaeota_unclassified|o__Candidatus_Bathyarchaeota_unclassified|f__Candidatus_Bathyarchaeota_unclassified|g__Candidatus_Bathyarchaeota_unclassified|s__Candidatus_Bathyarchaeota_archaeon|t__SGB74695	2157|928852|c__bathyarchaeota_unclassified|o__bathyarchaeota_unclassified|f__bathyarchaeota_unclassified|g__bathyarchaeota_unclassified|2026714|t__sgb74695
k__Archaea|p__Candidatus_Bathyarchaeota|c__Candidatus_Bathyarchaeota_unclassified|o__Candidatus_Bathyarchaeota_unclassified|f__Candidatus_Bathyarchaeota_unclassified|g__Candidatus_Bathyarchaeota_unclassified|s__Candidatus_Bathyarchaeota_archaeon|t__SGB74700	2157|928852|c__bathyarchaeota_unclassified|o__bathyarchaeota_unclassified|f__bathyarchaeota_unclassified|g__bathyarchaeota_unclassified|2026714|t__sgb74700
k__Archaea|p__Candidatus_Diapherotrites|c__CFGB52648|o__OFGB52648|f__FGB52648|g__GGB53919|s__GGB53919_SGB75093|t__SGB75093	2157|743725|c__cfgb52648|o__ofgb52648|f__fgb52648|g__ggb53919|s__ggb53919_sgb75093|t__sgb75093
k__Archaea|p__Candidatus_Diapherotrites|c__Candidatus_Diapherotrites_unclassified|o__Candidatus_Diapherotrites_unclassified|f__Candidatus_Diapherotrites_unclassified|g__Candidatus_Diapherotrites_unclassified|s__Candidatus_Diapherotrites_archaeon|t__SGB76691	2157|743725|c__diapherotrites_unclassified|o__diapherotrites_unclassified|f__diapherotrites_unclassified|g__diapherotrites_unclassified|2026736|t__sgb76691
k__Archaea|p__Candidatus_Diapherotrites|c__Candidatus_Diapherotrites_unclassified|o__Candidatus_Diapherotrites_unclassified|f__Candidatus_Diapherotrites_unclassified|g__Candidatus_Iainarchaeum|s__Candidatus_Iainarchaeum_andersonii|t__SGB45703	2157|743725|c__diapherotrites_unclassified|o__diapherotrites_unclassified|f__diapherotrites_unclassified|1462418|1462419|t__sgb45703
k__Archaea|p__Candidatus_Korarchaeota|c__Candidatus_Korarchaeota_unclassified|o__Candidatus_Korarchaeota_unclassified|f__Candidatus_Korarchaeota_unclassified|g__Candidatus_Korarchaeum|s__Candidatus_Korarchaeum_cryptofilum|t__SGB903	2157|51967|c__korarchaeota_unclassified|o__korarchaeota_unclassified|f__korarchaeota_unclassified|498845|498846|t__sgb903
k__Archaea|p__Candidatus_Korarchaeota|c__Candidatus_Korarchaeota_unclassified|o__Candidatus_Korarchaeota_unclassified|f__Candidatus_Korarchaeota_unclassified|g__Candidatus_Methanodesulfokores|s__Candidatus_Methanodesulfokores_washburnensis|t__SGB27555	2157|51967|c__korarchaeota_unclassified|o__korarchaeota_unclassified|f__korarchaeota_unclassified|2545700|2478471|t__sgb27555
k__Archaea|p__Candidatus_Micrarchaeota|c__CFGB76|o__OFGB76|f__FGB76|g__GGB110|s__GGB110_SGB130|t__SGB130	2157|1801631|c__cfgb76|o__ofgb76|f__fgb76|g__ggb110|s__ggb110_sgb130|t__sgb130
k__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeota_unclassified|o__Candidatus_Micrarchaeota_unclassified|f__Candidatus_Micrarchaeota_unclassified|g__Candidatus_Mancarchaeum|s__Candidatus_Mancarchaeum_acidiphilum|t__SGB131	2157|1801631|c__micrarchaeota_unclassified|o__micrarchaeota_unclassified|f__micrarchaeota_unclassified|2490204|1920749|t__sgb131
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB107|o__OFGB107|f__FGB107|g__GGB247|s__GGB247_SGB349|t__SGB349	2157|2283796|c__cfgb107|o__ofgb107|f__fgb107|g__ggb247|s__ggb247_sgb349|t__sgb349
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB107|o__OFGB107|f__FGB107|g__GGB27244|s__GGB27244_SGB39470|t__SGB39470	2157|2283796|c__cfgb107|o__ofgb107|f__fgb107|g__ggb27244|s__ggb27244_sgb39470|t__sgb39470
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB110|o__OFGB110|f__FGB110|g__GGB254|s__GGB254_SGB356|t__SGB356	2157|2283796|c__cfgb110|o__ofgb110|f__fgb110|g__ggb254|s__ggb254_sgb356|t__sgb356
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB128|o__OFGB128|f__FGB128|g__GGB27352|s__GGB27352_SGB39617|t__SGB39617	2157|2283796|c__cfgb128|o__ofgb128|f__fgb128|g__ggb27352|s__ggb27352_sgb39617|t__sgb39617
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB17031|o__OFGB17031|f__FGB17031|g__GGB54084|s__GGB54084_SGB75269|t__SGB75269	2157|2283796|c__cfgb17031|o__ofgb17031|f__fgb17031|g__ggb54084|s__ggb54084_sgb75269|t__sgb75269
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB32152|o__OFGB32152|f__FGB32152|g__GGB53990|s__GGB53990_SGB75167|t__SGB75167	2157|2283796|c__cfgb32152|o__ofgb32152|f__fgb32152|g__ggb53990|s__ggb53990_sgb75167|t__sgb75167
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB34855|o__OFGB34855|f__FGB34855|g__GGB41726|s__GGB41726_SGB58815|t__SGB58815	2157|2283796|c__cfgb34855|o__ofgb34855|f__fgb34855|g__ggb41726|s__ggb41726_sgb58815|t__sgb58815
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB41726|o__OFGB41726|f__FGB41726|g__GGB54055|s__GGB54055_SGB75239|t__SGB75239	2157|2283796|c__cfgb41726|o__ofgb41726|f__fgb41726|g__ggb54055|s__ggb54055_sgb75239|t__sgb75239
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB5678|o__OFGB5678|f__FGB5678|g__GGB16984|s__GGB16984_SGB25584|t__SGB25584	2157|2283796|c__cfgb5678|o__ofgb5678|f__fgb5678|g__ggb16984|s__ggb16984_sgb25584|t__sgb25584
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB9280|o__OFGB9280|f__FGB9280|g__GGB27313|s__GGB27313_SGB39556|t__SGB39556	2157|2283796|c__cfgb9280|o__ofgb9280|f__fgb9280|g__ggb27313|s__ggb27313_sgb39556|t__sgb39556
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB9280|o__OFGB9280|f__FGB9280|g__GGB27315|s__GGB27315_SGB39558|t__SGB39558	2157|2283796|c__cfgb9280|o__ofgb9280|f__fgb9280|g__ggb27315|s__ggb27315_sgb39558|t__sgb39558
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB9287|o__OFGB9287|f__FGB9287|g__GGB27335|s__GGB27335_SGB39587|t__SGB39587	2157|2283796|c__cfgb9287|o__ofgb9287|f__fgb9287|g__ggb27335|s__ggb27335_sgb39587|t__sgb39587
