Taxa	TaxID
k__Archaea|p__Archaea_noname|c__Archaea_noname|o__Archaea_noname|f__Archaea_noname|g__Archaea_noname|s__halophilic_archaeon_DL31|t__GCF_000224475	2157|p__archaea_noname|c__archaea_noname|o__archaea_noname|f__archaea_noname|g__archaea_noname|756883|t__gcf_000224475
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_noname|o__Crenarchaeota_noname|f__Crenarchaeota_noname|g__Crenarchaeota_noname|s__Crenarchaeota_archaeon_SCGC_AAA471_B05|t__GCF_000380705	2157|28889|c__crenarchaeota_noname|o__crenarchaeota_noname|f__crenarchaeota_noname|g__crenarchaeota_noname|s__crenarchaeota_archaeon_scgc_aaa471_b05|t__gcf_000380705
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_noname|o__Crenarchaeota_noname|f__Crenarchaeota_noname|g__Crenarchaeota_noname|s__Crenarchaeota_archaeon_SCGC_AAA471_L14|t__GCF_000399825	2157|28889|c__crenarchaeota_noname|o__crenarchaeota_noname|f__crenarchaeota_noname|g__crenarchaeota_noname|s__crenarchaeota_archaeon_scgc_aaa471_l14|t__gcf_000399825
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_noname|o__Crenarchaeota_noname|f__Crenarchaeota_noname|g__Crenarchaeota_noname|s__Crenarchaeota_archaeon_SCGC_AAA471_O08|t__GCF_000398765	2157|28889|c__crenarchaeota_noname|o__crenarchaeota_noname|f__crenarchaeota_noname|g__crenarchaeota_noname|s__crenarchaeota_archaeon_scgc_aaa471_o08|t__gcf_000398765
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae|g__Acidilobus|s__Acidilobus_saccharovorans|t__GCF_000144915	2157|28889|183924|871006|871007|105850|242703|t__gcf_000144915
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae|g__Caldisphaera|s__Caldisphaera_lagunensis|t__GCF_000317795	2157|28889|183924|871006|255472|200414|200415|t__gcf_000317795
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Aeropyrum|s__Aeropyrum_pernix|t__GCF_000011125	2157|28889|183924|114380|2272|56635|56636|t__gcf_000011125
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus_fermentans|t__GCF_000231015	2157|28889|183924|114380|2272|2273|94694|t__gcf_000231015
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus_kamchatkensis|t__GCF_000020905	2157|28889|183924|114380|2272|2273|94694|t__gcf_000020905
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus_mucosus|t__GCF_000186365	2157|28889|183924|114380|2272|2273|2275|t__gcf_000186365
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_hospitalis|t__GCF_000017945	2157|28889|183924|114380|2272|54258|160233|t__gcf_000017945
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignisphaera|s__Ignisphaera_aggregans|t__GCF_000145985	2157|28889|183924|114380|2272|334767|334771|t__gcf_000145985
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Staphylothermus_hellenicus|t__GCF_000092465	2157|28889|183924|114380|2272|2279|84599|t__gcf_000092465
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Staphylothermus_marinus|t__GCF_000015945	2157|28889|183924|114380|2272|2279|2280|t__gcf_000015945
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermogladius|s__Thermogladius_cellulolyticus|t__GCF_000264495	2157|28889|183924|114380|2272|477695|1200300|t__gcf_000264495
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermosphaera|s__Thermosphaera_aggregans|t__GCF_000092185	2157|28889|183924|114380|2272|54253|54254|t__gcf_000092185
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Hyperthermus|s__Hyperthermus_butylicus|t__GCF_000015145	2157|28889|183924|114380|2307|54247|54248|t__gcf_000015145
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Pyrolobus|s__Pyrolobus_fumarii|t__GCF_000223395	2157|28889|183924|114380|2307|54251|54252|t__gcf_000223395
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Fervidicoccales|f__Fervidicoccaceae|g__Fervidicoccus|s__Fervidicoccus_fontis|t__GCF_000258425	2157|28889|183924|685948|685949|685950|683846|t__gcf_000258425
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus_hospitalis|t__GCF_000213215	2157|28889|183924|2281|118883|12914|563177|t__gcf_000213215
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera_cuprina|t__GCF_000204925	2157|28889|183924|2281|118883|41980|1006005|t__gcf_000204925
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera_sedula|t__GCF_000016605	2157|28889|183924|2281|118883|41980|43687|t__gcf_000016605
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera_yellowstonensis|t__GCF_000243315	2157|28889|183924|2281|118883|41980|1111107|t__gcf_000243315
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_acidocaldarius|t__GCF_000012285	2157|28889|183924|2281|118883|2284|2285|t__gcf_000012285
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_acidocaldarius|t__GCF_000338775	2157|28889|183924|2281|118883|2284|2285|t__gcf_000338775
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_acidocaldarius|t__GCF_000340315	2157|28889|183924|2281|118883|2284|2285|t__gcf_000340315
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_islandicus|t__GCF_000022385	2157|28889|183924|2281|118883|2284|43080|t__gcf_000022385
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_islandicus|t__GCF_000022405	2157|28889|183924|2281|118883|2284|43080|t__gcf_000022405
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_islandicus|t__GCF_000022425	2157|28889|183924|2281|118883|2284|43080|t__gcf_000022425
