Taxa	TaxID
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__CG10238-14|g__JAGVVZ01|s__JAGVVZ01_sp018304545	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__cg10238-14|g__jagvvz01|s__jagvvz01_sp018304545
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__CG10238-14|g__JAHLMN01|s__JAHLMN01_sp018920345	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__cg10238-14|g__jahlmn01|s__jahlmn01_sp018920345
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__CG10238-14|g__JAHLMN01|s__JAHLMN01_sp018920365	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__cg10238-14|g__jahlmn01|s__jahlmn01_sp018920365
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__CG10238-14|g__RBG-16-49-10|s__RBG-16-49-10_sp001784635	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__cg10238-14|g__rbg-16-49-10|s__rbg-16-49-10_sp001784635
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__EX4484-224|g__EX4484-224|s__EX4484-224_sp002254545	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__ex4484-224|g__ex4484-224|s__ex4484-224_sp002254545
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__EX4484-224|g__JAHLMO01|s__JAHLMO01_sp018920305	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__ex4484-224|g__jahlmo01|s__jahlmo01_sp018920305
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__EX4484-224|g__SpSt-28|s__SpSt-28_sp011047985	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__ex4484-224|g__spst-28|s__spst-28_sp011047985
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__EX4484-224|g__SpSt-9|s__SpSt-9_sp011333035	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__ex4484-224|g__spst-9|s__spst-9_sp011333035
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__EX4484-224|g__WAMV01|s__WAMV01_sp015522145	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__ex4484-224|g__wamv01|s__wamv01_sp015522145
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__JABABT01|s__JABABT01_sp014238095	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__scsr01|g__jababt01|s__jababt01_sp014238095
