Taxa	TaxID
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__enterobacterales|f__yersiniaceae|g__yersinia|s__yersinia_enterocolitica	2|1224|1236|91347|1903411|629|630|393305
k__viruses|f__alphasatellitidae|g__colecusatellite|s__cotton_leaf_curl_multan_alphasatellite	10239|1458186|2169619|1048668
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__rhodospirillales|f__stellaceae|g__stella|s__stella_humosa	2|1224|28211|204441|2844601|93|94
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|f__micrococcaceae|g__arthrobacter|s__arthrobacter_sp._ergs1:01	2|201174|1760|85006|1268|1663|1704044
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__enterobacterales|f__enterobacteriaceae|g__escherichia|s__escherichia_coli	2|1224|1236|91347|543|561|562|1048689
k__bacteria|p__planctomycetota|c__planctomycetia|o__gemmatales|f__gemmataceae|g__gemmata|s__gemmata_obscuriglobus	2|203682|203683|2691355|1914233|113|114
k__bacteria|p__planctomycetota|c__planctomycetia|o__planctomycetales|f__planctomycetaceae|g__gimesia|s__gimesia_maris	2|203682|203683|112|126|1649453|122
k__bacteria|p__actinobacteria|c__actinomycetia|o__pseudonocardiales|f__pseudonocardiaceae|g__saccharothrix|s__saccharothrix_espanaensis	2|201174|1760|85010|2070|2071|103731|1179773
k__bacteria|p__tenericutes|c__mollicutes|o__mycoplasmatales|f__mycoplasmataceae|g__mycoplasma|s__mycoplasma_feriruminatoris	2|544448|31969|2085|2092|2093|1179777
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__methylocystaceae|g__methylocystis|s__methylocystis_parvus	2|1224|28211|356|31993|133|134
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__enterobacterales|f__yersiniaceae|g__chania|s__chania_multitudinisentens	2|1224|1236|91347|1903411|1745211|1639108|1441930
k__bacteria|p__spirochaetes|c__spirochaetia|o__spirochaetales|f__borreliaceae|g__borreliella|s__borreliella_burgdorferi	2|203691|203692|136|1643685|64895|139
k__bacteria|p__spirochaetes|c__spirochaetia|o__spirochaetales|f__borreliaceae|g__borrelia|s__borrelia_hermsii	2|203691|203692|136|1643685|138|140
k__bacteria|p__spirochaetes|c__spirochaetia|o__spirochaetales|f__borreliaceae|g__borrelia|s__borrelia_turicatae	2|203691|203692|136|1643685|138|142
k__viruses|k__orthornavirae|p__kitrinoviricota|c__alsuviricetes|o__tymovirales|f__betaflexiviridae|g__trichovirus|s__cherry_mottle_leaf_virus	10239|2732396|2732406|2732461|675063|675068|40276|131226
k__viruses|k__orthornavirae|p__kitrinoviricota|c__flasuviricetes|o__amarillovirales|f__flaviviridae|g__pegivirus|s__pegivirus_h	10239|2732396|2732406|2732462|2732545|11050|1307799|1985361|1704090
k__bacteria|p__spirochaetes|c__spirochaetia|o__brachyspirales|f__brachyspiraceae|g__brachyspira|s__brachyspira_hyodysenteriae	2|203691|203692|1643686|143786|29521|159
k__bacteria|p__spirochaetes|c__spirochaetia|o__spirochaetales|f__treponemataceae|g__treponema|s__treponema_pallidum	2|203691|203692|136|2845253|157|160|161
k__bacteria|p__spirochaetes|c__spirochaetia|o__spirochaetales|f__treponemataceae|g__treponema|s__treponema_phagedenis	2|203691|203692|136|2845253|157|162
k__bacteria|p__actinobacteria|c__actinomycetia|o__corynebacteriales|f__mycobacteriaceae|g__mycobacterium|s__mycobacterium_avium	2|201174|1760|85007|1762|1763|1764|262316
k__bacteria|p__spirochaetes|c__spirochaetia|o__leptospirales|f__leptospiraceae|g__leptospira|s__leptospira_interrogans	2|203691|203692|1643688|170|171|173
k__bacteria|p__spirochaetes|c__spirochaetia|o__leptospirales|f__leptospiraceae|g__leptospira|s__leptospira_borgpetersenii	2|203691|203692|1643688|170|171|174
k__bacteria|p__spirochaetes|c__spirochaetia|o__leptospirales|f__leptospiraceae|g__leptospira|s__leptospira_interrogans	2|203691|203692|1643688|170|171|173|176
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__xanthomonadales|f__xanthomonadaceae|g__lysobacter|s__lysobacter_gummosus	2|1224|1236|135614|32033|68|262324
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__rhodospirillales|f__azospirillaceae|g__azospirillum|s__azospirillum_brasilense	2|1224|28211|204441|2829815|191|192
k__bacteria|p__proteobacteria|c__epsilonproteobacteria|o__campylobacterales|f__campylobacteraceae|g__campylobacter|s__campylobacter_coli	2|1224|29547|213849|72294|194|195
k__bacteria|p__proteobacteria|c__epsilonproteobacteria|o__campylobacterales|f__campylobacteraceae|g__campylobacter|s__campylobacter_fetus	2|1224|29547|213849|72294|194|196
k__bacteria|p__proteobacteria|c__epsilonproteobacteria|o__campylobacterales|f__campylobacteraceae|g__campylobacter|s__campylobacter_jejuni	2|1224|29547|213849|72294|194|197
k__bacteria|p__proteobacteria|c__epsilonproteobacteria|o__campylobacterales|f__campylobacteraceae|g__campylobacter|s__campylobacter_hyointestinalis	2|1224|29547|213849|72294|194|198
k__bacteria|p__proteobacteria|c__epsilonproteobacteria|o__campylobacterales|f__campylobacteraceae|g__campylobacter|s__campylobacter_concisus	2|1224|29547|213849|72294|194|199
