Taxa	TaxID
k__Archaea|p__Candidatus_Bathyarchaeota|c__Candidatus_Bathyarchaeota_unclassified|o__Candidatus_Bathyarchaeota_unclassified|f__Candidatus_Bathyarchaeota_unclassified	2157|928852|c__candidatus_bathyarchaeota_unclassified|o__candidatus_bathyarchaeota_unclassified|f__candidatus_bathyarchaeota_unclassified
k__Archaea|p__Candidatus_Bathyarchaeota|c__Candidatus_Bathyarchaeota_unclassified|o__Candidatus_Bathyarchaeota_unclassified|f__Candidatus_Bathyarchaeota_unclassified|g__Candidatus_Bathyarchaeota_unclassified	2157|928852|c__candidatus_bathyarchaeota_unclassified|o__candidatus_bathyarchaeota_unclassified|f__candidatus_bathyarchaeota_unclassified|g__candidatus_bathyarchaeota_unclassified
k__Archaea|p__Candidatus_Bathyarchaeota|c__Candidatus_Bathyarchaeota_unclassified|o__Candidatus_Bathyarchaeota_unclassified|f__Candidatus_Bathyarchaeota_unclassified|g__Candidatus_Bathyarchaeota_unclassified|s__Candidatus_Bathyarchaeota_archaeon|t__SGB27591	2157|928852|c__candidatus_bathyarchaeota_unclassified|o__candidatus_bathyarchaeota_unclassified|f__candidatus_bathyarchaeota_unclassified|g__candidatus_bathyarchaeota_unclassified|2026714
k__Archaea|p__Candidatus_Diapherotrites|c__CFGB13927|o__OFGB13927|f__FGB13927	2157|743725|c__cfgb13927|o__ofgb13927|f__fgb13927
k__Archaea|p__Candidatus_Diapherotrites|c__CFGB13927|o__OFGB13927|f__FGB13927|g__GGB38156	2157|743725|c__cfgb13927|o__ofgb13927|f__fgb13927|g__ggb38156
k__Archaea|p__Candidatus_Diapherotrites|c__CFGB13927|o__OFGB13927|f__FGB13927|g__GGB38156|s__GGB38156_SGB45709|t__SGB45709	2157|743725|c__cfgb13927|o__ofgb13927|f__fgb13927|g__ggb38156|s__ggb38156_sgb45709
k__Archaea|p__Candidatus_Diapherotrites|c__CFGB185|o__OFGB185|f__FGB185	2157|743725|c__cfgb185|o__ofgb185|f__fgb185
k__Archaea|p__Candidatus_Diapherotrites|c__CFGB185|o__OFGB185|f__FGB185|g__GGB436	2157|743725|c__cfgb185|o__ofgb185|f__fgb185|g__ggb436
k__Archaea|p__Candidatus_Diapherotrites|c__CFGB185|o__OFGB185|f__FGB185|g__GGB436|s__GGB436_SGB584|t__SGB584	2157|743725|c__cfgb185|o__ofgb185|f__fgb185|g__ggb436|s__ggb436_sgb584
k__Archaea|p__Candidatus_Diapherotrites|c__CFGB186|o__OFGB186|f__FGB186	2157|743725|c__cfgb186|o__ofgb186|f__fgb186
k__Archaea|p__Candidatus_Diapherotrites|c__CFGB186|o__OFGB186|f__FGB186|g__GGB437	2157|743725|c__cfgb186|o__ofgb186|f__fgb186|g__ggb437
k__Archaea|p__Candidatus_Diapherotrites|c__CFGB186|o__OFGB186|f__FGB186|g__GGB437|s__GGB437_SGB585|t__SGB585	2157|743725|c__cfgb186|o__ofgb186|f__fgb186|g__ggb437|s__ggb437_sgb585
k__Archaea|p__Candidatus_Diapherotrites|c__Candidatus_Diapherotrites_unclassified|o__Candidatus_Diapherotrites_unclassified|f__Candidatus_Diapherotrites_unclassified|g__Candidatus_Iainarchaeum	2157|743725|c__candidatus_diapherotrites_unclassified|o__candidatus_diapherotrites_unclassified|f__candidatus_diapherotrites_unclassified|1462418
