Taxa	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__picrophilaceae|g__picrophilus	0.000147665676376888	0.000168511380189219	9.71924822806348e-05	0.000398609398899721	0.000240326193644697	0.000279232882006647	0.000457623688445061	0.000117380475679976	0.000134077538756856	0.000175007906468308	0.000682966558275471	0.000294142742681343	1.51005314103511e-05	0.000138359915310233	0.00019988183180321	0.000394509353085678
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__picrophilaceae|g__picrophilus|s__picrophilus_torridus	0.000147665676376888	0.000168511380189219	9.71924822806348e-05	0.000398609398899721	0.000240326193644697	0.000279232882006647	0.000457623688445061	0.000117380475679976	0.000134077538756856	0.000175007906468308	0.000682966558275471	0.000294142742681343	1.51005314103511e-05	0.000138359915310233	0.00019988183180321	0.000394509353085678
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__thermoplasmataceae	0.000254313109315752	0.000142586552467801	0.000536126273225437	0.000188637687366629	0.000303762549327561	0.000605565286279475	0.000161880488429545	0.000308123748659937	0.000294970585265082	0.000194453229409231	9.55591069192017e-05	0.000139955014662897	3.77513285258778e-05	0.000303716887266366	0.000376295756228714	0.000727405357321145
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__thermoplasmataceae|g__thermoplasma	0.000254313109315752	0.000142586552467801	0.000536126273225437	0.000188637687366629	0.000303762549327561	0.000605565286279475	0.000161880488429545	0.000308123748659937	0.000294970585265082	0.000194453229409231	9.55591069192017e-05	0.000139955014662897	3.77513285258778e-05	0.000303716887266366	0.000376295756228714	0.000727405357321145
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__thermoplasmataceae|g__thermoplasma|s__thermoplasma_acidophilum	0.000205091217190122	7.34536785440185e-05	0.000357417515483625	9.99330605692259e-05	0.000115893342112925	0.00019849084383605	3.42439494754808e-05	8.43672168949827e-05	0.000123351335656307	0.000108893808469169	4.4968991491389e-05	6.64193289925613e-05	1.00670209402341e-05	0.000195728660682769	0.000189361735392514	0.000113111073262327
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__thermoplasmataceae|g__thermoplasma|s__thermoplasma_volcanium	4.92218921256294e-05	6.91328739237821e-05	0.000178708757741812	8.87046267974028e-05	0.000187869207214636	0.000407074442443425	0.000127636538954065	0.000223756531764954	0.000171619249608775	8.1670356351877e-05	5.05901154278126e-05	7.35356856703358e-05	2.76843075856437e-05	0.000107988226583597	0.0001869340208362	0.000614294284058818
k__archaea|p__candidatus_thermoplasmatota|g__aciduliprofundum	3.28145947504196e-05	1.72832184809455e-05	0.000175573516377921	0.000240288482717015	0.000157370959290182	0.000400345939262542	0.000463849861076967	0.000234760951359952	0.000396869514720292	5.44469042345846e-05	2.24844957456945e-05	0.000111489587951799	1.51005314103511e-05	3.03716887266366e-05	0.000174795448054629	0.000304388335364474
k__archaea|p__candidatus_thermoplasmatota|g__aciduliprofundum|s__aciduliprofundum_boonei	3.28145947504196e-05	1.72832184809455e-05	0.000175573516377921	0.000240288482717015	0.000157370959290182	0.000400345939262542	0.000463849861076967	0.000234760951359952	0.000396869514720292	5.44469042345846e-05	2.24844957456945e-05	0.000111489587951799	1.51005314103511e-05	3.03716887266366e-05	0.000174795448054629	0.000304388335364474
k__archaea|p__crenarchaeota	0.00466787610324718	0.00461245893210234	0.00516374252632921	0.00711321279444996	0.00480408401305998	0.0126058507093844	0.00920850932258837	0.00611112101508875	0.00712219885876417	0.00553024984439853	0.00396008181321045	0.00385943743824633	0.0038531522648746	0.00534879184796878	0.00771932305089399	0.0104264499890103
k__archaea|p__crenarchaeota|c__thermoprotei	0.00466787610324718	0.00461245893210234	0.00516374252632921	0.00711321279444996	0.00480408401305998	0.0126058507093844	0.00920850932258837	0.00611112101508875	0.00712219885876417	0.00553024984439853	0.00396008181321045	0.00385943743824633	0.0038531522648746	0.00534879184796878	0.00771932305089399	0.0104264499890103
