Taxonomy	reERR3589553	reERR3589554	reERR3589555	reERR3589556	reERR3589557	reERR3589558	reERR3589559	reERR3589560	reERR3589561	reERR3589562	reERR3589563	reERR3589564	reERR3589565	reERR3589566	reERR3589567	reERR3589568	reERR3589569	reERR3589570	reERR3589571	reERR3589572	reERR3589573	reERR3589574	reERR3589575	reERR3589576	reERR3589577	reERR3589578	reERR3589579	reERR3589580	reERR3589581	reERR3589582	reERR3589583	reERR3589584	reERR3589585	reERR3589586	reERR3589587	reERR3589588	reERR3589589	reERR3589590	reERR3589591	reERR3589592	reERR3589593
k__Bacteria|p__Proteobacteria|c__CFGB26539|o__OFGB26539	0	0	0	0.241308039975458	0.137839977965273	0.142379652941406	0.258615373670624	0	0	0	0	0	0	0	0	0	0	0	0.125956153540053	0	0	0	0	0.130275941909102	0.070929725913512	0	0	0	0	0	0	0	0	0	0	0	0.158525286521134	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB26539|o__OFGB26539|f__FGB26539	0	0	0	0.241308039975458	0.137839977965273	0.142379652941406	0.258615373670624	0	0	0	0	0	0	0	0	0	0	0	0.125956153540053	0	0	0	0	0.130275941909102	0.070929725913512	0	0	0	0	0	0	0	0	0	0	0	0.158525286521134	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB26539|o__OFGB26539|f__FGB26539|g__GGB42934	0	0	0	0	0	0	0.080977455981363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB26557	0	0	0	0	0	0	0	0	0	0	0.254589097443878	0	0	0	0.922366197368479	0	0	0.561320523456902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.736953608541431	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB26557|o__OFGB26557	0	0	0	0	0	0	0	0	0	0	0.254589097443878	0	0	0	0.922366197368479	0	0	0.561320523456902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.736953608541431	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB26557|o__OFGB26557|f__FGB26557	0	0	0	0	0	0	0	0	0	0	0.254589097443878	0	0	0	0.922366197368479	0	0	0.561320523456902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.736953608541431	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB26557|o__OFGB26557|f__FGB26557|g__GGB42960	0	0	0	0	0	0	0	0	0	0	0.254589097443878	0	0	0	0.465136451911896	0	0	0.561320523456902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.736953608541431	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB26557|o__OFGB26557|f__FGB26557|g__GGB42960|s__GGB42960_SGB60184	0	0	0	0	0	0	0	0	0	0	0.254589097443878	0	0	0	0.465136451911896	0	0	0.561320523456902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.736953608541431	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB26557|o__OFGB26557|f__FGB26557|g__GGB42960|s__GGB42960_SGB60184|t__SGB60184	0	0	0	0	0	0	0	0	0	0	0.254589097443878	0	0	0	0.465136451911896	0	0	0.561320523456902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.736953608541431	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB26562	0.133625556554723	0.354403169703321	1.16154457838258	1.38621026746716	1.1191503766757	0.0691620621246268	0.898017751391098	0	0.773038832858887	0	0	0	0	0.230627819681527	0	0.509248434786993	0.559690348506601	0	0	0.62820551510686	0	0.226233486106736	0.958049251263404	0.612861459262527	0.120604786767083	0	0.262356795987586	0.49598879753705	0.242434640370428	0.130220933410776	0	0	0	0.105002048370386	0	0	0.155452912076284	0.255662249718112	0	0	0.108874042048857
k__Bacteria|p__Proteobacteria|c__CFGB26562|o__OFGB26562	0.133625556554723	0.354403169703321	1.16154457838258	1.38621026746716	1.1191503766757	0.0691620621246268	0.898017751391098	0	0.773038832858887	0	0	0	0	0.230627819681527	0	0.509248434786993	0.559690348506601	0	0	0.62820551510686	0	0.226233486106736	0.958049251263404	0.612861459262527	0.120604786767083	0	0.262356795987586	0.49598879753705	0.242434640370428	0.130220933410776	0	0	0	0.105002048370386	0	0	0.155452912076284	0.255662249718112	0	0	0.108874042048857
