Taxonomy	reERR3589553	reERR3589554	reERR3589555	reERR3589556	reERR3589557	reERR3589558	reERR3589559	reERR3589560	reERR3589561	reERR3589562	reERR3589563	reERR3589564	reERR3589565	reERR3589566	reERR3589567	reERR3589568	reERR3589569	reERR3589570	reERR3589571	reERR3589572	reERR3589573	reERR3589574	reERR3589575	reERR3589576	reERR3589577	reERR3589578	reERR3589579	reERR3589580	reERR3589581	reERR3589582	reERR3589583	reERR3589584	reERR3589585	reERR3589586	reERR3589587	reERR3589588	reERR3589589	reERR3589590	reERR3589591	reERR3589592	reERR3589593
k__Archaea	0	0	0	1.48981379998929	0	0	0	0.559091201514588	0	0.726962382813616	0	0	0	0	0.435139415302207	0	0	0.410089553427716	0	0	0.763960517588684	0.593064634334922	0	0	0	0.203783550234309	0.229528340017716	0	0	0	0	0.315446526692665	0	0	0.182540240575105	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota	0	0	0	1.48981379998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei	0	0	0	1.48981379998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales	0	0	0	1.48981379998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae	0	0	0	1.48981379998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__GGB39874	0	0	0	1.48981379998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__GGB39874|s__GGB39874_SGB64930	0	0	0	1.48981379998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__GGB39874|s__GGB39874_SGB64930|t__SGB64930	0	0	0	1.48981379998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241119156246726	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315446526692665	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB9216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241119156246726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB9216|o__OFGB9216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241119156246726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB9216|o__OFGB9216|f__FGB9216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241119156246726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB9216|o__OFGB9216|f__FGB9216|g__GGB27206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241119156246726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB9216|o__OFGB9216|f__FGB9216|g__GGB27206|s__GGB27206_SGB58706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241119156246726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB9216|o__OFGB9216|f__FGB9216|g__GGB27206|s__GGB27206_SGB58706|t__SGB58706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241119156246726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315446526692665	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315446526692665	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315446526692665	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__GGB37911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315446526692665	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__GGB37911|s__GGB37911_SGB48950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315446526692665	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__GGB37911|s__GGB37911_SGB48950|t__SGB48950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315446526692665	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota	0	0	0	0	0	0	0	0.559091201514588	0	0.726962382813616	0	0	0	0	0.435139415302207	0	0	0.16897039718099	0	0	0.763960517588684	0.593064634334922	0	0	0	0.203783550234309	0.229528340017716	0	0	0	0	0	0	0	0.182540240575105	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB24605	0	0	0	0	0	0	0	0.559091201514588	0	0.726962382813616	0	0	0	0	0.278978706143028	0	0	0	0	0	0.763960517588684	0.593064634334922	0	0	0	0	0.229528340017716	0	0	0	0	0	0	0	0.182540240575105	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB24605|o__OFGB24605	0	0	0	0	0	0	0	0.559091201514588	0	0.726962382813616	0	0	0	0	0.278978706143028	0	0	0	0	0	0.763960517588684	0.593064634334922	0	0	0	0	0.229528340017716	0	0	0	0	0	0	0	0.182540240575105	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB24605|o__OFGB24605|f__FGB24605	0	0	0	0	0	0	0	0.559091201514588	0	0.726962382813616	0	0	0	0	0.278978706143028	0	0	0	0	0	0.763960517588684	0.593064634334922	0	0	0	0	0.229528340017716	0	0	0	0	0	0	0	0.182540240575105	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB24605|o__OFGB24605|f__FGB24605|g__GGB43721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763960517588684	0.593064634334922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB7301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203783550234309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB7301|o__OFGB7301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203783550234309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB7301|o__OFGB7301|f__FGB7301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203783550234309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB7301|o__OFGB7301|f__FGB7301|g__GGB23530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203783550234309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156160709159179	0	0	0.16897039718099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156160709159179	0	0	0.16897039718099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156160709159179	0	0	0.16897039718099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156160709159179	0	0	0.16897039718099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified|s__Thaumarchaeota_unclassified_SGB48947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156160709159179	0	0	0.16897039718099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified|s__Thaumarchaeota_unclassified_SGB48947|t__SGB48947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156160709159179	0	0	0.16897039718099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	15.4020593874355	18.2607652325603	23.6202426940798	23.9401047662166	25.9227043862843	33.8978078414402	32.2839073829354	20.4146539361399	17.7629827103767	16.2381009226344	21.7491544159859	20.642232062118	27.5278682097213	24.7279758824249	22.430057162649	37.6726186755338	22.7731796559903	21.431256503233	16.8797612457393	36.6162175261865	18.4614309248358	16.2766495640913	24.6734657643673	18.0766067578986	14.2778699417968	33.1626850393679	23.4074369889474	19.7724256018113	32.8166909801428	25.0367565294791	20.6975438357064	17.9928432471501	22.6073974863617	33.0603313301825	23.2040914453011	28.8743441454388	32.496550704513	29.1165471043494	24.377987365526	15.3133249068397	24.4764320482045
k__Bacteria|p__Actinobacteria	0	0.200573519010203	0	0	0.386228424608589	0.165272287721404	1.45946621710846	1.01434414236299	3.03863167233562	1.40268893106781	0.493912086626221	0	0.0873933314201733	0.0526692546999813	4.24279285084377	6.7803017262394	0	7.26383498158131	0.124016198304768	0.868825285605171	1.23585747612853	1.06640136292902	0.420003799983094	0.435673814259182	0.875076367909573	0.468692151882251	0.541114893264049	0.351775997292903	0.595365100502977	2.58374526632947	0.394985853245528	4.85425058901439	8.72956279729094	0	0.394777152458807	0	0.886040158354041	0.163716801850713	0.98689643884839	0	4.73080916023696
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118517228118855	1.43913150284791	0	0	0	0	0	0	0.151667021522731	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118517228118855	1.43913150284791	0	0	0	0	0	0	0.151667021522731	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiales_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118517228118855	1.43913150284791	0	0	0	0	0	0	0.151667021522731	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiales_unclassified|g__Acidimicrobiales_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118517228118855	1.43913150284791	0	0	0	0	0	0	0.151667021522731	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiales_unclassified|g__Acidimicrobiales_unclassified|s__Acidimicrobiales_unclassified_SGB36785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118517228118855	1.43913150284791	0	0	0	0	0	0	0.151667021522731	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiales_unclassified|g__Acidimicrobiales_unclassified|s__Acidimicrobiales_unclassified_SGB36785|t__SGB36785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118517228118855	1.43913150284791	0	0	0	0	0	0	0.151667021522731	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0	0	0	0	0	0	0	0	0	0.170656650079484	0	0	0	0	0.370971663399995	0	0	0.581275460673221	0	0	0	0	0	0	0	0	0	0	0	0	0.160534535391685	0.680216810199946	0.551775089372715	0	0	0	0	0	0.150216553746296	0	0.189727155906488
k__Bacteria|p__Actinobacteria|c__Actinobacteria_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100292705007918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria_unclassified|o__Actinobacteria_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100292705007918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria_unclassified|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100292705007918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.370971663399995	0	0	0.581275460673221	0	0	0	0	0	0	0	0	0	0	0	0	0.160534535391685	0.680216810199946	0.373779237425851	0	0	0	0	0	0.150216553746296	0	0.189727155906488
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.370971663399995	0	0	0.581275460673221	0	0	0	0	0	0	0	0	0	0	0	0	0.160534535391685	0.680216810199946	0.373779237425851	0	0	0	0	0	0.150216553746296	0	0.189727155906488
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__Actinobacteria_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160534535391685	0	0	0	0	0	0	0	0.150216553746296	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__Actinobacteria_unclassified|s__Actinobacteria_unclassified_SGB36793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160534535391685	0	0	0	0	0	0	0	0.150216553746296	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__Actinobacteria_unclassified|s__Actinobacteria_unclassified_SGB36793|t__SGB36793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160534535391685	0	0	0	0	0	0	0	0.150216553746296	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__GGB24884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211145260996875	0	0	0.297504854009675	0	0	0	0	0	0	0	0	0	0	0	0	0	0.680216810199946	0.373779237425851	0	0	0	0	0	0	0	0.189727155906488
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__GGB24884|s__GGB24884_SGB36794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211145260996875	0	0	0.297504854009675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.373779237425851	0	0	0	0	0	0	0	0.189727155906488
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__GGB24884|s__GGB24884_SGB36794|t__SGB36794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211145260996875	0	0	0.297504854009675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.373779237425851	0	0	0	0	0	0	0	0.189727155906488
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__GGB35970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15982640240312	0	0	0.283770606663546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__GGB35970|s__GGB35970_SGB45774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15982640240312	0	0	0.283770606663546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__GGB35970|s__GGB35970_SGB45774|t__SGB45774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15982640240312	0	0	0.283770606663546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0	0	0	0	0	0	0	0	0	0.170656650079484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177995851946864	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae	0	0	0	0	0	0	0	0	0	0.170656650079484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177995851946864	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Candidatus_Aquiluna	0	0	0	0	0	0	0	0	0	0.170656650079484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177995851946864	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_SGB48897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177995851946864	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_SGB48897|t__SGB48897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177995851946864	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB10492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.744646913732276	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB10492|o__OFGB10492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.744646913732276	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB10492|o__OFGB10492|f__FGB10492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.744646913732276	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB10515	0	0	0	0	0	0	0	0.640937571903704	0	0	0	0	0	0	2.03328951399488	0	0	3.3964504734035	0	0	0.925260226622108	0.540765463441872	0	0	0	0	0.311410602915454	0	0	0	0	0	3.70862362475541	0	0	0	0.15030786573183	0	0	0	2.77304873127183
k__Bacteria|p__Actinobacteria|c__CFGB10515|o__OFGB10515	0	0	0	0	0	0	0	0.640937571903704	0	0	0	0	0	0	2.03328951399488	0	0	3.3964504734035	0	0	0.925260226622108	0.540765463441872	0	0	0	0	0.311410602915454	0	0	0	0	0	3.70862362475541	0	0	0	0.15030786573183	0	0	0	2.77304873127183
k__Bacteria|p__Actinobacteria|c__CFGB10515|o__OFGB10515|f__FGB10515	0	0	0	0	0	0	0	0.640937571903704	0	0	0	0	0	0	2.03328951399488	0	0	3.3964504734035	0	0	0.925260226622108	0.540765463441872	0	0	0	0	0.311410602915454	0	0	0	0	0	3.70862362475541	0	0	0	0.15030786573183	0	0	0	2.77304873127183
k__Bacteria|p__Actinobacteria|c__CFGB10515|o__OFGB10515|f__FGB10515|g__GGB32102	0	0	0	0	0	0	0	0.640937571903704	0	0	0	0	0	0	2.03328951399488	0	0	3.3964504734035	0	0	0.925260226622108	0.540765463441872	0	0	0	0	0.311410602915454	0	0	0	0	0	3.70862362475541	0	0	0	0.15030786573183	0	0	0	2.77304873127183
k__Bacteria|p__Actinobacteria|c__CFGB10515|o__OFGB10515|f__FGB10515|g__GGB32102|s__GGB32102_SGB61501	0	0	0	0	0	0	0	0.640937571903704	0	0	0	0	0	0	2.03328951399488	0	0	3.3964504734035	0	0	0.925260226622108	0.540765463441872	0	0	0	0	0.311410602915454	0	0	0	0	0	2.96891163529349	0	0	0	0.15030786573183	0	0	0	2.32846206572206
k__Bacteria|p__Actinobacteria|c__CFGB10515|o__OFGB10515|f__FGB10515|g__GGB32102|s__GGB32102_SGB61501|t__SGB61501	0	0	0	0	0	0	0	0.640937571903704	0	0	0	0	0	0	2.03328951399488	0	0	3.3964504734035	0	0	0.925260226622108	0.540765463441872	0	0	0	0	0.311410602915454	0	0	0	0	0	2.96891163529349	0	0	0	0.15030786573183	0	0	0	2.32846206572206
k__Bacteria|p__Actinobacteria|c__CFGB10515|o__OFGB10515|f__FGB10515|g__GGB32102|s__GGB32102_SGB61502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.739711989461918	0	0	0	0	0	0	0	0.444586665549773
k__Bacteria|p__Actinobacteria|c__CFGB10515|o__OFGB10515|f__FGB10515|g__GGB32102|s__GGB32102_SGB61502|t__SGB61502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.739711989461918	0	0	0	0	0	0	0	0.444586665549773
k__Bacteria|p__Actinobacteria|c__CFGB11978	0	0	0	0	0	0	0	0	0	0	0.214370944880667	0	0	0	0	0	0	0.147419787416112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182190010234051	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB11978|o__OFGB11978	0	0	0	0	0	0	0	0	0	0	0.214370944880667	0	0	0	0	0	0	0.147419787416112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182190010234051	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB11978|o__OFGB11978|f__FGB11978	0	0	0	0	0	0	0	0	0	0	0.214370944880667	0	0	0	0	0	0	0.147419787416112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182190010234051	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153165428856299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.659070976197979	0	0	0	0	0	0	0	0.476604436283554
k__Bacteria|p__Actinobacteria|c__CFGB125|o__OFGB125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153165428856299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.659070976197979	0	0	0	0	0	0	0	0.476604436283554
k__Bacteria|p__Actinobacteria|c__CFGB125|o__OFGB125|f__FGB125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153165428856299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.659070976197979	0	0	0	0	0	0	0	0.476604436283554
k__Bacteria|p__Actinobacteria|c__CFGB125|o__OFGB125|f__FGB125|g__GGB27330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153165428856299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.659070976197979	0	0	0	0	0	0	0	0.476604436283554
k__Bacteria|p__Actinobacteria|c__CFGB125|o__OFGB125|f__FGB125|g__GGB27330|s__GGB27330_SGB39579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153165428856299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.659070976197979	0	0	0	0	0	0	0	0.476604436283554
k__Bacteria|p__Actinobacteria|c__CFGB125|o__OFGB125|f__FGB125|g__GGB27330|s__GGB27330_SGB39579|t__SGB39579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153165428856299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.659070976197979	0	0	0	0	0	0	0	0.476604436283554
k__Bacteria|p__Actinobacteria|c__CFGB128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.690835351858374	0	0	1.79895063358124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17590576297681	0	0	0	0	0	0	0	0.311531499589161
k__Bacteria|p__Actinobacteria|c__CFGB128|o__OFGB128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.690835351858374	0	0	1.79895063358124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17590576297681	0	0	0	0	0	0	0	0.311531499589161
