Taxa	reSRR9697535	reSRR9697536	reSRR9697537	reSRR9697538	reSRR9697539	reSRR9697540	reSRR9697541	reSRR9697542	reSRR9697543	reSRR9697544	reSRR9697545	reSRR9697546	reSRR9697547	reSRR9697548	reSRR9697549	reSRR9697550	reSRR9697551	reSRR9697552	reSRR9697553	reSRR9697554	reSRR9697555	reSRR9697556	reSRR9697557	reSRR9697558	reSRR9697559	reSRR9697560	reSRR9697561	reSRR9697562	reSRR9697563	reSRR9697564	reSRR9697566	reSRR9697567	reSRR9697568	reSRR9697569
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__seunavirus|s__seunavirus_sse121	0	3.27540882015189e-05	2.1025211751916e-05	0	0	0	1.42571714285144e-05	0	0	0	0	9.74728411422725e-06	0	0	0	0	0	0	0	0	0	0	0	0	6.24156296725901e-06	1.89939042862974e-05	9.52695341843761e-06	9.56532558761326e-06	0	0.000192611796702101	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__seuratvirus	0	1.63770441007594e-05	0	0	0	0	0	0	0	0	7.14977710569873e-06	0	0	0	1.35746065807521e-05	1.16227200000744e-05	1.53728468790661e-05	0	0	0	0	0	0	0	0	0	0	5.73919535256795e-06	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__seuratvirus|s__escherichia_phage_slur01	0	1.63770441007594e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__seuratvirus|s__seuratvirus_cajan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35746065807521e-05	0	7.68642343953306e-06	0	0	0	0	0	0	0	0	0	0	3.8261302350453e-06	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__seuratvirus|s__seuratvirus_seurat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.68642343953306e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__seussvirus	2.55199205309675e-05	1.63770441007594e-05	1.40168078346106e-05	2.87107000759685e-05	5.02462127231199e-05	3.2029815915039e-05	2.85143428570288e-05	1.87857069324519e-05	0	1.53232305231397e-05	2.14493313170962e-05	0	0	2.42071961700343e-05	1.35746065807521e-05	0	1.53728468790661e-05	2.74558729210413e-05	7.71718909721698e-05	0	1.3351371926898e-05	1.35437912078312e-05	0	0	6.24156296725901e-06	5.69817128588922e-05	3.33443369645316e-05	7.6522604700906e-06	0	0	0	0	3.48297773001454e-05	2.34088936004923e-05
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__seussvirus|s__seussvirus_seuss	2.55199205309675e-05	1.63770441007594e-05	1.40168078346106e-05	2.87107000759685e-05	5.02462127231199e-05	3.2029815915039e-05	2.85143428570288e-05	1.87857069324519e-05	0	1.53232305231397e-05	2.14493313170962e-05	0	0	2.42071961700343e-05	1.35746065807521e-05	0	1.53728468790661e-05	2.74558729210413e-05	7.71718909721698e-05	0	1.3351371926898e-05	1.35437912078312e-05	0	0	6.24156296725901e-06	5.69817128588922e-05	3.33443369645316e-05	7.6522604700906e-06	0	0	0	0	3.48297773001454e-05	2.34088936004923e-05
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__sextaecvirus	0	0	3.50420195865266e-05	0	0	0	0	1.87857069324519e-05	0	1.53232305231397e-05	0	1.94945682284545e-05	0	2.42071961700343e-05	0	0	1.53728468790661e-05	0	0	0	1.3351371926898e-05	1.35437912078312e-05	0	0	0	0	4.7634767092188e-06	7.6522604700906e-06	0	2.7515970957443e-05	0	0	0	7.80296453349742e-06
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__sextaecvirus|s__sextaecvirus_sep9	0	0	3.50420195865266e-05	0	0	0	0	1.87857069324519e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.3351371926898e-05	1.35437912078312e-05	0	0	0	0	0	1.91306511752265e-06	0	0	0	0	0	7.80296453349742e-06
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__sextaecvirus|s__sextaecvirus_sextaec	0	0	0	0	0	0	0	0	0	1.53232305231397e-05	0	1.94945682284545e-05	0	0	0	0	1.53728468790661e-05	0	0	0	0	0	0	0	0	0	0	3.8261302350453e-06	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__shamshuipovirus	0	0	0	0	0	0	0	0	0	0	0	9.74728411422725e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__shamshuipovirus|s__shamshuipovirus_hk022	0	0	0	0	0	0	0	0	0	0	0	9.74728411422725e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__shandongvirus	1.27599602654837e-05	0	0	0	0	0	0	0	0	0	0	0	4.73356871792711e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7634767092188e-06	0	0	0	0	0	3.48297773001454e-05	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__shandongvirus|s__shandongvirus_h101	1.27599602654837e-05	0	0	0	0	0	0	0	0	0	0	0	4.73356871792711e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7634767092188e-06	0	0	0	0	0	3.48297773001454e-05	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__shapirovirus	7.65597615929024e-05	6.55081764030377e-05	3.50420195865266e-05	8.61321002279055e-05	0.00015073863816936	9.6089447745117e-05	0.000171086057142173	0.000150285655459615	7.85319704633406e-05	4.59696915694191e-05	0.000107246656585481	6.82309887995908e-05	0.000142007061537813	9.6828784680137e-05	0.000135746065807521	0.000104604480000669	0.000146042045351128	5.49117458420826e-05	0.000123475025555472	0.000140346850086485	6.67568596344902e-05	6.77189560391562e-05	0.000156267915872386	2.88252472269392e-05	8.73818815416261e-05	9.4969521431487e-05	0.000123850394439689	6.50442139957701e-05	0	5.5031941914886e-05	0.0001626189896699	0.000137545426669581	6.96595546002909e-05	0.000117044468002461
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__shapirovirus|s__caulobacter_virus_karma	0	0	0	0	2.51231063615599e-05	0	1.42571714285144e-05	0	1.96329926158351e-05	0	0	9.74728411422725e-06	0	0	0	2.32454400001488e-05	7.68642343953306e-06	0	0	1.55940944540539e-05	0	1.35437912078312e-05	0	0	1.2483125934518e-05	1.89939042862974e-05	9.52695341843761e-06	3.8261302350453e-06	0	0	0	9.16969511130543e-06	0	7.80296453349742e-06
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__shapirovirus|s__caulobacter_virus_magneto	0	1.63770441007594e-05	7.00840391730532e-06	0	1.256155318078e-05	3.2029815915039e-05	2.85143428570288e-05	0	1.96329926158351e-05	1.53232305231397e-05	0	9.74728411422725e-06	4.73356871792711e-05	0	1.35746065807521e-05	0	0	0	0	0	1.3351371926898e-05	0	1.95334894840483e-05	0	6.24156296725901e-06	0	4.7634767092188e-06	3.8261302350453e-06	0	0	5.42063298899666e-05	9.16969511130543e-06	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__shapirovirus|s__shapirovirus_cbk	0	3.27540882015189e-05	7.00840391730532e-06	0	0	0	1.42571714285144e-05	3.75714138649037e-05	1.96329926158351e-05	0	4.28986626341924e-05	9.74728411422725e-06	4.73356871792711e-05	2.42071961700343e-05	1.35746065807521e-05	2.32454400001488e-05	3.07456937581322e-05	2.74558729210413e-05	0	4.67822833621616e-05	2.67027438537961e-05	0	7.81339579361931e-05	0	6.24156296725901e-06	0	1.90539068368752e-05	7.6522604700906e-06	0	2.7515970957443e-05	0	3.66787804452217e-05	3.48297773001454e-05	2.34088936004923e-05
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__shapirovirus|s__shapirovirus_swift	0	0	0	5.7421400151937e-05	0	0	0	1.87857069324519e-05	0	0	1.42995542113975e-05	0	0	0	1.35746065807521e-05	0	0	0	0	3.11881889081077e-05	0	1.35437912078312e-05	0	0	6.24156296725901e-06	1.89939042862974e-05	9.52695341843761e-06	1.91306511752265e-06	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__sheenvirus	1.27599602654837e-05	1.63770441007594e-05	7.00840391730532e-06	5.7421400151937e-05	0	0	0	0	0	0	0	9.74728411422725e-06	4.73356871792711e-05	0	0	1.16227200000744e-05	0	0	0	0	0	1.35437912078312e-05	0	2.88252472269392e-05	6.24156296725901e-06	0	9.52695341843761e-06	3.8261302350453e-06	0	2.7515970957443e-05	0	0	1.74148886500727e-05	0
