Taxa	reERR3589553	reERR3589554	reERR3589555	reERR3589556	reERR3589557	reERR3589558	reERR3589559	reERR3589560	reERR3589561	reERR3589562	reERR3589563	reERR3589564	reERR3589565	reERR3589566	reERR3589567	reERR3589568	reERR3589569	reERR3589570	reERR3589571	reERR3589572	reERR3589573	reERR3589574	reERR3589575	reERR3589576	reERR3589577	reERR3589578	reERR3589579	reERR3589580	reERR3589581	reERR3589582	reERR3589583	reERR3589584	reERR3589585	reERR3589586	reERR3589587	reERR3589588	reERR3589589	reERR3589590	reERR3589591	reERR3589592	reERR3589593
k__viruses|k__orthornavirae|p__negarnaviricota|c__ellioviricetes|o__bunyavirales|f__peribunyaviridae|g__orthobunyavirus|s__keystone_orthobunyavirus	0	1.63244342439464e-06	6.91019296928083e-07	5.37025283343669e-07	2.48731070461794e-06	9.13259940720297e-07	1.68058769344958e-06	5.23156791322684e-06	2.58544491467224e-06	5.61205208388402e-06	1.39301800708408e-06	2.26463913122645e-06	1.32587241062173e-06	0	2.71767525710227e-06	1.44892468054833e-06	7.98600449517818e-07	3.41848835689188e-06	5.56543454197746e-07	2.14628051009511e-06	1.39255155090068e-06	2.52526091090429e-06	1.30998082050531e-06	5.3119702685078e-06	6.35255017028138e-07	1.72445724303398e-06	0	0	6.82988008335595e-07	1.43357051422991e-06	6.33353625561261e-07	1.21865262889329e-06	4.63553514402384e-06	6.75426566492351e-07	2.10606665557752e-06	2.45066593007273e-06	3.3515584658888e-06	0	1.70475391882864e-06	1.70128051357893e-06	2.55241826085989e-06
k__viruses|k__orthornavirae|p__negarnaviricota|c__ellioviricetes|o__bunyavirales|f__peribunyaviridae|g__orthobunyavirus|s__koongol_orthobunyavirus	0	0	0	0	0	4.56629970360149e-07	0	0	6.4636122866806e-07	0	0	0	0	0	0	0	0	6.83697671378376e-07	1.66963036259324e-06	5.36570127523778e-07	0	0	0	0	0	0	0	6.59972856768341e-07	6.82988008335595e-07	1.43357051422991e-06	0	0	1.54517838134128e-06	0	0	0	0	1.30055483424978e-06	0	5.67093504526311e-07	5.10483652171979e-07
k__viruses|k__orthornavirae|p__negarnaviricota|c__ellioviricetes|o__bunyavirales|f__peribunyaviridae|g__orthobunyavirus|s__la_crosse_orthobunyavirus	9.66403673482599e-06	5.44147808131546e-06	5.52815437542466e-06	1.61107585003101e-06	3.10913838077242e-06	4.10966973324134e-06	4.48156718253221e-06	2.32514129476749e-06	3.2318061433403e-06	7.01506510485502e-07	1.39301800708408e-06	3.77439855204409e-06	7.95523446373039e-06	7.06009984444546e-06	1.35883762855114e-06	2.89784936109666e-06	3.19440179807127e-06	1.36739534275675e-06	1.05743256297572e-05	5.36570127523778e-06	9.74786085630474e-06	2.52526091090429e-06	3.27495205126327e-06	3.03541158200446e-06	6.98780518730952e-06	2.35675823214645e-05	9.76848037260266e-06	1.31994571353668e-06	2.73195203334238e-06	2.15035577134487e-06	0	1.82797894333994e-06	3.8629459533532e-06	1.3508531329847e-06	2.10606665557752e-06	4.90133186014546e-06	2.5136688494166e-06	2.60110966849956e-06	0	3.40256102715786e-06	3.57338556520385e-06
k__viruses|k__orthornavirae|p__negarnaviricota|c__ellioviricetes|o__bunyavirales|f__peribunyaviridae|g__orthobunyavirus|s__leanyer_orthobunyavirus	0	5.44147808131546e-07	0	0	1.24365535230897e-06	9.13259940720297e-07	0	1.74385597107561e-06	0	0	3.4825450177102e-06	0	0	6.41827258585951e-07	1.35883762855114e-06	0	0	6.83697671378376e-07	0	1.07314025504756e-06	6.96275775450338e-07	1.89394568317822e-06	0	7.58852895501115e-07	1.27051003405628e-06	5.74819081011328e-07	1.30246404968036e-06	1.31994571353668e-06	1.36597601667119e-06	1.43357051422991e-06	0	2.43730525778659e-06	3.09035676268256e-06	6.75426566492351e-07	7.02022218525841e-07	1.63377728671515e-06	0	6.50277417124891e-07	5.68251306276214e-07	5.67093504526311e-07	3.06290191303187e-06
k__viruses|k__orthornavirae|p__negarnaviricota|c__ellioviricetes|o__bunyavirales|f__peribunyaviridae|g__orthobunyavirus|s__lumbo_orthobunyavirus	6.90288338201856e-07	0	0	1.61107585003101e-06	1.86548302846345e-06	9.13259940720297e-07	5.60195897816526e-07	2.32514129476749e-06	1.29272245733612e-06	0	2.78603601416816e-06	1.50975942081764e-06	1.32587241062173e-06	0	6.79418814275568e-07	7.24462340274166e-07	1.59720089903564e-06	0	0	5.36570127523778e-07	0	1.89394568317822e-06	6.54990410252654e-07	7.58852895501115e-07	1.27051003405628e-06	5.74819081011328e-07	0	6.59972856768341e-07	6.82988008335595e-07	1.43357051422991e-06	3.1667681278063e-06	6.09326314446647e-07	1.54517838134128e-06	1.3508531329847e-06	7.02022218525841e-07	1.63377728671515e-06	1.6757792329444e-06	0	5.68251306276214e-07	0	1.02096730434396e-06
k__viruses|k__orthornavirae|p__negarnaviricota|c__ellioviricetes|o__bunyavirales|f__peribunyaviridae|g__orthobunyavirus|s__macaua_orthobunyavirus	2.76115335280743e-06	5.44147808131546e-07	6.91019296928083e-07	1.61107585003101e-06	6.21827676154484e-07	3.65303976288119e-06	5.04176308034873e-06	2.90642661845936e-06	2.58544491467224e-06	1.403013020971e-06	2.08952701062612e-06	2.26463913122645e-06	6.62936205310865e-07	6.41827258585951e-07	2.71767525710227e-06	7.24462340274166e-07	2.39580134855345e-06	1.36739534275675e-06	1.66963036259324e-06	2.68285063761889e-06	4.17765465270203e-06	1.89394568317822e-06	1.96497123075796e-06	3.03541158200446e-06	3.17627508514069e-06	1.14963816202266e-06	6.51232024840178e-07	8.57964713798844e-06	2.73195203334238e-06	5.73428205691966e-06	6.33353625561261e-07	3.65595788667988e-06	7.72589190670639e-07	4.05255939895411e-06	5.61617774820673e-06	3.26755457343031e-06	8.37889616472199e-07	1.1704993508248e-05	2.27300522510486e-06	6.23802854978942e-06	5.10483652171979e-07
k__viruses|k__orthornavirae|p__negarnaviricota|c__ellioviricetes|o__bunyavirales|f__peribunyaviridae|g__orthobunyavirus|s__madrid_orthobunyavirus	1.38057667640371e-06	1.08829561626309e-06	0	1.07405056668734e-06	1.86548302846345e-06	2.28314985180074e-06	3.36117538689916e-06	5.81285323691872e-07	1.29272245733612e-06	1.403013020971e-06	2.78603601416816e-06	1.50975942081764e-06	0	6.41827258585951e-07	2.71767525710227e-06	2.1733870208225e-06	3.99300224758909e-06	0	2.22617381679098e-06	2.14628051009511e-06	6.96275775450338e-07	1.89394568317822e-06	1.30998082050531e-06	0	1.90576505108441e-06	5.17337172910195e-06	3.25616012420089e-06	6.59972856768341e-07	6.82988008335595e-07	2.86714102845983e-06	5.06682900449008e-06	9.1398947166997e-06	1.54517838134128e-06	1.3508531329847e-06	1.40404443705168e-06	0	1.6757792329444e-06	6.50277417124891e-07	4.54601045020971e-06	1.13418700905262e-06	1.53145095651594e-06
k__viruses|k__orthornavirae|p__negarnaviricota|c__ellioviricetes|o__bunyavirales|f__peribunyaviridae|g__orthobunyavirus|s__maguari_orthobunyavirus	6.90288338201856e-07	5.44147808131546e-07	0	1.61107585003101e-06	0	9.13259940720297e-07	5.60195897816526e-07	2.32514129476749e-06	0	1.403013020971e-06	6.96509003542041e-06	3.01951884163527e-06	0	0	4.07651288565341e-06	0	0	6.83697671378376e-06	5.56543454197746e-07	2.68285063761889e-06	4.17765465270203e-06	1.89394568317822e-06	6.54990410252654e-07	7.58852895501115e-07	1.27051003405628e-06	0	0	0	6.82988008335595e-07	2.15035577134487e-06	9.50030438341891e-06	9.74922103114635e-06	3.09035676268256e-06	1.3508531329847e-06	1.40404443705168e-06	0	2.5136688494166e-06	1.30055483424978e-06	5.68251306276214e-06	0	7.65725478257968e-06
k__viruses|k__orthornavirae|p__negarnaviricota|c__ellioviricetes|o__bunyavirales|f__peribunyaviridae|g__orthobunyavirus|s__main_drain_orthobunyavirus	3.45144169100928e-06	6.52977369757855e-06	3.45509648464041e-06	3.75917698340568e-06	7.46193211385381e-06	1.36988991108045e-06	1.12039179563305e-06	3.48771194215123e-06	1.29272245733612e-05	4.20903906291301e-06	4.17905402125225e-06	9.05855652490582e-06	3.97761723186519e-06	2.5673090343438e-06	5.43535051420454e-06	1.44892468054833e-06	4.79160269710691e-06	0	4.45234763358196e-06	2.68285063761889e-06	2.08882732635101e-06	3.15657613863036e-06	3.34045109228854e-05	1.66947637010245e-05	2.54102006811255e-06	1.14963816202266e-06	2.60492809936071e-06	0	1.36597601667119e-06	3.22553365701731e-05	2.53341450224504e-06	2.43730525778659e-06	7.72589190670639e-07	6.75426566492351e-07	8.42426662231009e-06	8.98577507693335e-06	2.5136688494166e-06	3.90166450274934e-06	1.13650261255243e-06	6.23802854978942e-06	1.53145095651594e-06
k__viruses|k__orthornavirae|p__negarnaviricota|c__ellioviricetes|o__bunyavirales|f__peribunyaviridae|g__orthobunyavirus|s__maprik_orthobunyavirus	6.90288338201856e-07	0	0	3.22215170006201e-06	2.48731070461794e-06	4.56629970360149e-06	4.48156718253221e-06	5.81285323691872e-07	7.10997351534866e-06	7.01506510485502e-07	6.96509003542041e-07	4.22732637828938e-05	6.62936205310865e-07	0	0	2.1733870208225e-06	7.98600449517818e-07	0	2.78271727098873e-06	2.14628051009511e-06	6.96275775450338e-07	1.26263045545214e-06	1.96497123075796e-06	2.27655868650334e-06	6.35255017028138e-07	1.14963816202266e-06	0	1.31994571353668e-06	4.78091605834917e-06	7.16785257114957e-06	7.60024350673513e-06	3.04663157223323e-06	1.54517838134128e-06	6.75426566492351e-07	1.40404443705168e-06	2.45066593007273e-06	8.37889616472199e-07	1.30055483424978e-06	2.84125653138107e-06	8.50640256789466e-06	1.02096730434396e-06
