clade_name	reSRR9697535_taxonomic_profile	reSRR9697536_taxonomic_profile	reSRR9697537_taxonomic_profile	reSRR9697538_taxonomic_profile	reSRR9697539_taxonomic_profile	reSRR9697540_taxonomic_profile	reSRR9697541_taxonomic_profile	reSRR9697542_taxonomic_profile	reSRR9697543_taxonomic_profile	reSRR9697544_taxonomic_profile	reSRR9697545_taxonomic_profile	reSRR9697546_taxonomic_profile	reSRR9697547_taxonomic_profile	reSRR9697548_taxonomic_profile	reSRR9697549_taxonomic_profile	reSRR9697550_taxonomic_profile	reSRR9697551_taxonomic_profile	reSRR9697552_taxonomic_profile	reSRR9697553_taxonomic_profile	reSRR9697554_taxonomic_profile	reSRR9697555_taxonomic_profile	reSRR9697556_taxonomic_profile	reSRR9697557_taxonomic_profile	reSRR9697558_taxonomic_profile	reSRR9697559_taxonomic_profile	reSRR9697560_taxonomic_profile	reSRR9697561_taxonomic_profile	reSRR9697562_taxonomic_profile	reSRR9697563_taxonomic_profile	reSRR9697564_taxonomic_profile	reSRR9697566_taxonomic_profile	reSRR9697567_taxonomic_profile	reSRR9697568_taxonomic_profile	reSRR9697569_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.066949341664807	0	0.0343367288542978	0.114613180515759	0	0	0	0	0	0	0.0174672489082969	0	0	0	0	0	0	0	0.0612182430364249	0.139470013947001	0	0	0	0.0484496124031008	0.0277507978354378	0	0	0	0	0	0	0	0	0.00882768361581921
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.066949341664807	0	0.0343367288542978	0.114613180515759	0	0	0	0	0	0	0.0174672489082969	0	0	0	0	0	0	0	0.0612182430364249	0.139470013947001	0	0	0	0.0484496124031008	0.0277507978354378	0	0	0	0	0	0	0	0	0.00882768361581921
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.066949341664807	0	0.0343367288542978	0.114613180515759	0	0	0	0	0	0	0.0174672489082969	0	0	0	0	0	0	0	0.0612182430364249	0.139470013947001	0	0	0	0.0484496124031008	0.0277507978354378	0	0	0	0	0	0	0	0	0.00882768361581921
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium	0	0	0.0228911525695319	0.0286532951289398	0	0	0	0	0	0	0.00873362445414847	0	0	0	0	0	0	0	0	0.0697350069735007	0	0	0	0.0242248062015504	0.0138753989177189	0	0	0	0	0	0	0	0	0.00882768361581921
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Unclassified_Methanobacterium	0	0	0.0228911525695319	0.0286532951289398	0	0	0	0	0	0	0.00873362445414847	0	0	0	0	0	0	0	0	0.0697350069735007	0	0	0	0.0242248062015504	0.0138753989177189	0	0	0	0	0	0	0	0	0.00882768361581921
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Unclassified_Methanobacterium|t__	0	0	0.0228911525695319	0.0286532951289398	0	0	0	0	0	0	0.00873362445414847	0	0	0	0	0	0	0	0	0	0	0	0	0.0242248062015504	0.0138753989177189	0	0	0	0	0	0	0	0	0.00882768361581921
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0.00873362445414847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Unclassified_Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0.00873362445414847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Unclassified_Methanobrevibacter|t__	0	0	0	0	0	0	0	0	0	0	0.00873362445414847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Unclassified_Methanobacteriaceae	0.066949341664807	0	0.0114455762847659	0.0859598853868195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0612182430364249	0.0697350069735007	0	0	0	0.0242248062015504	0.0138753989177189	0	0	0	0	0	0	0	0	0
