clade_name	reSRR3584976_taxonomic_profile	reSRR3584977_taxonomic_profile	reSRR3584978_taxonomic_profile	reSRR3584979_taxonomic_profile	reSRR3584980_taxonomic_profile	reSRR3584981_taxonomic_profile	reSRR3584982_taxonomic_profile	reSRR3584983_taxonomic_profile	reSRR3584984_taxonomic_profile	reSRR3584985_taxonomic_profile	reSRR3584986_taxonomic_profile	reSRR3584987_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halogranum	0	0	0	0.0639795265515035	0	0	0	0.0648929266709929	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halogranum|s__Unclassified_Halogranum	0	0	0	0.0639795265515035	0	0	0	0.0648929266709929	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halogranum|s__Unclassified_Halogranum|t__	0	0	0	0.0639795265515035	0	0	0	0.0648929266709929	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Unclassified_Halobacteriaceae	0.198807157057654	0	0.072463768115942	0.0639795265515035	0.0528262017960909	0	0	0	0.240963855421687	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Unclassified_Halobacteriaceae|s__	0.198807157057654	0	0.072463768115942	0.0639795265515035	0.0528262017960909	0	0	0	0.240963855421687	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Unclassified_Halobacteriaceae|s__|t__	0	0	0	0.0639795265515035	0.0528262017960909	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__MSP41	0	0	0.072463768115942	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__MSP41|g__Candidatus	0	0	0.072463768115942	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__MSP41|g__Candidatus|s__Unclassified_Candidatus	0	0	0.072463768115942	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Unclassified_Halobacteriales	0	0	0.072463768115942	0	0	0	0	0	0.120481927710843	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Unclassified_Halobacteriales|g__	0	0	0.072463768115942	0	0	0	0	0	0.120481927710843	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Unclassified_Halobacteriales|g__|s__	0	0	0.072463768115942	0	0	0	0	0	0.120481927710843	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.298210735586481	0.700934579439252	0.144927536231884	0.0639795265515035	0.0528262017960909	0.0705218617771509	0.0829875518672199	0.259571706683971	0.240963855421687	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.298210735586481	0.700934579439252	0.144927536231884	0.0639795265515035	0.0528262017960909	0.0705218617771509	0.0829875518672199	0.259571706683971	0.240963855421687	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.298210735586481	0.233644859813084	0.072463768115942	0.0639795265515035	0.0528262017960909	0.0705218617771509	0.0829875518672199	0.259571706683971	0.240963855421687	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.099403578528827	0	0	0	0.0528262017960909	0	0	0.194678780012979	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Unclassified_Methanobrevibacter	0.099403578528827	0	0	0	0.0528262017960909	0	0	0.194678780012979	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Unclassified_Methanobrevibacter|t__	0	0	0	0	0.0528262017960909	0	0	0.194678780012979	0	0	0	0
