Taxa	reSRR3584976	reSRR3584977	reSRR3584978	reSRR3584979	reSRR3584980	reSRR3584981	reSRR3584982	reSRR3584983	reSRR3584984	reSRR3584985	reSRR3584986	reSRR3584987
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium|s__candidatus_nanohalobium_constans	5.73767082121848e-05	2.71932660771348e-05	0.000112792131620898	0.000112013357966315	8.02324816387966e-05	0	0.000119797494315609	3.51370344342937e-05	0	3.29507422648956e-05	0.000129178855229903	3.29724607413396e-05
k__archaea|p__candidatus_thermoplasmatota	0.000946715685501049	0.00119650370739393	0.00206785574638313	0.0014561736535621	0.00256743941244149	0.00167025607973213	0.00215635489768096	0.00165144061841181	0.00130604199736885	0.00125212820606603	0.00229292468033078	0.00138484335113626
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata	0.000946715685501049	0.00114211717523966	0.00191746623755527	0.00126948472361824	0.00211278868315498	0.00153925560289039	0.00195669240715495	0.00151089248067463	0.00123544513264621	0.00105442375247666	0.00216374582510087	0.00135187089039492
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales	0.00060245543622794	0.00067983165192837	0.00120311607062291	0.000560066789831577	0.000882557298026762	0.000786002861050414	0.00119797494315609	0.000667603654251581	0.000811863944310369	0.000626064103033017	0.000968841414224271	0.00082431151853349
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae	0.000344260249273109	0.000489478789388426	0.000563960658104491	0.000224026715932631	0.000401162408193983	0.000425751549735641	0.000559054973472842	0.000316233309908644	0.000494178053058486	0.000296556680384061	0.000549010134727087	0.000395669528896075
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus	0.000344260249273109	0.000489478789388426	0.000563960658104491	0.000224026715932631	0.000401162408193983	0.000425751549735641	0.000559054973472842	0.000316233309908644	0.000494178053058486	0.000296556680384061	0.000549010134727087	0.000395669528896075
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus|s__candidatus_methanomethylophilus_alvus	0.000344260249273109	0.000489478789388426	0.000563960658104491	0.000224026715932631	0.000401162408193983	0.000425751549735641	0.000559054973472842	0.000316233309908644	0.000494178053058486	0.000296556680384061	0.000549010134727087	0.000395669528896075
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae	0.000258195186954832	0.000190352862539944	0.000639155412518423	0.000336040073898946	0.000481394889832779	0.000327501192104339	0.000638919969683247	0.000351370344342937	0.000317685891251884	0.000296556680384061	0.000419831279497184	0.000395669528896075
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma	0.000200818478742647	8.15797982314044e-05	0.000112792131620898	0.000186688929943859	0.000320929926555186	9.82503576313018e-05	0.000359392482946827	0.000175685172171469	0.000211790594167922	0.000230655195854269	0.00022606299665233	0.000263779685930717
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma|s__candidatus_methanoplasma_termitum	0.000200818478742647	8.15797982314044e-05	0.000112792131620898	0.000186688929943859	0.000320929926555186	9.82503576313018e-05	0.000359392482946827	0.000175685172171469	0.000211790594167922	0.000230655195854269	0.00022606299665233	0.000263779685930717
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__methanomassiliicoccus	5.73767082121848e-05	8.15797982314044e-05	0.000488765903690559	0.000149351143955087	0.000160464963277593	0.000229250834473038	0.000279527486736421	0.000175685172171469	0.000105895297083961	6.59014845297913e-05	0.000193768282844854	0.000131889842965358
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__methanomassiliicoccus|s__candidatus_methanomassiliicoccus_intestinalis	5.73767082121848e-05	8.15797982314044e-05	0.000488765903690559	0.000149351143955087	0.000160464963277593	0.000229250834473038	0.000279527486736421	0.000175685172171469	0.000105895297083961	6.59014845297913e-05	0.000193768282844854	0.000131889842965358
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales	0.000344260249273109	0.000462285523311291	0.000714350166932355	0.000672080147797892	0.00120348722458195	0.00075325274183998	0.000758717463998856	0.00084328882642305	0.000423581188335845	0.000428359649443643	0.0011949044108766	0.000494586911120094
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__cuniculiplasmataceae	0.00011475341642437	0.000108773064308539	0.000263181640448762	0.000224026715932631	0.000267441605462655	0.000131000476841736	0.000199662490526015	0.000210822206605762	0.000105895297083961	6.59014845297913e-05	0.000322947138074757	0.000164862303706698
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__cuniculiplasmataceae|g__cuniculiplasma	0.00011475341642437	0.000108773064308539	0.000263181640448762	0.000224026715932631	0.000267441605462655	0.000131000476841736	0.000199662490526015	0.000210822206605762	0.000105895297083961	6.59014845297913e-05	0.000322947138074757	0.000164862303706698
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__cuniculiplasmataceae|g__cuniculiplasma|s__cuniculiplasma_divulgatum	0.00011475341642437	0.000108773064308539	0.000263181640448762	0.000224026715932631	0.000267441605462655	0.000131000476841736	0.000199662490526015	0.000210822206605762	0.000105895297083961	6.59014845297913e-05	0.000322947138074757	0.000164862303706698
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__ferroplasmaceae	0.00011475341642437	8.15797982314044e-05	3.7597377206966e-05	0.000186688929943859	0.000347674087101452	0.00016375059605217	0.000239594988631218	0.000245959241040056	7.05968647226408e-05	6.59014845297913e-05	0.000290652424267281	6.59449214826792e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__ferroplasmaceae|g__ferroplasma	0.00011475341642437	8.15797982314044e-05	3.7597377206966e-05	0.000186688929943859	0.000347674087101452	0.00016375059605217	0.000239594988631218	0.000245959241040056	7.05968647226408e-05	6.59014845297913e-05	0.000290652424267281	6.59449214826792e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__ferroplasmaceae|g__ferroplasma|s__ferroplasma_acidarmanus	5.73767082121848e-05	0	0	7.46755719775436e-05	0.000133720802731328	9.82503576313018e-05	7.98649962104059e-05	0.000105411103302881	0	3.29507422648956e-05	6.45894276149514e-05	3.29724607413396e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__ferroplasmaceae|g__ferroplasma|s__ferroplasma_acidiphilum	5.73767082121848e-05	2.71932660771348e-05	0	3.73377859887718e-05	5.3488321092531e-05	3.27501192104339e-05	3.9932498105203e-05	3.51370344342937e-05	3.52984323613204e-05	3.29507422648956e-05	6.45894276149514e-05	3.29724607413396e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__picrophilaceae	5.73767082121848e-05	0.000108773064308539	0.000150389508827864	0.000112013357966315	0.000267441605462655	0.000196500715262604	0.000159729992420812	0.000140548137737175	7.05968647226408e-05	0.000131802969059583	0.00022606299665233	3.29724607413396e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__picrophilaceae|g__picrophilus	5.73767082121848e-05	0.000108773064308539	0.000150389508827864	0.000112013357966315	0.000267441605462655	0.000196500715262604	0.000159729992420812	0.000140548137737175	7.05968647226408e-05	0.000131802969059583	0.00022606299665233	3.29724607413396e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__picrophilaceae|g__picrophilus|s__picrophilus_torridus	5.73767082121848e-05	0.000108773064308539	0.000150389508827864	0.000112013357966315	0.000267441605462655	0.000196500715262604	0.000159729992420812	0.000140548137737175	7.05968647226408e-05	0.000131802969059583	0.00022606299665233	3.29724607413396e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__thermoplasmataceae	5.73767082121848e-05	0.000163159596462809	0.000263181640448762	0.000149351143955087	0.000320929926555186	0.000262000953683471	0.000159729992420812	0.000245959241040056	0.000176492161806602	0.000164753711324478	0.000355241851882233	0.000230807225189377
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__thermoplasmataceae|g__thermoplasma	5.73767082121848e-05	0.000163159596462809	0.000263181640448762	0.000149351143955087	0.000320929926555186	0.000262000953683471	0.000159729992420812	0.000245959241040056	0.000176492161806602	0.000164753711324478	0.000355241851882233	0.000230807225189377
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__thermoplasmataceae|g__thermoplasma|s__thermoplasma_acidophilum	2.86883541060924e-05	8.15797982314044e-05	7.51947544139321e-05	0.000149351143955087	0.000160464963277593	0.00016375059605217	0.000119797494315609	0.000175685172171469	0.000105895297083961	0.000131802969059583	0.000193768282844854	0.000164862303706698
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__thermoplasmataceae|g__thermoplasma|s__thermoplasma_volcanium	0	8.15797982314044e-05	0.00018798688603483	0	0.000160464963277593	9.82503576313018e-05	3.9932498105203e-05	7.02740688685875e-05	3.52984323613204e-05	3.29507422648956e-05	0.000129178855229903	6.59449214826792e-05
k__archaea|p__candidatus_thermoplasmatota|g__aciduliprofundum	0	2.71932660771348e-05	0.000150389508827864	0.000186688929943859	0.000401162408193983	9.82503576313018e-05	0.000199662490526015	0.000140548137737175	0	9.88522267946869e-05	0.000129178855229903	3.29724607413396e-05
k__archaea|p__candidatus_thermoplasmatota|g__aciduliprofundum|s__aciduliprofundum_boonei	0	2.71932660771348e-05	0.000150389508827864	0.000186688929943859	0.000401162408193983	9.82503576313018e-05	0.000199662490526015	0.000140548137737175	0	9.88522267946869e-05	0.000129178855229903	3.29724607413396e-05
k__archaea|p__crenarchaeota	0.00550816398836974	0.00606409833520106	0.00782025445904894	0.0084756774194512	0.0085313872142587	0.00691027515340156	0.00822609460967181	0.00769501054111033	0.00550655544836598	0.00645834548391954	0.00923628814893805	0.00735285874531873
k__archaea|p__crenarchaeota|c__thermoprotei	0.00550816398836974	0.00606409833520106	0.00782025445904894	0.0084756774194512	0.0085313872142587	0.00691027515340156	0.00822609460967181	0.00769501054111033	0.00550655544836598	0.00645834548391954	0.00923628814893805	0.00735285874531873
