Taxonomy	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__Archaea	0	0	0	0	0	0	0	0	0	12.1857485814477	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	12.1857485814477	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB10527	0	0	0	0	0	0	0	0	0	5.26830367302181	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB10527|o__OFGB10527	0	0	0	0	0	0	0	0	0	5.26830367302181	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB10527|o__OFGB10527|f__FGB10527	0	0	0	0	0	0	0	0	0	5.26830367302181	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB11904	0	0	0	0	0	0	0	0	0	2.29099015888775	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB11904|o__OFGB11904	0	0	0	0	0	0	0	0	0	2.29099015888775	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB11904|o__OFGB11904|f__FGB11904	0	0	0	0	0	0	0	0	0	2.29099015888775	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB12732	0	0	0	0	0	0	0	0	0	1.58394446844328	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB12732|o__OFGB12732	0	0	0	0	0	0	0	0	0	1.58394446844328	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB12732|o__OFGB12732|f__FGB12732	0	0	0	0	0	0	0	0	0	1.58394446844328	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria	0	0	0	0	0	0	0	0	0	3.04251028109484	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	0	0	0	0	0	0	0	0	0	3.04251028109484	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae	0	0	0	0	0	0	0	0	0	3.04251028109484	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum	0	0	0	0	0	0	0	0	0	3.04251028109484	0	0	0	0	0	0	0	0	0	0
k__Bacteria	0	0	0	0	0	0	0	0	0	1.5425731186511	0	0	0	0	0	0	3.02059390463907	0	0	0
k__Bacteria|p__Bacteroidetes	0	0	0	0	0	0	0	0	0	1.5425731186511	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB14302	0	0	0	0	0	0	0	0	0	1.5425731186511	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB14302|o__OFGB14302	0	0	0	0	0	0	0	0	0	1.5425731186511	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB14302|o__OFGB14302|f__FGB14302	0	0	0	0	0	0	0	0	0	1.5425731186511	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Balneolaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02059390463907	0	0	0
k__Bacteria|p__Balneolaeota|c__Balneolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02059390463907	0	0	0
k__Bacteria|p__Balneolaeota|c__Balneolia|o__Balneolales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02059390463907	0	0	0
k__Bacteria|p__Balneolaeota|c__Balneolia|o__Balneolales|f__Balneolaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02059390463907	0	0	0
sgb_1	0	0	0	0	0	0	0	0	0	0.585245769336543	0	0	0	0	0	0	0	0	0	0
sgb_2	0	0	0	0	0	0	0	0	0	1.48590928579106	0	0	0	0	0	0	0	0	0	0
sgb_3	0	0	0	0	0	0	0	0	0	0.548738550512581	0	0	0	0	0	0	0	0	0	0
UNKNOWN	100	100	100	100	100	100	100	100	100	83.651784694261	100	100	100	100	100	100	96.9794060953609	100	100	100
