Taxonomy	reERR4183438	reERR4183440	reERR4183441	reERR4183442	reERR4183443	reERR4183444	reERR4183445	reERR4183446	reERR4183447	reERR4183448	reERR4183449	reERR4183450	reERR4183451	reERR4183452	reERR4183454	reERR4183455	reERR4183456	reERR4183457	reERR4183459	reERR4183460	reERR4183461	reERR4183462	reERR4183463	reERR4183464	reERR4183465	reERR4183466	reERR4183467	reERR4183468	reERR4183470	reERR4183471	reERR4183473	reERR4183474	reERR4183475	reERR4183477	reERR4183478	reERR4183480	reERR4183481	reERR4183482	reERR4183484	reERR4183486	reERR4183488	reERR4183490	reERR4183491	reERR4183492	reERR4183493	reERR4183494	reERR4183495	reERR4183497	reERR4183498	reERR4183499
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia	0	0.470568056338069	0.222610654996676	0	7.72209046933016	0	0.106044430075714	0.584576608939571	4.77984590760781	0.0640517550843042	1.25715371164397	0.338875335525746	1.76889952041332	4.70771711674247	2.14770453559724	0.89338086612426	0	0.949874409840512	1.15202995306304	0.334146364349299	1.02656250215391	1.30431830725416	0.197919328101727	0	4.45684011319244	2.7555182381215	0	0.415775816558712	2.13382429618387	0.204692395893956	0.807641294934432	4.09900217337742	0.563814361910435	2.0015329548558	2.58445304774929	3.23894469770547	3.71412537542554	1.46842914693263	8.25333219241282	0	0	0.072743972411382	2.85213010628099	3.26803909192041	1.54147142561572	1.588062534056	0.690367192497773	0.287343310957214	0.758876471253498	0.778756344295952
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales	0	0.470568056338069	0.222610654996676	0	7.72209046933016	0	0.106044430075714	0.584576608939571	4.77984590760781	0.0640517550843042	1.25715371164397	0.338875335525746	1.76889952041332	4.70771711674247	2.14770453559724	0.89338086612426	0	0.949874409840512	1.15202995306304	0.334146364349299	1.02656250215391	1.30431830725416	0.197919328101727	0	4.45684011319244	2.7555182381215	0	0.415775816558712	2.13382429618387	0.204692395893956	0.807641294934432	4.09900217337742	0.563814361910435	2.0015329548558	2.58445304774929	3.23894469770547	3.71412537542554	1.46842914693263	8.25333219241282	0	0	0.072743972411382	2.85213010628099	3.26803909192041	1.54147142561572	1.588062534056	0.690367192497773	0.287343310957214	0.758876471253498	0.778756344295952
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0	0	0	0	0	0	0	0	0	0	0.77005879899321	0.338875335525746	0	0	2.14770453559724	0.813566143304166	0	0	1.15202995306304	0.334146364349299	0	0	0.0663340532153468	0	0	0	0	0.32521087950968	0	0	0.807641294934432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__NM07-P-09	0	0	0	0	0	0	0	0	0	0	0.594719952820063	0.125280347904341	0	0	2.02767028068494	0.813566143304166	0	0	0.370180248853896	0.334146364349299	0	0	0.0663340532153468	0	0	0	0	0.186424872866757	0	0	0.716242883467946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__NM07-P-09|s__NM07-P-09 sp004793925	0	0	0	0	0	0	0	0	0	0	0.439876057921564	0.125280347904341	0	0	1.54186114627965	0.276030730324327	0	0	0.370180248853896	0.334146364349299	0	0	0.0663340532153468	0	0	0	0	0.186424872866757	0	0	0.173878502605362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0	0.470568056338069	0	0	7.65447943136243	0	0.106044430075714	0	4.77984590760781	0	0	0	1.64563708980526	4.70771711674247	0	0	0	0.949874409840512	0	0	1.02656250215391	1.23233979792015	0.13158527488638	0	4.45684011319244	2.7555182381215	0	0	2.13382429618387	0.204692395893956	0	4.09900217337742	0.563814361910435	2.0015329548558	2.4863977916623	3.23894469770547	3.71412537542554	1.46842914693263	8.25333219241282	0	0	0.072743972411382	2.85213010628099	3.26803909192041	1.54147142561572	1.588062534056	0.690367192497773	0.287343310957214	0.758876471253498	0.778756344295952
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0	0.470568056338069	0	0	7.65447943136243	0	0.106044430075714	0	4.77984590760781	0	0	0	1.64563708980526	4.70771711674247	0	0	0	0.949874409840512	0	0	1.02656250215391	1.23233979792015	0.13158527488638	0	4.45684011319244	2.7555182381215	0	0	2.13382429618387	0.204692395893956	0	4.09900217337742	0.563814361910435	2.0015329548558	2.4863977916623	3.23894469770547	3.71412537542554	1.46842914693263	8.25333219241282	0	0	0.072743972411382	2.85213010628099	3.26803909192041	1.54147142561572	1.588062534056	0.690367192497773	0.287343310957214	0.758876471253498	0.778756344295952
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis	0	0.351872704517628	0	0	1.58585390830853	0	0.106044430075714	0	1.41461651743582	0	0	0	0.728647066177302	0.95386164444779	0	0	0	0	0	0	0.924241075464107	1.13124506618766	0.13158527488638	0	4.45684011319244	1.68489008641125	0	0	1.70125764810817	0	0	3.98764425082046	0	1.59907421805712	2.19533815965551	3.23894469770547	3.71412537542554	1.25087035696052	1.88143010601236	0	0	0.072743972411382	0.831292361527858	0.954066050626878	0.491284661529572	0.504067620418718	0.602695536385269	0.181138903498205	0.319883818029952	0.608717366946403
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella sp008014645	0	0	0	0	0	0	0	0	0.255322127027135	0	0	0	0.194985820064866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella sp900551665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.434400282288584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
