Taxonomy	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__Bacteria	62.7406925942725	51.9436176092294	58.9593432187466	43.2495360175558	49.4764282777275	59.2699527980218	45.2005592292159	59.3673324006949	49.5589778428924	41.5371282894731	65.6616284251702	47.2394787714195	52.3543480697723	58.0192283153522	26.4348103963825	42.4913576503555
k__Bacteria|p__Actinobacteriota	24.4680110992257	18.7560939940651	18.9722742142265	5.18630469153426	13.7396866045004	6.95963313863172	1.34288552900262	29.3401560716068	16.6669181421501	4.4733793325645	10.5192482292124	6.53436956939217	30.4490178203988	23.0448207455727	2.30159471481145	4.14038347826473
k__Bacteria|p__Actinobacteriota|c__Actinomycetia	14.766313227374	7.26139910189365	1.30604858817906	0.286013635881999	1.01818625451323	0.265310590576338	0	8.40541273275259	2.24350549536592	0.565084168533033	1.75502070309961	3.16366374892515	19.4589629439331	10.273345991823	0.17753816289818	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales	14.766313227374	7.26139910189365	1.30604858817906	0.286013635881999	1.01818625451323	0.265310590576338	0	8.40541273275259	2.24350549536592	0.565084168533033	1.75502070309961	3.16366374892515	19.4589629439331	10.273345991823	0.17753816289818	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae	14.766313227374	7.26139910189365	1.30604858817906	0.286013635881999	1.01818625451323	0.265310590576338	0	8.40541273275259	2.24350549536592	0.565084168533033	1.75502070309961	3.16366374892515	19.4589629439331	10.273345991823	0.17753816289818	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium	14.766313227374	7.26139910189365	1.30604858817906	0.286013635881999	1.01818625451323	0.265310590576338	0	8.40541273275259	2.24350549536592	0.565084168533033	1.75502070309961	3.16366374892515	19.4589629439331	10.273345991823	0.17753816289818	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium adolescentis	10.4115126577245	3.59384477521576	0	0	0	0	0	0	0	0	0.795516635852222	2.58797449046085	0	7.41374117105435	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium longum	1.16078629532927	1.04135136851789	0	0	0	0	0	0	0	0	0.302397923558809	0.575689258464303	0	0.84749035987049	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudocatenulatum	0	0	0	0	0.603241586487327	0.265310590576338	0	1.73153124535707	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudolongum	0	0	0	0	0	0	0	0	0	0	0	0	0.944449073336803	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pullorum_B	3.19401427432022	2.62620295816001	1.30604858817906	0.286013635881999	0.414944668025905	0	0	6.67388148739552	2.24350549536592	0.565084168533033	0.657106143688577	0	18.5145138705963	2.01211446089819	0.17753816289818	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia	9.70169787185165	11.4946948921715	17.6662256260475	4.90029105565226	12.7215003499872	6.69432254805538	1.34288552900262	20.9347433388542	14.4234126467842	3.90829516403147	8.76422752611276	3.37070582046702	10.9900548764657	12.7714747537497	2.12405655191327	4.14038347826473
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales	9.70169787185165	11.4946948921715	17.6662256260475	4.90029105565226	12.7215003499872	6.69432254805538	1.34288552900262	20.9347433388542	14.4234126467842	3.90829516403147	8.76422752611276	3.37070582046702	10.9900548764657	12.7714747537497	2.12405655191327	4.14038347826473
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0	0	0.250220754042268	0.340817070017437	1.37110926665508	0.376916093279696	0	4.02018144001323	0	0	0	1.85204678931816	0	0	0.207299566068466	0.145362246516417
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella	0	0	0.250220754042268	0.245397476198165	0.315703374361003	0	0	0.396775970911483	0	0	0	0	0	0	0.0429741991324778	0.0673755525291189
