;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61
ID15;0.901309;0.857074;0.841200;0.901762;0.890594;0.838932;0.809697;0.888645;0.917268;0.836772;0.816690;0.910226;0.944877;0.837580;0.703342;0.000000;0.919496;0.910140;0.797044;0.704225;0.512866;0.884921;0.902261;0.811425;0.811497;0.913434;0.907847;0.825340;0.772893;0.919876;0.933166;0.964095;0.832477;0.757835;0.656807;0.905469;0.836541;0.815204;0.726905;0.843249;0.739504;0.668049;0.809566;0.790564;0.780385;0.687364;0.741127;0.640229;0.759452;0.720774;0.769374;0.706028;0.810512;0.727875;0.683518;0.730359;0.647127;0.790199;0.726069;0.814837;0.782309;0.775921
ID16;0.892611;0.934970;0.928139;0.885271;0.842324;0.932923;0.926677;0.926132;0.735121;0.928965;0.916842;0.632737;0.650513;0.914175;0.922110;0.919496;0.000000;0.545531;0.931955;0.920564;0.928220;0.588204;0.693744;0.925379;0.924666;0.869205;0.873575;0.933120;0.925894;0.926900;0.553284;0.858629;0.924035;0.914592;0.930046;0.516256;0.932748;0.925621;0.926153;0.943109;0.924065;0.925578;0.927571;0.928153;0.918397;0.931175;0.914274;0.909524;0.920020;0.926027;0.916519;0.925147;0.927070;0.915333;0.914575;0.916413;0.911152;0.918536;0.922780;0.919872;0.916961;0.917525
ID17;0.801332;0.921942;0.912303;0.893230;0.738609;0.916812;0.920888;0.915499;0.631978;0.903542;0.895471;0.625948;0.657451;0.889214;0.905464;0.910140;0.545531;0.000000;0.909927;0.903259;0.916882;0.632085;0.591624;0.900998;0.908547;0.793137;0.775595;0.911778;0.904328;0.850755;0.561200;0.873297;0.913132;0.890243;0.916583;0.570462;0.916703;0.909409;0.910690;0.931175;0.908760;0.911496;0.918872;0.919006;0.904850;0.919363;0.896468;0.902515;0.915595;0.927173;0.900773;0.925065;0.908671;0.900124;0.902486;0.895563;0.890271;0.897410;0.909650;0.912249;0.890128;0.894246
ID18;0.872635;0.640629;0.685623;0.836837;0.845241;0.658970;0.754798;0.815139;0.926237;0.669602;0.658071;0.906297;0.943381;0.693622;0.625811;0.797044;0.931955;0.909927;0.000000;0.587874;0.808890;0.877157;0.904113;0.620675;0.672896;0.905697;0.907230;0.705641;0.743486;0.883877;0.950761;0.985675;0.697507;0.717420;0.868214;0.900842;0.737937;0.742600;0.841988;0.743222;0.707288;0.773111;0.763888;0.795708;0.707743;0.856756;0.684036;0.798779;0.776219;0.841347;0.653541;0.830729;0.672149;0.733150;0.781376;0.691600;0.757223;0.719296;0.810858;0.736081;0.620379;0.686165
ID19;0.859051;0.720371;0.701532;0.828569;0.840365;0.740981;0.720889;0.801133;0.919273;0.720071;0.678833;0.893630;0.937615;0.702562;0.476304;0.704225;0.920564;0.903259;0.587874;0.000000;0.710482;0.858745;0.894172;0.663008;0.675555;0.908129;0.905366;0.749370;0.704186;0.886285;0.943268;0.982012;0.705342;0.617121;0.814190;0.886963;0.764939;0.716411;0.821665;0.740807;0.648128;0.706959;0.764006;0.790532;0.691134;0.847951;0.667494;0.778338;0.746428;0.820293;0.662390;0.810568;0.662691;0.703235;0.755240;0.636579;0.700544;0.730188;0.802069;0.714541;0.596479;0.615466
ID20;0.904160;0.879965;0.860481;0.909273;0.903661;0.865138;0.867534;0.885776;0.924342;0.857851;0.847577;0.917799;0.950652;0.848101;0.758166;0.512866;0.928220;0.916882;0.808890;0.710482;0.000000;0.888981;0.911381;0.833249;0.831686;0.915993;0.910971;0.843646;0.816053;0.927132;0.934319;0.961719;0.853380;0.790064;0.650317;0.915234;0.866958;0.841696;0.722539;0.870285;0.758392;0.683006;0.822748;0.794413;0.840593;0.712048;0.789169;0.674927;0.782762;0.736090;0.800557;0.677879;0.838831;0.780569;0.719061;0.767208;0.679732;0.802347;0.738004;0.828176;0.796292;0.771107
ID21;0.885970;0.866645;0.861990;0.875786;0.824335;0.889504;0.903939;0.895984;0.784777;0.856896;0.859301;0.633568;0.667766;0.840642;0.865524;0.884921;0.588204;0.632085;0.877157;0.858745;0.888981;0.000000;0.720014;0.863407;0.853434;0.869685;0.881839;0.867601;0.859929;0.922268;0.601083;0.861050;0.849843;0.852466;0.903744;0.609330;0.897777;0.860896;0.884095;0.911408;0.889060;0.900209;0.859914;0.865456;0.888056;0.927851;0.839209;0.872813;0.885908;0.912782;0.858206;0.900358;0.879628;0.858916;0.872894;0.843376;0.860579;0.874723;0.898886;0.877319;0.843663;0.849640
ID22;0.634861;0.906320;0.903146;0.882136;0.599294;0.910442;0.909741;0.896521;0.492929;0.896003;0.890798;0.649343;0.789449;0.888234;0.895838;0.902261;0.693744;0.591624;0.904113;0.894172;0.911381;0.720014;0.000000;0.891287;0.894470;0.632114;0.630583;0.907398;0.895647;0.706784;0.713098;0.870028;0.893291;0.881024;0.917064;0.662411;0.909908;0.902737;0.901232;0.927494;0.902145;0.906295;0.902923;0.903707;0.896782;0.923187;0.876357;0.883182;0.892989;0.907405;0.879867;0.907517;0.900716;0.886915;0.888898;0.879412;0.870117;0.897179;0.909245;0.899607;0.876446;0.878424
ID23;0.846258;0.626736;0.591896;0.786705;0.777687;0.648759;0.655152;0.746984;0.924213;0.654614;0.705929;0.897134;0.946372;0.729679;0.666508;0.811425;0.925379;0.900998;0.620675;0.663008;0.833249;0.863407;0.891287;0.000000;0.652427;0.903181;0.907664;0.658932;0.682422;0.852775;0.947922;0.984274;0.693432;0.721305;0.875609;0.895385;0.627503;0.628989;0.767975;0.695596;0.720744;0.783962;0.657102;0.688168;0.600881;0.834447;0.597457;0.758901;0.673253;0.777735;0.587911;0.803344;0.574030;0.620575;0.692062;0.625840;0.712884;0.653543;0.771220;0.665693;0.564350;0.640988
ID24;0.875197;0.602361;0.674944;0.853330;0.852818;0.692168;0.723701;0.804141;0.929079;0.678706;0.699590;0.896289;0.943738;0.707239;0.697807;0.811497;0.924666;0.908547;0.672896;0.675555;0.831686;0.853434;0.894470;0.652427;0.000000;0.910688;0.920589;0.701057;0.675708;0.905471;0.948434;0.984794;0.624239;0.713320;0.868951;0.901845;0.762119;0.674861;0.784862;0.687065;0.727157;0.777237;0.688014;0.719187;0.706496;0.866165;0.620779;0.767458;0.688160;0.777696;0.596576;0.810437;0.656104;0.659914;0.720820;0.662882;0.731781;0.743376;0.806535;0.704727;0.632666;0.621458
