ID	reSRR9697535_taxonomic_profile	reSRR9697536_taxonomic_profile	reSRR9697537_taxonomic_profile	reSRR9697538_taxonomic_profile	reSRR9697539_taxonomic_profile	reSRR9697540_taxonomic_profile	reSRR9697541_taxonomic_profile	reSRR9697542_taxonomic_profile	reSRR9697543_taxonomic_profile	reSRR9697544_taxonomic_profile	reSRR9697545_taxonomic_profile	reSRR9697546_taxonomic_profile	reSRR9697547_taxonomic_profile	reSRR9697548_taxonomic_profile	reSRR9697549_taxonomic_profile	reSRR9697550_taxonomic_profile	reSRR9697551_taxonomic_profile	reSRR9697552_taxonomic_profile	reSRR9697553_taxonomic_profile	reSRR9697554_taxonomic_profile	reSRR9697555_taxonomic_profile	reSRR9697556_taxonomic_profile	reSRR9697557_taxonomic_profile	reSRR9697558_taxonomic_profile	reSRR9697559_taxonomic_profile	reSRR9697560_taxonomic_profile	reSRR9697561_taxonomic_profile	reSRR9697562_taxonomic_profile	reSRR9697563_taxonomic_profile	reSRR9697564_taxonomic_profile	reSRR9697566_taxonomic_profile	reSRR9697567_taxonomic_profile	reSRR9697568_taxonomic_profile	reSRR9697569_taxonomic_profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.11418	1.56507	0.11513	0.32064	4.46592	1.46481	0.0	1.03556	2.81245	0.0	2.80077	0.0	3.52574	13.67114	0.66202	12.54211	2.31738	0.0	6.36475	6.95102	8.07134	2.52276	0.0	0.0	0.0	4.6628	4.77408	0.76758	0.0	0.35589	0.0	0.31107	0.50171	0.75513
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0.11418	1.56507	0.11513	0.32064	4.46592	1.46481	0.0	1.03556	2.81245	0.0	2.80077	0.0	3.52574	13.67114	0.66202	12.54211	2.31738	0.0	6.36475	6.95102	8.07134	2.52276	0.0	0.0	0.0	4.6628	4.77408	0.76758	0.0	0.35589	0.0	0.31107	0.50171	0.75513
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0.11418	1.56507	0.11513	0.32064	4.46592	1.46481	0.0	1.03556	2.81245	0.0	2.80077	0.0	3.52574	13.67114	0.66202	12.54211	2.31738	0.0	6.36475	6.95102	8.07134	2.52276	0.0	0.0	0.0	4.6628	4.77408	0.76758	0.0	0.35589	0.0	0.31107	0.50171	0.75513
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified	0.0	0.88258	0.04551	0.09738	2.2974	1.46481	0.0	1.03556	0.0	0.0	2.22423	0.0	3.52574	4.05532	0.43915	4.34981	0.35798	0.0	6.36475	6.95102	6.28589	1.93351	0.0	0.0	0.0	3.98371	3.58451	0.21528	0.0	0.0	0.0	0.31107	0.50171	0.54089
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	0.0	0.11235	0.0	0.22326	0.39618	0.0	0.0	0.0	0.2838	0.0	0.19056	0.0	0.0	3.01324	0.22287	2.4725	0.16749	0.0	0.0	0.0	0.88072	0.28402	0.0	0.0	0.0	0.67909	0.47402	0.11708	0.0	0.0	0.0	0.0	0.0	0.06699
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified	0.0	0.11235	0.0	0.22326	0.39618	0.0	0.0	0.0	0.2838	0.0	0.19056	0.0	0.0	3.01324	0.22287	2.4725	0.16749	0.0	0.0	0.0	0.88072	0.28402	0.0	0.0	0.0	0.67909	0.47402	0.11708	0.0	0.0	0.0	0.0	0.0	0.06699
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus	0.11418	0.57015	0.06962	0.0	1.77234	0.0	0.0	0.0	2.52865	0.0	0.38599	0.0	0.0	6.60258	0.0	5.71981	1.79191	0.0	0.0	0.0	0.90473	0.30524	0.0	0.0	0.0	0.0	0.71555	0.43522	0.0	0.35589	0.0	0.0	0.0	0.14725
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus_unclassified	0.11418	0.57015	0.06962	0.0	1.77234	0.0	0.0	0.0	2.52865	0.0	0.38599	0.0	0.0	6.60258	0.0	5.71981	1.79191	0.0	0.0	0.0	0.90473	0.30524	0.0	0.0	0.0	0.0	0.71555	0.43522	0.0	0.35589	0.0	0.0	0.0	0.14725
k__Bacteria|p__Actinobacteria	1.36802	10.62756	8.12074	17.93741	35.04856	5.58354	39.93099	2.32024	17.68522	0.02135	15.99519	18.22324	14.91874	34.0692	7.64547	26.3289	9.16966	27.56041	4.97302	13.31496	6.81016	10.01005	5.33676	16.81681	8.44118	52.64779	17.75453	4.88521	7.09983	12.3715	25.54195	55.91255	4.21768	17.46678
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.36802	10.62756	8.12074	17.93741	35.04856	5.58354	39.93099	2.32024	17.68522	0.02135	15.99519	18.22324	14.91874	34.0692	7.64547	26.3289	9.16966	27.56041	4.97302	13.31496	6.81016	10.01005	5.33676	16.81681	8.44118	52.64779	17.75453	4.88521	7.09983	12.3715	25.54195	55.91255	4.21768	17.46678
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	1.10008	10.11631	7.52009	16.79511	30.82248	4.98595	34.72354	1.51507	16.76326	0.02135	13.94598	17.22019	13.0226	32.67863	7.43824	24.0517	8.30915	27.33316	4.49681	11.24301	6.36476	9.79822	4.80819	16.81681	7.29505	44.16017	15.07274	4.78408	6.89103	11.82338	18.75639	54.06622	3.40179	16.71284
