Taxa	reSRR9697535	reSRR9697536	reSRR9697537	reSRR9697538	reSRR9697539	reSRR9697540	reSRR9697541	reSRR9697542	reSRR9697543	reSRR9697544	reSRR9697545	reSRR9697546	reSRR9697547	reSRR9697548	reSRR9697549	reSRR9697550	reSRR9697551	reSRR9697552	reSRR9697553	reSRR9697554	reSRR9697555	reSRR9697556	reSRR9697557	reSRR9697558	reSRR9697559	reSRR9697560	reSRR9697561	reSRR9697562	reSRR9697563	reSRR9697564	reSRR9697566	reSRR9697567	reSRR9697568	reSRR9697569
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|f__ruaniaceae|g__ruania|s__ruania_sp._lr1s40	0.000791117536459991	0.00163770441007594	0.00131057153253609	0.00119149405315269	0.00330368848654513	0.00102495410928125	0.00250926217141853	0.00103321388128485	0.00190440028373601	0.000337111071509073	0.00188754115590446	0.00101371754787963	0.000568028246151254	0.00123456700467175	0.000746603361941364	0.00296379360001897	0.000906997965864901	0.00227883745244643	0.00089519393527717	0.00129430983968647	0.000801082315613882	0.000975152966963849	0.000957140984718365	0.00115300988907757	0.000923751319154333	0.00199435995006123	0.00083837190082251	0.000925923516880963	0.000790600081273688	0.00162344228648914	0.00143646774208411	0.00200816322937589	0.000644350880052691	0.00132650397069456
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|f__ruaniaceae|g__ruania|s__ruania_sp._m4n3s171	0.000548678291415801	0.00109726195475088	0.000686823583895921	0.000617280051633323	0.00189679453029778	0.000480447238725585	0.00186768945713539	0.000676285449568267	0.00131541050526095	0.000229848457847095	0.00125836077060298	0.000662815319767453	0.000662699620509796	0.000556765511910788	0.000529409656649331	0.00124363104000796	0.000591854604844046	0.00131788190020998	0.000802587666110566	0.000467822833621616	0.00061416310863731	0.000636558186768068	0.000488337237101207	0.000634155438992661	0.000624156296725901	0.00117762206575044	0.00063830587903532	0.000556701949199092	0.00049694862251489	0.000852995099680732	0.000623372793734616	0.00127458762047145	0.000644350880052691	0.000741281630682255
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|f__ruaniaceae|g__ruania|s__ruania_zhangjianzhongii	0.000586958172212252	0.00132654057216151	0.0011844202620246	0.00106229590281083	0.00260024150842145	0.000768715581960936	0.00245223348570448	0.000976856760487496	0.00196329926158351	0.000321787840985933	0.00128695987902577	0.00115017952547882	0.000804706682047609	0.00125877420084178	0.000841625608006629	0.00225480768001443	0.000768642343953306	0.00181208761278873	0.000802587666110566	0.00124752755632431	0.00094794740680976	0.000934521593340355	0.000761806089877882	0.000835932169581235	0.00107354883036855	0.00170945138576677	0.000981276202099073	0.000799661219124468	0.000609891491268274	0.00151337840265936	0.00111122976274431	0.00207235109515503	0.000696595546002909	0.00117824764455811
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|f__sanguibacteraceae	0.00209263348353933	0.00433991668670125	0.00387564736626984	0.0031007556082046	0.0087805256733652	0.00294674306418359	0.00761332954282669	0.00268635609134062	0.0064788875632256	0.000643575681971867	0.00806494857522817	0.00329458203060881	0.00260346279485991	0.00297748512891421	0.00187329570814379	0.0089843625600575	0.00229824060842038	0.00771510029081261	0.002454066132915	0.00324357164644321	0.00312422103089414	0.00383289291181624	0.00365276253351703	0.00536149598421068	0.00274628770559396	0.00533728710444957	0.00291048426933269	0.0074571278281033	0.00390782325886709	0.00495287477233974	0.00327948295834298	0.00593279273701461	0.00235100996775982	0.00496268544330436
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|f__sanguibacteraceae|g__sanguibacter	0.00209263348353933	0.00433991668670125	0.00387564736626984	0.0031007556082046	0.0087805256733652	0.00294674306418359	0.00761332954282669	0.00268635609134062	0.0064788875632256	0.000643575681971867	0.00806494857522817	0.00329458203060881	0.00260346279485991	0.00297748512891421	0.00187329570814379	0.0089843625600575	0.00229824060842038	0.00771510029081261	0.002454066132915	0.00324357164644321	0.00312422103089414	0.00383289291181624	0.00365276253351703	0.00536149598421068	0.00274628770559396	0.00533728710444957	0.00291048426933269	0.0074571278281033	0.00390782325886709	0.00495287477233974	0.00327948295834298	0.00593279273701461	0.00235100996775982	0.00496268544330436
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|f__sanguibacteraceae|g__sanguibacter|s__sanguibacter_keddieii	0.00100803686097321	0.00262032705612151	0.0025090086023953	0.00189490620501392	0.00461009001734625	0.00147337153209179	0.00447675182855352	0.00137135660606899	0.0046922852351846	0.000337111071509073	0.00588426655799006	0.00197869867518813	0.00137273492819886	0.00193657569360274	0.000990946280394902	0.00590434176003779	0.00136818337223688	0.0050518806174716	0.00114214398638811	0.00215198503465943	0.00149535365581258	0.0023837072525783	0.00244168618550603	0.00366080639782127	0.00165401418632364	0.00322896372867056	0.00165768989480814	0.0060299812504314	0.00295910316133866	0.00310930471819106	0.00203273737087375	0.00349365383740737	0.00132353153740553	0.0036205755435428
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|f__sanguibacteraceae|g__sanguibacter|s__sanguibacter_sp._hdw7	0.00107183666230063	0.00171958963057974	0.00135963035995723	0.00120584940319068	0.00417043565601895	0.00144134171617675	0.00313657771427317	0.00129621377833918	0.00176696933542516	0.000291141379939654	0.00218068201723811	0.00130613607130645	0.00123072786666105	0.00101670223914144	0.000868774821168133	0.00306839808001964	0.0009300572361835	0.00263576380041996	0.00131192214652689	0.00107599251732972	0.00161551600315466	0.00144918565923794	0.00121107634801099	0.00167186433916247	0.00108603195630307	0.00210832337577901	0.00125279437452455	0.0014271465776719	0.000926131523777749	0.00184357005414868	0.00124674558746923	0.00243913889960724	0.00101006354170422	0.00134210989976156
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|f__tropherymataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|f__tropherymataceae|g__tropheryma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|f__tropherymataceae|g__tropheryma|s__tropheryma_whipplei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
