feature	X1131336	X1160721	X1232428	X1519439	X1535	X165179	X166486	X1680	X1796635	X1898205	X1965537	X204516	X208479	X2086273	X2086584	X2137880	X214856	X2173	X2292885	X2292887	X2292997	X2293011	X2293015	X2293022	X2293024	X2293035	X2293047	X2293125	X2293126	X2293138	X239935	X28052	X28111	X28116	X28117	X28118	X291644	X292800	X29348	X301301	X301302	X310297	X328812	X328813	X328814	X33025	X33043	X338188	X357276	X35833	X360807	X39485	X39491	X39492	X39496	X39778	X40518	X40519	X40545	X437897	X454154	X45851	X46503	X46506	X47678	X487174	X487175	X562	X674529	X745368	X817	X818	X820	X821	X823	X853	X88431
sample_1	0	0.00560591467246613	0	0.00519241198256047	0.00580210744413694	0.00445630771848926	0.00122674709419617	0	0	0	0	0.00967263362582846	0.00168383081636513	0.117056351495289	0	0	0	0	0.121438694054415	0.0087077988025346	0.000634940410794886	0.00203106913438332	0.025532835351724	0	0.0451956928821238	0.0046407878675179	0.000660028544198892	0	0.015874090248068	0	0.173072536251626	0.00804798881391112	0	0	0.0043432233934925	0	0	0	0.00190145940999209	0.00109084180166417	0.00415179603080472	0	0	0.00387519875757852	0.000619917027839086	0.0285587238178784	0	0	0.00144603789578512	0.0111111179761135	0.0033340927812631	0.00653032228909974	0.0103141140913158	0.000634245082870794	0.000523748004206814	0	0	0	0	0	0	0	0.00138351709520284	0	0.0123768209914986	0	0.277848548943539	0	0	0.00352442676872766	0.004196911360385	0.00061939074580781	0.00580970850371346	0.0126841003127781	0.00220571911137614	0.0259275430243849	0.0184557075720525
sample_2	0	0.136464895202129	0	0.0902216636348502	0.00214645578416672	0.00555460315759551	0.00545489138311721	0	0	0.0142877600251523	0	0.0183616599379648	0.000533475429167041	0.011367071383671	0	0	0	0	0.031714237877274	0.0364471369505303	0.00100674714332694	0.00390480643479659	0.0156442860471167	0.0132755171998797	0.00456478912183659	0.0312872463772341	0.00160823639352609	0	0.0718422993704152	0	0.00920214120297983	0.0116834687370157	0.000609105228740602	0.000641941204993463	0.0684207156224671	0.0150186938968594	0.000666838630026984	0.000666664540740445	0.00133528105614293	0.00656016669721834	0.0102317910742069	0	0.00365412973088129	0.0472015170357775	0.000995363040409764	0.00123662114302062	0.000536119754666133	0	0.00400321087741825	0.00676635027011232	0.00247259110458821	0.0212574419461341	0.0374688348476136	0.00390459255591865	0.00057408730794014	0	0	0.0013992923415688	0.00102908082099293	0	0	0.00229028735155576	0.00370273957739605	0.0013049338843763	0.0184910268929151	0.00186773353522311	0.0649836982390131	0	0	0.00103813037918483	0.00241426616600532	0.000823013261517136	0.0291235459411365	0.0101144422764061	0.00452013095301638	0.0845105946997802	0.0215916373202898
sample_3	0	0.14477557600879	0	0.0248032982229824	0.00276327599115698	0.00210168858159152	0.010165005610263	0	0	0.0019325838494331	0	0.00902004500522956	0	0.00877168727310549	0	0	0	0	0.048624430752285	0.052983016092883	0.00152535064429255	0.00527082915815024	0.0151027885253397	0.0312735244394649	0.00892399955627694	0.225966796942525	0.00184146933073516	0	0.0711120308599533	0	0.0127021477598057	0.0118645381441324	0	0	0.0279625311265013	0.0089721483037258	0.000969089903217453	0.00105030132991604	0	0.00216869354670568	0.0112875058429919	0	0.00194310684804258	0.0157108409321208	0	0.00186518485045554	0.000766730249679983	0	0.00237629341410433	0.0151121358828628	0.00399045657748953	0.0221608951188002	0.0253714609845795	0.00472463872053593	0.000687500247410914	0	0	0.000592142550804882	0	0	0	0.002402436958156	0.00186207391560943	0.000773484229528005	0.00737178613762287	0.000688732408086593	0.0594831147281719	0	0	0.000885105223902937	0.00127777796222409	0.000542003073167522	0.0170281471624105	0.00822241389476354	0.00210672865685951	0.0517108669516307	0.00640958951952563
sample_4	0.00105879192814454	0	0	0.119122064866875	0.00142388768746048	0.00136071786852377	0.00855032747435301	0	0	0.00857163912517266	0	0.052770205769793	0.000597488966657245	0.0190956972880361	0	0	0	0	0.0245184817159096	0.0334849381340772	0.00120742054496804	0.0110175041593644	0.00201543262334839	0.0955027782933524	0.00387373709982847	0.0021705874524321	0.00152936860648034	0	0.0176254313191467	0	0	0.000544356191530722	0	0	0.115776093533265	0.0459233117784327	0.000998715781965438	0.00131335792403464	0.00123783434765072	0.00638789755313134	0.0104780193533255	0	0.0499914717026297	0.0038722318679984	0.00229491458061161	0.000878682560816214	0	0	0.00573686489094581	0	0.00321596223422659	0.000765031642302846	0.0215502985765754	0.0264091257358469	0	0	0.000648128920291084	0.00198138630254086	0.00128756986262177	0	0	0.00136789958019523	0.00339417184824429	0.00362575181610465	0.100564825164009	0.00374046449052757	0	0	0	0.00161304042071914	0	0	0.0636148360018725	0.0116878119707852	0	0.0981604808384862	0.00544296160439038
sample_5	0.0241128304139144	0.0208953502255251	0.23343327496835	0.0012312372715851	0.199822111029755	0.000918474770629035	0.00123688837693096	0.0100970623003202	0	0	0.000985970023274644	0.00126647648539523	0.00847004404133543	0.0230411032090284	0	0	0.0106759519892986	0	0.0532687013137024	0.0014596977860304	0.000920723528119968	0.0012385859795977	0.0107549599297009	0	0.00355140843894715	0.00798744750909707	0	0	0	0	0	0.0096542251625352	0.00458062574075127	0.000591390450006446	0.00199367486108311	0	0	0.00714581378467409	0	0.00177163803024688	0.00813387950698251	0	0	0.00195786260072593	0	0	0	0	0.0011573096776801	0.0345314515505019	0	0.000635745884438114	0.0128856380957529	0	0.0481686193610007	0.00209879640687377	0.0662829050016247	0.000740124981395932	0	0	0	0	0.00344874019394011	0.00647530070920388	0	0	0.0522239836984719	0	0	0.00393149503449708	0	0	0.00568949227678105	0.0127104317733292	0.00310752382685685	0.073646717562026	0.021068314238082
sample_6	0	0	0	0.00698211609496511	0	0.00452503875223956	0.00318881403028865	0	0	0	0.00141850049424203	0.00414406288916911	0.0416561656753602	0.00190218711069763	0	0	0	0	0.0336107389666826	0.00747902074777046	0.00172083135851891	0.00607077347410093	0.000903815427584767	0	0	0	0.00286574745073225	0	0	0	0	0	0.00289137639459743	0.0151172324941727	0.0322668747176118	0	0	0.0135150083354244	0.000949036397519037	0.0478866570580512	0.00730828991699118	0	0	0	0	0.000856091424288207	0	0.000602176163652414	0.0233223320898326	0	0.00440058615128801	0	0.00790793024446397	0.000529094017629032	0.00119027493712834	0.00523974743752127	0	0	0	0	0.00783163394579512	0.000615509642867129	0.00718278821843263	0.179462818265185	0.00432818595424382	0	0	0	0	0.0217911861996107	0.000663338429120512	0.00100527984961137	0.120664663910031	0.0798345014367708	0.0217250126652629	0.163504330678133	0.110940230552412
sample_7	0	0.0108169638535453	0	0.00297258679311028	0	0.00491878481792167	0.12213065955001	0.00452583570839076	0	0	0.00101331987676694	0.00597374961626372	0.0187611555033052	0.00225828937135735	0	0	0	0	0.00821714554252882	0.00239422920519056	0.0206342928147263	0.00324390879710755	0	0	0	0	0	0	0	0	0	0.0119711793302265	0.00221996013452241	0.00848292810322954	0.0694661572031138	0	0	0.00452410548277802	0.00126350095566635	0	0.00429227241997108	0	0	0	0	0.000720527312830906	0	0.000679546606231501	0.0272875102803815	0	0.0031739147206739	0	0.0126857768443096	0	0	0.00363196935453698	0	0.0170320889795032	0	0	0.0194473976769185	0.000719113594441934	0.00557460458951159	0.100611217824912	0.0142367097407953	0	0	0.00298616290437367	0	0.043742285086886	0	0.000509266813967843	0.290349333722203	0.10093129577889	0.0141435497897634	0.0136758533984547	0.0177808499006825
sample_8	0.00926857840339014	0.0469858072830347	0.0733646727848997	0.0015536465334223	0.0435273426030711	0.00073368539897168	0.00293764403920202	0.011004942131098	0	0	0.0017020358708929	0.00094857360599606	0.00299791600426586	0.0297857413604573	0	0	0.00516626614495383	0	0.0299582187728876	0.00295927818841238	0.0022368301200105	0.00232809849388935	0.07094461361015	0	0.00991185232639073	0.0833465828329638	0.000605172802542143	0	0.0327456918724795	0	0	0.0602398424363854	0.00940809247352897	0	0.0015040284146996	0	0	0.0111265292688676	0.000961347565920316	0.00528416151963893	0.038781785547672	0	0	0.00241219640156341	0	0.000570489278962917	0	0	0.00157754357895507	0.078523336856226	0.000850534006421189	0.0217011556861222	0.0170899266961338	0	0.0196266166834604	0.00174149292457313	0.00225754167527067	0	0.00413670512061704	0	0	0	0.00354825584897959	0.0105887897737039	0.000554261348101527	0	0.0239576306815686	0.0212364945367586	0	0.00638773464889237	0	0.000607592907858037	0.00905659851090126	0.0192871792856927	0.00142685761155002	0.119639450309633	0.0409026372179602
sample_9	0.0120150324066063	0.0878530245717848	0.0566495292641959	0.0020239226627126	0.082090605138597	0.00153353754692727	0.00157068467633283	0.00328516654844418	0	0	0.000807183396763045	0.00272503569449307	0.00720397184204561	0.101873971230815	0	0	0.0259290932097622	0	0.023897494775095	0.00172270569008846	0.00143215449705714	0.00115655684027177	0.050077607589194	0	0.00208801162031161	0.0290415073636467	0	0	0.00337350645959872	0	0	0.0382989437007903	0.0304164787784427	0.00121555002763848	0.00742835510309726	0	0	0.00562056039021798	0.00203130530899887	0.000894110775991558	0.00937973972444849	0	0	0.0117531922137111	0	0.000828346399020733	0	0.00114380688482899	0.00333780365962137	0.0287038295893839	0.000887770748418664	0.0074682645823619	0.0293789667265758	0	0.0409682205271164	0.00665576263575324	0.00372781414982734	0	0.00282147990965983	0	0.000674127220790927	0	0.0102425892440244	0.0301274845173425	0.00114418832407336	0	0.00179158329200591	0.0392627640315222	0	0.0128965377826217	0.000690491240602396	0.000867944849200088	0.0177195976694111	0.0404157472299602	0.0025685747495178	0.0899970672962047	0.0202906976920746
sample_10	0	0	0	0.00160847489899765	0.010990594506838	0.385741737922826	0.00104638559843478	0.00984478977564933	0	0	0	0.000652181551758572	0.00175791480270147	0.0107716179036997	0	0	0	0	0.0104625556120968	0.00100894949361396	0	0.0031305335185685	0	0	0.00113272684531212	0.0328417342720379	0	0.0534483816494316	0.0180648269317657	0	0.032825450153842	0	0.00534978906025351	0	0.00515436067554327	0.00418610787083959	0	0.0007701283572647	0	0.00241902450103826	0.037842125214243	0	0	0.0011784616816235	0	0	0	0	0.00106627781821153	0.0729630000999566	0	0	0.00414973239804693	0.00233683095688064	0.0575917770939017	0	0	0	0.0223111144579676	0.0686642466624937	0	0	0	0.00134311450779057	0	0	0.00626982143403969	0	0	0	0	0	0.0097765855198261	0.0265523296150182	0.0171377502554173	0.0565452523817831	0.0210633140002857
sample_11	0	0	0.0395861915088305	0.00138818408259779	0.136836366831423	0.00107202409436635	0.00401598870153929	0.0218386466453679	0.000613935778898096	0.0010767320840118	0.000715348940820931	0.00228602453370259	0.00171451864913455	0.0415298228818015	0	0	0.00249418319841572	0.00124784016130747	0.00664772646029823	0.0009362539993653	0.00142157272795397	0.00147409243135818	0.0114526472947409	0.118438134952901	0	0	0.000906279939882722	0	0.0566639281591805	0	0.00787229960344543	0	0.00102941753803919	0.000866520916161755	0.0360774324419131	0.0343155916169035	0	0.00224851162997971	0.00111492199866231	0.00194887335019005	0.00413990636847561	0.00688828752892703	0.0149771988221968	0.0027838031021475	0.00358911343516502	0	0	0	0.00503885542281516	0	0.000547598634035686	0.00147176017680826	0.0924288965124078	0.00495535296933353	0.0295959786121585	0.00737816847196381	0	0	0	0	0	0.000561758056107471	0.0144544497909828	0.0716987578509994	0.000885347658488772	0	0.0145732403854628	0.00574401519062532	0.00242088484642537	0.0106517566545558	0.00167475414296625	0	0.0296910492543087	0.0141217308443094	0.00501860899399233	0.0301413249023622	0.0847373882187846
