feature	X1194088	X1236180	X1367881	X1419722	X1448860	X1457250	X1480675	X1498500	X151081	X1611323	X1758255	X1765655	X2247	X2248	X228957	X229203	X28442	X29282	X337243	X35743	X368624	X376171	X411361	X416585	X441119	X478441	X553469	X561365	X64713	X660521	X699431	X996166
ERR5004402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.3231962758562	17.6857721413109	0	0	0	0	0	0	0	0	0	0	0	11.7478837482309	0	0	0	0
ERR5004403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.3060166106952	0	0	0	0
ERR5004404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR5004405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.0504008889361	24.781431660963	0	0	0	0	0	0	0	0	0	0	0	29.8056123305357	0	0	0	0
ERR5004410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR5004787	9.23974008331189	0.365745617989049	0.43311398149364	6.29690368931238	0.376707768779737	1.13272778320597	1.57904220968533	0.85841718133836	0	4.42395133307513	3.42211804263119	22.199182311933	0.307495549233077	2.64059871115457	0	0	1.03067342313159	0.452145372582759	2.34557082330828	5.95793532151649	2.10103243646292	4.00359707147459	0.239313585876472	2.76353284946116	0	1.20037556460685	0.465949894662009	0	1.76224317495764	0.264139348951004	0.481582123474562	0.618112887651
ERR5004789	21.8254982101996	0	0	15.25023026337	0	0	0	0	12.2264181893285	30.9520903388174	0	19.7457629982845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR5004790	0	0	0	0	0	0	0	0	9.31464263271536	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3349578725329	0	15.0469208598018	0	14.0187500150756	0	0	0	0	6.72491546016226
ERR5004796	7.9331830849786	0	0	5.8912860025012	0	0	0	0	0	11.5842480322657	0	21.6810892601202	0	0	0	0	9.44667846038058	5.31375663548304	7.89573124103614	0	0	10.3054674069054	0	10.0192044166293	0	0	9.92935545969969	0	0	0	0	0
ERR5004798	20.2902283745139	0	0	12.2536610527414	0	0	0	0	0	21.1131155247411	0	36.6509829669656	0	0	0	0	0	0	0	9.69201208103803	0	0	0	0	0	0	0	0	0	0	0	0
ERR5004799	10.9109421103007	0	0	4.68885952717375	3.66910755239856	0	4.78003177625113	3.42109630137628	0	5.24180338997183	3.76545173434376	24.2950881942718	2.36806696912406	4.27031860358668	0	0	0	3.53391794332782	3.37958989624129	9.40334121158612	2.25237100654805	3.69272840789493	0	0	0	3.76545173434376	0	0	2.96180970470516	0	3.60002393655433	0
ERR5004803	5.06899332119982	2.1817294627481	2.16320097581759	3.79466539916641	2.17242570593829	3.95658379274962	0	3.37746185048437	0	5.6291030767968	0	19.9565325141883	1.14094922298894	2.8332504493472	0	0	0	0	2.41738061649413	4.99608211253878	2.57427547270062	2.12485434895956	0	5.3628911325046	0	2.28702055190968	3.06337013142117	0	4.64341164361881	20.2558182184272	0	0
ERR5004804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ERR5004807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.6512924526324	0	44.3487075473675	0	0	0	0	0	0	0
