ID	reSRR9320187_taxonomic_profile	reSRR9320188_taxonomic_profile	reSRR9320191_taxonomic_profile	reSRR9320192_taxonomic_profile	reSRR9320193_taxonomic_profile	reSRR9320194_taxonomic_profile	reSRR9320195_taxonomic_profile	reSRR9320196_taxonomic_profile	reSRR9320197_taxonomic_profile	reSRR9320198_taxonomic_profile	reSRR9320199_taxonomic_profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0931	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0931	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium|s__Janthinobacterium_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0931	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales	9.67115	10.15763	0.0	11.58651	1.27381	0.0	16.55389	25.85201	22.1242	23.72666	23.11744
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae	9.67115	10.15763	0.0	11.58651	1.27381	0.0	16.55389	25.85201	22.1242	23.72666	23.11744
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae|g__Gallionella	0.0	0.0	0.0	0.0	0.0	0.0	0.01948	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae|g__Gallionellaceae_unclassified	8.63371	10.10979	0.0	11.38465	1.27381	0.0	15.93886	25.54843	21.91105	23.3212	22.59013
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae|g__Gallionella|s__Gallionella_capsiferriformans	0.0	0.0	0.0	0.0	0.0	0.0	0.01948	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae|g__Gallionella|s__Gallionella_capsiferriformans|t__GCF_000145255	0.0	0.0	0.0	0.0	0.0	0.0	0.01948	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae|g__Sideroxydans	1.03743	0.04784	0.0	0.20186	0.0	0.0	0.59555	0.30359	0.21315	0.40546	0.52731
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae|g__Sideroxydans|s__Sideroxydans_lithotrophicus	1.03743	0.04784	0.0	0.20186	0.0	0.0	0.59555	0.30359	0.21315	0.40546	0.52731
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae|g__Sideroxydans|s__Sideroxydans_lithotrophicus|t__GCF_000025705	1.03743	0.04784	0.0	0.20186	0.0	0.0	0.59555	0.30359	0.21315	0.40546	0.52731
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales	1.68023	1.00968	0.0	2.57498	0.0	0.0	0.06595	0.23143	0.94616	0.22084	0.47165
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae	1.68023	1.00968	0.0	2.57498	0.0	0.0	0.06595	0.23143	0.94616	0.22084	0.47165
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Sulfuricella	1.68023	1.00968	0.0	2.33796	0.0	0.0	0.02531	0.23143	0.69387	0.05905	0.47165
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Sulfuricella|s__Sulfuricella_denitrificans	1.68023	1.00968	0.0	2.33796	0.0	0.0	0.02531	0.23143	0.69387	0.05905	0.47165
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Sulfuricella|s__Sulfuricella_denitrificans|t__GCF_000297055	1.68023	1.00968	0.0	2.33796	0.0	0.0	0.02531	0.23143	0.69387	0.05905	0.47165
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Thiobacillus	0.0	0.0	0.0	0.23702	0.0	0.0	0.04064	0.0	0.25229	0.16179	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Thiobacillus|s__Thiobacillus_denitrificans	0.0	0.0	0.0	0.23702	0.0	0.0	0.04064	0.0	0.25229	0.16179	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Thiobacillus|s__Thiobacillus_denitrificans|t__Thiobacillus_denitrificans_unclassified	0.0	0.0	0.0	0.23702	0.0	0.0	0.04064	0.0	0.25229	0.16179	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	7.1896	2.56596	11.01775	6.15591	10.10142	12.28584	7.25521	4.39174	12.34674	7.17102	9.14802
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidithiobacillales	0.0	0.0	0.0	0.0	0.0	0.0	2.53334	1.70666	2.39643	1.67969	3.19405
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidithiobacillales|f__Acidithiobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	2.53334	1.70666	2.39643	1.67969	3.19405
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus	0.0	0.0	0.0	0.0	0.0	0.0	2.53334	1.70666	2.39643	1.67969	3.19405
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_ferrivorans	0.0	0.0	0.0	0.0	0.0	0.0	0.8849	1.0816	1.96443	1.25814	2.58584
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_ferrivorans|t__GCF_000214095	0.0	0.0	0.0	0.0	0.0	0.0	0.8849	1.0816	1.96443	1.25814	2.58584
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_ferrooxidans	0.0	0.0	0.0	0.0	0.0	0.0	0.40926	0.55756	0.432	0.31901	0.60821
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_ferrooxidans|t__Acidithiobacillus_ferrooxidans_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.40926	0.55756	0.432	0.31901	0.60821
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_thiooxidans	0.0	0.0	0.0	0.0	0.0	0.0	1.23917	0.0675	0.0	0.10254	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_thiooxidans|t__GCF_000227215	0.0	0.0	0.0	0.0	0.0	0.0	1.23917	0.0675	0.0	0.10254	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	0.45537	0.0	0.0	0.56672	0.0	0.0	0.3813	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae	0.45537	0.0	0.0	0.56672	0.0	0.0	0.3813	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae|g__Spiribacter	0.0	0.0	0.0	0.0	0.0	0.0	0.3813	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae|g__Spiribacter|s__Spiribacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.3813	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae|g__Thioalkalivibrio	0.45537	0.0	0.0	0.56672	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae|g__Thioalkalivibrio|s__Thioalkalivibrio_unclassified	0.45537	0.0	0.0	0.56672	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00275	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00275	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00275	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00275	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	0.0	0.0	0.0	0.0	0.0	0.0	0.83965	0.58108	5.32965	2.94968	4.14719
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.83965	0.58108	5.32965	2.94968	4.14719
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionellaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.83965	0.58108	5.32965	2.94968	4.14719
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.0	0.0	1.23985	0.0	0.0	1.47803	0.86241	0.5261	1.80094	1.14453	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0.0	0.0	1.23985	0.0	0.0	1.47803	0.86241	0.5261	1.80094	1.14453	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	0.0	0.0	1.23985	0.0	0.0	1.47803	0.86241	0.5261	1.80094	1.14453	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_unclassified	0.0	0.0	1.23985	0.0	0.0	1.47803	0.86241	0.5261	1.80094	1.14453	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	6.73424	2.56596	9.7779	5.58919	10.10142	10.80781	2.63852	1.5779	1.81696	1.39713	1.80678
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Sinobacteraceae	0.0	0.0	0.0	0.0	0.71834	1.27992	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Sinobacteraceae|g__Sinobacteraceae_unclassified	0.0	0.0	0.0	0.0	0.71834	1.27992	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	6.73424	2.56596	9.7779	5.58919	9.38308	9.52789	2.63852	1.5779	1.81696	1.39713	1.80678
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Rhodanobacter	6.73424	2.56596	9.7779	5.58919	9.38308	9.52789	2.63852	1.5779	1.81696	1.39713	1.80678
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Rhodanobacter|s__Rhodanobacter_unclassified	6.73424	2.56596	9.7779	5.58919	9.38308	9.52789	2.63852	1.5779	1.81696	1.39713	1.80678
