ID	reSRR9320187_taxonomic_profile	reSRR9320188_taxonomic_profile	reSRR9320191_taxonomic_profile	reSRR9320192_taxonomic_profile	reSRR9320193_taxonomic_profile	reSRR9320194_taxonomic_profile	reSRR9320195_taxonomic_profile	reSRR9320196_taxonomic_profile	reSRR9320197_taxonomic_profile	reSRR9320198_taxonomic_profile	reSRR9320199_taxonomic_profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	0.0	0.0	0.0	0.0	0.0	0.0	0.02625	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.02625	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Cytophaga	0.0	0.0	0.0	0.0	0.0	0.0	0.02625	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Cytophaga|s__Cytophaga_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.02625	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	0.0	0.0	0.66397	0.0	0.0	1.58304	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	0.0	0.0	0.66397	0.0	0.0	1.58304	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	0.0	0.0	0.66397	0.0	0.0	1.58304	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter	0.0	0.0	0.66397	0.0	0.0	1.58304	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_unclassified	0.0	0.0	0.66397	0.0	0.0	1.58304	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Deinococcus_Thermus	0.0	0.0	0.0	0.0	0.26637	0.0	0.0135	0.0	0.0	0.36753	0.0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	0.0	0.0	0.0	0.0	0.26637	0.0	0.0135	0.0	0.0	0.36753	0.0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales	0.0	0.0	0.0	0.0	0.26637	0.0	0.0	0.0	0.0	0.36753	0.0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae	0.0	0.0	0.0	0.0	0.26637	0.0	0.0	0.0	0.0	0.36753	0.0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus	0.0	0.0	0.0	0.0	0.26637	0.0	0.0	0.0	0.0	0.36753	0.0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_unclassified	0.0	0.0	0.0	0.0	0.26637	0.0	0.0	0.0	0.0	0.36753	0.0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales	0.0	0.0	0.0	0.0	0.0	0.0	0.0135	0.0	0.0	0.0	0.0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales|f__Thermaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0135	0.0	0.0	0.0	0.0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus	0.0	0.0	0.0	0.0	0.0	0.0	0.0135	0.0	0.0	0.0	0.0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus|s__Meiothermus_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0135	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	0.07534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	0.07534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.07534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae	0.07534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Desulfosporosinus	0.07534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Desulfosporosinus|s__Desulfosporosinus_unclassified	0.07534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Nitrospirae	0.0	0.0	0.0	0.0	0.0	0.0	0.63152	0.51371	1.32044	0.4429	0.92289
k__Bacteria|p__Nitrospirae|c__Nitrospira	0.0	0.0	0.0	0.0	0.0	0.0	0.63152	0.51371	1.32044	0.4429	0.92289
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	0.0	0.0	0.0	0.0	0.0	0.0	0.63152	0.51371	1.32044	0.4429	0.92289
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.63152	0.51371	1.32044	0.4429	0.92289
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum	0.0	0.0	0.0	0.0	0.0	0.0	0.63152	0.51371	1.32044	0.4429	0.92289
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferrooxidans	0.0	0.0	0.0	0.0	0.0	0.0	0.63152	0.51371	0.15356	0.28328	0.51487
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferrooxidans|t__GCF_000284315	0.0	0.0	0.0	0.0	0.0	0.0	0.63152	0.51371	0.15356	0.28328	0.51487
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16688	0.15962	0.40802
k__Bacteria|p__Proteobacteria	46.13467	35.28584	37.17579	42.91465	42.78468	31.72143	85.83581	93.03819	87.66609	86.59604	83.43128
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	14.99083	19.0533	8.66136	14.4671	11.55756	9.94018	7.74608	4.2479	4.6909	4.31736	6.89014
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1.18967	1.42835	1.70418	0.95019	2.96448	0.83759	0.26503	0.0	0.0	0.48892	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	1.18967	1.42835	1.70418	0.95019	2.96448	0.83759	0.26503	0.0	0.0	0.48892	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.1031	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.1031	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter	1.18967	1.42835	1.70418	0.95019	2.96448	0.83759	0.16193	0.0	0.0	0.48892	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_unclassified	1.18967	1.42835	1.70418	0.95019	2.96448	0.83759	0.13604	0.0	0.0	0.48892	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_vibrioides	0.0	0.0	0.0	0.0	0.0	0.0	0.02589	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_vibrioides|t__Caulobacter_vibrioides_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.02589	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	12.02547	15.70208	6.1403	11.32358	7.32384	8.15825	4.20645	2.76226	2.55633	2.62949	5.60925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae	0.0	1.06945	0.0	0.0	0.49175	0.0	0.0	0.14565	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Beijerinckiaceae_unclassified	0.0	1.06945	0.0	0.0	0.49175	0.0	0.0	0.14565	0.0	0.0	0.0
