X.mOTUs2_clade	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	0	0	0	0	0	0	0.0135911886	0.0168284958	0.0166110673	0.0320118192	0.012369252
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	0	0	0	0	0	0	0.0135911886	0.0168284958	0.0166110673	0.0320118192	0.012369252
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae	0	0	0	0	0	0	0.0135911886	0.0168284958	0.0166110673	0.0320118192	0.012369252
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae|g__Acidimicrobiaceae gen. incertae sedis	0	0	0	0	0	0	0.0054349226	0.0081523314	0.0092645231	0.0124414657	0.012369252
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae|g__Acidimicrobiaceae gen. incertae sedis|s__Acidimicrobiaceae bacterium RAAP-2	0	0	0	0	0	0	0.0054349226	0.0081523314	0.0092645231	0.0124414657	0.012369252
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae|g__Acidithrix	0	0	0	0	0	0	0	0	0	0.0086947785	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae|g__Acidithrix|s__Acidithrix ferrooxidans	0	0	0	0	0	0	0	0	0	0.0086947785	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae|g__Ferrimicrobium	0	0	0	0	0	0	0.008156266	0.0086761643	0.0073465442	0.0108755751	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae|g__Ferrimicrobium|s__Ferrimicrobium acidiphilum	0	0	0	0	0	0	0.008156266	0.0086761643	0.0073465442	0.0108755751	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.2674719093	0.0860477922	0.0563461778	0.0630448856	0.112090608	0.1158683114	0.0050360013	0.0119946188	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0.2430949902	0.0394907962	0	0.0312080269	0.0287540185	0	0	0.0119946188	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Cellulomonadaceae	0.2430949902	0.0394907962	0	0.0312080269	0.0287540185	0	0	0.0119946188	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Cellulomonadaceae|g__Cellulomonas	0.2430949902	0.0394907962	0	0.0312080269	0.0287540185	0	0	0.0119946188	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Cellulomonadaceae|g__Cellulomonas|s__Cellulomonas species incertae sedis [ext_mOTU_v3_15039]	0.2430949902	0.0394907962	0	0.0312080269	0.0287540185	0	0	0.0119946188	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	0	0.0052180562	0	0	0	0	0.0027684666	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	0	0.0052180562	0	0	0	0	0.0027684666	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	0	0.0052180562	0	0	0	0	0.0027684666	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium acnes	0	0.0052180562	0	0	0	0	0.0027684666	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales	0.0243769191	0.0413389399	0.0563461778	0.0318368587	0.0833365896	0.1158683114	0.0022675347	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiales fam. incertae sedis	0.0243769191	0.0413389399	0.0563461778	0.0318368587	0.0833365896	0.1158683114	0.0022675347	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiales fam. incertae sedis|g__Streptosporangiales gen. incertae sedis	0.0243769191	0.0413389399	0.0563461778	0.0318368587	0.0833365896	0.1158683114	0.0022675347	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiales fam. incertae sedis|g__Streptosporangiales gen. incertae sedis|s__Streptosporangiales species incertae sedis [ext_mOTU_v3_15034]	0.008111258	0.014527312	0	0.0318368587	0.02722647	0.0364589463	0.0022675347	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiales fam. incertae sedis|g__Streptosporangiales gen. incertae sedis|s__Streptosporangiales species incertae sedis [ext_mOTU_v3_24661]	0	0	0	0	0.024706698	0.0387185328	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiales fam. incertae sedis|g__Streptosporangiales gen. incertae sedis|s__Streptosporangiales species incertae sedis [ext_mOTU_v3_31962]	0.0162656611	0.0268116279	0.0563461778	0	0.0314034216	0.0406908324	0	0	0	0	0
k__Bacteria|p__Bacteria phylum incertae sedis	0.0195489287	0.0083711192	0	0.0646273954	0	0	0	0	0	0	0
