X.mOTUs2_clade	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea|s__Pandoraea thiooxydans	0	0	0	0	0	0	0	0	0	0	0.0121659218
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia	0	0	0	0	0.0131377727	0.0340464116	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia phenazinium	0	0	0	0	0.0131377727	0.0340464116	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia	0	0	0	0	0	0	0.0097250544	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia pickettii	0	0	0	0	0	0	0.0097250544	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales fam. incertae sedis	0.0240572132	0.0272177591	0	0.0420377223	0.0412111187	0.0340464116	0.0042702963	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales fam. incertae sedis|g__Thiomonas	0.0240572132	0.0272177591	0	0.0420377223	0.0412111187	0.0340464116	0.0042702963	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales fam. incertae sedis|g__Thiomonas|s__Thiomonas sp. FB-6	0	0	0	0	0.0412111187	0.0340464116	0.0042702963	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales fam. incertae sedis|g__Thiomonas|s__Thiomonas sp. FB-Cd	0.0240572132	0.0272177591	0	0.0420377223	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	0	0	0	0	0	0	0.0069752098	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonadaceae gen. incertae sedis	0	0	0	0	0	0	0.0021177477	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonadaceae gen. incertae sedis|s__Comamonadaceae species incertae sedis [ext_mOTU_v3_18336]	0	0	0	0	0	0	0.0021177477	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Curvibacter	0	0	0	0	0	0	0.0048574621	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Curvibacter|s__Curvibacter sp. PAE-UM	0	0	0	0	0	0	0.0048574621	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0	0	0	0	0	0	0.005974669	0.0074262148	0	0	0.0130990013
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum	0	0	0	0	0	0	0	0	0	0	0.0130990013
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum|s__Herbaspirillum rhizosphaerae	0	0	0	0	0	0	0	0	0	0	0.0130990013
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium	0	0	0	0	0	0	0.005974669	0.0074262148	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium|s__Janthinobacterium lividum	0	0	0	0	0	0	0.005974669	0.0074262148	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Ferrovales	0	0	0.0570013659	0	0.0310832028	0.0344450815	0.4059951253	0.5452097977	0.5000857364	0.5825153066	0.505373154
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Ferrovales|f__Ferrovaceae	0	0	0.0570013659	0	0.0310832028	0.0344450815	0.4059951253	0.5452097977	0.5000857364	0.5825153066	0.505373154
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Ferrovales|f__Ferrovaceae|g__Ferrovum	0	0	0.0570013659	0	0.0310832028	0.0344450815	0.4059951253	0.5452097977	0.5000857364	0.5825153066	0.505373154
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Ferrovales|f__Ferrovaceae|g__Ferrovum|s__Ferrovum sp. JA12	0	0	0	0	0	0	0.0397708019	0.1246614662	0.1668102463	0.1699223253	0.1571821924
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Ferrovales|f__Ferrovaceae|g__Ferrovum|s__Ferrovum sp. Z-31	0	0	0.0570013659	0	0.0310832028	0.0344450815	0.3662243234	0.4205483316	0.3332754901	0.4125929813	0.3481909616
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	0.0493352992	0	0	0.029572526	0	0	0.051890359	0.0286286515	0.0549877616	0	0.0358436957
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae	0.0237992301	0	0	0.029572526	0	0	0.0445376086	0.0091174049	0.0549877616	0	0.0094985272
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Ferriphaselus	0	0	0	0	0	0	0.0068626396	0.0091174049	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Ferriphaselus|s__Ferriphaselus sp. R-1	0	0	0	0	0	0	0.0068626396	0.0091174049	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Gallionellaceae gen. incertae sedis	0.0237992301	0	0	0.029572526	0	0	0.0087950526	0	0.0089189687	0	0.0094985272
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Gallionellaceae gen. incertae sedis|s__Gallionellaceae species incertae sedis [ext_mOTU_v3_23999]	0.0237992301	0	0	0.029572526	0	0	0.0087950526	0	0.0089189687	0	0.0094985272
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Sideroxydans	0	0	0	0	0	0	0.0288799164	0	0.046068793	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Sideroxydans|s__Sideroxydans lithotrophicus	0	0	0	0	0	0	0.0288799164	0	0.046068793	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadales fam. incertae sedis	0.0255360691	0	0	0	0	0	0.0073527504	0.0195112466	0	0	0.0263451685
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadales fam. incertae sedis|g__Nitrosomonadales gen. incertae sedis	0.0255360691	0	0	0	0	0	0.0073527504	0.0195112466	0	0	0.0263451685
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadales fam. incertae sedis|g__Nitrosomonadales gen. incertae sedis|s__Gallionellales bacterium GWA2_60_18	0.0255360691	0	0	0	0	0	0.0073527504	0.0195112466	0	0	0.0197358287
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadales fam. incertae sedis|g__Nitrosomonadales gen. incertae sedis|s__Gallionellales bacterium	0	0	0	0	0	0	0	0	0	0	0.0066093399
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0437891782	0	0	0.0521572841	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria order incertae sedis	0	0	0	0.0191616852	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria order incertae sedis|f__Deltaproteobacteria fam. incertae sedis	0	0	0	0.0191616852	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria order incertae sedis|f__Deltaproteobacteria fam. incertae sedis|g__Deltaproteobacteria gen. incertae sedis	0	0	0	0.0191616852	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria order incertae sedis|f__Deltaproteobacteria fam. incertae sedis|g__Deltaproteobacteria gen. incertae sedis|s__Deltaproteobacteria bacterium CG2_30_66_27	0	0	0	0.0191616852	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	0.0437891782	0	0	0.0329955988	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophaceae	0.0437891782	0	0	0.0329955988	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophaceae|g__Desulfobacca	0.0437891782	0	0	0.0329955988	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophaceae|g__Desulfobacca|s__Desulfobacca sp. RBG_16_60_12	0.0437891782	0	0	0.0329955988	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0319479631	0.017569502	0.137119254	0.0163708181	0.1133400597	0.0561115713	0.0679227385	0.0747494091	0.0856945211	0.0822548668	0.0684886007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	0	0	0	0	0	0	0.0046124269	0.0050634723	0.0068762637	0.0105702134	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae	0	0	0	0	0	0	0.0046124269	0.0050634723	0.0068762637	0.0105702134	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Acidiferrobacter	0	0	0	0	0	0	0.0046124269	0.0050634723	0.0068762637	0.0105702134	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Acidiferrobacter|s__Acidiferrobacter thiooxydans	0	0	0	0	0	0	0.0046124269	0.0050634723	0.0068762637	0.0105702134	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0	0	0	0	0	0	0.0101823566	0.0147468081	0.0477522722	0.0341045909	0.0554425501
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae	0	0	0	0	0	0	0	0.0022634857	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia	0	0	0	0	0	0	0	0.0022634857	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia paralvei/alvei	0	0	0	0	0	0	0	0.0022634857	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae	0	0	0	0	0	0	0.0101823566	0.0124833224	0.0477522722	0.0341045909	0.0554425501
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia	0	0	0	0	0	0	0.0101823566	0.0124833224	0.0477522722	0.0341045909	0.0554425501
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia fonticola	0	0	0	0	0	0	0.0101823566	0.0124833224	0.0477522722	0.0341045909	0.0554425501
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0	0	0	0	0.0247299252	0	0	0.0151641813	0.0125642163	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0	0	0	0	0.0247299252	0	0	0.0151641813	0.0125642163	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	0	0	0	0	0.0247299252	0	0	0.0151641813	0.0125642163	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas sp.	0	0	0	0	0.0247299252	0	0	0.0151641813	0.0125642163	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	0.0319479631	0.017569502	0.137119254	0.0163708181	0.0886101345	0.0561115713	0.053127955	0.0397749474	0.0185017689	0.0375800626	0.0130460506
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae	0.0319479631	0.017569502	0.137119254	0.0163708181	0.0886101345	0.0561115713	0.053127955	0.0397749474	0.0185017689	0.0375800626	0.0130460506
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Dyella	0	0	0.0378159129	0.0163708181	0	0	0.0055218041	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Dyella|s__Dyella japonica/marensis	0	0	0	0.0163708181	0	0	0.0055218041	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Dyella|s__Dyella thiooxydans	0	0	0.0378159129	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Frateuria	0	0	0	0	0.0327299685	0.0319740213	0.004053749	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Frateuria|s__Frateuria sp. Soil773	0	0	0	0	0.0327299685	0.0319740213	0.004053749	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Metallibacterium	0.0176250391	0.017569502	0.056400201	0	0	0	0.0324226119	0.0303598235	0.0185017689	0.0375800626	0.0130460506
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Metallibacterium|s__Metallibacterium scheffleri	0.0176250391	0.017569502	0.056400201	0	0	0	0.0324226119	0.0303598235	0.0185017689	0.0375800626	0.0130460506
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Mizugakiibacter	0	0	0	0	0	0	0.0036487978	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Mizugakiibacter|s__Mizugakiibacter sediminis	0	0	0	0	0	0	0.0036487978	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rhodanobacter	0.014322924	0	0.0429031401	0	0.055880166	0.0241375499	0.0074809921	0.0094151239	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rhodanobacter|s__Rhodanobacter denitrificans	0.014322924	0	0	0	0.0110958315	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rhodanobacter|s__Rhodanobacter sp. C05	0	0	0.0221314559	0	0.0201616974	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rhodanobacter|s__Rhodanobacter sp. Soil772	0	0	0.0207716842	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rhodanobacter|s__Rhodanobacter sp.	0	0	0	0	0	0	0.0031338465	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rhodanobacter|s__Rhodanobacter spathiphylli	0	0	0	0	0.024622637	0	0.0043471456	0.0064041291	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rhodanobacter|s__Rhodanobacter species incertae sedis [ext_mOTU_v3_15009]	0	0	0	0	0	0.0241375499	0	0.0030109948	0	0	0
k__Bacteria|p__Verrucomicrobia	0	0	0	0	0	0	0.0050396979	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0	0	0	0	0	0	0.0050396979	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0	0	0	0	0	0	0.0050396979	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiales fam. incertae sedis	0	0	0	0	0	0	0.0050396979	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiales fam. incertae sedis|g__Verrucomicrobiales gen. incertae sedis	0	0	0	0	0	0	0.0050396979	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiales fam. incertae sedis|g__Verrucomicrobiales gen. incertae sedis|s__Verrucomicrobiales species incertae sedis [ext_mOTU_v3_24753]	0	0	0	0	0	0	0.0050396979	0	0	0	0
