clade_name	CSM67UH7_taxonomic_profile	CSM7KOON_taxonomic_profile	CSM7KOOP_taxonomic_profile	CSMAHYLR_taxonomic_profile	HSM5MD5D_taxonomic_profile	HSM5MD6Q_taxonomic_profile	HSM5MD6W_taxonomic_profile	HSM67VF3_taxonomic_profile	HSM67VFX_taxonomic_profile	HSM67VFZ_taxonomic_profile	HSM67VGK_taxonomic_profile	HSM67VI7_taxonomic_profile	HSM67VI9_taxonomic_profile	HSM67VIB_taxonomic_profile	HSM6XRRJ_taxonomic_profile	HSM6XRTG_taxonomic_profile	HSM6XRUL_taxonomic_profile	HSM6XRUN_taxonomic_profile	HSM6XRVC_taxonomic_profile	HSM6XRVK_taxonomic_profile	HSM7CYXI_taxonomic_profile	HSM7CYXO_taxonomic_profile	HSM7CYZJ_taxonomic_profile	HSM7CZ1A_taxonomic_profile	HSM7CZ1C_taxonomic_profile	HSM7CZ1E_taxonomic_profile	HSM7CZ24_taxonomic_profile	HSM7CZ28_taxonomic_profile	HSM7CZ2A_taxonomic_profile	HSM7J4HC_taxonomic_profile	HSM7J4HW_taxonomic_profile	HSM7J4HY_taxonomic_profile	HSM7J4KO_taxonomic_profile	HSM7J4LD_taxonomic_profile	HSM7J4LN_taxonomic_profile	HSM7J4NY_taxonomic_profile	HSM7J4O5_taxonomic_profile	HSM7J4R2_taxonomic_profile	HSMA33NY_taxonomic_profile	HSMA33SE_taxonomic_profile	HSMA33SG_taxonomic_profile	MSM6J2JR_taxonomic_profile	MSM6J2JZ_taxonomic_profile	MSM6J2K6_taxonomic_profile	MSM6J2KA_taxonomic_profile	MSM6J2QF_taxonomic_profile	MSM6J2QH_taxonomic_profile	MSM6J2RM_taxonomic_profile	MSM6J2RU_taxonomic_profile	MSM79H58_taxonomic_profile	MSM79H5E_taxonomic_profile	MSM79H5M_taxonomic_profile	MSM79H5S_taxonomic_profile	MSM79H5U_taxonomic_profile	MSM79H6D_taxonomic_profile	MSM79H6L_taxonomic_profile	MSM79H83_taxonomic_profile	MSM79H8H_taxonomic_profile	MSM79H9A_taxonomic_profile	MSM79HA7_taxonomic_profile	MSM79HBL_taxonomic_profile	MSM79HC8_taxonomic_profile	MSM79HCP_taxonomic_profile	MSM9VZGO_taxonomic_profile	MSM9VZHB_taxonomic_profile	MSM9VZHN_taxonomic_profile	MSM9VZHP_taxonomic_profile	MSM9VZHR_taxonomic_profile	MSM9VZJZ_taxonomic_profile	MSM9VZKE_taxonomic_profile	MSM9VZL7_taxonomic_profile	MSM9VZLJ_taxonomic_profile	MSM9VZMI_taxonomic_profile	MSM9VZMS_taxonomic_profile	MSM9VZMW_taxonomic_profile	MSM9VZNL_taxonomic_profile	MSM9VZOI_taxonomic_profile	MSM9VZOO_taxonomic_profile	MSM9VZPT_taxonomic_profile	MSMA26BB_taxonomic_profile	MSMA26BF_taxonomic_profile	MSMA26BH_taxonomic_profile	MSMA26BJ_taxonomic_profile	MSMA26BN_taxonomic_profile	MSMA26BR_taxonomic_profile	MSMA26BV_taxonomic_profile	MSMA26DI_taxonomic_profile	MSMAPC5H_taxonomic_profile	MSMAPC6M_taxonomic_profile	MSMAPC7T_taxonomic_profile	MSMB4LZX_taxonomic_profile	MSMB4LZZ_taxonomic_profile	PSM6XBTR_taxonomic_profile	PSM7J154_taxonomic_profile	PSM7J15M_taxonomic_profile	PSM7J17V_taxonomic_profile	PSM7J19P_taxonomic_profile	PSM7J19R_taxonomic_profile	PSM7J1DL_taxonomic_profile	PSMA265L_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0163532297628782	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00462598880510709	0.0572942777340113	0	0.0120598166907863	0	0	0	0	0.0576217915138816	0.0160162297795099	0	0	0	0	0	0	0.00300318337437684	0	0	0	0	0	0	0.0942704514507175	0.135708227311281	0	0	0	0.0374139479197845	0	0	0	0.00384054074813734	0	0	0	0.00997804829375374	0	0	0	0	0	0	0	0.016944126742068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0163532297628782	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00462598880510709	0.0572942777340113	0	0.0120598166907863	0	0	0	0	0.0576217915138816	0.0160162297795099	0	0	0	0	0	0	0.00300318337437684	0	0	0	0	0	0	0.0942704514507175	0.135708227311281	0	0	0	0.0374139479197845	0	0	0	0.00384054074813734	0	0	0	0.00997804829375374	0	0	0	0	0	0	0	0.016944126742068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0122649223221586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0286471388670057	0	0.0120598166907863	0	0	0	0	0.0419067574646412	0.0160162297795099	0	0	0	0	0	0	0.00300318337437684	0	0	0	0	0	0	0	0	0	0	0	0.0224483687518707	0	0	0	0.00384054074813734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Methanomassiliicoccus|g__Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0122649223221586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0286471388670057	0	0.0120598166907863	0	0	0	0	0.0419067574646412	0.0160162297795099	0	0	0	0	0	0	0.00300318337437684	0	0	0	0	0	0	0	0	0	0	0	0.0224483687518707	0	0	0	0.00384054074813734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Methanomassiliicoccus|g__Methanomassiliicoccus|s__Methanomassiliicoccus_luminyensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0122649223221586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0286471388670057	0	0.0120598166907863	0	0	0	0	0.0419067574646412	0.0160162297795099	0	0	0	0	0	0	0.00300318337437684	0	0	0	0	0	0	0	0	0	0	0	0.0224483687518707	0	0	0	0.00384054074813734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Methanomassiliicoccus|g__Methanomassiliicoccus|s__Methanomassiliicoccus_luminyensis|t__Unclassified_Methanomassiliicoccus_luminyensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00300318337437684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00384054074813734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Unclassified_Thermoplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00408830744071954	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00462598880510709	0.0286471388670057	0	0	0	0	0	0	0.0157150340492404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0104744946056353	0.00678541136556404	0	0	0	0.0149655791679138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00423603168551701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Unclassified_Thermoplasmatales|g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00408830744071954	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00462598880510709	0.0286471388670057	0	0	0	0	0	0	0.0157150340492404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0104744946056353	0.00678541136556404	0	0	0	0.0149655791679138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00423603168551701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Unclassified_Thermoplasmatales|g__|s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00408830744071954	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00462598880510709	0.0286471388670057	0	0	0	0	0	0	0.0157150340492404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0104744946056353	0.00678541136556404	0	0	0	0.0149655791679138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00423603168551701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__vadinCA11_gut_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0837959568450822	0.128922815945717	0	0	0	0	0	0	0	0	0	0	0	0.00997804829375374	0	0	0	0	0	0	0	0.012708095056551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
