run_accession	read_count	fastq_ftp
SRR9697535	8323134	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/005/SRR9697535/SRR9697535.fastq.gz
SRR9697536	6496436	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/006/SRR9697536/SRR9697536.fastq.gz
SRR9697537	15928938	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/007/SRR9697537/SRR9697537.fastq.gz
SRR9697538	7279922	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/008/SRR9697538/SRR9697538.fastq.gz
SRR9697539	8276304	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/009/SRR9697539/SRR9697539.fastq.gz
SRR9697540	3267332	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/000/SRR9697540/SRR9697540.fastq.gz
SRR9697541	7304198	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/001/SRR9697541/SRR9697541.fastq.gz
SRR9697542	5677812	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/002/SRR9697542/SRR9697542.fastq.gz
SRR9697543	5357812	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/003/SRR9697543/SRR9697543.fastq.gz
SRR9697544	7046304	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/004/SRR9697544/SRR9697544.fastq.gz
SRR9697545	14715980	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/005/SRR9697545/SRR9697545.fastq.gz
SRR9697546	11301076	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/006/SRR9697546/SRR9697546.fastq.gz
SRR9697547	2410326	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/007/SRR9697547/SRR9697547.fastq.gz
SRR9697548	4886340	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/008/SRR9697548/SRR9697548.fastq.gz
SRR9697549	7928158	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/009/SRR9697549/SRR9697549.fastq.gz
SRR9697550	9251148	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/000/SRR9697550/SRR9697550.fastq.gz
SRR9697551	13749178	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/001/SRR9697551/SRR9697551.fastq.gz
SRR9697552	3840808	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/002/SRR9697552/SRR9697552.fastq.gz
SRR9697553	6773192	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/003/SRR9697553/SRR9697553.fastq.gz
SRR9697554	6702578	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/004/SRR9697554/SRR9697554.fastq.gz
SRR9697555	7863250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/005/SRR9697555/SRR9697555.fastq.gz
SRR9697556	7729606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/006/SRR9697556/SRR9697556.fastq.gz
SRR9697557	5425310	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/007/SRR9697557/SRR9697557.fastq.gz
SRR9697558	3653652	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/008/SRR9697558/SRR9697558.fastq.gz
SRR9697559	16983166	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/009/SRR9697559/SRR9697559.fastq.gz
SRR9697560	5543828	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/000/SRR9697560/SRR9697560.fastq.gz
SRR9697561	22870926	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/001/SRR9697561/SRR9697561.fastq.gz
SRR9697562	55609126	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/002/SRR9697562/SRR9697562.fastq.gz
SRR9697563	4701372	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/003/SRR9697563/SRR9697563.fastq.gz
SRR9697564	3909932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/004/SRR9697564/SRR9697564.fastq.gz
SRR9697565	10144	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/005/SRR9697565/SRR9697565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/005/SRR9697565/SRR9697565_2.fastq.gz
SRR9697566	3825050	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/006/SRR9697566/SRR9697566.fastq.gz
SRR9697567	11476462	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/007/SRR9697567/SRR9697567.fastq.gz
SRR9697568	6107078	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/008/SRR9697568/SRR9697568.fastq.gz
SRR9697569	13865946	ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/009/SRR9697569/SRR9697569.fastq.gz
