run_accession	read_count	fastq_ftp
ERR4993891	19946	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/001/ERR4993891/ERR4993891.fastq.gz
ERR4993892	29647	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/002/ERR4993892/ERR4993892.fastq.gz
ERR4993893	33926	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/003/ERR4993893/ERR4993893.fastq.gz
ERR4993894	20623	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/004/ERR4993894/ERR4993894.fastq.gz
ERR4993895	33649	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/005/ERR4993895/ERR4993895.fastq.gz
ERR4993896	20662	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/006/ERR4993896/ERR4993896.fastq.gz
ERR4993897	55139	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/007/ERR4993897/ERR4993897.fastq.gz
ERR4993898	41404	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/008/ERR4993898/ERR4993898.fastq.gz
ERR4993899	28936	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/009/ERR4993899/ERR4993899.fastq.gz
ERR4993900	45550	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/000/ERR4993900/ERR4993900.fastq.gz
ERR4993901	41371	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/001/ERR4993901/ERR4993901.fastq.gz
ERR4993902	26326	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/002/ERR4993902/ERR4993902.fastq.gz
ERR4993903	34533	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/003/ERR4993903/ERR4993903.fastq.gz
ERR4993904	50885	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/004/ERR4993904/ERR4993904.fastq.gz
ERR4993905	39553	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/005/ERR4993905/ERR4993905.fastq.gz
ERR4993906	39847	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/006/ERR4993906/ERR4993906.fastq.gz
ERR4993907	45508	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/007/ERR4993907/ERR4993907.fastq.gz
ERR4993908	19965	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/008/ERR4993908/ERR4993908.fastq.gz
ERR4993909	19468	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/009/ERR4993909/ERR4993909.fastq.gz
ERR4993910	6800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/000/ERR4993910/ERR4993910.fastq.gz
ERR4993911	28809	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/001/ERR4993911/ERR4993911.fastq.gz
ERR4993912	21953	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/002/ERR4993912/ERR4993912.fastq.gz
ERR4993913	29324	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/003/ERR4993913/ERR4993913.fastq.gz
ERR4993914	30791	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/004/ERR4993914/ERR4993914.fastq.gz
ERR4993915	36582	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/005/ERR4993915/ERR4993915.fastq.gz
ERR4993916	41367	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/006/ERR4993916/ERR4993916.fastq.gz
ERR4993917	28502	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/007/ERR4993917/ERR4993917.fastq.gz
ERR4993918	17627	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/008/ERR4993918/ERR4993918.fastq.gz
ERR4993919	34110	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/009/ERR4993919/ERR4993919.fastq.gz
ERR4993920	28832	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/000/ERR4993920/ERR4993920.fastq.gz
ERR4993921	27600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/001/ERR4993921/ERR4993921.fastq.gz
ERR4993922	47560	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/002/ERR4993922/ERR4993922.fastq.gz
ERR4993923	37672	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/003/ERR4993923/ERR4993923.fastq.gz
