run_accession	read_count	fastq_ftp
ERR3589553	159022415	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/003/ERR3589553/ERR3589553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/003/ERR3589553/ERR3589553_2.fastq.gz
ERR3589554	202195861	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/004/ERR3589554/ERR3589554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/004/ERR3589554/ERR3589554_2.fastq.gz
ERR3589555	162173258	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/005/ERR3589555/ERR3589555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/005/ERR3589555/ERR3589555_2.fastq.gz
ERR3589556	209509694	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/006/ERR3589556/ERR3589556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/006/ERR3589556/ERR3589556_2.fastq.gz
ERR3589557	179990981	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/007/ERR3589557/ERR3589557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/007/ERR3589557/ERR3589557_2.fastq.gz
ERR3589558	241042347	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/008/ERR3589558/ERR3589558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/008/ERR3589558/ERR3589558_2.fastq.gz
ERR3589559	194170500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/009/ERR3589559/ERR3589559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/009/ERR3589559/ERR3589559_2.fastq.gz
ERR3589560	193923882	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/000/ERR3589560/ERR3589560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/000/ERR3589560/ERR3589560_2.fastq.gz
ERR3589561	175961866	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/001/ERR3589561/ERR3589561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/001/ERR3589561/ERR3589561_2.fastq.gz
ERR3589562	160914637	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/002/ERR3589562/ERR3589562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/002/ERR3589562/ERR3589562_2.fastq.gz
ERR3589563	161598148	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/003/ERR3589563/ERR3589563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/003/ERR3589563/ERR3589563_2.fastq.gz
ERR3589564	152217640	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/004/ERR3589564/ERR3589564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/004/ERR3589564/ERR3589564_2.fastq.gz
ERR3589565	169732580	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/005/ERR3589565/ERR3589565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/005/ERR3589565/ERR3589565_2.fastq.gz
ERR3589566	171060937	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/006/ERR3589566/ERR3589566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/006/ERR3589566/ERR3589566_2.fastq.gz
