run_accession	read_count	fastq_ftp
ERR1226677	26458	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/007/ERR1226677/ERR1226677.fastq.gz
ERR1226678	21187	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/008/ERR1226678/ERR1226678.fastq.gz
ERR1226679	23855	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/009/ERR1226679/ERR1226679.fastq.gz
ERR1226680	21683	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/000/ERR1226680/ERR1226680.fastq.gz
ERR1226681	24170	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/001/ERR1226681/ERR1226681.fastq.gz
ERR1226682	21497	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/002/ERR1226682/ERR1226682.fastq.gz
ERR1226683	20309	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/003/ERR1226683/ERR1226683.fastq.gz
ERR1226684	21464	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/004/ERR1226684/ERR1226684.fastq.gz
ERR1226685	23038	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/005/ERR1226685/ERR1226685.fastq.gz
ERR1226686	21674	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/006/ERR1226686/ERR1226686.fastq.gz
ERR1226687	22541	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/007/ERR1226687/ERR1226687.fastq.gz
ERR1226688	22419	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/008/ERR1226688/ERR1226688.fastq.gz
ERR1226689	21852	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/009/ERR1226689/ERR1226689.fastq.gz
ERR1226690	21147	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/000/ERR1226690/ERR1226690.fastq.gz
ERR1226691	25615	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/001/ERR1226691/ERR1226691.fastq.gz
ERR1226692	26996	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/002/ERR1226692/ERR1226692.fastq.gz
ERR1226693	24292	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/003/ERR1226693/ERR1226693.fastq.gz
ERR1226694	23526	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/004/ERR1226694/ERR1226694.fastq.gz
ERR1226695	24231	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/005/ERR1226695/ERR1226695.fastq.gz
ERR1226696	21360	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/006/ERR1226696/ERR1226696.fastq.gz
ERR1226697	25347	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/007/ERR1226697/ERR1226697.fastq.gz
ERR1226698	21574	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/008/ERR1226698/ERR1226698.fastq.gz
ERR1226699	21995	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/009/ERR1226699/ERR1226699.fastq.gz
ERR1226700	24594	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/000/ERR1226700/ERR1226700.fastq.gz
ERR1226701	21459	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/001/ERR1226701/ERR1226701.fastq.gz
ERR1226702	22559	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/002/ERR1226702/ERR1226702.fastq.gz
ERR1226703	22008	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/003/ERR1226703/ERR1226703.fastq.gz
ERR1226704	23264	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/004/ERR1226704/ERR1226704.fastq.gz
ERR1226705	1935	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/005/ERR1226705/ERR1226705.fastq.gz
ERR1226706	21643	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/006/ERR1226706/ERR1226706.fastq.gz
ERR1226707	26841	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/007/ERR1226707/ERR1226707.fastq.gz
ERR1226708	24852	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/008/ERR1226708/ERR1226708.fastq.gz
ERR1226709	23426	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/009/ERR1226709/ERR1226709.fastq.gz
ERR1226710	23014	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/000/ERR1226710/ERR1226710.fastq.gz
ERR1226711	22999	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/001/ERR1226711/ERR1226711.fastq.gz
ERR1226712	24467	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/002/ERR1226712/ERR1226712.fastq.gz
ERR1226713	27633	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/003/ERR1226713/ERR1226713.fastq.gz
ERR1226714	25691	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/004/ERR1226714/ERR1226714.fastq.gz
ERR1226715	25628	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/005/ERR1226715/ERR1226715.fastq.gz
ERR1226716	26596	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/006/ERR1226716/ERR1226716.fastq.gz
ERR1226717	21959	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/007/ERR1226717/ERR1226717.fastq.gz
ERR1226718	23315	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/008/ERR1226718/ERR1226718.fastq.gz
ERR1226719	27540	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/009/ERR1226719/ERR1226719.fastq.gz
ERR1226720	24747	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/000/ERR1226720/ERR1226720.fastq.gz
ERR1226721	21782	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/001/ERR1226721/ERR1226721.fastq.gz
ERR1226722	27216	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/002/ERR1226722/ERR1226722.fastq.gz
ERR1226723	21005	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/003/ERR1226723/ERR1226723.fastq.gz
ERR1226724	21558	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/004/ERR1226724/ERR1226724.fastq.gz
ERR1226725	23665	ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/005/ERR1226725/ERR1226725.fastq.gz
