run_accession	read_count	fastq_ftp
SRR3584323	38449	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/003/SRR3584323/SRR3584323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/003/SRR3584323/SRR3584323_2.fastq.gz
SRR3584348	8162	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/008/SRR3584348/SRR3584348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/008/SRR3584348/SRR3584348_2.fastq.gz
SRR3584349	95625	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/009/SRR3584349/SRR3584349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/009/SRR3584349/SRR3584349_2.fastq.gz
SRR3584350	56942	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/000/SRR3584350/SRR3584350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/000/SRR3584350/SRR3584350_2.fastq.gz
SRR3584369	54604	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/009/SRR3584369/SRR3584369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/009/SRR3584369/SRR3584369_2.fastq.gz
SRR3584371	67186	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/001/SRR3584371/SRR3584371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/001/SRR3584371/SRR3584371_2.fastq.gz
SRR3584372	50394	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/002/SRR3584372/SRR3584372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/002/SRR3584372/SRR3584372_2.fastq.gz
SRR3584373	61356	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/003/SRR3584373/SRR3584373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/003/SRR3584373/SRR3584373_2.fastq.gz
SRR3584374	114566	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/004/SRR3584374/SRR3584374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/004/SRR3584374/SRR3584374_2.fastq.gz
SRR3584394	52008	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/004/SRR3584394/SRR3584394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/004/SRR3584394/SRR3584394_2.fastq.gz
SRR3584395	69638	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/005/SRR3584395/SRR3584395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/005/SRR3584395/SRR3584395_2.fastq.gz
SRR3584396	49278	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/006/SRR3584396/SRR3584396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/006/SRR3584396/SRR3584396_2.fastq.gz
SRR3584397	69953	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/007/SRR3584397/SRR3584397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/007/SRR3584397/SRR3584397_2.fastq.gz
SRR3584398	159886	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/008/SRR3584398/SRR3584398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/008/SRR3584398/SRR3584398_2.fastq.gz
SRR3584399	36761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/009/SRR3584399/SRR3584399_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/009/SRR3584399/SRR3584399_2.fastq.gz
SRR3584400	33694	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/000/SRR3584400/SRR3584400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/000/SRR3584400/SRR3584400_2.fastq.gz
SRR3584401	43510	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/001/SRR3584401/SRR3584401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/001/SRR3584401/SRR3584401_2.fastq.gz
SRR3584402	38666	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/002/SRR3584402/SRR3584402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/002/SRR3584402/SRR3584402_2.fastq.gz
SRR3584403	56350	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/003/SRR3584403/SRR3584403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/003/SRR3584403/SRR3584403_2.fastq.gz
SRR3584404	39511	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/004/SRR3584404/SRR3584404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/004/SRR3584404/SRR3584404_2.fastq.gz
SRR3584405	44948	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/005/SRR3584405/SRR3584405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/005/SRR3584405/SRR3584405_2.fastq.gz
SRR3584406	45338	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/006/SRR3584406/SRR3584406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/006/SRR3584406/SRR3584406_2.fastq.gz
SRR3584407	55014	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/007/SRR3584407/SRR3584407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/007/SRR3584407/SRR3584407_2.fastq.gz
SRR3584408	33718	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/008/SRR3584408/SRR3584408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/008/SRR3584408/SRR3584408_2.fastq.gz
SRR3584409	198488	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/009/SRR3584409/SRR3584409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/009/SRR3584409/SRR3584409_2.fastq.gz
SRR3584410	415814	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/000/SRR3584410/SRR3584410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/000/SRR3584410/SRR3584410_2.fastq.gz
SRR3584411	147322	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/001/SRR3584411/SRR3584411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/001/SRR3584411/SRR3584411_2.fastq.gz
SRR3584412	59309	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/002/SRR3584412/SRR3584412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/002/SRR3584412/SRR3584412_2.fastq.gz
SRR3584413	103995	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/003/SRR3584413/SRR3584413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/003/SRR3584413/SRR3584413_2.fastq.gz
SRR3584414	120436	ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/004/SRR3584414/SRR3584414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/004/SRR3584414/SRR3584414_2.fastq.gz
