run_accession	library_name	read_count	fastq_ftp
SRR5935755	CSM67UAW_MGX	6071697	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935755/SRR5935755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935755/SRR5935755_2.fastq.gz
SRR5935756	MSM6J2LT_MGX	16053448	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935756/SRR5935756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935756/SRR5935756_2.fastq.gz
SRR5935757	ESM718V8_MGX	16286650	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935757/SRR5935757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935757/SRR5935757_2.fastq.gz
SRR5935758	ESM5MEC5_MGX	8206591	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935758/SRR5935758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935758/SRR5935758_2.fastq.gz
SRR5935759	MSM6J2R2_MGX	15312868	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935759/SRR5935759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935759/SRR5935759_2.fastq.gz
SRR5935760	HSM67VCZ_MGX	10834778	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935760/SRR5935760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935760/SRR5935760_2.fastq.gz
SRR5935761	CSM5FZ4M_MGX	14191749	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935761/SRR5935761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935761/SRR5935761_2.fastq.gz
SRR5935762	MSM5LLGL_MGX	18129553	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935762/SRR5935762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935762/SRR5935762_2.fastq.gz
SRR5935763	MSM5LLDS_MGX	5174437	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935763/SRR5935763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935763/SRR5935763_2.fastq.gz
SRR5935764	HSM5MD6K_MGX	11689489	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935764/SRR5935764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935764/SRR5935764_2.fastq.gz
SRR5935765	HSM6XRQB_MGX	10590116	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935765/SRR5935765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935765/SRR5935765_2.fastq.gz
SRR5935766	MSM5LLER_MGX	14120624	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935766/SRR5935766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935766/SRR5935766_2.fastq.gz
SRR5935767	CSM67U9H_MGX	5166420	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935767/SRR5935767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935767/SRR5935767_2.fastq.gz
SRR5935768	HSM5MD5B_MGX	15746753	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935768/SRR5935768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935768/SRR5935768_2.fastq.gz
SRR5935769	HSM6XRSX_MGX	11374148	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935769/SRR5935769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935769/SRR5935769_2.fastq.gz
SRR5935770	HSM5MD6I_MGX	16180463	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935770/SRR5935770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935770/SRR5935770_2.fastq.gz
SRR5935771	PSM7J14X_MGX	9230220	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935771/SRR5935771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935771/SRR5935771_2.fastq.gz
SRR5935772	HSM7J4O3_MGX	15271512	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935772/SRR5935772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935772/SRR5935772_2.fastq.gz
SRR5935773	MSM9VZMA_MGX	20671571	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935773/SRR5935773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935773/SRR5935773_2.fastq.gz
SRR5935774	MSM9VZNH_MGX	12252617	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935774/SRR5935774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935774/SRR5935774_2.fastq.gz
SRR5935775	PSM7J18Q_MGX	13010149	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935775/SRR5935775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935775/SRR5935775_2.fastq.gz
SRR5935776	HSM7J4K6_MGX	3168882	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935776/SRR5935776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935776/SRR5935776_2.fastq.gz
SRR5935777	MSM9VZF1_MGX	8173049	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935777/SRR5935777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935777/SRR5935777_2.fastq.gz
SRR5935778	MSM9VZMO_MGX	10554303	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935778/SRR5935778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935778/SRR5935778_2.fastq.gz
SRR5935779	HSM7J4OZ_MGX	5948317	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935779/SRR5935779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935779/SRR5935779_2.fastq.gz
SRR5935780	CSM67UA2_MGX	10716528	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935780/SRR5935780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935780/SRR5935780_2.fastq.gz
SRR5935781	PSM7J16U_MGX	8486948	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935781/SRR5935781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935781/SRR5935781_2.fastq.gz
SRR5935782	MSM79H7M_MGX	10128070	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935782/SRR5935782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935782/SRR5935782_2.fastq.gz
SRR5935783	HSM7J4HS_MGX	2565282	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935783/SRR5935783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935783/SRR5935783_2.fastq.gz
SRR5935784	MSM6J2JR_MGX	14800056	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935784/SRR5935784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935784/SRR5935784_2.fastq.gz
SRR5935785	HSM6XRV8_MGX	13817496	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935785/SRR5935785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935785/SRR5935785_2.fastq.gz
SRR5935786	CSM79HIZ_MGX	10054299	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935786/SRR5935786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935786/SRR5935786_2.fastq.gz
SRR5935787	MSM79HEA_MGX	16351397	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935787/SRR5935787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935787/SRR5935787_2.fastq.gz
SRR5935788	HSM67VGK_MGX	11073410	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935788/SRR5935788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935788/SRR5935788_2.fastq.gz
SRR5935789	PSM6XBT9_MGX	1513694	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935789/SRR5935789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935789/SRR5935789_2.fastq.gz
SRR5935790	MSM6J2IM_MGX	9202475	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935790/SRR5935790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935790/SRR5935790_2.fastq.gz
SRR5935791	PSM6XBV4_MGX	10140194	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935791/SRR5935791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935791/SRR5935791_2.fastq.gz
SRR5935792	CSM79HIN_MGX	11437813	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935792/SRR5935792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935792/SRR5935792_2.fastq.gz
