clade_name	reSRR9320187_taxonomic_profile	reSRR9320188_taxonomic_profile	reSRR9320191_taxonomic_profile	reSRR9320192_taxonomic_profile	reSRR9320193_taxonomic_profile	reSRR9320194_taxonomic_profile	reSRR9320195_taxonomic_profile	reSRR9320196_taxonomic_profile	reSRR9320197_taxonomic_profile	reSRR9320198_taxonomic_profile	reSRR9320199_taxonomic_profile
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Unclassified_Sulfolobus	0	0.0106700810926163	0	0	0	0	0	0	0.0210327058576086	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Unclassified_Sulfolobus|t__	0	0.0106700810926163	0	0	0	0	0	0	0.0210327058576086	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Unclassified_Sulfolobaceae	0.0104854776135053	0.0106700810926163	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Unclassified_Sulfolobaceae|s__	0.0104854776135053	0.0106700810926163	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Unclassified_Sulfolobaceae|s__|t__	0.0104854776135053	0.0106700810926163	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales	0.0209709552270106	0.0426803243704652	0	0.0230361667818475	0	0	0	0	0.0105163529288043	0.0115807759119861	0.0203066301147325
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae	0.0209709552270106	0.0426803243704652	0	0.0230361667818475	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Unclassified_Thermoproteaceae	0	0	0	0	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Unclassified_Thermoproteaceae|s__	0	0	0	0	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Unclassified_Thermoproteaceae|s__|t__	0	0	0	0	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta	0.0209709552270106	0.0426803243704652	0	0.0230361667818475	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Unclassified_Vulcanisaeta	0.0209709552270106	0.0426803243704652	0	0.0230361667818475	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Unclassified_Vulcanisaeta|t__	0.0209709552270106	0.0426803243704652	0	0.0230361667818475	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Unclassified_Thermoproteales	0	0	0	0	0	0	0	0	0	0.0115807759119861	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Unclassified_Thermoproteales|g__	0	0	0	0	0	0	0	0	0	0.0115807759119861	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Unclassified_Thermoproteales|g__|s__	0	0	0	0	0	0	0	0	0	0.0115807759119861	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Unclassified_Thermoproteales|g__|s__|t__	0	0	0	0	0	0	0	0	0	0.0115807759119861	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei	0.0419419104540212	0.0426803243704652	0	0.0345542501727713	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__	0.0419419104540212	0.0426803243704652	0	0.0345542501727713	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__|g__	0.0419419104540212	0.0426803243704652	0	0.0345542501727713	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__|g__|s__	0.0419419104540212	0.0426803243704652	0	0.0345542501727713	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__|g__|s__|t__	0.0419419104540212	0.0426803243704652	0	0.0345542501727713	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Euryarchaeota	1.62524903009332	1.32309005548442	0.573000229200092	1.6010135913384	0.800727934485896	0.895522388059702	1.76341386884217	3.97105214325478	7.26679987380376	5.9177764910249	8.64047111381866
k__Archaea|p__Euryarchaeota|c__Archaeoglobi	0.0209709552270106	0	0	0	0	0	0	0.0278344776396363	0.0105163529288043	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales	0.0209709552270106	0	0	0	0	0	0	0.0278344776396363	0.0105163529288043	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae	0.0209709552270106	0	0	0	0	0	0	0.0278344776396363	0.0105163529288043	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus	0	0	0	0	0	0	0	0.0092781592132121	0.0105163529288043	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Unclassified_Archaeoglobus	0	0	0	0	0	0	0	0.0092781592132121	0.0105163529288043	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Unclassified_Archaeoglobus|t__	0	0	0	0	0	0	0	0.0092781592132121	0.0105163529288043	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Unclassified_Archaeoglobaceae	0.0209709552270106	0	0	0	0	0	0	0.0185563184264242	0	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Unclassified_Archaeoglobaceae|s__	0.0209709552270106	0	0	0	0	0	0	0.0185563184264242	0	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Unclassified_Archaeoglobaceae|s__|t__	0.0209709552270106	0	0	0	0	0	0	0.0185563184264242	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria	0.0209709552270106	0.0213401621852326	0	0.0230361667818475	0	0	0.29494822717289	0.510298756726665	1.67210011567988	1.18123914302258	2.06112295664534
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	0.0209709552270106	0.0213401621852326	0	0.0230361667818475	0	0	0.29494822717289	0.510298756726665	1.67210011567988	1.18123914302258	2.06112295664534
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae	0	0	0	0.0115180833909238	0	0	0.0188264825855036	0	0.0525817646440215	0.0810654313839027	0.0304599451720987
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula	0	0	0	0	0	0	0	0	0	0.0115807759119861	0.0101533150573662
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Unclassified_Haloarcula	0	0	0	0	0	0	0	0	0	0.0115807759119861	0.0101533150573662
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Unclassified_Haloarcula|t__	0	0	0	0	0	0	0	0	0	0.0115807759119861	0.0101533150573662
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium	0	0	0	0	0	0	0.00627549419516787	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Unclassified_Halobacterium	0	0	0	0	0	0	0.00627549419516787	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Unclassified_Halobacterium|t__	0	0	0	0	0	0	0.00627549419516787	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halorubrum	0	0	0	0	0	0	0.00627549419516787	0	0	0.0115807759119861	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halorubrum|s__Unclassified_Halorubrum	0	0	0	0	0	0	0.00627549419516787	0	0	0.0115807759119861	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halorubrum|s__Unclassified_Halorubrum|t__	0	0	0	0	0	0	0.00627549419516787	0	0	0.0115807759119861	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Unclassified_Halobacteriaceae	0	0	0	0.0115180833909238	0	0	0.00627549419516787	0	0.0525817646440215	0.0579038795599305	0.0203066301147325
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Unclassified_Halobacteriaceae|s__	0	0	0	0.0115180833909238	0	0	0.00627549419516787	0	0.0525817646440215	0.0579038795599305	0.0203066301147325
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Unclassified_Halobacteriaceae|s__|t__	0	0	0	0.0115180833909238	0	0	0.00627549419516787	0	0.0525817646440215	0.0579038795599305	0.0203066301147325
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__MSP41	0.0209709552270106	0	0	0	0	0	0	0.0092781592132121	0.0105163529288043	0.0115807759119861	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__MSP41|g__Candidatus	0.0209709552270106	0	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__MSP41|g__Candidatus|s__Unclassified_Candidatus	0.0209709552270106	0	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__MSP41|g__Candidatus|s__Unclassified_Candidatus|t__	0.0209709552270106	0	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__MSP41|g__Unclassified_MSP41	0	0	0	0	0	0	0	0	0.0105163529288043	0.0115807759119861	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__MSP41|g__Unclassified_MSP41|s__	0	0	0	0	0	0	0	0	0.0105163529288043	0.0115807759119861	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__MSP41|g__Unclassified_MSP41|s__|t__	0	0	0	0	0	0	0	0	0.0105163529288043	0.0115807759119861	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Miscellaneous_Euryarchaeotic_Group	0	0.0106700810926163	0	0.0115180833909238	0	0	0.0753059303420144	0.204119502690666	0.473235881796193	0.4169079328315	0.771651944359834
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Miscellaneous_Euryarchaeotic_Group|g__Unclassified_Miscellaneous_Euryarchaeotic_Group	0	0.0106700810926163	0	0.0115180833909238	0	0	0.0753059303420144	0.204119502690666	0.473235881796193	0.4169079328315	0.771651944359834
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Miscellaneous_Euryarchaeotic_Group|g__Unclassified_Miscellaneous_Euryarchaeotic_Group|s__	0	0.0106700810926163	0	0.0115180833909238	0	0	0.0753059303420144	0.204119502690666	0.473235881796193	0.4169079328315	0.771651944359834
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Miscellaneous_Euryarchaeotic_Group|g__Unclassified_Miscellaneous_Euryarchaeotic_Group|s__|t__	0	0.0106700810926163	0	0.0115180833909238	0	0	0.0753059303420144	0.204119502690666	0.473235881796193	0.4169079328315	0.771651944359834
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Unclassified_Halobacteriales	0	0.0106700810926163	0	0	0	0	0.200815814245372	0.296901094822787	1.13576611631086	0.671685002895194	1.25901106711341
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Unclassified_Halobacteriales|g__	0	0.0106700810926163	0	0	0	0	0.200815814245372	0.296901094822787	1.13576611631086	0.671685002895194	1.25901106711341
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Unclassified_Halobacteriales|g__|s__	0	0.0106700810926163	0	0	0	0	0.200815814245372	0.296901094822787	1.13576611631086	0.671685002895194	1.25901106711341
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Unclassified_Halobacteriales|g__|s__|t__	0	0.0106700810926163	0	0	0	0	0.200815814245372	0.296901094822787	1.13576611631086	0.671685002895194	1.25901106711341
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0419419104540212	0.0106700810926163	0	0.0115180833909238	0	0	0.0125509883903357	0.0278344776396363	0.0525817646440215	0	0.0406132602294649
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0419419104540212	0.0106700810926163	0	0.0115180833909238	0	0	0.0125509883903357	0.0278344776396363	0.0525817646440215	0	0.0406132602294649
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.0419419104540212	0.0106700810926163	0	0.0115180833909238	0	0	0.0125509883903357	0.0185563184264242	0.0420654117152172	0	0.0406132602294649
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium	0	0	0	0	0	0	0.00627549419516787	0	0	0	0.0101533150573662
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Unclassified_Methanobacterium	0	0	0	0	0	0	0.00627549419516787	0	0	0	0.0101533150573662
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Unclassified_Methanobacterium|t__	0	0	0	0	0	0	0.00627549419516787	0	0	0	0.0101533150573662
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0.0106700810926163	0	0.0115180833909238	0	0	0	0	0.0105163529288043	0	0.0101533150573662
