Taxa	reERR1346801	reERR1346802	reERR1346803	reERR1346804	reERR1346805	reERR1346806	reERR1346807	reERR1346808	reERR1346809	reERR1346810	reERR1346811	reERR1346812	reERR1346813	reERR1346814	reERR1346815	reERR1346816	reERR1346817	reERR1346818	reERR1346819	reERR1346820	reERR1346821	reERR1346822	reERR1346823	reERR1346824	reERR1346825	reERR1346826	reERR1346827	reERR1346828	reERR1346829	reERR1346830	reERR1346831	reERR1346832	reERR1346833	reERR1346834	reERR1346835	reERR1346836	reERR1346837	reERR1346838	reERR1346839	reERR1346840	reERR1346841	reERR1346842	reERR1346843	reERR1346844	reERR1346845	reERR1346846	reERR1346847	reERR1346848	reERR1346849	reERR1346850	reERR1346851	reERR1346852	reERR1346853	reERR1346854	reERR1346855	reERR1346856	reERR1346857	reERR1346858	reERR1346859	reERR1346860	reERR1346861	reERR1346862	reERR1346863	reERR1346864	reERR1346865	reERR1346866	reERR1346867	reERR1346868	reERR1346869	reERR1346870	reERR1346871	reERR1346872	reERR1346873	reERR1346874	reERR1346875	reERR1346876	reERR1346877	reERR1346878	reERR1346879	reERR1346880	reERR1346881	reERR1346882	reERR1346883	reERR1346884	reERR1346887	reERR1346888	reERR1346889	reERR1346890	reERR1346891	reERR1346892
k__archaea	0.0735866406369026	0.0762022950356385	0.113305866944135	0.0436328244764317	0.104189576591036	0.0760499621835654	0.0600488242172159	0.0690602641920633	0.0712594312489754	0.0423311678469668	0.0822876280966163	0.0992732055449757	0.0374162633751986	0.0619496696993509	0.0938444833950397	0.144937696616408	0.11513957025894	0.0896735421437536	0.0499967272108717	0.084914178510081	0.0702437881138872	0.137393494865306	0.0423114588517776	0.0859903194570519	0.0573806555310495	0.0981782681984158	0.0684480688153068	0.161696904060363	0.0462607733187496	0.187256303461554	0.0700927148988154	0.0790654276829571	0.0968363280322371	0.159831282220565	0.0665474389042021	0.167496765934997	0.0643903592344983	0.0544743354965284	0.063948544676321	0.0592199116087108	0.0547832826820583	0.0710958454262719	0.0459384973151254	0.0652429307300816	0.0513031184380024	0.0554167611423102	0.0819900323702325	0.0942035589019296	0.0539808243162953	0.0676902962306589	0.0728344003261723	0	0	0.0601749935111264	0.0762785239730225	0.0711553701638479	0.0781274263094631	0.0908759131497626	0.0612094873770574	0.067035285694126	0.0500958898136554	0.0385472824318246	0.0790826854123522	0.065157291760911	0.0525445629243083	0.05317500875577	0.0677624852741678	0.0523712474337739	0.0651172989235162	0.0409803065794976	0.0665615143055268	0.0604033231920686	0.0672175449421632	0.0534324824224479	0	0.0363759293301406	0.0542739552612776	0	0.0447219472079492	0.0367211270372412	0.0461554766764729	0.0646374601508595	0.134372368984685	0.120075525128166	0.0642672842182161	0.0696836162046556	0.0674890431122017	0.0643245124608602	0.0533432520402239	0.0532027635110791
k__archaea|p__candidatus_korarchaeota	3.69311967864541e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14191778497411e-05	0	2.87266757347206e-05	2.60752889636361e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.28424465804656e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.38879364081357e-05	0	0	0	0	0	0	0	0	0	2.90733325874408e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum	3.69311967864541e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14191778497411e-05	0	2.87266757347206e-05	2.60752889636361e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.28424465804656e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.38879364081357e-05	0	0	0	0	0	0	0	0	0	2.90733325874408e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum|s__candidatus_korarchaeum_cryptofilum	3.69311967864541e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14191778497411e-05	0	2.87266757347206e-05	2.60752889636361e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.28424465804656e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.38879364081357e-05	0	0	0	0	0	0	0	0	0	2.90733325874408e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_lokiarchaeota	2.95449574291633e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.88987302676466e-05	4.55519714589568e-05	1.71287667746117e-05	0	2.35969122106634e-05	2.60752889636361e-05	0	0	0	0	3.99441033630139e-05	0	0	2.99879274601631e-05	0	1.96929479494314e-05	0	0	1.28424465804656e-05	0	0	0	0	0	0	2.56825077032706e-05	0	0	3.55989732939667e-05	0	0	0	0	2.36697315024007e-05	4.53845735070316e-05	0	0	0	0	2.99095350221812e-05	0	0	0	0	0	2.02213989746187e-05	0	0	0	0	0	0	0	2.28558168932514e-05	0	0	6.38953361864731e-05	0	0	0	0	2.38135093594077e-05	0	0	0	0	0	0	0	0	3.0029610893667e-05	0	0	1.48067390099706e-05	0	0
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	2.95449574291633e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.88987302676466e-05	4.55519714589568e-05	1.71287667746117e-05	0	2.35969122106634e-05	2.60752889636361e-05	0	0	0	0	3.99441033630139e-05	0	0	2.99879274601631e-05	0	1.96929479494314e-05	0	0	1.28424465804656e-05	0	0	0	0	0	0	2.56825077032706e-05	0	0	3.55989732939667e-05	0	0	0	0	2.36697315024007e-05	4.53845735070316e-05	0	0	0	0	2.99095350221812e-05	0	0	0	0	0	2.02213989746187e-05	0	0	0	0	0	0	0	2.28558168932514e-05	0	0	6.38953361864731e-05	0	0	0	0	2.38135093594077e-05	0	0	0	0	0	0	0	0	3.0029610893667e-05	0	0	1.48067390099706e-05	0	0
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	2.95449574291633e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.88987302676466e-05	4.55519714589568e-05	1.71287667746117e-05	0	2.35969122106634e-05	2.60752889636361e-05	0	0	0	0	3.99441033630139e-05	0	0	2.99879274601631e-05	0	1.96929479494314e-05	0	0	1.28424465804656e-05	0	0	0	0	0	0	2.56825077032706e-05	0	0	3.55989732939667e-05	0	0	0	0	2.36697315024007e-05	4.53845735070316e-05	0	0	0	0	2.99095350221812e-05	0	0	0	0	0	2.02213989746187e-05	0	0	0	0	0	0	0	2.28558168932514e-05	0	0	6.38953361864731e-05	0	0	0	0	2.38135093594077e-05	0	0	0	0	0	0	0	0	3.0029610893667e-05	0	0	1.48067390099706e-05	0	0
k__archaea|p__candidatus_micrarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64150681590029e-05	0	1.33373851625489e-05	0	0	0	0	0	2.09231017615787e-05	0	0	0	0	0	2.04769836105216e-05	0	1.81934659889929e-05	0	0	0	0	0	0	0	0	0	0	0	0	9.20544205021764e-05	0	0	2.47552219129264e-05	0	0	0	0	0	0	0	0	0	0	1.75252124446695e-05	0	0	5.73919168414082e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36516795681149e-05	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85068477169702e-06	0	1.33373851625489e-05	0	0	0	0	0	2.09231017615787e-05	0	0	0	0	0	2.04769836105216e-05	0	1.07020388170546e-05	0	0	0	0	0	0	0	0	0	0	0	0	9.20544205021764e-05	0	0	2.47552219129264e-05	0	0	0	0	0	0	0	0	0	0	1.75252124446695e-05	0	0	3.03839559748632e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36516795681149e-05	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85068477169702e-06	0	1.33373851625489e-05	0	0	0	0	0	2.09231017615787e-05	0	0	0	0	0	2.04769836105216e-05	0	1.07020388170546e-05	0	0	0	0	0	0	0	0	0	0	0	0	9.20544205021764e-05	0	0	2.47552219129264e-05	0	0	0	0	0	0	0	0	0	0	1.75252124446695e-05	0	0	3.03839559748632e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36516795681149e-05	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85068477169702e-06	0	1.33373851625489e-05	0	0	0	0	0	2.09231017615787e-05	0	0	0	0	0	2.04769836105216e-05	0	1.07020388170546e-05	0	0	0	0	0	0	0	0	0	0	0	0	9.20544205021764e-05	0	0	2.47552219129264e-05	0	0	0	0	0	0	0	0	0	0	1.75252124446695e-05	0	0	3.03839559748632e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36516795681149e-05	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85068477169702e-06	0	1.33373851625489e-05	0	0	0	0	0	2.09231017615787e-05	0	0	0	0	0	2.04769836105216e-05	0	1.07020388170546e-05	0	0	0	0	0	0	0	0	0	0	0	0	9.20544205021764e-05	0	0	2.47552219129264e-05	0	0	0	0	0	0	0	0	0	0	1.75252124446695e-05	0	0	3.03839559748632e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36516795681149e-05	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum|s__candidatus_micrarchaeum_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85068477169702e-06	0	1.33373851625489e-05	0	0	0	0	0	2.09231017615787e-05	0	0	0	0	0	2.04769836105216e-05	0	1.07020388170546e-05	0	0	0	0	0	0	0	0	0	0	0	0	9.20544205021764e-05	0	0	2.47552219129264e-05	0	0	0	0	0	0	0	0	0	0	1.75252124446695e-05	0	0	3.03839559748632e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36516795681149e-05	0	0
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.56438338730584e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.49142717193824e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7007960866545e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum|s__candidatus_mancarchaeum_acidiphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.56438338730584e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.49142717193824e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7007960866545e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106517608968037	0	0	0	0	0	0	0	6.95632523108551e-06	0	0	0	0	0	0	0	0	0	0	0	2.07514501286279e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5319963312386e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61528061926951e-05	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106517608968037	0	0	0	0	0	0	0	6.95632523108551e-06	0	0	0	0	0	0	0	0	0	0	0	2.07514501286279e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5319963312386e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61528061926951e-05	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106517608968037	0	0	0	0	0	0	0	6.95632523108551e-06	0	0	0	0	0	0	0	0	0	0	0	2.07514501286279e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5319963312386e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61528061926951e-05	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106517608968037	0	0	0	0	0	0	0	6.95632523108551e-06	0	0	0	0	0	0	0	0	0	0	0	2.07514501286279e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5319963312386e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61528061926951e-05	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106517608968037	0	0	0	0	0	0	0	6.95632523108551e-06	0	0	0	0	0	0	0	0	0	0	0	2.07514501286279e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5319963312386e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61528061926951e-05	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium|s__candidatus_nanohalobium_constans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106517608968037	0	0	0	0	0	0	0	6.95632523108551e-06	0	0	0	0	0	0	0	0	0	0	0	2.07514501286279e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5319963312386e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61528061926951e-05	0	0
k__archaea|p__candidatus_thermoplasmatota	0.000194504303075325	5.38931127116966e-05	0.000196322046685383	4.40664382286011e-05	0.00016093782316364	2.62322659389346e-05	6.5380289655486e-05	0	6.81569278913607e-05	4.85792003893511e-05	7.28080234441836e-05	6.9308730890139e-05	0	0	0.000134848931594508	0.000147501621867098	0.000243371227922608	5.17852406885514e-05	0.000133373851625489	9.34364521196961e-05	6.31634645196383e-05	0.000205240546435715	0.000121342509253883	2.70418313333916e-05	9.51050080071759e-05	0.000106742097749076	5.11315255094423e-05	0.000157936417956859	4.49159373133099e-05	0.000147697109620736	0.000118136443906855	9.90879494730728e-05	0.000119862834751012	8.97625981245452e-05	7.81720882650245e-05	0.000220081754369519	7.47725242228396e-05	5.78791387453298e-05	6.48708387754326e-05	9.48277207505377e-05	0	0.000185121914294243	0.000118663244313222	0.000157439504657533	0.000192296771191952	0	0.000204702144732604	0.000171605553392405	8.45803415358317e-05	9.48619090446941e-05	0	0	0	6.28100235465805e-05	0.000122000591984411	9.40488370861294e-05	0.000139518244061329	0.000243641960018354	0.000109398557363213	0.000128068860172585	4.24361624850956e-05	0	0.000298775567086154	8.21710170886307e-05	0.000242902010559857	0.000158200906352497	4.71328147974415e-05	0.000132849435692024	0.000224340604439915	0.000101365494577453	0.000139408006225032	0.000246814016691415	9.44883309091827e-05	0.000135419035828072	0	5.87399897532057e-05	0.000153631885711285	0	0	0	0	0	0.000433051813566864	0	0.000120118443574668	0.000121976305585791	0.000176292152059562	0.000258444899083122	0	9.22972353352054e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata	0.000152648946717344	5.38931127116966e-05	0.000196322046685383	4.40664382286011e-05	0.00016093782316364	2.62322659389346e-05	6.5380289655486e-05	0	6.81569278913607e-05	4.85792003893511e-05	7.28080234441836e-05	6.9308730890139e-05	0	0	0.000134848931594508	0.000147501621867098	0.000235520543150911	5.17852406885514e-05	0.000133373851625489	9.34364521196961e-05	6.31634645196383e-05	0.000205240546435715	0.000121342509253883	2.70418313333916e-05	9.51050080071759e-05	0.000106742097749076	5.11315255094423e-05	0.000157936417956859	4.49159373133099e-05	0.000147697109620736	0.000118136443906855	9.90879494730728e-05	0.000119862834751012	8.97625981245452e-05	7.81720882650245e-05	0.000220081754369519	7.47725242228396e-05	5.78791387453298e-05	6.48708387754326e-05	9.48277207505377e-05	0	0.000185121914294243	9.49305954505778e-05	0.000157439504657533	0.000192296771191952	0	0.000204702144732604	0.000171605553392405	8.45803415358317e-05	9.48619090446941e-05	0	0	0	6.28100235465805e-05	0.000122000591984411	9.40488370861294e-05	0.000139518244061329	0.000243641960018354	0.000109398557363213	0.000114587927522839	4.24361624850956e-05	0	0.000298775567086154	8.21710170886307e-05	0.000242902010559857	0.000123526735097155	4.71328147974415e-05	0.000132849435692024	0.000224340604439915	0.000101365494577453	0.000139408006225032	0.000246814016691415	9.44883309091827e-05	0.000135419035828072	0	5.87399897532057e-05	0.000153631885711285	0	0	0	0	0	0.000433051813566864	0	0.000104450820499711	0.000121976305585791	0.000176292152059562	0.000239599958524978	0	9.22972353352054e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales	0.00012310398928818	5.38931127116966e-05	0.000196322046685383	4.40664382286011e-05	0.000137385946603107	2.62322659389346e-05	6.5380289655486e-05	0	6.81569278913607e-05	4.85792003893511e-05	7.28080234441836e-05	6.9308730890139e-05	0	0	0.000134848931594508	0.000123641065388597	0.000179138352517814	5.17852406885514e-05	7.79724055656703e-05	9.34364521196961e-05	6.31634645196383e-05	0.000172402059006	8.42656314263077e-05	2.70418313333916e-05	9.51050080071759e-05	0	5.11315255094423e-05	0.000121950905004663	0	0.000147697109620736	9.92346128817585e-05	3.15279839232504e-05	8.66865144181425e-05	8.97625981245452e-05	4.82827603989857e-05	0.000147327455404389	7.47725242228396e-05	5.78791387453298e-05	6.48708387754326e-05	9.48277207505377e-05	0	0.000185121914294243	9.49305954505778e-05	0.000157439504657533	0.000163244741011873	0	0.000204702144732604	0.000124266090387604	8.45803415358317e-05	9.48619090446941e-05	0	0	0	6.28100235465805e-05	0.000122000591984411	9.40488370861294e-05	0.000139518244061329	0.00016242797334557	7.75735224939148e-05	9.57146218131951e-05	4.24361624850956e-05	0	0.000273455603773768	8.21710170886307e-05	0.000242902010559857	0.000123526735097155	4.71328147974415e-05	9.42802446846619e-05	0.000224340604439915	6.39043335379594e-05	0.000139408006225032	0.000132221794656115	9.44883309091827e-05	0.000135419035828072	0	5.87399897532057e-05	0.000153631885711285	0	0	0	0	0	0	0	7.83381153747835e-05	0.000121976305585791	0.000176292152059562	0.000176334800936922	0	9.22972353352054e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae	8.61727925017262e-05	5.38931127116966e-05	0.000108678275843694	4.40664382286011e-05	9.22448498620861e-05	2.62322659389346e-05	6.5380289655486e-05	0	3.54416025035076e-05	4.85792003893511e-05	7.28080234441836e-05	6.9308730890139e-05	0	0	6.48312171127443e-05	8.45965184237768e-05	0.000113478079881802	5.17852406885514e-05	5.43754933550069e-05	9.34364521196961e-05	6.31634645196383e-05	0.000109461624765714	8.42656314263077e-05	2.70418313333916e-05	6.84756057651667e-05	0	3.03001632648547e-05	9.79605630365328e-05	0	0.000124065572081418	6.14309508315648e-05	3.15279839232504e-05	5.40452960261259e-05	8.97625981245452e-05	4.82827603989857e-05	0.00010367487602531	7.47725242228396e-05	5.78791387453298e-05	6.48708387754326e-05	9.48277207505377e-05	0	0.000185121914294243	6.13093428951648e-05	0	0.00011205783069459	0	0.000204702144732604	7.69266273828023e-05	6.18880547823159e-05	9.48619090446941e-05	0	0	0	6.28100235465805e-05	0.000122000591984411	9.40488370861294e-05	9.20820410804773e-05	5.3296678754015e-05	7.75735224939148e-05	5.79680103939069e-05	0	0	0.000168799755415906	8.21710170886307e-05	0.000218611809503871	9.53539709521898e-05	4.71328147974415e-05	6.57104735680977e-05	0.000126801211205169	3.96647587476989e-05	0.000139408006225032	0.000132221794656115	6.7837776037362e-05	0.000135419035828072	0	4.28643168469339e-05	0.000153631885711285	0	0	0	0	0	0	0	3.13352461499134e-05	0.000121976305585791	0.000123404506441693	8.74943668770987e-05	0	9.22972353352054e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus	8.61727925017262e-05	5.38931127116966e-05	0.000108678275843694	4.40664382286011e-05	9.22448498620861e-05	2.62322659389346e-05	6.5380289655486e-05	0	3.54416025035076e-05	4.85792003893511e-05	7.28080234441836e-05	6.9308730890139e-05	0	0	6.48312171127443e-05	8.45965184237768e-05	0.000113478079881802	5.17852406885514e-05	5.43754933550069e-05	9.34364521196961e-05	6.31634645196383e-05	0.000109461624765714	8.42656314263077e-05	2.70418313333916e-05	6.84756057651667e-05	0	3.03001632648547e-05	9.79605630365328e-05	0	0.000124065572081418	6.14309508315648e-05	3.15279839232504e-05	5.40452960261259e-05	8.97625981245452e-05	4.82827603989857e-05	0.00010367487602531	7.47725242228396e-05	5.78791387453298e-05	6.48708387754326e-05	9.48277207505377e-05	0	0.000185121914294243	6.13093428951648e-05	0	0.00011205783069459	0	0.000204702144732604	7.69266273828023e-05	6.18880547823159e-05	9.48619090446941e-05	0	0	0	6.28100235465805e-05	0.000122000591984411	9.40488370861294e-05	9.20820410804773e-05	5.3296678754015e-05	7.75735224939148e-05	5.79680103939069e-05	0	0	0.000168799755415906	8.21710170886307e-05	0.000218611809503871	9.53539709521898e-05	4.71328147974415e-05	6.57104735680977e-05	0.000126801211205169	3.96647587476989e-05	0.000139408006225032	0.000132221794656115	6.7837776037362e-05	0.000135419035828072	0	4.28643168469339e-05	0.000153631885711285	0	0	0	0	0	0	0	3.13352461499134e-05	0.000121976305585791	0.000123404506441693	8.74943668770987e-05	0	9.22972353352054e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus|s__candidatus_methanomethylophilus_alvus	8.61727925017262e-05	5.38931127116966e-05	0.000108678275843694	4.40664382286011e-05	9.22448498620861e-05	2.62322659389346e-05	6.5380289655486e-05	0	3.54416025035076e-05	4.85792003893511e-05	7.28080234441836e-05	6.9308730890139e-05	0	0	6.48312171127443e-05	8.45965184237768e-05	0.000113478079881802	5.17852406885514e-05	5.43754933550069e-05	9.34364521196961e-05	6.31634645196383e-05	0.000109461624765714	8.42656314263077e-05	2.70418313333916e-05	6.84756057651667e-05	0	3.03001632648547e-05	9.79605630365328e-05	0	0.000124065572081418	6.14309508315648e-05	3.15279839232504e-05	5.40452960261259e-05	8.97625981245452e-05	4.82827603989857e-05	0.00010367487602531	7.47725242228396e-05	5.78791387453298e-05	6.48708387754326e-05	9.48277207505377e-05	0	0.000185121914294243	6.13093428951648e-05	0	0.00011205783069459	0	0.000204702144732604	7.69266273828023e-05	6.18880547823159e-05	9.48619090446941e-05	0	0	0	6.28100235465805e-05	0.000122000591984411	9.40488370861294e-05	9.20820410804773e-05	5.3296678754015e-05	7.75735224939148e-05	5.79680103939069e-05	0	0	0.000168799755415906	8.21710170886307e-05	0.000218611809503871	9.53539709521898e-05	4.71328147974415e-05	6.57104735680977e-05	0.000126801211205169	3.96647587476989e-05	0.000139408006225032	0.000132221794656115	6.7837776037362e-05	0.000135419035828072	0	4.28643168469339e-05	0.000153631885711285	0	0	0	0	0	0	0	3.13352461499134e-05	0.000121976305585791	0.000123404506441693	8.74943668770987e-05	0	9.22972353352054e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae	3.69311967864541e-05	0	8.41380200080212e-05	0	4.51410967410209e-05	0	0	0	3.27153253878531e-05	0	0	0	0	0	7.00177144817639e-05	3.90445469648201e-05	6.56602726360114e-05	0	2.35969122106634e-05	0	0	6.29404342402858e-05	0	0	2.66294022420093e-05	0	1.89376020405342e-05	2.39903419681305e-05	0	2.36315375393177e-05	3.78036620501937e-05	0	3.26412183920166e-05	0	0	4.36525793790781e-05	0	0	0	0	0	0	3.3621252555413e-05	0.000157439504657533	5.11869103172821e-05	0	0	4.73394630048014e-05	2.26922867535158e-05	0	0	0	0	0	0	0	4.74362029808519e-05	0.000109131294591555	0	3.77466114192882e-05	4.24361624850956e-05	0	0.000102967850803703	0	2.267085431892e-05	2.81727641449652e-05	0	2.85697711165642e-05	9.75393932347457e-05	2.42395747902605e-05	0	0	2.66505548718208e-05	0	0	1.58756729062718e-05	0	0	0	0	0	0	0	0	4.56972339686237e-05	0	5.28876456178685e-05	8.74943668770987e-05	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma	3.69311967864541e-05	0	3.8563259170343e-05	0	4.51410967410209e-05	0	0	0	3.27153253878531e-05	0	0	0	0	0	7.00177144817639e-05	3.90445469648201e-05	5.1386300323835e-05	0	2.35969122106634e-05	0	0	3.28384874297143e-05	0	0	0	0	1.89376020405342e-05	2.39903419681305e-05	0	2.36315375393177e-05	3.78036620501937e-05	0	2.30093834566675e-05	0	0	4.36525793790781e-05	0	0	0	0	0	0	0	0	1.38343000857519e-05	0	0	2.56422091276008e-05	0	0	0	0	0	0	0	0	4.74362029808519e-05	5.58346158375395e-05	0	2.29175855045679e-05	4.24361624850956e-05	0	4.55759339622947e-05	0	2.267085431892e-05	0	0	2.85697711165642e-05	9.75393932347457e-05	2.42395747902605e-05	0	0	2.66505548718208e-05	0	0	0	0	0	0	0	0	0	0	0	3.13352461499134e-05	0	0	3.90359482990133e-05	0	0
