clade_name	reERR4183438_taxonomic_profile	reERR4183439_taxonomic_profile	reERR4183440_taxonomic_profile	reERR4183441_taxonomic_profile	reERR4183442_taxonomic_profile	reERR4183443_taxonomic_profile	reERR4183444_taxonomic_profile	reERR4183445_taxonomic_profile	reERR4183446_taxonomic_profile	reERR4183447_taxonomic_profile	reERR4183448_taxonomic_profile	reERR4183449_taxonomic_profile	reERR4183450_taxonomic_profile	reERR4183451_taxonomic_profile	reERR4183452_taxonomic_profile	reERR4183453_taxonomic_profile	reERR4183454_taxonomic_profile	reERR4183455_taxonomic_profile	reERR4183456_taxonomic_profile	reERR4183457_taxonomic_profile	reERR4183458_taxonomic_profile	reERR4183459_taxonomic_profile	reERR4183460_taxonomic_profile	reERR4183461_taxonomic_profile	reERR4183462_taxonomic_profile	reERR4183463_taxonomic_profile	reERR4183464_taxonomic_profile	reERR4183465_taxonomic_profile	reERR4183466_taxonomic_profile	reERR4183467_taxonomic_profile	reERR4183468_taxonomic_profile	reERR4183469_taxonomic_profile	reERR4183470_taxonomic_profile	reERR4183471_taxonomic_profile	reERR4183472_taxonomic_profile	reERR4183473_taxonomic_profile	reERR4183474_taxonomic_profile	reERR4183475_taxonomic_profile	reERR4183476_taxonomic_profile	reERR4183477_taxonomic_profile	reERR4183478_taxonomic_profile	reERR4183479_taxonomic_profile	reERR4183480_taxonomic_profile	reERR4183481_taxonomic_profile	reERR4183482_taxonomic_profile	reERR4183483_taxonomic_profile	reERR4183484_taxonomic_profile	reERR4183485_taxonomic_profile	reERR4183486_taxonomic_profile	reERR4183487_taxonomic_profile	reERR4183488_taxonomic_profile	reERR4183489_taxonomic_profile	reERR4183490_taxonomic_profile	reERR4183491_taxonomic_profile	reERR4183492_taxonomic_profile	reERR4183493_taxonomic_profile	reERR4183494_taxonomic_profile	reERR4183495_taxonomic_profile	reERR4183496_taxonomic_profile	reERR4183497_taxonomic_profile	reERR4183498_taxonomic_profile	reERR4183499_taxonomic_profile
k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0.149558415884135	0.000733460466480857	0	0	0.0613174491941135	0.0220794537220035	0	0	0	0.0772375112885593	0.00326643366106551	0	0	0.000330987733594593	0.000366284265893074	0.00035427324386753	0.000527356624917601	0	0.0424752753718022	0.0282521346057258	0	0	0	0.0309782234562519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0.149558415884135	0.000733460466480857	0	0	0.0613174491941135	0.0220794537220035	0	0	0	0.0772375112885593	0.00326643366106551	0	0	0.000330987733594593	0	0	0	0	0.0424752753718022	0.0282521346057258	0	0	0	0.0309782234562519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.149558415884135	0.000733460466480857	0	0	0.0613174491941135	0.0220794537220035	0	0	0	0.0772375112885593	0.00326643366106551	0	0	0.000330987733594593	0	0	0	0	0.0424752753718022	0.0282521346057258	0	0	0	0.0309782234562519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0.149558415884135	0.000733460466480857	0	0	0.0613174491941135	0.0220794537220035	0	0	0	0.0772375112885593	0.00326643366106551	0	0	0.000330987733594593	0	0	0	0	0.0424752753718022	0.0282521346057258	0	0	0	0.0309782234562519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.149558415884135	0.000733460466480857	0	0	0.0613174491941135	0.0220794537220035	0	0	0	0.0772375112885593	0.00326643366106551	0	0	0.000330987733594593	0	0	0	0	0.0424752753718022	0.0282521346057258	0	0	0	0.0309782234562519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000244486822160286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Unclassified_Methanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000244486822160286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Unclassified_Methanobacterium|t__	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000244486822160286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0.13494638674603	0.000488973644320571	0	0	0.0554776921280075	0.0193868374144421	0	0	0	0.0709000744648827	0.0027998002809133	0	0	0.000330987733594593	0	0	0	0	0.0390313341254398	0.0282521346057258	0	0	0	0.0283010930341066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	0	0	0	0	0	0	0	0	0	0	0	0	0.0640350688699314	0.000244486822160286	0	0	0.01927119831815	0.00969341870722106	0	0	0	0.0320832739198631	0.00186653352060886	0	0	0.000330987733594593	0	0	0	0	0.0154977356086305	0.0188347564038172	0	0	0	0.0122383105012353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
