clade_name	NCBI_tax_id	reSRR9320199_taxonomic_profile	reSRR9320198_taxonomic_profile	reSRR9320197_taxonomic_profile	reSRR9320196_taxonomic_profile	reSRR9320195_taxonomic_profile	reSRR9320194_taxonomic_profile	reSRR9320193_taxonomic_profile	reSRR9320192_taxonomic_profile	reSRR9320191_taxonomic_profile	reSRR9320188_taxonomic_profile	reSRR9320187_taxonomic_profile
UNCLASSIFIED	-1	98.80185	98.42993	98.89955	97.92583	97.29464	99.39186	99.34906	99.25921	99.35913000000001	99.24623000000001	99.00001999999999
k__Archaea	2157	0.0255743068743408	0.020930147514597902	0.016315976845843294	0.008126804066535567	0.006267515951016682	0.028992899534187145	0.024788578708550058	0.15762397587326749	0.0139529504121151	0.23821724160248345	0.06937453954527567
k__Archaea|p__Thaumarchaeota	2157|651137	0.0255743068743408	0.020930147514597902	0.016315976845843294	0.008126804066535567	0.006267515951016682	0.028992899534187145	0.024788578708550058	0.15762397587326749	0.0139529504121151	0.23821724160248345	0.06937453954527567
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|72384459	0.0255743068743408	0.020930147514597902	0.016315976845843294	0.008126804066535567	0.006267515951016682	0.028992899534187145	0.024788578708550058	0.15762397587326749	0.0139529504121151	0.23821724160248345	0.06937453954527567
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137|72384459|54883673	0.0255743068743408	0.020930147514597902	0.016315976845843294	0.008126804066535567	0.006267515951016682	0.028992899534187145	0.024788578708550058	0.15762397587326749	0.0139529504121151	0.23821724160248345	0.06937453954527567
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified	2157|651137|72384459|54883673|1846429	0.0255743068743408	0.020930147514597902	0.016315976845843294	0.008126804066535567	0.006267515951016682	0.028992899534187145	0.024788578708550058	0.15762397587326749	0.0139529504121151	0.23821724160248345	0.06937453954527567
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Candidatus_Nitrosotalea	2157|651137|72384459|54883673|1846429|1078904	0.0255743068743408	0.020930147514597902	0.016315976845843294	0.008126804066535567	0.006267515951016682	0.028992899534187145	0.024788578708550058	0.15762397587326749	0.0139529504121151	0.23821724160248345	0.06937453954527567
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Candidatus_Nitrosotalea|s__Candidatus_Nitrosotalea_okcheonensis	2157|651137|72384459|54883673|1846429|1078904|1903276	0.011741766141535756	0.009374266823997108	0.008795921042506405	0.004305561338739321	0.0010729472206902992	0.028992899534187145	0.024788578708550058	0.15762397587326749	0.0139529504121151	0.23821724160248345	0.06937453954527567
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Candidatus_Nitrosotalea|s__Candidatus_Nitrosotalea_okcheonensis|t__SGB549	2157|651137|72384459|54883673|1846429|1078904|1903276|SGB549	0.011741766141535756	0.009374266823997108	0.008795921042506405	0.004305561338739321	0.0010729472206902992	0.028992899534187145	0.024788578708550058	0.15762397587326749	0.0139529504121151	0.23821724160248345	0.06937453954527567
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Candidatus_Nitrosotalea|s__Candidatus_Nitrosotalea_sp_TS	2157|651137|72384459|54883673|1846429|1078904|2341020	0.013832660547967869	0.011555880690600795	0.00752005580333689	0.0038212427277962467	0.005194568730326383	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Candidatus_Nitrosotalea|s__Candidatus_Nitrosotalea_sp_TS|t__SGB74738	2157|651137|72384459|54883673|1846429|1078904|2341020|SGB74738	0.013832660547967869	0.011555880690600795	0.00752005580333689	0.0038212427277962467	0.005194568730326383	0	0	0	0	0	0
k__Bacteria	2	1.172577321360208	1.5491410051328924	1.0841370498658298	2.0660428359466256	2.6990961267375853	0.5791485328886784	0.6261531931559722	0.5831650412185321	0.62691966517847	0.5155508247473518	0.930607291947488
k__Bacteria|p__Acidobacteria	2|57723	0	0	0	0	0.0001466307094337222	0.22965871298260065	0.17367927131724847	0.11628520780018185	0.194264383426373	0.2386384471979597	0.08490875730660002
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2|57723|204432	0	0	0	0	0	0.0015994119672721365	0.002733695065122248	0	0.0004026602643755646	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	2|57723|204432|204433	0	0	0	0	0	0.0015994119672721365	0.002733695065122248	0	0.0004026602643755646	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	2|57723|204432|204433|204434	0	0	0	0	0	0.0015994119672721365	0.002733695065122248	0	0.0004026602643755646	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	2|57723|204432|204433|204434|940557	0	0	0	0	0	0.0015994119672721365	0.002733695065122248	0	0.0004026602643755646	0	0
