"Thresholds"	"Centrifuge"	"GTDB.Tk.MEGAHIT"	"GTDB.Tk.metaSPAdes"	"Kraken.2...Braken.2"	"MetaPhlAn.2"	"MetaPhlAn.3"	"MetaPhlAn.4"	"mOTUs.3"	"Metaxa.2"	"PhyloPhlAn.MEGAHIT"	"PhyloPhlAn.metaSPAdes"
"X0"	0.0143080300078299	0.184493440553807	0.117562077803051	0.0445535362004185	0.502944642289503	0.643780324717049	0.766554450105561	0.608747562681906	0.278786899253394	0.192049390436705	0.130343448298392
"X1e.05"	0.0153456304009768	0.184493440553807	0.117562077803051	0.0445535522949051	0.502944642289503	0.643780324717049	0.766554450105561	0.608747562681906	0.278786899253394	0.192049390436705	0.130343448298392
"X1e.04"	0.018007991144756	0.184493440553807	0.117562077803051	0.0456184329241537	0.502944642289503	0.643789742390883	0.766615488055086	0.608747562681906	0.278786899253394	0.192049390436705	0.130343448298392
"X0.001"	0.0408859698564833	0.184493440553807	0.117562077803051	0.100796608955911	0.502028844192279	0.64437633674669	0.767505361055121	0.608747562681906	0.278786899253394	0.192049390436705	0.130343448298392
"X0.01"	0.239443698895193	0.184493440553807	0.117562077803051	0.274320260082588	0.498348976935556	0.648382278943682	0.764719063720324	0.60936338667195	0.280877869802848	0.192049390436705	0.130343448298392
"X0.05"	0.436954060870882	0.184493440553807	0.117562077803051	0.433419416130367	0.490640278052865	0.644828774698256	0.751944619218851	0.612376851542246	0.301484794953559	0.192049390436705	0.130343448298392
"X0.06"	0.449586096502371	0.184493440553807	0.117562077803051	0.446006922608454	0.488206876267379	0.642789356444404	0.748504296157376	0.612827889145309	0.303793897802867	0.192049390436705	0.130343448298392
"X0.06.1"	0.449586096502371	0.184493440553807	0.117562077803051	0.446006922608454	0.488206876267379	0.642789356444404	0.748504296157376	0.612827889145309	0.303793897802867	0.192049390436705	0.130343448298392
"X0.07"	0.457136204018399	0.184493440553807	0.117562077803051	0.455193691301601	0.485992505616828	0.640644115197193	0.745097307117942	0.613574151358903	0.304218770400366	0.192049390436705	0.130343448298392
"X0.08"	0.46261326705465	0.184493440553807	0.117562077803051	0.460237299490507	0.483847875366731	0.638884670397885	0.740546345781257	0.613565563411699	0.304252089050475	0.192049390436705	0.130343448298392
"X0.09"	0.46579593592822	0.184493440553807	0.117562077803051	0.464466392435125	0.48199160720595	0.6359515062768	0.736221526277427	0.611773781984145	0.3038666810409	0.192049390436705	0.130343448298392
"X0.1"	0.467109365508187	0.184493440553807	0.117562077803051	0.467938564676939	0.480459693668841	0.633105846206818	0.731981985002255	0.611134581581064	0.305197310696024	0.192049390436705	0.130343448298392
"X1"	0.251719809189204	0.176669243159613	0.117367384188576	0.277496097205331	0.307892368987175	0.372342236130432	0.372954236264245	0.376779234988015	0.182144616389351	0.182276115076935	0.130194083392339
