sample	SGB	bin_name	real_tax	reconstructed_tax	abundance_real	abundance_reconstructed	real_org_id
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0336	NA	2|1239|186801	NA	0.2142	NA	BIN_UNKNOWN_748_Clostridia
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0239	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0.bin.108	2|1224|29547|213849|72293	k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter_B|s__	0.3958	0.419800869687498	BIN_UNKNOWN_130_Helicobacteraceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0080	NA	2|1239|526524|526525|128827	NA	0.1719	NA	BIN_UNKNOWN_517_Erysipelotrichaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0360	NA	2|976|200643|171549|2005473	NA	0.2424	NA	BIN_UNKNOWN_346_Muribaculaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0996	NA	2|1239|186801|186802|186803|2005355	NA	0.2675	NA	BIN_UNKNOWN_485_Faecalimonas
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0924	NA	2|1239|186801|186802	NA	0.1727	NA	BIN_UNKNOWN_627_Evtepia
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0465	NA	2|201174|84998|84999|84107|102106	NA	0.398	NA	BIN_UNKNOWN_466_Collinsella
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0948	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0.bin.15	2759|6656|50557|7088|753635|1181387	k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Peptostreptococcales|f__Anaerovoracaceae|g__Copromorpha|s__Copromorpha sp900549125	2.4215	2.55842703267447	BIN_UNKNOWN_598_Copromorpha
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0351	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0.bin.11	2|1239|186801|186802|216572	k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__ER4|s__	1.4706	1.57656184904598	BIN_UNKNOWN_859_Oscillospiraceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0215	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0.bin.23	2|976|200643|171549	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__P3|g__|s__	2.3875	2.45883309821728	BIN_UNKNOWN_628_Bacteroidales
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0678	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0.bin.37	2|976|117743|200644|2762318|1572763	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Weeksellaceae|g__Moheibacter|s__	0.3555	0.368741940087945	BIN_UNKNOWN_22_Moheibacter
