Taxonomy	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales	0	0	0	0.756028925720167	0	0	2.67504876059666	3.10878333897998	0.622586154606972	0.938037144741738	0.666790150123819
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae	0	0	0	0	0	0	1.36763038342245	2.25991586421207	0.622586154606972	0.938037144741738	0.666790150123819
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae|g__Acidithrix	0	0	0	0	0	0	1.36763038342245	2.25991586421207	0.622586154606972	0.938037144741738	0.666790150123819
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2	0	0	0	0.756028925720167	0	0	1.30741837717421	0.848867474767909	0	0	0
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__RAAP-2	0	0	0	0.756028925720167	0	0	1.30741837717421	0.848867474767909	0	0	0
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__RAAP-2|s__RAAP-2 sp013044285	0	0	0	0	0	0	0.707390686541667	0.848867474767909	0	0	0
k__Bacteria|p__Bacteroidota	0.855078071271348	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia	0.855078071271348	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	0.855078071271348	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__VadinHA17	0.855078071271348	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__VadinHA17|g__LD21	0.855078071271348	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota	6.71335531982452	2.36624492935886	0	3.72497293295756	0	0	0.542768590158832	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Anaerolineae	2.86985024795913	0.853383116049744	0	0.873347495644567	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales	1.56017351339757	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae	0.738735730812733	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__UBA700	0.738735730812733	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__EnvOPS12	0.82143778258484	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__EnvOPS12|g__Fen-1038	0.82143778258484	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__UBA4142	1.30967673456156	0.853383116049744	0	0.873347495644567	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__UBA4142|f__UBA4142	1.30967673456156	0.853383116049744	0	0.873347495644567	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Ktedonobacteria	0	0	0	0	0	0	0.542768590158832	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales	0	0	0	0	0	0	0.542768590158832	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonobacteraceae	0	0	0	0	0	0	0.542768590158832	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonobacteraceae|g__DTNP01	0	0	0	0	0	0	0.542768590158832	0	0	0	0
