#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reSRR9320199_taxonomic_profile	reSRR9320198_taxonomic_profile	reSRR9320197_taxonomic_profile	reSRR9320196_taxonomic_profile	reSRR9320195_taxonomic_profile	reSRR9320194_taxonomic_profile	reSRR9320193_taxonomic_profile	reSRR9320192_taxonomic_profile	reSRR9320191_taxonomic_profile	reSRR9320188_taxonomic_profile	reSRR9320187_taxonomic_profile
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum	2|40117|203693|189778|189779|179	0	0	0	0	0.0011546149402434302	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferrooxidans	2|40117|203693|189778|189779|179|180	0	0	0	0	0.0011546149402434302	0	0	0	0	0	0
k__Bacteria|p__Planctomycetes	2|203682	0	0.0006234695256899644	0	0.000974347263191483	0.0008456597702995538	0.04377894117334305	0.033705075420063256	0	0.02794970756579385	0.001434868954795776	0
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0	0.0006234695256899644	0	0.000974347263191483	0.0008456597702995538	0.04377894117334305	0.033705075420063256	0	0.02794970756579385	0.001434868954795776	0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0	0.0006234695256899644	0	0.000974347263191483	0.0008456597702995538	0.04377894117334305	0.033705075420063256	0	0.02794970756579385	0.001434868954795776	0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae	2|203682|203683|112|1763524	0	0.0006234695256899644	0	0.000974347263191483	0.0008456597702995538	0.04377894117334305	0.033705075420063256	0	0.02794970756579385	0.001434868954795776	0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Paludisphaera	2|203682|203683|112|1763524|1763521	0	0.0006234695256899644	0	0.000974347263191483	0.0008456597702995538	0.02377003956859533	0.02557156610231565	0	0.02794970756579385	0.001434868954795776	0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Paludisphaera|s__Paludisphaera_borealis	2|203682|203683|112|1763524|1763521|1387353	0	0.0006234695256899644	0	0.000974347263191483	0.0008456597702995538	0.02377003956859533	0.02557156610231565	0	0.02794970756579385	0.001434868954795776	0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Singulisphaera	2|203682|203683|112|1763524|466152	0	0	0	0	0	0.02000890160474772	0.00813350931774761	0	0	0	0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Singulisphaera|s__Singulisphaera_acidiphila	2|203682|203683|112|1763524|466152|466153	0	0	0	0	0	0.02000890160474772	0.00813350931774761	0	0	0	0
k__Bacteria|p__Proteobacteria	2|1224	0.7722657509591263	1.0251283559460684	0.7787429314885566	1.5477606510737238	2.300327584615744	0.6286693824781651	0.4395480566821677	0.4951317882367618	0.6618565416208395	0.5063600578622328	0.41495019574181535
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	2|1224|1807140	0.01470239555304936	0.021985230923891274	0.015382589743886269	0.040393090003111316	0.04697425342173878	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	2|1224|1807140|225057	0.01470239555304936	0.021985230923891274	0.015382589743886269	0.040393090003111316	0.04697425342173878	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae	2|1224|1807140|225057|225058	0.01470239555304936	0.021985230923891274	0.015382589743886269	0.040393090003111316	0.04697425342173878	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus	2|1224|1807140|225057|225058|119977	0.01470239555304936	0.021985230923891274	0.015382589743886269	0.040393090003111316	0.04697425342173878	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_ferrivorans	2|1224|1807140|225057|225058|119977|160808	0.01470239555304936	0.021985230923891274	0.015382589743886269	0.03701119493021808	0.035931206244681366	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_ferrooxidans	2|1224|1807140|225057|225058|119977|920	0	0	0	0.0033818950728932338	0.0019778731272237907	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_thiooxidans	2|1224|1807140|225057|225058|119977|930	0	0	0	0	0.00906494070000738	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.0294076345630128	0.036108622758724125	0.03949437596661192	0.12826142541861588	0.5303266829048416	0	0.024715554876233455	0.0012973443115379631	0.01441474322800324	0.007514522634825558	0.00410213509057467
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.0294076345630128	0.036108622758724125	0.03949437596661192	0.12826142541861588	0.5303266829048416	0	0.024715554876233455	0.0012973443115379631	0.01441474322800324	0.007514522634825558	0.00410213509057467
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	2|1224|28211|204441|433	0.0294076345630128	0.03573383368557846	0.03949437596661192	0.11090837066653086	0.4110282176876079	0	0.024715554876233455	0.0012973443115379631	0.01441474322800324	0.007514522634825558	0.00410213509057467
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium	2|1224|28211|204441|433|522	0.0294076345630128	0.03496800841638758	0.03949437596661192	0.10735432606085296	0.4038797791105228	0	0	0	0.009323904128380965	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_rubrum	2|1224|28211|204441|433|522|526	0.0294076345630128	0.03496800841638758	0.03949437596661192	0.10735432606085296	0.4038797791105228	0	0	0	0.009323904128380965	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidisphaera	2|1224|28211|204441|433|50714	0	0.0007658252691908818	0	0.0035540446056778812	0.007148671926911376	0	0.024715554876233455	0.0012973443115379631	0.005090839099622275	0.007514522634825558	0.00410213509057467
