;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61
ID47;0.999255;0.999402;0.999385;0.999532;0.999095;0.999203;0.999355;0.999196;0.999232;0.999352;0.999302;0.999300;0.998704;0.995036;0.996832;0.996389;0.998025;0.994878;0.999103;0.999031;0.999214;0.999462;0.999307;0.997659;0.999051;0.999400;0.999344;0.996875;0.996970;0.998704;0.998557;0.999026;0.999209;0.999306;0.999331;0.999295;0.999316;0.999260;0.999251;0.998466;0.996930;0.999335;0.999338;0.997932;0.999117;0.999197;0.998735;0.000000;0.999237;0.997626;0.997931;0.999091;0.999157;0.996995;0.998751;0.999434;0.995134;0.997022;0.997711;0.999035;0.998615;0.998900
ID48;0.995500;0.996762;0.997652;0.997956;0.994705;0.999741;0.997847;0.996454;0.996166;0.996933;0.996658;0.996333;0.998096;0.998923;0.998496;0.998931;0.998285;0.999217;0.995936;0.990389;0.994012;0.996206;0.997194;0.999496;0.994451;0.997225;0.996707;0.999095;0.997087;0.996664;0.997021;0.996555;0.997304;0.997551;0.997318;0.996716;0.997794;0.998758;0.997169;0.999122;0.998816;0.998056;0.998928;0.998815;0.998854;0.668052;0.999554;0.999237;0.000000;0.999340;0.999125;0.999134;0.984255;0.998406;0.998846;0.999322;0.999426;0.998835;0.999295;0.999419;0.995669;0.996300
ID49;0.999162;0.999175;0.998912;0.999631;0.999120;0.999843;0.999616;0.999132;0.998981;0.999434;0.999485;0.999354;0.998722;0.998826;0.997383;0.989050;0.999011;0.978483;0.997755;0.999301;0.999132;0.999091;0.999493;0.980362;0.999469;0.999258;0.998962;0.999323;0.998200;0.997908;0.988470;0.999289;0.999246;0.999639;0.999333;0.999323;0.998941;0.999312;0.998989;0.996555;0.997646;0.999363;0.997017;0.998640;0.998264;0.999292;0.994642;0.997626;0.999340;0.000000;0.982749;0.996498;0.999233;0.995049;0.992693;0.994963;0.988457;0.995921;0.994745;0.985046;0.987186;0.988382
ID50;0.998280;0.997553;0.998508;0.999251;0.998690;0.999907;0.999411;0.998376;0.997113;0.998904;0.999260;0.999143;0.998733;0.999713;0.998173;0.973878;0.999302;0.791191;0.996351;0.999272;0.999238;0.998310;0.999411;0.824030;0.999422;0.998459;0.995939;0.999462;0.996417;0.997915;0.930572;0.998667;0.999185;0.999558;0.998700;0.998850;0.997942;0.998682;0.999112;0.998852;0.998176;0.999272;0.996409;0.999321;0.998331;0.999037;0.994488;0.997931;0.999125;0.982749;0.000000;0.993931;0.997187;0.995156;0.978334;0.989513;0.979273;0.995709;0.996816;0.871189;0.870970;0.878987
ID51;0.998932;0.998997;0.998690;0.998827;0.999052;0.999746;0.998869;0.998760;0.997571;0.998613;0.998795;0.999141;0.998985;0.999669;0.998968;0.997959;0.999051;0.998749;0.999011;0.999327;0.999306;0.999364;0.999518;0.986933;0.999389;0.999154;0.998590;0.999690;0.999101;0.998429;0.998755;0.998923;0.999194;0.999217;0.999078;0.999071;0.997704;0.997879;0.999367;0.998658;0.999012;0.999137;0.999059;0.999508;0.999315;0.999204;0.999364;0.999091;0.999134;0.996498;0.993931;0.000000;0.999193;0.997497;0.993629;0.998463;0.998662;0.998132;0.961410;0.987448;0.998944;0.999116
ID52;0.993712;0.994276;0.997365;0.997940;0.991968;0.999757;0.997576;0.993942;0.995354;0.996886;0.996526;0.995007;0.997804;0.998570;0.998221;0.998757;0.998411;0.999187;0.990079;0.993271;0.988100;0.990731;0.994556;0.999438;0.996023;0.993267;0.993659;0.998390;0.994166;0.992399;0.996126;0.996642;0.994323;0.997954;0.994566;0.994233;0.996780;0.998937;0.994395;0.998831;0.998776;0.997401;0.998918;0.998627;0.998843;0.984584;0.999469;0.999157;0.984255;0.999233;0.997187;0.999193;0.000000;0.997049;0.998222;0.998879;0.999321;0.998352;0.999062;0.998919;0.994985;0.995516
ID53;0.998743;0.998955;0.998600;0.998544;0.998574;0.999695;0.998647;0.998770;0.998871;0.998935;0.998744;0.998915;0.999322;0.999355;0.998774;0.990108;0.999287;0.988772;0.996978;0.998709;0.998091;0.998426;0.998949;0.995206;0.998900;0.998219;0.998138;0.999341;0.997554;0.996947;0.994370;0.998982;0.998678;0.998764;0.998699;0.998601;0.998960;0.999237;0.998625;0.999174;0.998719;0.999252;0.998856;0.999318;0.998915;0.998415;0.997475;0.996995;0.998406;0.995049;0.995156;0.997497;0.997049;0.000000;0.995800;0.998092;0.993924;0.995852;0.994155;0.997222;0.995125;0.995189
ID54;0.998029;0.997500;0.998663;0.999069;0.998475;0.999864;0.999127;0.998134;0.995516;0.998361;0.998874;0.998804;0.998126;0.999692;0.997905;0.988121;0.999088;0.986587;0.995615;0.999081;0.999004;0.995822;0.999135;0.986140;0.999247;0.997334;0.994072;0.999460;0.995304;0.996842;0.985925;0.998436;0.998140;0.999345;0.998714;0.998332;0.995723;0.996574;0.998510;0.997206;0.997904;0.998791;0.998390;0.999248;0.998407;0.998819;0.995201;0.998751;0.998846;0.992693;0.978334;0.993629;0.998222;0.995800;0.000000;0.914499;0.985635;0.992624;0.999124;0.988519;0.990265;0.987875
ID55;0.998279;0.998090;0.999044;0.999431;0.998848;0.999920;0.999604;0.999081;0.998621;0.999297;0.999345;0.998782;0.999334;0.999644;0.998639;0.995447;0.998788;0.993896;0.996608;0.999386;0.999295;0.995716;0.999456;0.994188;0.999478;0.998173;0.995877;0.999708;0.997481;0.999028;0.991974;0.999249;0.997555;0.999664;0.999349;0.997588;0.996498;0.997244;0.998226;0.999267;0.998418;0.998278;0.998635;0.999024;0.998319;0.999318;0.997492;0.999434;0.999322;0.994963;0.989513;0.998463;0.998879;0.998092;0.914499;0.000000;0.992920;0.997724;0.999550;0.994951;0.993464;0.989422
ID56;0.998842;0.998219;0.999081;0.999564;0.999078;0.999888;0.999529;0.998937;0.998612;0.999378;0.999436;0.999380;0.998146;0.999731;0.997803;0.979973;0.999489;0.977324;0.996819;0.999503;0.999506;0.999002;0.999594;0.984932;0.999584;0.999137;0.996926;0.999693;0.997274;0.998247;0.987208;0.999388;0.999397;0.999638;0.999300;0.999400;0.998871;0.999186;0.999414;0.998257;0.998446;0.999575;0.998093;0.999394;0.998251;0.999400;0.993147;0.995134;0.999426;0.988457;0.979273;0.998662;0.999321;0.993924;0.985635;0.992920;0.000000;0.994569;0.998195;0.992313;0.989860;0.989755
ID57;0.998872;0.999025;0.998685;0.999011;0.998814;0.999448;0.999050;0.998944;0.998851;0.999083;0.998946;0.999020;0.998936;0.997963;0.997369;0.990169;0.998583;0.993604;0.988568;0.998860;0.998405;0.998494;0.998847;0.994614;0.998930;0.996506;0.986445;0.997994;0.995551;0.994773;0.990439;0.999072;0.996487;0.999008;0.997512;0.998705;0.998745;0.998989;0.998640;0.997377;0.997577;0.999129;0.998552;0.998641;0.998277;0.998827;0.995366;0.997022;0.998835;0.995921;0.995709;0.998132;0.998352;0.995852;0.992624;0.997724;0.994569;0.000000;0.999298;0.997646;0.996148;0.996212
ID58;0.999052;0.999104;0.999246;0.999343;0.999136;0.999921;0.999567;0.999095;0.999139;0.999418;0.999461;0.999350;0.999514;0.999630;0.999284;0.998885;0.999532;0.986876;0.999111;0.999398;0.999403;0.999287;0.999533;0.999534;0.999482;0.999174;0.998956;0.999644;0.999112;0.998668;0.999342;0.999423;0.999442;0.999630;0.999259;0.999250;0.999313;0.999469;0.999344;0.999396;0.999498;0.999579;0.999636;0.999556;0.999572;0.999238;0.999318;0.997711;0.999295;0.994745;0.996816;0.961410;0.999062;0.994155;0.999124;0.999550;0.998195;0.999298;0.000000;0.996790;0.999350;0.999440
ID59;0.999011;0.998903;0.999216;0.999615;0.999145;0.999955;0.999658;0.998858;0.996610;0.999197;0.999538;0.999436;0.999191;0.999792;0.998936;0.988173;0.999471;0.900066;0.998062;0.999530;0.999538;0.998964;0.999626;0.782179;0.999633;0.999352;0.998804;0.999439;0.998460;0.999058;0.957345;0.999013;0.999387;0.999757;0.999342;0.999260;0.997788;0.999124;0.999459;0.998876;0.998833;0.999437;0.998341;0.999555;0.999135;0.999373;0.996754;0.999035;0.999419;0.985046;0.871189;0.987448;0.998919;0.997222;0.988519;0.994951;0.992313;0.997646;0.996790;0.000000;0.886598;0.913504
ID60;0.997578;0.998082;0.998196;0.998983;0.997216;0.999818;0.998980;0.997924;0.997362;0.998221;0.998306;0.997916;0.998947;0.998858;0.997930;0.981573;0.998460;0.856292;0.993373;0.996719;0.991276;0.993998;0.997971;0.793057;0.997706;0.994936;0.997558;0.998834;0.993374;0.996056;0.926230;0.996488;0.992535;0.998245;0.997030;0.993145;0.994120;0.998935;0.994019;0.999144;0.997869;0.997898;0.996382;0.998318;0.997460;0.995342;0.996145;0.998615;0.995669;0.987186;0.870970;0.998944;0.994985;0.995125;0.990265;0.993464;0.989860;0.996148;0.999350;0.886598;0.000000;0.666977
ID61;0.997635;0.998083;0.998223;0.999005;0.997260;0.999830;0.999021;0.998151;0.997585;0.998203;0.998331;0.997916;0.999025;0.998899;0.997998;0.981187;0.998258;0.859116;0.994915;0.996434;0.993409;0.993322;0.998086;0.841071;0.997527;0.997117;0.997741;0.999103;0.995486;0.996750;0.928532;0.997766;0.995515;0.998599;0.998015;0.996282;0.996443;0.998880;0.996329;0.999248;0.997740;0.997877;0.996574;0.997997;0.997838;0.996032;0.996168;0.998900;0.996300;0.988382;0.878987;0.999116;0.995516;0.995189;0.987875;0.989422;0.989755;0.996212;0.999440;0.913504;0.666977;0.000000
