clade_name	reERR5005154_taxonomic_profile	reERR5005155_taxonomic_profile	reERR5005156_taxonomic_profile	reERR5005157_taxonomic_profile	reERR5005158_taxonomic_profile	reERR5005159_taxonomic_profile	reERR5005160_taxonomic_profile	reERR5005161_taxonomic_profile	reERR5005162_taxonomic_profile	reERR5005163_taxonomic_profile	reERR5005164_taxonomic_profile	reERR5005165_taxonomic_profile	reERR5005166_taxonomic_profile	reERR5005167_taxonomic_profile	reERR5005168_taxonomic_profile	reERR5005169_taxonomic_profile	reERR5005170_taxonomic_profile	reERR5005171_taxonomic_profile	reERR5005283_taxonomic_profile	reERR5005284_taxonomic_profile	reERR5005285_taxonomic_profile	reERR5005286_taxonomic_profile	reERR5005287_taxonomic_profile	reERR5005288_taxonomic_profile	reERR5005289_taxonomic_profile	reERR5005290_taxonomic_profile	reERR5005291_taxonomic_profile	reERR5005292_taxonomic_profile	reERR5005293_taxonomic_profile	reERR5005301_taxonomic_profile	reERR5005302_taxonomic_profile	reERR5005303_taxonomic_profile	reERR5005304_taxonomic_profile	reERR5005305_taxonomic_profile	reERR5005306_taxonomic_profile	reERR5005307_taxonomic_profile	reERR5005308_taxonomic_profile	reERR5005309_taxonomic_profile	reERR5005310_taxonomic_profile	reERR5005311_taxonomic_profile	reERR5005312_taxonomic_profile	reERR5005313_taxonomic_profile	reERR5005314_taxonomic_profile	reERR5005315_taxonomic_profile	reERR5005316_taxonomic_profile	reERR5005317_taxonomic_profile	reERR5005318_taxonomic_profile	reERR5005319_taxonomic_profile	reERR5005320_taxonomic_profile	reERR5005321_taxonomic_profile	reERR5005322_taxonomic_profile	reERR5005323_taxonomic_profile	reERR5005324_taxonomic_profile	reERR5005325_taxonomic_profile	reERR5005326_taxonomic_profile	reERR5005327_taxonomic_profile	reERR5005328_taxonomic_profile	reERR5005329_taxonomic_profile	reERR5005330_taxonomic_profile	reERR5005331_taxonomic_profile	reERR5005334_taxonomic_profile	reERR5005335_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00723589001447178	0	0	0	0	0	0	0	0.00184983074048725	0	0	0	0	0	0	0	0	0	0.642847160758373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_alcaliphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0465831275911865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_alcaliphilum|t__Unclassified_Methanobacterium_alcaliphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0465831275911865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_curvum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00465831275911865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_curvum|t__Unclassified_Methanobacterium_curvum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00465831275911865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_formicicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186332510364746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_formicicum|t__Unclassified_Methanobacterium_formicicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186332510364746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_sp._SWAN-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0093166255182373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_sp._SWAN-1|t__Unclassified_Methanobacterium_sp._SWAN-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0093166255182373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Unclassified_Methanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00723589001447178	0	0	0	0	0	0	0	0.00184983074048725	0	0	0	0	0	0	0	0	0	0.563655843853356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
