ID	num
reERR5005154	23286411
reERR5005155	23727304
reERR5005156	7678166
reERR5005157	4699331
reERR5005158	24058794
reERR5005159	1874146
reERR5005160	3732828
reERR5005161	20384515
reERR5005162	19608949
reERR5005163	10464502
reERR5005164	7828694
reERR5005165	16987620
reERR5005166	23131192
reERR5005167	34620720
reERR5005168	23628090
reERR5005169	6213898
reERR5005170	22827822
reERR5005171	13965436
reERR5005283	17180988
reERR5005284	20954209
reERR5005285	16884054
reERR5005286	30536381
reERR5005287	22083573
reERR5005288	21728241
reERR5005289	19644612
reERR5005290	17174799
reERR5005291	17251955
reERR5005292	24366814
reERR5005293	21045341
reERR5005301	13231266
reERR5005302	21886391
reERR5005303	20564695
reERR5005304	23666131
reERR5005305	6474969
reERR5005306	19652132
reERR5005307	17935682
reERR5005308	22557269
reERR5005309	7439275
reERR5005310	24597657
reERR5005311	20286785
reERR5005312	21436003
reERR5005313	21035303
reERR5005314	6616868
reERR5005315	21173014
reERR5005316	8417352
reERR5005317	21691854
reERR5005318	17753366
reERR5005319	13697346
reERR5005320	18075535
reERR5005321	24680837
reERR5005322	20003387
reERR5005323	5679634
reERR5005324	27360559
reERR5005325	6156943
reERR5005326	15974219
reERR5005327	23874757
reERR5005328	11667057
reERR5005329	9031579
reERR5005330	22456536
reERR5005331	58570825
reERR5005334	26349034
reERR5005335	25221892
